[4/19/23 01:28PM] Fissker used command ::reffer | Player rights = PLAYER	
[4/20/23 05:37AM] Fissker used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/20/23 05:37AM] Fissker used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/20/23 05:37AM] Fissker used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/20/23 05:38AM] Fissker used command ::wr3cked | Player rights = GRACEFUL_DONATOR	
[4/20/23 05:49AM] Fissker used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 05:52AM] Fissker used command ::home | Player rights = GRACEFUL_DONATOR	
[4/20/23 05:52AM] Fissker used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/20/23 05:57AM] Fissker used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/20/23 06:02AM] Fissker used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/20/23 06:11AM] Fissker used command ::mydr | Player rights = GRACEFUL_DONATOR	
[4/20/23 06:19AM] Fissker used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 06:21AM] Fissker used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/20/23 06:21AM] Fissker used command ::mydr | Player rights = GRACEFUL_DONATOR	
[4/20/23 06:22AM] Fissker used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/20/23 06:26AM] Fissker used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/20/23 06:27AM] Fissker used command ::maxhit | Player rights = GRACEFUL_DONATOR	
[4/20/23 06:28AM] Fissker used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 06:32AM] Fissker used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/20/23 06:45AM] Fissker used command ::mydr | Player rights = GRACEFUL_DONATOR	
[4/20/23 06:47AM] Fissker used command ::maxhit | Player rights = GRACEFUL_DONATOR	
[4/20/23 06:49AM] Fissker used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 06:50AM] Fissker used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/20/23 06:53AM] Fissker used command ::wboss | Player rights = GRACEFUL_DONATOR	
[4/20/23 08:20AM] Fissker used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 08:34AM] Fissker used command ::guides | Player rights = GRACEFUL_DONATOR	
[4/20/23 08:34AM] Fissker used command ::guide | Player rights = GRACEFUL_DONATOR	
[4/20/23 08:49AM] Fissker used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 08:51AM] Fissker used command ::home | Player rights = GRACEFUL_DONATOR	
[4/20/23 09:08AM] Fissker used command ::ydr | Player rights = GRACEFUL_DONATOR	
[4/20/23 09:08AM] Fissker used command ::mydr | Player rights = GRACEFUL_DONATOR	
[4/20/23 09:19AM] Fissker used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 09:20AM] Fissker used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/20/23 09:21AM] Fissker used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/20/23 09:23AM] Fissker used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/20/23 09:24AM] Fissker used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/20/23 09:27AM] Fissker used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/20/23 09:35AM] Fissker used command ::mydr | Player rights = GRACEFUL_DONATOR	
[4/20/23 09:49AM] Fissker used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 09:49AM] Fissker used command ::maxhit | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:44AM] Fissker used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:45AM] Fissker used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:47AM] Fissker used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:48AM] Fissker used command ::yell gz for rank ! | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:49AM] Fissker used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:54AM] Fissker used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:56AM] Fissker used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 11:15AM] Fissker used command ::bank | Player rights = CLERIC_DONATOR	
[4/20/23 11:19AM] Fissker used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 11:20AM] Fissker used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 11:22AM] Fissker used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 11:40AM] Fissker used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/20/23 11:40AM] Fissker used command ::vote | Player rights = CLERIC_DONATOR	
[4/20/23 11:40AM] Fissker used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/20/23 11:40AM] Fissker used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/20/23 11:41AM] Fissker used command ::mydr | Player rights = CLERIC_DONATOR	
[4/20/23 11:49AM] Fissker used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 12:10PM] Fissker used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 12:14PM] Fissker used command ::bank | Player rights = CLERIC_DONATOR	
[4/20/23 12:19PM] Fissker used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 12:20PM] Fissker used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 12:21PM] Fissker used command ::golden | Player rights = CLERIC_DONATOR	
[4/20/23 12:22PM] Fissker used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/20/23 12:24PM] Fissker used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 12:27PM] Fissker used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 12:32PM] Fissker used command ::mydr | Player rights = CLERIC_DONATOR	
[4/20/23 12:32PM] Fissker used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/21/23 01:45AM] Fissker used command ::vote | Player rights = CLERIC_DONATOR	
[4/21/23 01:46AM] Fissker used command ::reward 2 | Player rights = CLERIC_DONATOR	
[4/21/23 01:46AM] Fissker used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/21/23 01:46AM] Fissker used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/21/23 01:46AM] Fissker used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/21/23 01:49AM] Fissker used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 01:56AM] Fissker used command ::mydr | Player rights = CLERIC_DONATOR	
[4/21/23 02:00AM] Fissker used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 02:03AM] Fissker used command ::veigar | Player rights = CLERIC_DONATOR	
