[4/17/23 11:36AM] Shockr used command ::home | Player rights = PLAYER	
[4/20/23 10:25AM] Shockr used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 10:26AM] Shockr used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/20/23 10:26AM] Shockr used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 10:26AM] Shockr used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 10:27AM] Shockr used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 10:28AM] Shockr used command ::ote | Player rights = CLERIC_DONATOR	
[4/20/23 10:28AM] Shockr used command ::vote | Player rights = CLERIC_DONATOR	
[4/20/23 10:30AM] Shockr used command ::golden | Player rights = CLERIC_DONATOR	
[4/20/23 10:31AM] Shockr used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/20/23 10:33AM] Shockr used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 10:34AM] Shockr used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/20/23 10:36AM] Shockr used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 10:38AM] Shockr used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 10:40AM] Shockr used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 10:42AM] Shockr used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 10:45AM] Shockr used command ::golden | Player rights = CLERIC_DONATOR	
[4/20/23 10:47AM] Shockr used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/20/23 10:49AM] Shockr used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/20/23 10:51AM] Shockr used command ::home | Player rights = CLERIC_DONATOR	
[4/20/23 10:54AM] Shockr used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/20/23 11:37AM] Shockr used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 11:38AM] Shockr used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 11:39AM] Shockr used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 11:40AM] Shockr used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 11:49AM] Shockr used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/20/23 12:19PM] Shockr used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/20/23 12:21PM] Shockr used command ::Voteboss | Player rights = CLERIC_DONATOR	
[4/20/23 12:21PM] Shockr used command ::golden | Player rights = CLERIC_DONATOR	
[4/20/23 12:22PM] Shockr used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/20/23 12:23PM] Shockr used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 12:27PM] Shockr used command ::dropoff | Player rights = CLERIC_DONATOR	
[4/20/23 01:30PM] Shockr used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/20/23 01:30PM] Shockr used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/20/23 01:34PM] Shockr used command ::Yell wphat!!!!!!!! poh | Player rights = CLERIC_DONATOR	
[4/20/23 01:49PM] Shockr used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 02:29PM] Shockr used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 02:41PM] Shockr used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 02:49PM] Shockr used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/20/23 02:49PM] Shockr used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/20/23 02:50PM] Shockr used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 02:52PM] Shockr used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/20/23 02:57PM] Shockr used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 03:10PM] Shockr used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 03:36PM] Shockr used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 03:48PM] Shockr used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 03:49PM] Shockr used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/20/23 03:59PM] Shockr used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 04:03PM] Shockr used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 04:36PM] Shockr used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 05:11PM] Shockr used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 05:19PM] Shockr used command ::Viegar | Player rights = CLERIC_DONATOR	
[4/20/23 05:19PM] Shockr used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/20/23 05:20PM] Shockr used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 05:23PM] Shockr used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 05:24PM] Shockr used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 07:10PM] Shockr used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 08:32PM] Shockr used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 08:35PM] Shockr used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 08:35PM] Shockr used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 08:36PM] Shockr used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 08:37PM] Shockr used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 08:38PM] Shockr used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 08:41PM] Shockr used command ::Bank | Player rights = CLERIC_DONATOR	
[4/20/23 08:41PM] Shockr used command ::home | Player rights = CLERIC_DONATOR	
[4/20/23 08:44PM] Shockr used command ::golden | Player rights = CLERIC_DONATOR	
[4/20/23 08:44PM] Shockr used command ::golden | Player rights = CLERIC_DONATOR	
[4/20/23 08:44PM] Shockr used command ::Golden | Player rights = CLERIC_DONATOR	
[4/20/23 08:45PM] Shockr used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 09:03PM] Shockr used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/20/23 09:06PM] Shockr used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 09:10PM] Shockr used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 03:52PM] Shockr used command ::noble | Player rights = CLERIC_DONATOR	
[4/21/23 03:54PM] Shockr used command ::pos | Player rights = CLERIC_DONATOR	
