[4/15/23 04:58AM] Plebo used command ::voteboss | Player rights = PLAYER	
[4/15/23 12:58PM] Plebo used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 12:59PM] Plebo used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/15/23 01:28PM] Plebo used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 01:29PM] Plebo used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/15/23 01:30PM] Plebo used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 01:58PM] Plebo used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 02:02PM] Plebo used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/16/23 02:16AM] Plebo used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/16/23 02:20AM] Plebo used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/16/23 02:21AM] Plebo used command ::shops | Player rights = GRACEFUL_DONATOR	
[4/16/23 02:22AM] Plebo used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 02:25AM] Plebo used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/16/23 02:26AM] Plebo used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/16/23 02:28AM] Plebo used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/16/23 02:28AM] Plebo used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/16/23 02:40AM] Plebo used command ::daily | Player rights = GRACEFUL_DONATOR	
[4/16/23 02:40AM] Plebo used command ::tasks | Player rights = GRACEFUL_DONATOR	
[4/16/23 02:53AM] Plebo used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 03:22AM] Plebo used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 03:25AM] Plebo used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 03:26AM] Plebo used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 03:30AM] Plebo used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/16/23 03:53AM] Plebo used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 03:55AM] Plebo used command ::vboss | Player rights = CLERIC_DONATOR	
[4/16/23 04:35AM] Plebo used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/16/23 04:43AM] Plebo used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 04:47AM] Plebo used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 04:53AM] Plebo used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 04:59AM] Plebo used command ::vegar | Player rights = CLERIC_DONATOR	
[4/16/23 05:00AM] Plebo used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 05:23AM] Plebo used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 05:25AM] Plebo used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 05:26AM] Plebo used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 05:28AM] Plebo used command ::golden | Player rights = CLERIC_DONATOR	
[4/16/23 05:37AM] Plebo used command ::bank | Player rights = CLERIC_DONATOR	
[4/16/23 05:53AM] Plebo used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 08:53AM] Plebo used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 09:09AM] Plebo used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/16/23 09:23AM] Plebo used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 09:23AM] Plebo used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 09:24AM] Plebo used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 09:39AM] Plebo used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 09:41AM] Plebo used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 09:44AM] Plebo used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 09:45AM] Plebo used command ::golden | Player rights = CLERIC_DONATOR	
[4/16/23 09:45AM] Plebo used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 09:45AM] Plebo used command ::golden | Player rights = CLERIC_DONATOR	
[4/16/23 09:47AM] Plebo used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/16/23 09:49AM] Plebo used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 09:49AM] Plebo used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 09:53AM] Plebo used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 10:23AM] Plebo used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 10:25AM] Plebo used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 10:43AM] Plebo used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/16/23 11:23AM] Plebo used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 11:24AM] Plebo used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 11:24AM] Plebo used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 11:25AM] Plebo used command ::golden | Player rights = CLERIC_DONATOR	
[4/16/23 11:26AM] Plebo used command ::vote | Player rights = CLERIC_DONATOR	
[4/16/23 11:30AM] Plebo used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/16/23 11:42AM] Plebo used command ::home | Player rights = CLERIC_DONATOR	
[4/16/23 11:42AM] Plebo used command ::bank | Player rights = CLERIC_DONATOR	
[4/16/23 11:42AM] Plebo used command ::bank | Player rights = CLERIC_DONATOR	
[4/16/23 11:46AM] Plebo used command ::bank | Player rights = CLERIC_DONATOR	
[4/16/23 11:53AM] Plebo used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 12:23PM] Plebo used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 12:53PM] Plebo used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 01:23PM] Plebo used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 01:24PM] Plebo used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 01:24PM] Plebo used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 01:53PM] Plebo used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 01:58PM] Plebo used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/16/23 09:53PM] Plebo used command ::vote | Player rights = CLERIC_DONATOR	
[4/16/23 09:54PM] Plebo used command ::claim | Player rights = CLERIC_DONATOR	
[4/16/23 09:54PM] Plebo used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/16/23 10:39PM] Plebo used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 10:42PM] Plebo used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 11:09PM] Plebo used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 11:39PM] Plebo used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 11:46PM] Plebo used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 11:49PM] Plebo used command ::Meruem | Player rights = CLERIC_DONATOR	
[4/17/23 12:08AM] Plebo used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 12:34AM] Plebo used command ::bank | Player rights = CLERIC_DONATOR	
[4/17/23 12:39AM] Plebo used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 12:41AM] Plebo used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 12:47AM] Plebo used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 12:55AM] Plebo used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 01:07AM] Plebo used command ::vboss | Player rights = CLERIC_DONATOR	
[4/17/23 01:39AM] Plebo used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 01:40AM] Plebo used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 01:41AM] Plebo used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 02:04AM] Plebo used command ::progress | Player rights = CLERIC_DONATOR	
[4/17/23 02:10AM] Plebo used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 03:37AM] Plebo used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 03:41AM] Plebo used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 03:42AM] Plebo used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 03:43AM] Plebo used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 04:10AM] Plebo used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 04:39AM] Plebo used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 04:40AM] Plebo used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 05:09AM] Plebo used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 05:45AM] Plebo used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/17/23 06:09AM] Plebo used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 06:39AM] Plebo used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 06:41AM] Plebo used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 06:41AM] Plebo used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 07:09AM] Plebo used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 07:40AM] Plebo used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 07:40AM] Plebo used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 07:41AM] Plebo used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 08:09AM] Plebo used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 08:39AM] Plebo used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 09:09AM] Plebo used command ::veigar | Player rights = CLERIC_DONATOR	
