[4/15/23 07:44AM] Doppelganger used command ::ref | Player rights = PLAYER	
[4/15/23 07:52PM] Doppelganger used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/15/23 07:59PM] Doppelganger used command ::veigar | Player rights = CLERIC_DONATOR	
[4/15/23 08:28PM] Doppelganger used command ::veigar | Player rights = CLERIC_DONATOR	
[4/15/23 08:30PM] Doppelganger used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/15/23 08:32PM] Doppelganger used command ::meruem | Player rights = CLERIC_DONATOR	
[4/15/23 11:43PM] Doppelganger used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/15/23 11:53PM] Doppelganger used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 12:23AM] Doppelganger used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 12:24AM] Doppelganger used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 12:54AM] Doppelganger used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/16/23 01:23AM] Doppelganger used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 01:28AM] Doppelganger used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 01:30AM] Doppelganger used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 01:32AM] Doppelganger used command ::totem | Player rights = CLERIC_DONATOR	
[4/16/23 01:47AM] Doppelganger used command ::bank | Player rights = CLERIC_DONATOR	
[4/16/23 01:53AM] Doppelganger used command ::eigar | Player rights = CLERIC_DONATOR	
[4/16/23 01:53AM] Doppelganger used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 01:55AM] Doppelganger used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 02:08AM] Doppelganger used command ::vote | Player rights = CLERIC_DONATOR	
[4/16/23 02:13AM] Doppelganger used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/16/23 02:13AM] Doppelganger used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/16/23 02:13AM] Doppelganger used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/16/23 02:53AM] Doppelganger used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 03:23AM] Doppelganger used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 03:25AM] Doppelganger used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 03:26AM] Doppelganger used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 03:29AM] Doppelganger used command ::vboss | Player rights = CLERIC_DONATOR	
[4/16/23 03:29AM] Doppelganger used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/16/23 03:40AM] Doppelganger used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/16/23 03:55AM] Doppelganger used command ::store | Player rights = CLERIC_DONATOR	
[4/16/23 04:44AM] Doppelganger used command ::bank | Player rights = CLERIC_DONATOR	
[4/16/23 04:44AM] Doppelganger used command ::bank | Player rights = CLERIC_DONATOR	
[4/16/23 04:44AM] Doppelganger used command ::home | Player rights = CLERIC_DONATOR	
[4/16/23 04:47AM] Doppelganger used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 04:47AM] Doppelganger used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 04:48AM] Doppelganger used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 04:48AM] Doppelganger used command ::golden | Player rights = CLERIC_DONATOR	
[4/16/23 04:52AM] Doppelganger used command ::vote | Player rights = CLERIC_DONATOR	
[4/16/23 04:52AM] Doppelganger used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/16/23 04:52AM] Doppelganger used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/16/23 04:52AM] Doppelganger used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/16/23 04:52AM] Doppelganger used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/16/23 04:53AM] Doppelganger used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 04:59AM] Doppelganger used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 05:11AM] Doppelganger used command ::tasks | Player rights = CLERIC_DONATOR	
[4/16/23 05:23AM] Doppelganger used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 05:53AM] Doppelganger used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 06:23AM] Doppelganger used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 06:28AM] Doppelganger used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 06:29AM] Doppelganger used command ::golden | Player rights = CLERIC_DONATOR	
[4/16/23 06:29AM] Doppelganger used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 06:30AM] Doppelganger used command ::czone | Player rights = CLERIC_DONATOR	
[4/16/23 06:30AM] Doppelganger used command ::cleric | Player rights = CLERIC_DONATOR	
[4/16/23 06:30AM] Doppelganger used command ::gzone | Player rights = CLERIC_DONATOR	
[4/16/23 06:35AM] Doppelganger used command ::bank | Player rights = CLERIC_DONATOR	
[4/16/23 06:35AM] Doppelganger used command ::bank | Player rights = CLERIC_DONATOR	
[4/16/23 06:53AM] Doppelganger used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 07:53AM] Doppelganger used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 11:09PM] Doppelganger used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 03:09AM] Doppelganger used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 03:11AM] Doppelganger used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 03:39AM] Doppelganger used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 03:41AM] Doppelganger used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 03:42AM] Doppelganger used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 03:43AM] Doppelganger used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 04:04AM] Doppelganger used command ::totem | Player rights = CLERIC_DONATOR	
[4/17/23 04:09AM] Doppelganger used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 04:40AM] Doppelganger used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 04:40AM] Doppelganger used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 05:09AM] Doppelganger used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 07:06AM] Doppelganger used command ::exit | Player rights = CLERIC_DONATOR	
