[4/15/23 08:19AM] L I T S used command ::starter | Player rights = PLAYER	
[4/19/23 07:04AM] L I T S used command ::elo | Player rights = CLERIC_DONATOR	
[4/19/23 07:21AM] L I T S used command ::vboss | Player rights = CLERIC_DONATOR	
[4/19/23 07:23AM] L I T S used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 07:25AM] L I T S used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/19/23 07:46AM] L I T S used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 07:48AM] L I T S used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 07:48AM] L I T S used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/19/23 07:50AM] L I T S used command ::meruem | Player rights = CLERIC_DONATOR	
[4/19/23 07:52AM] L I T S used command ::golden | Player rights = CLERIC_DONATOR	
[4/19/23 07:54AM] L I T S used command ::vboss | Player rights = CLERIC_DONATOR	
[4/19/23 07:55AM] L I T S used command ::dropoff | Player rights = CLERIC_DONATOR	
[4/19/23 08:11AM] L I T S used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 08:12AM] L I T S used command ::vote | Player rights = CLERIC_DONATOR	
[4/19/23 08:14AM] L I T S used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/19/23 08:14AM] L I T S used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/19/23 08:14AM] L I T S used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/19/23 08:16AM] L I T S used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 08:45AM] L I T S used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/19/23 08:46AM] L I T S used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 08:47AM] L I T S used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/19/23 08:49AM] L I T S used command ::golden | Player rights = CLERIC_DONATOR	
[4/19/23 08:55AM] L I T S used command ::vboss | Player rights = CLERIC_DONATOR	
[4/19/23 09:10AM] L I T S used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 09:15AM] L I T S used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/19/23 09:16AM] L I T S used command ::meruem | Player rights = CLERIC_DONATOR	
[4/19/23 09:18AM] L I T S used command ::golden | Player rights = CLERIC_DONATOR	
[4/19/23 09:19AM] L I T S used command ::vboss | Player rights = CLERIC_DONATOR	
[4/19/23 09:31AM] L I T S used command ::dropoff | Player rights = TORMENTED_DONATOR	
[4/19/23 09:43AM] L I T S used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/19/23 10:13AM] L I T S used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/19/23 10:15AM] L I T S used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/19/23 10:36AM] L I T S used command ::reward 1 | Player rights = TORMENTED_DONATOR	
[4/19/23 10:43AM] L I T S used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/19/23 10:58AM] L I T S used command ::elo | Player rights = TORMENTED_DONATOR	
[4/19/23 10:59AM] L I T S used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 11:13AM] L I T S used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/19/23 11:15AM] L I T S used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/19/23 11:16AM] L I T S used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/19/23 11:18AM] L I T S used command ::elo | Player rights = TORMENTED_DONATOR	
[4/19/23 11:18AM] L I T S used command ::elo | Player rights = TORMENTED_DONATOR	
[4/19/23 11:19AM] L I T S used command ::elo | Player rights = TORMENTED_DONATOR	
[4/19/23 11:19AM] L I T S used command ::elo | Player rights = TORMENTED_DONATOR	
[4/19/23 11:19AM] L I T S used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/19/23 11:20AM] L I T S used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/19/23 12:43PM] L I T S used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/19/23 12:45PM] L I T S used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/19/23 01:13PM] L I T S used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/19/23 01:14PM] L I T S used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/19/23 01:15PM] L I T S used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/19/23 01:16PM] L I T S used command ::golden | Player rights = TORMENTED_DONATOR	
[4/19/23 01:19PM] L I T S used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/19/23 01:22PM] L I T S used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/19/23 01:24PM] L I T S used command ::pos | Player rights = TORMENTED_DONATOR	
[4/20/23 08:49AM] L I T S used command ::veiagr | Player rights = TORMENTED_DONATOR	
[4/20/23 08:49AM] L I T S used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/20/23 09:05AM] L I T S used command ::dropoff | Player rights = TORMENTED_DONATOR	
[4/20/23 09:19AM] L I T S used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/20/23 09:20AM] L I T S used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/20/23 09:21AM] L I T S used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/20/23 09:23AM] L I T S used command ::golden | Player rights = TORMENTED_DONATOR	
[4/20/23 09:23AM] L I T S used command ::vote | Player rights = TORMENTED_DONATOR	
[4/20/23 09:24AM] L I T S used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/20/23 09:25AM] L I T S used command ::reward 1 | Player rights = TORMENTED_DONATOR	
[4/20/23 09:25AM] L I T S used command ::reward 1 | Player rights = TORMENTED_DONATOR	
[4/20/23 09:25AM] L I T S used command ::reward 1 | Player rights = TORMENTED_DONATOR	
[4/20/23 09:25AM] L I T S used command ::reward 1 | Player rights = TORMENTED_DONATOR	
[4/20/23 09:49AM] L I T S used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/20/23 10:19AM] L I T S used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/20/23 10:20AM] L I T S used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/20/23 10:21AM] L I T S used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/20/23 10:24AM] L I T S used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/20/23 10:28AM] L I T S used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/20/23 10:30AM] L I T S used command ::golden | Player rights = TORMENTED_DONATOR	
[4/20/23 10:34AM] L I T S used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/20/23 10:38AM] L I T S used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/20/23 10:42AM] L I T S used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/20/23 10:45AM] L I T S used command ::golden | Player rights = TORMENTED_DONATOR	
[4/20/23 10:46AM] L I T S used command ::golden | Player rights = TORMENTED_DONATOR	
[4/20/23 10:47AM] L I T S used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/20/23 10:49AM] L I T S used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/20/23 10:52AM] L I T S used command ::elo | Player rights = TORMENTED_DONATOR	
[4/20/23 10:54AM] L I T S used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/20/23 11:18AM] L I T S used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/20/23 11:21AM] L I T S used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/20/23 11:22AM] L I T S used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/21/23 07:01AM] L I T S used command ::bank | Player rights = TORMENTED_DONATOR	
[4/21/23 07:03AM] L I T S used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/21/23 07:34AM] L I T S used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/21/23 07:34AM] L I T S used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/21/23 07:35AM] L I T S used command ::nionetails | Player rights = TORMENTED_DONATOR	
[4/21/23 07:35AM] L I T S used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/21/23 07:57AM] L I T S used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/21/23 08:02AM] L I T S used command ::veiagr | Player rights = TORMENTED_DONATOR	
[4/21/23 08:02AM] L I T S used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/21/23 08:33AM] L I T S used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/21/23 08:33AM] L I T S used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/21/23 08:34AM] L I T S used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/21/23 08:35AM] L I T S used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/21/23 08:35AM] L I T S used command ::golden | Player rights = TORMENTED_DONATOR	
[4/21/23 08:37AM] L I T S used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/21/23 08:37AM] L I T S used command ::vote | Player rights = TORMENTED_DONATOR	
[4/21/23 08:39AM] L I T S used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/21/23 08:39AM] L I T S used command ::reward 1 | Player rights = TORMENTED_DONATOR	
[4/21/23 08:39AM] L I T S used command ::reward 1 | Player rights = TORMENTED_DONATOR	
[4/21/23 08:39AM] L I T S used command ::reward 1 | Player rights = TORMENTED_DONATOR	
[4/21/23 08:40AM] L I T S used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/21/23 08:40AM] L I T S used command ::reward 1 | Player rights = TORMENTED_DONATOR	
[4/21/23 08:43AM] L I T S used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/21/23 08:45AM] L I T S used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/21/23 09:02AM] L I T S used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/21/23 09:26AM] L I T S used command ::dropoff | Player rights = TORMENTED_DONATOR	
[4/21/23 09:33AM] L I T S used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/21/23 09:34AM] L I T S used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/21/23 09:56AM] L I T S used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/21/23 10:03AM] L I T S used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/21/23 10:33AM] L I T S used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/21/23 10:33AM] L I T S used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/21/23 10:34AM] L I T S used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/21/23 10:44AM] L I T S used command ::kills | Player rights = TORMENTED_DONATOR	
[4/21/23 11:01AM] L I T S used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/21/23 11:33AM] L I T S used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/21/23 11:33AM] L I T S used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/21/23 11:35AM] L I T S used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/21/23 11:35AM] L I T S used command ::golden | Player rights = TORMENTED_DONATOR	
[4/21/23 11:55AM] L I T S used command ::kills | Player rights = TORMENTED_DONATOR	
[4/21/23 12:03PM] L I T S used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/21/23 12:05PM] L I T S used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/21/23 12:33PM] L I T S used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/21/23 12:34PM] L I T S used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/21/23 12:35PM] L I T S used command ::meruem | Player rights = MYSTICAL_DONATOR	
[4/21/23 01:02PM] L I T S used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/21/23 01:11PM] L I T S used command ::vboss | Player rights = MYSTICAL_DONATOR	
[4/21/23 01:32PM] L I T S used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/21/23 01:34PM] L I T S used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/21/23 02:03PM] L I T S used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/21/23 02:32PM] L I T S used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/21/23 02:33PM] L I T S used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/21/23 02:34PM] L I T S used command ::meruem | Player rights = MYSTICAL_DONATOR	
[4/21/23 02:35PM] L I T S used command ::golden | Player rights = MYSTICAL_DONATOR	
[4/21/23 03:03PM] L I T S used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/21/23 03:06PM] L I T S used command ::vboss | Player rights = MYSTICAL_DONATOR	
[4/21/23 03:32PM] L I T S used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/21/23 03:33PM] L I T S used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/21/23 04:33PM] L I T S used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/21/23 04:34PM] L I T S used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/21/23 04:35PM] L I T S used command ::meruem | Player rights = MYSTICAL_DONATOR	
[4/22/23 10:57AM] L I T S used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/22/23 11:02AM] L I T S used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/22/23 11:03AM] L I T S used command ::vote | Player rights = MYSTICAL_DONATOR	
[4/22/23 11:05AM] L I T S used command ::reward 1 | Player rights = MYSTICAL_DONATOR	
[4/22/23 11:05AM] L I T S used command ::reward 1 | Player rights = MYSTICAL_DONATOR	
[4/22/23 11:05AM] L I T S used command ::reward 1 | Player rights = MYSTICAL_DONATOR	
[4/22/23 11:05AM] L I T S used command ::reward 1 | Player rights = MYSTICAL_DONATOR	
[4/22/23 11:06AM] L I T S used command ::vboss | Player rights = MYSTICAL_DONATOR	
[4/22/23 11:13AM] L I T S used command ::dropoff | Player rights = MYSTICAL_DONATOR	
[4/22/23 11:32AM] L I T S used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/22/23 11:33AM] L I T S used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/22/23 11:34AM] L I T S used command ::meruem | Player rights = MYSTICAL_DONATOR	
[4/22/23 11:34AM] L I T S used command ::golden | Player rights = MYSTICAL_DONATOR	
[4/22/23 12:11PM] L I T S used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/22/23 12:11PM] L I T S used command ::meruem | Player rights = MYSTICAL_DONATOR	
[4/22/23 12:13PM] L I T S used command ::golden | Player rights = MYSTICAL_DONATOR	
[4/22/23 12:32PM] L I T S used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/22/23 12:33PM] L I T S used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/22/23 12:34PM] L I T S used command ::meruem | Player rights = MYSTICAL_DONATOR	
[4/22/23 01:03PM] L I T S used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/22/23 01:30PM] L I T S used command ::vboss | Player rights = MYSTICAL_DONATOR	
[4/22/23 01:32PM] L I T S used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/22/23 01:33PM] L I T S used command ::nineteails | Player rights = MYSTICAL_DONATOR	
[4/22/23 01:33PM] L I T S used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/22/23 01:37PM] L I T S used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/22/23 02:02PM] L I T S used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/22/23 02:32PM] L I T S used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/22/23 02:33PM] L I T S used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/22/23 02:34PM] L I T S used command ::meruem | Player rights = MYSTICAL_DONATOR	
[4/22/23 02:35PM] L I T S used command ::golden | Player rights = MYSTICAL_DONATOR	
[4/22/23 03:03PM] L I T S used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/22/23 03:22PM] L I T S used command ::vboss | Player rights = MYSTICAL_DONATOR	
[4/22/23 03:32PM] L I T S used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/22/23 03:34PM] L I T S used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/22/23 04:28PM] L I T S used command ::veigar | Player rights = MYSTICAL_DONATOR	
