[4/15/23 11:09PM] Sharpy0123 used command ::ref winallday | Player rights = PLAYER	
[4/17/23 07:33PM] Sharpy0123 used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/17/23 07:34PM] Sharpy0123 used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/17/23 07:53PM] Sharpy0123 used command ::elo | Player rights = MYSTICAL_DONATOR	
[4/17/23 07:54PM] Sharpy0123 used command ::home | Player rights = MYSTICAL_DONATOR	
[4/17/23 07:54PM] Sharpy0123 used command ::perks | Player rights = MYSTICAL_DONATOR	
[4/17/23 08:19PM] Sharpy0123 used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/17/23 08:28PM] Sharpy0123 used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/17/23 08:30PM] Sharpy0123 used command ::dropsoff | Player rights = MYSTICAL_DONATOR	
[4/17/23 08:30PM] Sharpy0123 used command ::dropson | Player rights = MYSTICAL_DONATOR	
[4/17/23 08:31PM] Sharpy0123 used command ::dropsoff | Player rights = MYSTICAL_DONATOR	
[4/17/23 08:31PM] Sharpy0123 used command ::drops | Player rights = MYSTICAL_DONATOR	
[4/17/23 08:31PM] Sharpy0123 used command ::dropson | Player rights = MYSTICAL_DONATOR	
[4/17/23 08:31PM] Sharpy0123 used command ::commands | Player rights = MYSTICAL_DONATOR	
[4/17/23 08:32PM] Sharpy0123 used command ::dropsonn | Player rights = MYSTICAL_DONATOR	
[4/17/23 08:32PM] Sharpy0123 used command ::dropsoff | Player rights = MYSTICAL_DONATOR	
[4/17/23 08:32PM] Sharpy0123 used command ::drops on | Player rights = MYSTICAL_DONATOR	
[4/17/23 08:33PM] Sharpy0123 used command ::drops offf | Player rights = MYSTICAL_DONATOR	
[4/17/23 08:34PM] Sharpy0123 used command ::dropsoff | Player rights = MYSTICAL_DONATOR	
[4/17/23 08:36PM] Sharpy0123 used command ::commands | Player rights = MYSTICAL_DONATOR	
[4/17/23 08:39PM] Sharpy0123 used command ::dropson | Player rights = MYSTICAL_DONATOR	
[4/17/23 08:39PM] Sharpy0123 used command ::dropsoff | Player rights = MYSTICAL_DONATOR	
[4/17/23 08:39PM] Sharpy0123 used command ::dropoff | Player rights = MYSTICAL_DONATOR	
[4/17/23 08:41PM] Sharpy0123 used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/17/23 08:43PM] Sharpy0123 used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/17/23 08:50PM] Sharpy0123 used command ::home | Player rights = MYSTICAL_DONATOR	
[4/17/23 09:00PM] Sharpy0123 used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/17/23 09:00PM] Sharpy0123 used command ::meruem | Player rights = MYSTICAL_DONATOR	
[4/17/23 09:00PM] Sharpy0123 used command ::meruem | Player rights = MYSTICAL_DONATOR	
[4/17/23 09:00PM] Sharpy0123 used command ::golden | Player rights = MYSTICAL_DONATOR	
[4/17/23 09:01PM] Sharpy0123 used command ::home | Player rights = MYSTICAL_DONATOR	
[4/17/23 09:01PM] Sharpy0123 used command ::dropoff | Player rights = MYSTICAL_DONATOR	
[4/17/23 09:02PM] Sharpy0123 used command ::perks | Player rights = MYSTICAL_DONATOR	
[4/17/23 09:08PM] Sharpy0123 used command ::maxhit | Player rights = MYSTICAL_DONATOR	
[4/17/23 09:19PM] Sharpy0123 used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/17/23 09:22PM] Sharpy0123 used command ::home | Player rights = MYSTICAL_DONATOR	
[4/17/23 09:27PM] Sharpy0123 used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/17/23 09:29PM] Sharpy0123 used command ::home | Player rights = MYSTICAL_DONATOR	
[4/17/23 09:55PM] Sharpy0123 used command ::home | Player rights = MYSTICAL_DONATOR	
[4/17/23 09:55PM] Sharpy0123 used command ::vote | Player rights = MYSTICAL_DONATOR	
[4/17/23 09:56PM] Sharpy0123 used command ::reward 1 all | Player rights = MYSTICAL_DONATOR	
[4/17/23 09:56PM] Sharpy0123 used command ::reward 1 | Player rights = MYSTICAL_DONATOR	
[4/17/23 09:56PM] Sharpy0123 used command ::reward 1 | Player rights = MYSTICAL_DONATOR	
[4/17/23 09:58PM] Sharpy0123 used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/17/23 09:58PM] Sharpy0123 used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/17/23 09:58PM] Sharpy0123 used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/17/23 09:59PM] Sharpy0123 used command ::home | Player rights = MYSTICAL_DONATOR	
[4/17/23 10:22PM] Sharpy0123 used command ::kills | Player rights = MYSTICAL_DONATOR	
[4/17/23 10:28PM] Sharpy0123 used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/17/23 10:29PM] Sharpy0123 used command ::home | Player rights = MYSTICAL_DONATOR	
[4/17/23 10:34PM] Sharpy0123 used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/17/23 11:11PM] Sharpy0123 used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/17/23 11:12PM] Sharpy0123 used command ::home | Player rights = MYSTICAL_DONATOR	
[4/17/23 11:23PM] Sharpy0123 used command ::reward 1 | Player rights = MYSTICAL_DONATOR	
[4/17/23 11:23PM] Sharpy0123 used command ::reward 1 all | Player rights = MYSTICAL_DONATOR	
[4/17/23 11:42PM] Sharpy0123 used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/17/23 11:43PM] Sharpy0123 used command ::dr | Player rights = MYSTICAL_DONATOR	
[4/17/23 11:44PM] Sharpy0123 used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/17/23 11:44PM] Sharpy0123 used command ::home | Player rights = MYSTICAL_DONATOR	
[4/17/23 11:50PM] Sharpy0123 used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/17/23 11:51PM] Sharpy0123 used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/18/23 12:12AM] Sharpy0123 used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/18/23 12:12AM] Sharpy0123 used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/18/23 12:13AM] Sharpy0123 used command ::home | Player rights = MYSTICAL_DONATOR	
[4/18/23 12:13AM] Sharpy0123 used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/18/23 12:31AM] Sharpy0123 used command ::home | Player rights = MYSTICAL_DONATOR	
[4/18/23 12:35AM] Sharpy0123 used command ::maxhit | Player rights = MYSTICAL_DONATOR	
[4/18/23 12:35AM] Sharpy0123 used command ::maxhit | Player rights = MYSTICAL_DONATOR	
[4/18/23 12:37AM] Sharpy0123 used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/18/23 12:37AM] Sharpy0123 used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/18/23 12:49AM] Sharpy0123 used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/18/23 01:11AM] Sharpy0123 used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/18/23 01:12AM] Sharpy0123 used command ::home | Player rights = MYSTICAL_DONATOR	
[4/18/23 01:25AM] Sharpy0123 used command ::elo | Player rights = MYSTICAL_DONATOR	
[4/18/23 01:38AM] Sharpy0123 used command ::viegar | Player rights = MYSTICAL_DONATOR	
[4/18/23 01:39AM] Sharpy0123 used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/18/23 01:42AM] Sharpy0123 used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/18/23 01:42AM] Sharpy0123 used command ::golden | Player rights = MYSTICAL_DONATOR	
[4/18/23 01:44AM] Sharpy0123 used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/18/23 01:44AM] Sharpy0123 used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/18/23 01:44AM] Sharpy0123 used command ::home | Player rights = MYSTICAL_DONATOR	
[4/18/23 02:02AM] Sharpy0123 used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/18/23 02:05AM] Sharpy0123 used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/18/23 02:08AM] Sharpy0123 used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/18/23 02:09AM] Sharpy0123 used command ::viegar | Player rights = MYSTICAL_DONATOR	
[4/18/23 02:09AM] Sharpy0123 used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/18/23 02:11AM] Sharpy0123 used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/18/23 02:12AM] Sharpy0123 used command ::home | Player rights = MYSTICAL_DONATOR	
[4/18/23 02:18AM] Sharpy0123 used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/18/23 02:27AM] Sharpy0123 used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/18/23 02:32AM] Sharpy0123 used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/18/23 02:33AM] Sharpy0123 used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/18/23 02:41AM] Sharpy0123 used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/18/23 02:41AM] Sharpy0123 used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/18/23 02:42AM] Sharpy0123 used command ::meruem | Player rights = MYSTICAL_DONATOR	
[4/18/23 02:43AM] Sharpy0123 used command ::vboss | Player rights = MYSTICAL_DONATOR	
[4/18/23 02:43AM] Sharpy0123 used command ::mureum | Player rights = MYSTICAL_DONATOR	
[4/18/23 02:43AM] Sharpy0123 used command ::mureum | Player rights = MYSTICAL_DONATOR	
[4/18/23 02:43AM] Sharpy0123 used command ::murem | Player rights = MYSTICAL_DONATOR	
[4/18/23 02:43AM] Sharpy0123 used command ::mer | Player rights = MYSTICAL_DONATOR	
[4/18/23 02:44AM] Sharpy0123 used command ::meruem | Player rights = MYSTICAL_DONATOR	
[4/18/23 02:44AM] Sharpy0123 used command ::home | Player rights = MYSTICAL_DONATOR	
[4/18/23 02:48AM] Sharpy0123 used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/18/23 02:48AM] Sharpy0123 used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/18/23 03:04AM] Sharpy0123 used command ::dr | Player rights = MYSTICAL_DONATOR	
[4/18/23 03:11AM] Sharpy0123 used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/18/23 03:12AM] Sharpy0123 used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/18/23 03:13AM] Sharpy0123 used command ::home | Player rights = MYSTICAL_DONATOR	
[4/18/23 03:41AM] Sharpy0123 used command ::viegar | Player rights = MYSTICAL_DONATOR	
[4/18/23 03:41AM] Sharpy0123 used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/18/23 03:42AM] Sharpy0123 used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/18/23 03:43AM] Sharpy0123 used command ::home | Player rights = MYSTICAL_DONATOR	
[4/18/23 03:49AM] Sharpy0123 used command ::dr | Player rights = MYSTICAL_DONATOR	
[4/18/23 03:50AM] Sharpy0123 used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/18/23 03:51AM] Sharpy0123 used command ::dr | Player rights = MYSTICAL_DONATOR	
[4/18/23 05:20AM] Sharpy0123 used command ::afk | Player rights = MYSTICAL_DONATOR	
[4/18/23 05:21AM] Sharpy0123 used command ::afk | Player rights = MYSTICAL_DONATOR	
[4/18/23 05:26AM] Sharpy0123 used command ::afk | Player rights = MYSTICAL_DONATOR	
[4/18/23 02:28PM] Sharpy0123 used command ::home | Player rights = MYSTICAL_DONATOR	
[4/18/23 02:28PM] Sharpy0123 used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/18/23 02:30PM] Sharpy0123 used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/18/23 02:35PM] Sharpy0123 used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/18/23 02:35PM] Sharpy0123 used command ::Dr | Player rights = MYSTICAL_DONATOR	
[4/18/23 02:38PM] Sharpy0123 used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/18/23 02:39PM] Sharpy0123 used command ::dismiss | Player rights = MYSTICAL_DONATOR	
[4/18/23 02:40PM] Sharpy0123 used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/18/23 02:40PM] Sharpy0123 used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/18/23 02:41PM] Sharpy0123 used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/18/23 02:41PM] Sharpy0123 used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/18/23 02:42PM] Sharpy0123 used command ::merium | Player rights = MYSTICAL_DONATOR	
[4/18/23 02:42PM] Sharpy0123 used command ::meruem | Player rights = MYSTICAL_DONATOR	
[4/18/23 02:42PM] Sharpy0123 used command ::home | Player rights = MYSTICAL_DONATOR	
[4/18/23 02:45PM] Sharpy0123 used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/18/23 02:45PM] Sharpy0123 used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/18/23 02:46PM] Sharpy0123 used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/18/23 02:49PM] Sharpy0123 used command ::vboss | Player rights = MYSTICAL_DONATOR	
[4/18/23 02:49PM] Sharpy0123 used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/18/23 02:51PM] Sharpy0123 used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/18/23 02:52PM] Sharpy0123 used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/18/23 02:52PM] Sharpy0123 used command ::home | Player rights = MYSTICAL_DONATOR	
[4/18/23 02:53PM] Sharpy0123 used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/18/23 02:59PM] Sharpy0123 used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/18/23 02:59PM] Sharpy0123 used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/18/23 03:00PM] Sharpy0123 used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/18/23 03:04PM] Sharpy0123 used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/18/23 03:05PM] Sharpy0123 used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/18/23 03:09PM] Sharpy0123 used command ::viegar | Player rights = MYSTICAL_DONATOR	
[4/18/23 03:09PM] Sharpy0123 used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/18/23 03:12PM] Sharpy0123 used command ::totem | Player rights = MYSTICAL_DONATOR	
[4/18/23 03:14PM] Sharpy0123 used command ::pos | Player rights = MYSTICAL_DONATOR	
