[4/18/23 03:11PM] Josh used command ::ref | Player rights = PLAYER	
[4/18/23 05:41PM] Josh used command ::dr | Player rights = PLAYER	
[4/18/23 05:41PM] Josh used command ::dr | Player rights = PLAYER	
[4/18/23 05:50PM] Josh used command ::dr | Player rights = PLAYER	
[4/18/23 05:55PM] Josh used command ::dr | Player rights = PLAYER	
[4/18/23 05:55PM] Josh used command ::dr | Player rights = PLAYER	
[4/18/23 06:00PM] Josh used command ::gears | Player rights = PLAYER	
[4/18/23 06:00PM] Josh used command ::guide | Player rights = PLAYER	
[4/18/23 06:07PM] Josh used command ::bank | Player rights = PLAYER	
[4/18/23 06:09PM] Josh used command ::dr | Player rights = PLAYER	
[4/18/23 06:10PM] Josh used command ::dr | Player rights = PLAYER	
[4/18/23 06:11PM] Josh used command ::veigar | Player rights = PLAYER	
[4/18/23 06:11PM] Josh used command ::dps | Player rights = PLAYER	
[4/18/23 06:12PM] Josh used command ::dr | Player rights = PLAYER	
[4/18/23 06:22PM] Josh used command ::help | Player rights = PLAYER	
[4/18/23 06:24PM] Josh used command ::discord | Player rights = PLAYER	
[4/18/23 06:40PM] Josh used command ::help | Player rights = PLAYER	
[4/18/23 06:41PM] Josh used command ::ninetails | Player rights = PLAYER	
[4/18/23 06:41PM] Josh used command ::veigar | Player rights = PLAYER	
[4/18/23 06:41PM] Josh used command ::dr | Player rights = PLAYER	
[4/18/23 06:41PM] Josh used command ::Dr | Player rights = PLAYER	
[4/18/23 06:43PM] Josh used command ::ninetails | Player rights = PLAYER	
[4/18/23 06:44PM] Josh used command ::discord | Player rights = PLAYER	
[4/18/23 06:45PM] Josh used command ::meruem | Player rights = PLAYER	
[4/18/23 06:53PM] Josh used command ::dr | Player rights = PLAYER	
[4/18/23 06:59PM] Josh used command ::voteboss | Player rights = PLAYER	
[4/18/23 07:11PM] Josh used command ::Veigar | Player rights = PLAYER	
[4/18/23 08:11PM] Josh used command ::veigar | Player rights = PLAYER	
[4/18/23 08:11PM] Josh used command ::dr | Player rights = PLAYER	
[4/18/23 08:12PM] Josh used command ::dr | Player rights = PLAYER	
