[4/13/23 09:09PM] Alex used command ::claim | Player rights = PLAYER	
[4/14/23 07:31AM] Alex used command ::item 4075 | Player rights = DEVELOPER	
[4/14/23 07:31AM] Alex used command ::item 4077 | Player rights = DEVELOPER	
[4/14/23 07:31AM] Alex used command ::item 4079 | Player rights = DEVELOPER	
[4/14/23 07:31AM] Alex used command ::item 4083 | Player rights = DEVELOPER	
[4/14/23 07:31AM] Alex used command ::item 4085 | Player rights = DEVELOPER	
[4/14/23 07:34AM] Alex used command ::item 3473 | Player rights = DEVELOPER	
[4/14/23 07:40AM] Alex used command ::reload s | Player rights = DEVELOPER	
[4/14/23 07:41AM] Alex used command ::item 4071 | Player rights = DEVELOPER	
[4/14/23 07:44AM] Alex used command ::reload s | Player rights = DEVELOPER	
[4/14/23 07:45AM] Alex used command ::reload drops | Player rights = DEVELOPER	
[4/14/23 07:45AM] Alex used command ::reload drops | Player rights = DEVELOPER	
[4/14/23 07:46AM] Alex used command ::upgrade | Player rights = DEVELOPER	
[4/14/23 07:46AM] Alex used command ::upgrade | Player rights = DEVELOPER	
[4/14/23 07:46AM] Alex used command ::itm 13306 | Player rights = DEVELOPER	
[4/14/23 07:46AM] Alex used command ::item 13306 | Player rights = DEVELOPER	
[4/14/23 07:48AM] Alex used command ::item 2028 | Player rights = DEVELOPER	
[4/14/23 07:57AM] Alex used command ::elo | Player rights = DEVELOPER	
[4/14/23 08:00PM] Alex used command ::reload s | Player rights = DEVELOPER	
[4/14/23 08:05PM] Alex used command ::item 6640 | Player rights = DEVELOPER	
[4/14/23 08:05PM] Alex used command ::item 14882 | Player rights = DEVELOPER	
[4/14/23 08:05PM] Alex used command ::item 6640 | Player rights = DEVELOPER	
[4/14/23 08:14PM] Alex used command ::find slayer casket | Player rights = DEVELOPER	
[4/14/23 08:14PM] Alex used command ::item 2734 50 | Player rights = DEVELOPER	
[4/14/23 08:15PM] Alex used command ::bank | Player rights = DEVELOPER	
[4/14/23 08:18PM] Alex used command ::item 5304 | Player rights = DEVELOPER	
[4/14/23 08:31PM] Alex used command ::find set | Player rights = DEVELOPER	
[4/14/23 08:31PM] Alex used command ::item 195699 | Player rights = DEVELOPER	
[4/14/23 08:31PM] Alex used command ::item 19599 | Player rights = DEVELOPER	
[4/14/23 08:31PM] Alex used command ::item 19598 | Player rights = DEVELOPER	
[4/14/23 08:31PM] Alex used command ::item 19520 | Player rights = DEVELOPER	
[4/14/23 08:31PM] Alex used command ::item 11962 | Player rights = DEVELOPER	
[4/14/23 08:32PM] Alex used command ::item 18768 | Player rights = DEVELOPER	
[4/14/23 08:32PM] Alex used command ::item 6833 | Player rights = DEVELOPER	
[4/14/23 08:32PM] Alex used command ::item 19659 | Player rights = DEVELOPER	
[4/14/23 08:33PM] Alex used command ::item 3849 | Player rights = DEVELOPER	
[4/14/23 08:33PM] Alex used command ::item 22056 | Player rights = DEVELOPER	
[4/14/23 08:33PM] Alex used command ::item 23002 | Player rights = DEVELOPER	
[4/14/23 08:34PM] Alex used command ::item 23040 | Player rights = DEVELOPER	
[4/14/23 08:34PM] Alex used command ::item 17706 | Player rights = DEVELOPER	
[4/14/23 08:34PM] Alex used command ::item 23002 | Player rights = DEVELOPER	
[4/14/23 08:37PM] Alex used command ::item 23002 | Player rights = DEVELOPER	
[4/14/23 08:37PM] Alex used command ::bank | Player rights = DEVELOPER	
[4/14/23 08:38PM] Alex used command ::find owner | Player rights = DEVELOPER	
[4/14/23 08:38PM] Alex used command ::item 22240 | Player rights = DEVELOPER	
[4/14/23 08:38PM] Alex used command ::item 22239 | Player rights = DEVELOPER	
[4/14/23 08:38PM] Alex used command ::item 22238 | Player rights = DEVELOPER	
[4/14/23 08:38PM] Alex used command ::item 22237 | Player rights = DEVELOPER	
[4/14/23 08:38PM] Alex used command ::item 22236 | Player rights = DEVELOPER	
[4/14/23 08:38PM] Alex used command ::item 22235 | Player rights = DEVELOPER	
[4/14/23 08:38PM] Alex used command ::item 22234 | Player rights = DEVELOPER	
[4/14/23 08:38PM] Alex used command ::item 22233 | Player rights = DEVELOPER	
[4/14/23 08:38PM] Alex used command ::item 22232 | Player rights = DEVELOPER	
[4/14/23 08:38PM] Alex used command ::item 22231 | Player rights = DEVELOPER	
[4/14/23 08:38PM] Alex used command ::item 22230 | Player rights = DEVELOPER	
[4/14/23 08:38PM] Alex used command ::item 22229 | Player rights = DEVELOPER	
[4/14/23 08:38PM] Alex used command ::item 22111 | Player rights = DEVELOPER	
[4/14/23 08:39PM] Alex used command ::item 6855 | Player rights = DEVELOPER	
[4/14/23 08:39PM] Alex used command ::item 19624 | Player rights = DEVELOPER	
[4/14/23 08:41PM] Alex used command ::bank | Player rights = DEVELOPER	
[4/14/23 08:46PM] Alex used command ::item 7995 | Player rights = DEVELOPER	
[4/14/23 08:53PM] Alex used command ::item 19117 | Player rights = DEVELOPER	
[4/14/23 09:04PM] Alex used command ::bank | Player rights = DEVELOPER	
[4/14/23 09:04PM] Alex used command ::item 23002 5 | Player rights = DEVELOPER	
[4/14/23 09:11PM] Alex used command ::reload s | Player rights = DEVELOPER	
[4/14/23 09:15PM] Alex used command ::bank | Player rights = DEVELOPER	
[4/14/23 09:28PM] Alex used command ::bank | Player rights = DEVELOPER	
[4/14/23 09:29PM] Alex used command ::bank | Player rights = DEVELOPER	
[4/14/23 09:31PM] Alex used command ::master | Player rights = DEVELOPER	
[4/14/23 09:35PM] Alex used command ::bank | Player rights = DEVELOPER	
[4/14/23 09:35PM] Alex used command ::item 23002 | Player rights = DEVELOPER	
[4/14/23 09:36PM] Alex used command ::bank | Player rights = DEVELOPER	
[4/14/23 09:37PM] Alex used command ::item 15003 | Player rights = DEVELOPER	
[4/14/23 09:37PM] Alex used command ::item 15002 | Player rights = DEVELOPER	
[4/14/23 09:37PM] Alex used command ::item 15004 | Player rights = DEVELOPER	
[4/14/23 09:37PM] Alex used command ::item 20489 | Player rights = DEVELOPER	
[4/14/23 09:37PM] Alex used command ::item 20491 | Player rights = DEVELOPER	
[4/14/23 09:37PM] Alex used command ::item 20490 | Player rights = DEVELOPER	
[4/14/23 09:37PM] Alex used command ::item 8788 | Player rights = DEVELOPER	
[4/14/23 09:38PM] Alex used command ::find bond | Player rights = DEVELOPER	
[4/14/23 09:38PM] Alex used command ::item 23057 | Player rights = DEVELOPER	
[4/14/23 09:38PM] Alex used command ::item 23058 | Player rights = DEVELOPER	
[4/14/23 09:38PM] Alex used command ::item 23059 | Player rights = DEVELOPER	
[4/14/23 09:38PM] Alex used command ::item 23060 | Player rights = DEVELOPER	
[4/14/23 09:38PM] Alex used command ::item 10946 | Player rights = DEVELOPER	
[4/14/23 09:39PM] Alex used command ::item 23178 | Player rights = DEVELOPER	
[4/14/23 09:40PM] Alex used command ::item 22110 | Player rights = DEVELOPER	
[4/14/23 09:40PM] Alex used command ::item 9084 | Player rights = DEVELOPER	
[4/14/23 09:40PM] Alex used command ::item 19886 | Player rights = DEVELOPER	
[4/14/23 09:40PM] Alex used command ::item 4446 | Player rights = DEVELOPER	
[4/14/23 10:19PM] Alex used command ::find col | Player rights = DEVELOPER	
[4/14/23 10:19PM] Alex used command ::item 18818 | Player rights = DEVELOPER	
[4/14/23 10:19PM] Alex used command ::itiem 15450 | Player rights = DEVELOPER	
[4/14/23 10:20PM] Alex used command ::item 15450 | Player rights = DEVELOPER	
[4/14/23 10:54PM] Alex used command ::find jewel | Player rights = DEVELOPER	
[4/14/23 10:55PM] Alex used command ::item 13019 | Player rights = DEVELOPER	
[4/14/23 10:57PM] Alex used command ::voteboss | Player rights = DEVELOPER	
[4/14/23 10:57PM] Alex used command ::spawnvb | Player rights = DEVELOPER	
[4/14/23 10:58PM] Alex used command ::vb | Player rights = DEVELOPER	
[4/14/23 10:58PM] Alex used command ::spawnvote | Player rights = DEVELOPER	
[4/14/23 10:58PM] Alex used command ::god | Player rights = DEVELOPER	
[4/14/23 10:58PM] Alex used command ::bank | Player rights = DEVELOPER	
[4/14/23 11:03PM] Alex used command ::bank | Player rights = DEVELOPER	
[4/14/23 11:08PM] Alex used command ::reload s | Player rights = DEVELOPER	
[4/14/23 11:08PM] Alex used command ::voteboss | Player rights = DEVELOPER	
[4/14/23 11:08PM] Alex used command ::spawnvote | Player rights = DEVELOPER	
[4/14/23 11:09PM] Alex used command ::reload s | Player rights = DEVELOPER	
[4/14/23 11:10PM] Alex used command ::reload s | Player rights = DEVELOPER	
[4/14/23 11:11PM] Alex used command ::donate | Player rights = DEVELOPER	
[4/14/23 11:15PM] Alex used command ::vote | Player rights = DEVELOPER	
[4/14/23 11:20PM] Alex used command ::bank | Player rights = DEVELOPER	
[4/14/23 11:23PM] Alex used command ::find owner's | Player rights = DEVELOPER	
[4/14/23 11:23PM] Alex used command ::item 22109 | Player rights = DEVELOPER	
[4/14/23 11:28PM] Alex used command ::reload s | Player rights = DEVELOPER	
[4/14/23 11:28PM] Alex used command ::item 18599 | Player rights = DEVELOPER	
[4/14/23 11:28PM] Alex used command ::reload s | Player rights = DEVELOPER	
[4/14/23 11:29PM] Alex used command ::reload s | Player rights = DEVELOPER	
[4/14/23 11:30PM] Alex used command ::reload s | Player rights = DEVELOPER	
[4/14/23 11:30PM] Alex used command ::god | Player rights = DEVELOPER	
[4/14/23 11:30PM] Alex used command ::god | Player rights = DEVELOPER	
[4/14/23 11:38PM] Alex used command ::reload s | Player rights = DEVELOPER	
[4/14/23 11:38PM] Alex used command ::item 18600 | Player rights = DEVELOPER	
[4/15/23 04:56AM] Alex used command ::voteboss | Player rights = DEVELOPER	
[4/15/23 04:57AM] Alex used command ::reload npc | Player rights = DEVELOPER	
[4/15/23 04:57AM] Alex used command ::god | Player rights = DEVELOPER	
[4/15/23 04:58AM] Alex used command ::bank | Player rights = DEVELOPER	
[4/15/23 04:59AM] Alex used command ::meruem | Player rights = DEVELOPER	
[4/15/23 04:59AM] Alex used command ::voteboss | Player rights = DEVELOPER	
[4/15/23 04:59AM] Alex used command ::meruem | Player rights = DEVELOPER	
[4/15/23 04:59AM] Alex used command ::voteboss | Player rights = DEVELOPER	
[4/15/23 05:00AM] Alex used command ::yell ::voteboss | Player rights = DEVELOPER	
[4/15/23 05:03AM] Alex used command ::yell anyone who got shiny scrolls come ::voteboss | Player rights = DEVELOPER	
[4/15/23 05:03AM] Alex used command ::item 23020 500 | Player rights = DEVELOPER	
[4/15/23 05:04AM] Alex used command ::update 15 | Player rights = DEVELOPER	
[4/15/23 06:08AM] Alex used command ::item 2734 | Player rights = DEVELOPER	
[4/15/23 06:08AM] Alex used command ::item 2734 3 | Player rights = DEVELOPER	
[4/15/23 06:15AM] Alex used command ::staffzone | Player rights = DEVELOPER	
[4/15/23 06:15AM] Alex used command ::teletome russianmom | Player rights = DEVELOPER	
[4/15/23 06:18AM] Alex used command ::bank | Player rights = DEVELOPER	
[4/15/23 06:19AM] Alex used command ::pos | Player rights = DEVELOPER	
[4/15/23 06:25AM] Alex used command ::teleto ao | Player rights = DEVELOPER	
[4/15/23 06:26AM] Alex used command ::reload s | Player rights = DEVELOPER	
[4/15/23 06:26AM] Alex used command ::reload s | Player rights = DEVELOPER	
[4/15/23 06:27AM] Alex used command ::reload drops | Player rights = DEVELOPER	
[4/15/23 06:27AM] Alex used command ::update 15 | Player rights = DEVELOPER	
[4/15/23 06:38AM] Alex used command ::teletome kandonas | Player rights = DEVELOPER	
[4/15/23 06:42AM] Alex used command ::teletome russianmom | Player rights = DEVELOPER	
[4/15/23 06:46AM] Alex used command ::item 23020 | Player rights = DEVELOPER	
[4/15/23 06:46AM] Alex used command ::item 23002 | Player rights = DEVELOPER	
[4/15/23 06:47AM] Alex used command ::find owner's | Player rights = DEVELOPER	
[4/15/23 06:47AM] Alex used command ::item 19624 | Player rights = DEVELOPER	
[4/15/23 06:48AM] Alex used command ::bank | Player rights = DEVELOPER	
[4/15/23 06:50AM] Alex used command ::bank | Player rights = DEVELOPER	
[4/15/23 06:50AM] Alex used command ::find owner's | Player rights = DEVELOPER	
[4/15/23 06:51AM] Alex used command ::item 22240 | Player rights = DEVELOPER	
[4/15/23 06:51AM] Alex used command ::item 22239 | Player rights = DEVELOPER	
[4/15/23 06:51AM] Alex used command ::item 22238 | Player rights = DEVELOPER	
[4/15/23 06:51AM] Alex used command ::item 22237 | Player rights = DEVELOPER	
[4/15/23 06:51AM] Alex used command ::item 22236 | Player rights = DEVELOPER	
[4/15/23 06:51AM] Alex used command ::item 22235 | Player rights = DEVELOPER	
[4/15/23 06:51AM] Alex used command ::item 22234 | Player rights = DEVELOPER	
[4/15/23 06:51AM] Alex used command ::item 22233 | Player rights = DEVELOPER	
[4/15/23 06:51AM] Alex used command ::item 22232 | Player rights = DEVELOPER	
[4/15/23 06:51AM] Alex used command ::item 22231 | Player rights = DEVELOPER	
[4/15/23 06:51AM] Alex used command ::item 22230 | Player rights = DEVELOPER	
[4/15/23 06:51AM] Alex used command ::item 22221 | Player rights = DEVELOPER	
[4/15/23 06:52AM] Alex used command ::item 22229 | Player rights = DEVELOPER	
[4/15/23 06:52AM] Alex used command ::item 22111 | Player rights = DEVELOPER	
[4/15/23 06:52AM] Alex used command ::bank | Player rights = DEVELOPER	
[4/15/23 06:52AM] Alex used command ::item 8832 | Player rights = DEVELOPER	
[4/15/23 06:52AM] Alex used command ::item 6640 | Player rights = DEVELOPER	
[4/15/23 06:52AM] Alex used command ::item 15834 | Player rights = DEVELOPER	
[4/15/23 06:52AM] Alex used command ::item 14882 | Player rights = DEVELOPER	
[4/15/23 06:55AM] Alex used command ::item 995 100000000 | Player rights = DEVELOPER	
[4/15/23 07:01AM] Alex used command ::ipban russianmom | Player rights = DEVELOPER	
[4/15/23 07:09AM] Alex used command ::yell remember to ::vote to spawn the vote boss - juicy lootations | Player rights = DEVELOPER	
[4/15/23 07:42AM] Alex used command ::veigar | Player rights = DEVELOPER	
[4/15/23 07:44AM] Alex used command ::reload s | Player rights = DEVELOPER	
[4/15/23 07:44AM] Alex used command ::reload s | Player rights = DEVELOPER	
[4/15/23 07:53AM] Alex used command ::teleto niels | Player rights = DEVELOPER	
[4/15/23 08:02AM] Alex used command ::meruem | Player rights = DEVELOPER	
[4/15/23 08:02AM] Alex used command ::yell ::meruem | Player rights = DEVELOPER	
[4/15/23 08:03AM] Alex used command ::golden | Player rights = DEVELOPER	
[4/15/23 08:12AM] Alex used command ::walkchaos | Player rights = DEVELOPER	
[4/15/23 08:13AM] Alex used command ::yell ::walkchaos is live! | Player rights = DEVELOPER	
[4/15/23 08:21AM] Alex used command ::item 10025 | Player rights = DEVELOPER	
[4/15/23 08:21AM] Alex used command ::reload s | Player rights = DEVELOPER	
[4/15/23 08:22AM] Alex used command ::bank | Player rights = DEVELOPER	
[4/15/23 08:22AM] Alex used command ::bank | Player rights = DEVELOPER	
[4/15/23 08:23AM] Alex used command ::item 15832 | Player rights = DEVELOPER	
[4/15/23 08:23AM] Alex used command ::item 23092 | Player rights = DEVELOPER	
[4/15/23 08:35AM] Alex used command ::giveitem 22127 1 walkchaos | Player rights = DEVELOPER	
[4/15/23 08:35AM] Alex used command ::giveitem 22126 1 walkchaos | Player rights = DEVELOPER	
[4/15/23 08:35AM] Alex used command ::giveitem 17596 1 walkchaos | Player rights = DEVELOPER	
[4/15/23 08:35AM] Alex used command ::giveitem 22125 1 walkchaos | Player rights = DEVELOPER	
[4/15/23 08:35AM] Alex used command ::giveitem 22122 1 walkchaos | Player rights = DEVELOPER	
[4/15/23 08:35AM] Alex used command ::giveitem 22123 1 walkchaos | Player rights = DEVELOPER	
[4/15/23 08:35AM] Alex used command ::giveitem 12610 1 walkchaos | Player rights = DEVELOPER	
[4/15/23 08:59AM] Alex used command ::yell remember to ::vote to spawn vote boss | Player rights = DEVELOPER	
[4/15/23 08:59AM] Alex used command ::veigar | Player rights = DEVELOPER	
[4/15/23 09:01AM] Alex used command ::spawnvote | Player rights = DEVELOPER	
[4/15/23 09:01AM] Alex used command ::voteboss | Player rights = DEVELOPER	
[4/15/23 09:12AM] Alex used command ::spawnvote | Player rights = DEVELOPER	
[4/15/23 09:18AM] Alex used command ::checkinv kii | Player rights = DEVELOPER	
[4/15/23 09:18AM] Alex used command ::checkbank kii | Player rights = DEVELOPER	
[4/15/23 09:20AM] Alex used command ::kick kii | Player rights = DEVELOPER	
[4/15/23 09:21AM] Alex used command ::find bond | Player rights = DEVELOPER	
[4/15/23 09:21AM] Alex used command ::giveitem 23058 2 kii | Player rights = DEVELOPER	
[4/15/23 09:22AM] Alex used command ::claim | Player rights = DEVELOPER	
[4/15/23 09:25AM] Alex used command ::checkinv turtle | Player rights = DEVELOPER	
[4/15/23 09:25AM] Alex used command ::checkbank turtle | Player rights = DEVELOPER	
[4/15/23 09:26AM] Alex used command ::find imperial staff | Player rights = DEVELOPER	
[4/15/23 09:26AM] Alex used command ::giveitem 18629 1 turtle | Player rights = DEVELOPER	
[4/15/23 09:29AM] Alex used command ::bank | Player rights = DEVELOPER	
[4/15/23 09:31AM] Alex used command ::ninetails | Player rights = DEVELOPER	
[4/15/23 09:31AM] Alex used command ::ape | Player rights = DEVELOPER	
[4/15/23 09:31AM] Alex used command ::golden | Player rights = DEVELOPER	
[4/15/23 10:18AM] Alex used command ::task | Player rights = DEVELOPER	
[4/15/23 10:40AM] Alex used command ::find infamous | Player rights = DEVELOPER	
[4/15/23 10:40AM] Alex used command ::giveitem 20489 1 suh | Player rights = DEVELOPER	
[4/15/23 10:40AM] Alex used command ::giveitem 20489 1 mad | Player rights = DEVELOPER	
[4/15/23 10:41AM] Alex used command ::giveitem 20489 1 rks | Player rights = DEVELOPER	
[4/15/23 10:42AM] Alex used command ::find bond | Player rights = DEVELOPER	
[4/15/23 10:42AM] Alex used command ::giveitem 23057 2 suh | Player rights = DEVELOPER	
[4/15/23 11:11AM] Alex used command ::yell make sure you ::vote - vote boss @ 50 votes | Player rights = DEVELOPER	
[4/15/23 11:16AM] Alex used command ::item 10025 | Player rights = DEVELOPER	
[4/15/23 11:16AM] Alex used command ::item 10029 | Player rights = DEVELOPER	
[4/15/23 11:29AM] Alex used command ::veigar | Player rights = DEVELOPER	
[4/15/23 11:30AM] Alex used command ::reload s | Player rights = DEVELOPER	
[4/15/23 11:32AM] Alex used command ::yell make sure you all ::vote - vote boss @ 50 votes | Player rights = DEVELOPER	
[4/15/23 11:34AM] Alex used command ::pos | Player rights = DEVELOPER	
[4/15/23 11:35AM] Alex used command ::item 23060 | Player rights = DEVELOPER	
[4/15/23 11:35AM] Alex used command ::pos | Player rights = DEVELOPER	
[4/15/23 11:35AM] Alex used command ::pos | Player rights = DEVELOPER	
[4/15/23 11:35AM] Alex used command ::bank | Player rights = DEVELOPER	
[4/15/23 11:35AM] Alex used command ::pos | Player rights = DEVELOPER	
[4/15/23 11:40AM] Alex used command ::teleport | Player rights = DEVELOPER	
[4/15/23 11:40AM] Alex used command ::teleport | Player rights = DEVELOPER	
[4/15/23 11:43AM] Alex used command ::item 10835 999999999 | Player rights = DEVELOPER	
[4/15/23 12:28PM] Alex used command ::find overload | Player rights = DEVELOPER	
[4/15/23 12:28PM] Alex used command ::item 23124 | Player rights = DEVELOPER	
[4/15/23 12:28PM] Alex used command ::item 23125 | Player rights = DEVELOPER	
[4/15/23 12:28PM] Alex used command ::upgrade | Player rights = DEVELOPER	
[4/15/23 12:30PM] Alex used command ::staffzone | Player rights = DEVELOPER	
[4/15/23 12:30PM] Alex used command ::youtube | Player rights = DEVELOPER	
[4/15/23 12:31PM] Alex used command ::Teletome kill me | Player rights = DEVELOPER	
[4/15/23 12:31PM] Alex used command ::bank | Player rights = DEVELOPER	
[4/15/23 12:38PM] Alex used command ::yell flash-deals on discord - only 2 hours for goodies | Player rights = DEVELOPER	
[4/15/23 12:41PM] Alex used command ::random | Player rights = DEVELOPER	
[4/15/23 12:43PM] Alex used command ::find bond | Player rights = DEVELOPER	
[4/15/23 12:43PM] Alex used command ::giveitem 23058 2 mysterious | Player rights = DEVELOPER	
[4/15/23 12:45PM] Alex used command ::spawnvote | Player rights = DEVELOPER	
[4/15/23 12:51PM] Alex used command ::find cursed | Player rights = DEVELOPER	
[4/15/23 12:51PM] Alex used command ::giveitem 15003 1 like my peep | Player rights = DEVELOPER	
[4/15/23 12:51PM] Alex used command ::bank | Player rights = DEVELOPER	
[4/15/23 12:51PM] Alex used command ::giveitem 13019 1 like my peep | Player rights = DEVELOPER	
[4/15/23 01:01PM] Alex used command ::find infamous | Player rights = DEVELOPER	
[4/15/23 01:01PM] Alex used command ::giveitem 20489 1 rks | Player rights = DEVELOPER	
[4/15/23 01:01PM] Alex used command ::giveitem 20489 1 kill me | Player rights = DEVELOPER	
[4/15/23 01:02PM] Alex used command ::yell y'all ::vote for vote boss in 12 votes | Player rights = DEVELOPER	
[4/15/23 01:05PM] Alex used command ::upgrade | Player rights = DEVELOPER	
[4/15/23 01:07PM] Alex used command ::ite m10835 500000000 | Player rights = DEVELOPER	
[4/15/23 01:07PM] Alex used command ::item 10835 888888888 | Player rights = DEVELOPER	
[4/15/23 01:08PM] Alex used command ::item 2023 | Player rights = DEVELOPER	
[4/15/23 01:08PM] Alex used command ::giveitem 2023 50 zaryte | Player rights = DEVELOPER	
[4/15/23 01:08PM] Alex used command ::giveall 2023 50 | Player rights = DEVELOPER	
[4/15/23 01:12PM] Alex used command ::yell only an hour left for discord flash-deals  | Player rights = DEVELOPER	
[4/15/23 01:25PM] Alex used command ::bank | Player rights = DEVELOPER	
[4/15/23 01:26PM] Alex used command ::giveitem 13019 1 kill me | Player rights = DEVELOPER	
[4/15/23 01:26PM] Alex used command ::giveitem 15003 1 kill me | Player rights = DEVELOPER	
[4/15/23 01:38PM] Alex used command ::find glorious | Player rights = DEVELOPER	
[4/15/23 01:38PM] Alex used command ::find gracious | Player rights = DEVELOPER	
[4/15/23 01:38PM] Alex used command ::giveitem 15002 1 dup | Player rights = DEVELOPER	
[4/15/23 01:40PM] Alex used command ::find bond | Player rights = DEVELOPER	
[4/15/23 01:40PM] Alex used command ::giveitem 23058 1 ao | Player rights = DEVELOPER	
[4/15/23 01:44PM] Alex used command ::yell make sure you ::vote - 6 more votes for ::voteboss | Player rights = DEVELOPER	
[4/15/23 01:45PM] Alex used command ::yell only 40 minutes left for flash-deals on discord! | Player rights = DEVELOPER	
[4/15/23 01:46PM] Alex used command ::vote | Player rights = DEVELOPER	
[4/15/23 01:47PM] Alex used command ::item 15003 1 | Player rights = DEVELOPER	
[4/15/23 01:47PM] Alex used command ::giveitem 15003 1 dup | Player rights = DEVELOPER	
[4/15/23 01:48PM] Alex used command ::giveitem 15003 1 mysterious | Player rights = DEVELOPER	
[4/15/23 01:50PM] Alex used command ::store | Player rights = DEVELOPER	
[4/15/23 01:53PM] Alex used command ::dropmessage | Player rights = DEVELOPER	
[4/15/23 01:53PM] Alex used command ::dropmess | Player rights = DEVELOPER	
[4/15/23 01:53PM] Alex used command ::dropon | Player rights = DEVELOPER	
[4/15/23 01:53PM] Alex used command ::dropoff | Player rights = DEVELOPER	
[4/15/23 02:48PM] Alex used command ::giveitem 15003 1 mike | Player rights = DEVELOPER	
[4/15/23 02:48PM] Alex used command ::giveitem 15003 1 uhthred | Player rights = DEVELOPER	
[4/15/23 03:17PM] Alex used command ::yell make sure you participate in the lastest giveaway @ ::walkchaos | Player rights = DEVELOPER	
[4/15/23 03:20PM] Alex used command ::find infamous | Player rights = DEVELOPER	
[4/15/23 03:20PM] Alex used command ::giveitem 20489 1 xenon | Player rights = DEVELOPER	
[4/15/23 03:24PM] Alex used command ::yell make sure you all ::vote - massive loots @ ::voteboss  | Player rights = DEVELOPER	
[4/15/23 03:26PM] Alex used command ::spawnvote | Player rights = DEVELOPER	
[4/15/23 03:27PM] Alex used command ::voteboss | Player rights = DEVELOPER	
[4/15/23 03:31PM] Alex used command ::item 3090 | Player rights = DEVELOPER	
[4/15/23 03:32PM] Alex used command ::giveall 3092 1 | Player rights = DEVELOPER	
[4/15/23 03:45PM] Alex used command ::bank | Player rights = DEVELOPER	
[4/15/23 03:45PM] Alex used command ::giveitem 1857 1 jipy | Player rights = DEVELOPER	
[4/15/23 03:46PM] Alex used command ::item 23002 | Player rights = DEVELOPER	
[4/15/23 03:59PM] Alex used command ::checkinv user | Player rights = DEVELOPER	
[4/15/23 03:59PM] Alex used command ::checkbank user | Player rights = DEVELOPER	
[4/15/23 04:02PM] Alex used command ::kick mysterious | Player rights = DEVELOPER	
[4/15/23 04:04PM] Alex used command ::afk | Player rights = DEVELOPER	
[4/15/23 04:06PM] Alex used command ::afk | Player rights = DEVELOPER	
[4/15/23 04:06PM] Alex used command ::item 20481 | Player rights = DEVELOPER	
[4/15/23 04:06PM] Alex used command ::item 20488 | Player rights = DEVELOPER	
[4/15/23 04:07PM] Alex used command ::yell y'all ::vote - vote boss spawns at 50 | Player rights = DEVELOPER	
