[4/17/23 12:54AM] Timp used command ::ref fpk merk | Player rights = PLAYER	
[4/22/23 11:39AM] Timp used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/22/23 11:44AM] Timp used command ::home | Player rights = CLERIC_DONATOR	
[4/22/23 11:49AM] Timp used command ::home | Player rights = CLERIC_DONATOR	
[4/22/23 11:53AM] Timp used command ::home | Player rights = CLERIC_DONATOR	
[4/22/23 11:55AM] Timp used command ::perks | Player rights = CLERIC_DONATOR	
[4/22/23 11:57AM] Timp used command ::vboss | Player rights = CLERIC_DONATOR	
[4/22/23 12:00PM] Timp used command ::home | Player rights = CLERIC_DONATOR	
[4/22/23 12:02PM] Timp used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 12:07PM] Timp used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 12:16PM] Timp used command ::home | Player rights = CLERIC_DONATOR	
[4/22/23 12:17PM] Timp used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/22/23 12:19PM] Timp used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/22/23 12:19PM] Timp used command :::maxhit | Player rights = CLERIC_DONATOR	
[4/22/23 12:19PM] Timp used command :::maxhit | Player rights = CLERIC_DONATOR	
[4/22/23 12:20PM] Timp used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/22/23 12:24PM] Timp used command ::home | Player rights = CLERIC_DONATOR	
[4/22/23 12:24PM] Timp used command ::home | Player rights = CLERIC_DONATOR	
[4/22/23 12:25PM] Timp used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/22/23 12:32PM] Timp used command ::bank | Player rights = CLERIC_DONATOR	
[4/22/23 12:32PM] Timp used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 01:30PM] Timp used command ::vboss | Player rights = CLERIC_DONATOR	
