[4/15/23 06:45PM] Mastercroz used command ::train | Player rights = PLAYER	
[4/17/23 11:49AM] Mastercroz used command ::Slayer | Player rights = CLERIC_DONATOR	
[4/17/23 11:52AM] Mastercroz used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 11:54AM] Mastercroz used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 11:55AM] Mastercroz used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 11:55AM] Mastercroz used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/17/23 11:55AM] Mastercroz used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 11:56AM] Mastercroz used command ::Voteboss | Player rights = CLERIC_DONATOR	
[4/17/23 11:58AM] Mastercroz used command ::slayer | Player rights = CLERIC_DONATOR	
[4/17/23 12:00PM] Mastercroz used command ::Home | Player rights = CLERIC_DONATOR	
[4/17/23 12:02PM] Mastercroz used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 12:06PM] Mastercroz used command ::Slayer | Player rights = CLERIC_DONATOR	
[4/17/23 12:08PM] Mastercroz used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 12:09PM] Mastercroz used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 12:11PM] Mastercroz used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 12:13PM] Mastercroz used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 12:15PM] Mastercroz used command ::Voteboss | Player rights = CLERIC_DONATOR	
[4/17/23 12:17PM] Mastercroz used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 12:17PM] Mastercroz used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 12:18PM] Mastercroz used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 12:18PM] Mastercroz used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 12:19PM] Mastercroz used command ::Vboss | Player rights = CLERIC_DONATOR	
[4/17/23 12:23PM] Mastercroz used command ::home | Player rights = CLERIC_DONATOR	
[4/17/23 12:28PM] Mastercroz used command ::slayer | Player rights = CLERIC_DONATOR	
[4/17/23 12:32PM] Mastercroz used command ::Slayer | Player rights = CLERIC_DONATOR	
[4/17/23 12:32PM] Mastercroz used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 12:33PM] Mastercroz used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 12:34PM] Mastercroz used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 12:34PM] Mastercroz used command ::Slayer | Player rights = CLERIC_DONATOR	
[4/17/23 12:41PM] Mastercroz used command ::home | Player rights = TORMENTED_DONATOR	
[4/17/23 12:45PM] Mastercroz used command ::yell selling INF overload $50 bond  | Player rights = TORMENTED_DONATOR	
[4/17/23 12:48PM] Mastercroz used command ::slayer | Player rights = TORMENTED_DONATOR	
[4/17/23 12:54PM] Mastercroz used command ::slayer | Player rights = TORMENTED_DONATOR	
[4/17/23 12:56PM] Mastercroz used command ::home | Player rights = TORMENTED_DONATOR	
[4/17/23 12:57PM] Mastercroz used command ::Slayer | Player rights = TORMENTED_DONATOR	
[4/17/23 01:00PM] Mastercroz used command ::Slayer | Player rights = TORMENTED_DONATOR	
[4/17/23 01:02PM] Mastercroz used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/17/23 01:03PM] Mastercroz used command ::Slayer | Player rights = TORMENTED_DONATOR	
[4/17/23 03:59PM] Mastercroz used command ::Vboss | Player rights = TORMENTED_DONATOR	
[4/17/23 04:00PM] Mastercroz used command ::slayer | Player rights = TORMENTED_DONATOR	
[4/17/23 04:02PM] Mastercroz used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/17/23 04:08PM] Mastercroz used command ::slayer | Player rights = TORMENTED_DONATOR	
[4/17/23 04:20PM] Mastercroz used command ::Slayer | Player rights = TORMENTED_DONATOR	
[4/17/23 04:24PM] Mastercroz used command ::Slayer | Player rights = TORMENTED_DONATOR	
[4/17/23 04:28PM] Mastercroz used command ::Slayer | Player rights = TORMENTED_DONATOR	
[4/17/23 04:32PM] Mastercroz used command ::golden | Player rights = TORMENTED_DONATOR	
[4/17/23 04:32PM] Mastercroz used command ::Veigar | Player rights = TORMENTED_DONATOR	
[4/17/23 04:32PM] Mastercroz used command ::ninetails  | Player rights = TORMENTED_DONATOR	
[4/17/23 04:36PM] Mastercroz used command ::slayer | Player rights = TORMENTED_DONATOR	
[4/17/23 04:41PM] Mastercroz used command ::home | Player rights = TORMENTED_DONATOR	
[4/17/23 04:45PM] Mastercroz used command ::slayer | Player rights = TORMENTED_DONATOR	
[4/17/23 04:49PM] Mastercroz used command ::Slayer | Player rights = TORMENTED_DONATOR	
[4/17/23 04:52PM] Mastercroz used command ::slayer | Player rights = TORMENTED_DONATOR	
[4/17/23 04:57PM] Mastercroz used command ::Slayer | Player rights = TORMENTED_DONATOR	
[4/17/23 05:02PM] Mastercroz used command ::Veigar | Player rights = TORMENTED_DONATOR	
[4/17/23 05:12PM] Mastercroz used command ::Slayer | Player rights = TORMENTED_DONATOR	
[4/17/23 05:17PM] Mastercroz used command ::Slayer | Player rights = TORMENTED_DONATOR	
[4/17/23 05:20PM] Mastercroz used command ::Slayer | Player rights = TORMENTED_DONATOR	
[4/17/23 05:25PM] Mastercroz used command ::Slayer | Player rights = TORMENTED_DONATOR	
[4/17/23 05:27PM] Mastercroz used command ::yell selling 3x KC  | Player rights = TORMENTED_DONATOR	
[4/17/23 05:27PM] Mastercroz used command ::Home | Player rights = TORMENTED_DONATOR	
[4/17/23 05:30PM] Mastercroz used command ::home | Player rights = TORMENTED_DONATOR	
[4/17/23 05:32PM] Mastercroz used command ::Viegar | Player rights = TORMENTED_DONATOR	
[4/17/23 05:32PM] Mastercroz used command ::Veigar | Player rights = TORMENTED_DONATOR	
[4/17/23 05:33PM] Mastercroz used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/17/23 05:33PM] Mastercroz used command ::Home | Player rights = TORMENTED_DONATOR	
[4/17/23 05:34PM] Mastercroz used command ::Yell sellin T21 3x KC  | Player rights = TORMENTED_DONATOR	
[4/18/23 04:41PM] Mastercroz used command ::golden | Player rights = TORMENTED_DONATOR	
[4/18/23 04:41PM] Mastercroz used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/18/23 04:41PM] Mastercroz used command ::Veigar | Player rights = TORMENTED_DONATOR	
[4/18/23 04:41PM] Mastercroz used command ::nintails | Player rights = TORMENTED_DONATOR	
[4/18/23 04:42PM] Mastercroz used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/18/23 04:42PM] Mastercroz used command ::Home | Player rights = TORMENTED_DONATOR	
[4/21/23 07:54AM] Mastercroz used command ::home | Player rights = TORMENTED_DONATOR	
[4/21/23 07:54AM] Mastercroz used command ::slayer | Player rights = TORMENTED_DONATOR	
[4/21/23 07:57AM] Mastercroz used command ::Vboss | Player rights = TORMENTED_DONATOR	
[4/21/23 07:59AM] Mastercroz used command ::Home | Player rights = TORMENTED_DONATOR	
[4/21/23 08:03AM] Mastercroz used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/21/23 08:05AM] Mastercroz used command ::home | Player rights = TORMENTED_DONATOR	
[4/21/23 08:15AM] Mastercroz used command ::home | Player rights = TORMENTED_DONATOR	
