[4/20/23 11:04PM] Pjk used command ::donate | Player rights = PLAYER	
[4/22/23 06:46AM] Pjk used command ::reward 1 | Player rights = TORMENTED_DONATOR	
[4/22/23 06:47AM] Pjk used command ::reward 1 | Player rights = TORMENTED_DONATOR	
[4/22/23 06:54AM] Pjk used command ::r | Player rights = TORMENTED_DONATOR	
[4/22/23 06:54AM] Pjk used command ::dr | Player rights = TORMENTED_DONATOR	
[4/22/23 06:58AM] Pjk used command ::home | Player rights = TORMENTED_DONATOR	
[4/22/23 06:58AM] Pjk used command ::dr | Player rights = TORMENTED_DONATOR	
[4/22/23 09:29AM] Pjk used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 09:30AM] Pjk used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 09:30AM] Pjk used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 09:30AM] Pjk used command ::dr | Player rights = TORMENTED_DONATOR	
[4/22/23 09:32AM] Pjk used command ::ref | Player rights = TORMENTED_DONATOR	
[4/22/23 09:33AM] Pjk used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/22/23 09:34AM] Pjk used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/22/23 09:34AM] Pjk used command ::golden | Player rights = TORMENTED_DONATOR	
[4/22/23 09:35AM] Pjk used command ::Dr | Player rights = TORMENTED_DONATOR	
[4/22/23 09:38AM] Pjk used command ::dr | Player rights = TORMENTED_DONATOR	
[4/22/23 09:38AM] Pjk used command ::Starter | Player rights = TORMENTED_DONATOR	
[4/22/23 09:39AM] Pjk used command ::bank | Player rights = TORMENTED_DONATOR	
[4/22/23 09:40AM] Pjk used command ::refer | Player rights = TORMENTED_DONATOR	
[4/22/23 09:40AM] Pjk used command ::Dr | Player rights = TORMENTED_DONATOR	
[4/22/23 09:42AM] Pjk used command ::dr | Player rights = TORMENTED_DONATOR	
[4/22/23 09:43AM] Pjk used command ::dr | Player rights = TORMENTED_DONATOR	
[4/22/23 09:46AM] Pjk used command ::dr | Player rights = TORMENTED_DONATOR	
[4/22/23 09:51AM] Pjk used command ::dr | Player rights = TORMENTED_DONATOR	
[4/22/23 09:52AM] Pjk used command ::Dr | Player rights = TORMENTED_DONATOR	
[4/22/23 09:54AM] Pjk used command ::dr | Player rights = TORMENTED_DONATOR	
[4/22/23 09:55AM] Pjk used command ::dr | Player rights = TORMENTED_DONATOR	
[4/22/23 09:56AM] Pjk used command ::perks | Player rights = TORMENTED_DONATOR	
[4/22/23 09:57AM] Pjk used command ::dr | Player rights = TORMENTED_DONATOR	
[4/22/23 09:57AM] Pjk used command ::Dr | Player rights = TORMENTED_DONATOR	
[4/22/23 09:58AM] Pjk used command ::home | Player rights = TORMENTED_DONATOR	
[4/22/23 09:58AM] Pjk used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 10:00AM] Pjk used command ::dr | Player rights = TORMENTED_DONATOR	
[4/22/23 10:01AM] Pjk used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/22/23 10:01AM] Pjk used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/22/23 10:02AM] Pjk used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/22/23 10:05AM] Pjk used command ::dr | Player rights = TORMENTED_DONATOR	
[4/22/23 10:09AM] Pjk used command ::dr | Player rights = TORMENTED_DONATOR	
[4/22/23 10:26AM] Pjk used command ::dr | Player rights = TORMENTED_DONATOR	
[4/22/23 10:31AM] Pjk used command ::viegar | Player rights = TORMENTED_DONATOR	
[4/22/23 10:31AM] Pjk used command ::viegar | Player rights = TORMENTED_DONATOR	
[4/22/23 10:31AM] Pjk used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/22/23 10:33AM] Pjk used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/22/23 10:34AM] Pjk used command ::golden | Player rights = TORMENTED_DONATOR	
[4/22/23 10:34AM] Pjk used command ::mareum | Player rights = TORMENTED_DONATOR	
[4/22/23 10:34AM] Pjk used command ::mareum | Player rights = TORMENTED_DONATOR	
[4/22/23 10:35AM] Pjk used command ::maruem | Player rights = TORMENTED_DONATOR	
[4/22/23 10:35AM] Pjk used command ::mareum | Player rights = TORMENTED_DONATOR	
[4/22/23 10:35AM] Pjk used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/22/23 10:36AM] Pjk used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/22/23 10:37AM] Pjk used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/22/23 10:37AM] Pjk used command ::dr | Player rights = TORMENTED_DONATOR	
[4/22/23 10:38AM] Pjk used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/22/23 10:39AM] Pjk used command ::golden | Player rights = TORMENTED_DONATOR	
[4/22/23 10:42AM] Pjk used command ::bank | Player rights = TORMENTED_DONATOR	
[4/22/23 10:42AM] Pjk used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 10:43AM] Pjk used command ::dr | Player rights = TORMENTED_DONATOR	
[4/22/23 03:40PM] Pjk used command ::Dr | Player rights = TORMENTED_DONATOR	
[4/22/23 03:46PM] Pjk used command ::Dr | Player rights = TORMENTED_DONATOR	
[4/22/23 04:00PM] Pjk used command ::dr | Player rights = TORMENTED_DONATOR	
[4/22/23 04:02PM] Pjk used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/22/23 04:03PM] Pjk used command ::Dr | Player rights = TORMENTED_DONATOR	
[4/22/23 04:05PM] Pjk used command ::bank | Player rights = TORMENTED_DONATOR	
[4/22/23 04:05PM] Pjk used command ::vote | Player rights = TORMENTED_DONATOR	
[4/22/23 04:08PM] Pjk used command ::donate | Player rights = TORMENTED_DONATOR	
[4/22/23 04:10PM] Pjk used command ::collection | Player rights = TORMENTED_DONATOR	
[4/22/23 04:13PM] Pjk used command ::donate | Player rights = TORMENTED_DONATOR	
[4/22/23 04:15PM] Pjk used command ::dr | Player rights = TORMENTED_DONATOR	
[4/22/23 04:18PM] Pjk used command ::players | Player rights = TORMENTED_DONATOR	
[4/22/23 04:20PM] Pjk used command ::donate | Player rights = TORMENTED_DONATOR	
[4/22/23 04:21PM] Pjk used command ::donate | Player rights = TORMENTED_DONATOR	
[4/22/23 04:23PM] Pjk used command ::donate | Player rights = TORMENTED_DONATOR	
[4/22/23 04:27PM] Pjk used command ::claim | Player rights = TORMENTED_DONATOR	
[4/22/23 04:28PM] Pjk used command ::bank | Player rights = TORMENTED_DONATOR	
[4/22/23 04:31PM] Pjk used command ::dr | Player rights = MYSTICAL_DONATOR	
[4/22/23 04:32PM] Pjk used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/22/23 04:33PM] Pjk used command ::dr | Player rights = MYSTICAL_DONATOR	
[4/22/23 04:33PM] Pjk used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/22/23 04:34PM] Pjk used command ::mereum | Player rights = MYSTICAL_DONATOR	
[4/22/23 04:35PM] Pjk used command ::meruem | Player rights = MYSTICAL_DONATOR	
[4/22/23 04:37PM] Pjk used command ::voteboss | Player rights = MYSTICAL_DONATOR	
[4/22/23 04:37PM] Pjk used command ::dr | Player rights = MYSTICAL_DONATOR	
[4/22/23 04:43PM] Pjk used command ::Dr | Player rights = MYSTICAL_DONATOR	
[4/22/23 04:45PM] Pjk used command ::home | Player rights = MYSTICAL_DONATOR	
[4/22/23 04:45PM] Pjk used command ::kd | Player rights = MYSTICAL_DONATOR	
[4/22/23 04:46PM] Pjk used command ::Dr | Player rights = MYSTICAL_DONATOR	
[4/22/23 04:47PM] Pjk used command ::dr | Player rights = MYSTICAL_DONATOR	
[4/22/23 04:54PM] Pjk used command ::home | Player rights = MYSTICAL_DONATOR	
[4/22/23 04:55PM] Pjk used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/22/23 04:56PM] Pjk used command ::dr | Player rights = MYSTICAL_DONATOR	
[4/22/23 04:56PM] Pjk used command ::dr | Player rights = MYSTICAL_DONATOR	
[4/22/23 04:56PM] Pjk used command ::Dr | Player rights = MYSTICAL_DONATOR	
[4/22/23 04:57PM] Pjk used command ::Dr | Player rights = MYSTICAL_DONATOR	
[4/22/23 04:57PM] Pjk used command ::Dr | Player rights = MYSTICAL_DONATOR	
[4/22/23 05:02PM] Pjk used command ::dr | Player rights = MYSTICAL_DONATOR	
[4/22/23 05:02PM] Pjk used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/22/23 05:45PM] Pjk used command ::d | Player rights = MYSTICAL_DONATOR	
[4/22/23 05:45PM] Pjk used command ::dr | Player rights = MYSTICAL_DONATOR	
[4/22/23 05:48PM] Pjk used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/22/23 05:49PM] Pjk used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/22/23 06:02PM] Pjk used command ::viegar | Player rights = MYSTICAL_DONATOR	
[4/22/23 06:02PM] Pjk used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/22/23 06:02PM] Pjk used command ::Dr | Player rights = MYSTICAL_DONATOR	
[4/22/23 06:12PM] Pjk used command ::dr | Player rights = MYSTICAL_DONATOR	
[4/22/23 06:14PM] Pjk used command ::dr | Player rights = MYSTICAL_DONATOR	
[4/22/23 06:22PM] Pjk used command ::dr | Player rights = MYSTICAL_DONATOR	
[4/22/23 06:24PM] Pjk used command ::dr | Player rights = MYSTICAL_DONATOR	
[4/22/23 06:26PM] Pjk used command ::Dr | Player rights = MYSTICAL_DONATOR	
[4/22/23 06:31PM] Pjk used command ::Dr | Player rights = MYSTICAL_DONATOR	
[4/22/23 06:32PM] Pjk used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/22/23 06:35PM] Pjk used command ::dr | Player rights = MYSTICAL_DONATOR	
[4/22/23 10:17PM] Pjk used command ::dr | Player rights = MYSTICAL_DONATOR	
[4/22/23 10:19PM] Pjk used command ::dr | Player rights = MYSTICAL_DONATOR	
[4/22/23 10:25PM] Pjk used command ::home | Player rights = MYSTICAL_DONATOR	
[4/22/23 10:25PM] Pjk used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/22/23 10:28PM] Pjk used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/22/23 10:31PM] Pjk used command ::dr | Player rights = MYSTICAL_DONATOR	
[4/22/23 10:32PM] Pjk used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/22/23 10:33PM] Pjk used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/22/23 10:34PM] Pjk used command ::meruem | Player rights = MYSTICAL_DONATOR	
[4/22/23 10:37PM] Pjk used command ::dr | Player rights = MYSTICAL_DONATOR	
[4/22/23 10:48PM] Pjk used command ::dr | Player rights = MYSTICAL_DONATOR	
[4/22/23 10:50PM] Pjk used command ::donate | Player rights = MYSTICAL_DONATOR	
[4/22/23 10:53PM] Pjk used command ::dr | Player rights = MYSTICAL_DONATOR	
[4/22/23 11:01PM] Pjk used command ::dr | Player rights = MYSTICAL_DONATOR	
[4/22/23 11:02PM] Pjk used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/22/23 11:27PM] Pjk used command ::dr | Player rights = MYSTICAL_DONATOR	
[4/23/23 12:26AM] Pjk used command ::dropoff | Player rights = MYSTICAL_DONATOR	
[4/23/23 12:27AM] Pjk used command ::dropon | Player rights = MYSTICAL_DONATOR	
[4/23/23 12:28AM] Pjk used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/23/23 12:28AM] Pjk used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/23/23 12:33AM] Pjk used command ::dr | Player rights = MYSTICAL_DONATOR	
[4/23/23 01:09AM] Pjk used command ::instance | Player rights = MYSTICAL_DONATOR	
[4/23/23 01:10AM] Pjk used command ::dropoff | Player rights = MYSTICAL_DONATOR	
[4/23/23 01:17AM] Pjk used command ::dr | Player rights = MYSTICAL_DONATOR	
[4/23/23 01:18AM] Pjk used command ::dr | Player rights = MYSTICAL_DONATOR	
[4/23/23 01:21AM] Pjk used command ::dr | Player rights = MYSTICAL_DONATOR	
[4/23/23 01:26AM] Pjk used command ::dr | Player rights = MYSTICAL_DONATOR	
[4/23/23 01:32AM] Pjk used command ::Dr | Player rights = MYSTICAL_DONATOR	
[4/23/23 01:45AM] Pjk used command ::dr | Player rights = MYSTICAL_DONATOR	
[4/23/23 01:48AM] Pjk used command ::noble | Player rights = MYSTICAL_DONATOR	
[4/23/23 01:57AM] Pjk used command ::dr | Player rights = MYSTICAL_DONATOR	
[4/23/23 01:57AM] Pjk used command ::dr | Player rights = MYSTICAL_DONATOR	
[4/23/23 01:57AM] Pjk used command ::dr | Player rights = MYSTICAL_DONATOR	
[4/23/23 02:05AM] Pjk used command ::dr | Player rights = MYSTICAL_DONATOR	
[4/23/23 02:36AM] Pjk used command ::save | Player rights = MYSTICAL_DONATOR	
[4/23/23 02:56AM] Pjk used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/23/23 02:58AM] Pjk used command ::maxdmg | Player rights = MYSTICAL_DONATOR	
[4/23/23 02:58AM] Pjk used command ::dr | Player rights = MYSTICAL_DONATOR	
[4/23/23 03:13AM] Pjk used command ::dr | Player rights = MYSTICAL_DONATOR	
[4/23/23 03:13AM] Pjk used command ::dr | Player rights = MYSTICAL_DONATOR	
[4/23/23 03:13AM] Pjk used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/23/23 03:14AM] Pjk used command ::meruem | Player rights = MYSTICAL_DONATOR	
[4/23/23 03:15AM] Pjk used command ::golden | Player rights = MYSTICAL_DONATOR	
[4/23/23 03:15AM] Pjk used command ::home | Player rights = MYSTICAL_DONATOR	
[4/23/23 03:30AM] Pjk used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/23/23 03:31AM] Pjk used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/23/23 03:32AM] Pjk used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/23/23 03:32AM] Pjk used command ::golden | Player rights = MYSTICAL_DONATOR	
[4/23/23 03:33AM] Pjk used command ::meruem | Player rights = MYSTICAL_DONATOR	
[4/23/23 03:33AM] Pjk used command ::golden | Player rights = MYSTICAL_DONATOR	
[4/23/23 03:33AM] Pjk used command ::home | Player rights = MYSTICAL_DONATOR	
[4/23/23 03:35AM] Pjk used command ::degrade | Player rights = MYSTICAL_DONATOR	
[4/23/23 03:36AM] Pjk used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/23/23 03:36AM] Pjk used command ::update-log said you can degrade owners equip for the gem but idk how lmao | Player rights = MYSTICAL_DONATOR	
[4/23/23 03:37AM] Pjk used command ::discord | Player rights = MYSTICAL_DONATOR	
[4/23/23 03:37AM] Pjk used command ::discord | Player rights = MYSTICAL_DONATOR	
[4/23/23 03:38AM] Pjk used command ::maxhit | Player rights = MYSTICAL_DONATOR	
[4/23/23 03:38AM] Pjk used command ::reward 1 | Player rights = MYSTICAL_DONATOR	
[4/23/23 03:39AM] Pjk used command ::dr | Player rights = MYSTICAL_DONATOR	
[4/23/23 03:40AM] Pjk used command ::voteboss | Player rights = MYSTICAL_DONATOR	
[4/23/23 03:41AM] Pjk used command ::voteboss | Player rights = MYSTICAL_DONATOR	
[4/23/23 03:42AM] Pjk used command ::home | Player rights = MYSTICAL_DONATOR	
[4/23/23 03:43AM] Pjk used command ::dr | Player rights = MYSTICAL_DONATOR	
[4/23/23 03:46AM] Pjk used command ::dropoff | Player rights = MYSTICAL_DONATOR	
[4/23/23 03:47AM] Pjk used command ::dr | Player rights = MYSTICAL_DONATOR	
[4/23/23 06:48AM] Pjk used command ::Dr | Player rights = MYSTICAL_DONATOR	
[4/23/23 06:49AM] Pjk used command ::dropoff | Player rights = MYSTICAL_DONATOR	
[4/23/23 06:54AM] Pjk used command ::dr | Player rights = MYSTICAL_DONATOR	
[4/23/23 06:57AM] Pjk used command ::dr | Player rights = MYSTICAL_DONATOR	
[4/23/23 06:57AM] Pjk used command ::dr | Player rights = MYSTICAL_DONATOR	
[4/23/23 07:00AM] Pjk used command ::dr | Player rights = MYSTICAL_DONATOR	
[4/23/23 07:01AM] Pjk used command ::reward 1 | Player rights = MYSTICAL_DONATOR	
[4/23/23 07:05AM] Pjk used command ::dr | Player rights = MYSTICAL_DONATOR	
[4/23/23 07:15AM] Pjk used command ::dr | Player rights = MYSTICAL_DONATOR	
[4/23/23 07:19AM] Pjk used command ::dr | Player rights = MYSTICAL_DONATOR	
[4/23/23 07:22AM] Pjk used command :: ref walkchaos | Player rights = MYSTICAL_DONATOR	
[4/23/23 07:22AM] Pjk used command ::ref | Player rights = MYSTICAL_DONATOR	
[4/23/23 07:22AM] Pjk used command ::ref | Player rights = MYSTICAL_DONATOR	
[4/23/23 07:23AM] Pjk used command ::banbk | Player rights = MYSTICAL_DONATOR	
[4/23/23 07:23AM] Pjk used command ::Bank | Player rights = MYSTICAL_DONATOR	
[4/23/23 07:23AM] Pjk used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/23/23 07:25AM] Pjk used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/23/23 07:25AM] Pjk used command ::dr | Player rights = MYSTICAL_DONATOR	
[4/23/23 07:26AM] Pjk used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/23/23 07:29AM] Pjk used command ::/is owner cape still good or shitty now | Player rights = MYSTICAL_DONATOR	
[4/23/23 07:29AM] Pjk used command ::dr | Player rights = MYSTICAL_DONATOR	
[4/23/23 07:29AM] Pjk used command ::dr | Player rights = MYSTICAL_DONATOR	
[4/23/23 07:55AM] Pjk used command ::dr | Player rights = MYSTICAL_DONATOR	
[4/23/23 08:04AM] Pjk used command ::viegar | Player rights = MYSTICAL_DONATOR	
