[4/15/23 06:29PM] Sandesus used command ::veigar | Player rights = PLAYER	
[4/15/23 07:48PM] Sandesus used command ::zones | Player rights = TORMENTED_DONATOR	
[4/15/23 07:52PM] Sandesus used command ::voteboss | Player rights = TORMENTED_DONATOR	
[4/15/23 07:58PM] Sandesus used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/15/23 08:01PM] Sandesus used command ::ref walckchaos | Player rights = TORMENTED_DONATOR	
[4/15/23 08:02PM] Sandesus used command ::ref | Player rights = TORMENTED_DONATOR	
[4/16/23 08:23AM] Sandesus used command ::VEIGAR | Player rights = TORMENTED_DONATOR	
[4/16/23 08:24AM] Sandesus used command ::GOLDEN | Player rights = TORMENTED_DONATOR	
[4/16/23 08:44AM] Sandesus used command ::vote | Player rights = YOUTUBER	
[4/16/23 08:46AM] Sandesus used command ::claimvote | Player rights = YOUTUBER	
[4/16/23 08:46AM] Sandesus used command ::claim | Player rights = YOUTUBER	
[4/16/23 08:47AM] Sandesus used command ::reward | Player rights = YOUTUBER	
[4/16/23 08:47AM] Sandesus used command ::reward 1 | Player rights = YOUTUBER	
[4/16/23 08:53AM] Sandesus used command ::veigar | Player rights = YOUTUBER	
[4/16/23 08:55AM] Sandesus used command ::YELL I LOVE TARN BROTHERS | Player rights = YOUTUBER	
[4/16/23 09:20AM] Sandesus used command ::yell LEST GOOO! 90 ONLINE! | Player rights = YOUTUBER	
[4/16/23 09:23AM] Sandesus used command ::VEIGAR | Player rights = YOUTUBER	
[4/16/23 09:40AM] Sandesus used command ::MERUEM | Player rights = YOUTUBER	
[4/16/23 09:41AM] Sandesus used command ::VEIGAR | Player rights = TORMENTED_DONATOR	
[4/16/23 09:44AM] Sandesus used command ::NINETAILS | Player rights = TORMENTED_DONATOR	
[4/16/23 09:45AM] Sandesus used command ::golden | Player rights = TORMENTED_DONATOR	
[4/16/23 09:47AM] Sandesus used command ::voteboss | Player rights = TORMENTED_DONATOR	
[4/16/23 09:48AM] Sandesus used command ::Yell tarn rsps 2023 | Player rights = TORMENTED_DONATOR	
[4/16/23 09:49AM] Sandesus used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/16/23 09:49AM] Sandesus used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/16/23 11:23AM] Sandesus used command ::VEIGAR | Player rights = TORMENTED_DONATOR	
[4/16/23 11:30AM] Sandesus used command ::YELL ? | Player rights = TORMENTED_DONATOR	
[4/17/23 07:09AM] Sandesus used command ::zones | Player rights = TORMENTED_DONATOR	
[4/17/23 07:09AM] Sandesus used command ::teleport | Player rights = TORMENTED_DONATOR	
[4/17/23 07:09AM] Sandesus used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/17/23 07:28AM] Sandesus used command ::ref | Player rights = TORMENTED_DONATOR	
[4/17/23 08:07AM] Sandesus used command ::voteboss | Player rights = MYSTICAL_DONATOR	
[4/17/23 08:10AM] Sandesus used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/17/23 08:39AM] Sandesus used command ::VEIGAR | Player rights = MYSTICAL_DONATOR	
[4/17/23 09:39AM] Sandesus used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/17/23 09:42AM] Sandesus used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/17/23 09:44AM] Sandesus used command ::meruem | Player rights = MYSTICAL_DONATOR	
[4/17/23 09:45AM] Sandesus used command ::golden. | Player rights = MYSTICAL_DONATOR	
[4/17/23 09:45AM] Sandesus used command ::goldem | Player rights = MYSTICAL_DONATOR	
[4/17/23 09:45AM] Sandesus used command ::golden | Player rights = MYSTICAL_DONATOR	
[4/17/23 09:48AM] Sandesus used command ::yell buy ogner cape | Player rights = MYSTICAL_DONATOR	
[4/17/23 09:49AM] Sandesus used command ::yell buy owner cape | Player rights = MYSTICAL_DONATOR	
[4/17/23 09:52AM] Sandesus used command ::yell BUY OWNER CAPE PM ME | Player rights = MYSTICAL_DONATOR	
[4/17/23 09:59AM] Sandesus used command ::YELL BUY OWNER CAPE PM ME | Player rights = MYSTICAL_DONATOR	
[4/17/23 11:54AM] Sandesus used command ::golden | Player rights = MYSTICAL_DONATOR	
[4/17/23 11:55AM] Sandesus used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/17/23 03:38PM] Sandesus used command ::yell THE TP NO WORK? | Player rights = MYSTICAL_DONATOR	
[4/17/23 03:43PM] Sandesus used command ::yell NEW VIDEO!! + BIG GIVEAWAYS "SANDESUS" IN YOUTBUE | Player rights = MYSTICAL_DONATOR	
[4/17/23 03:46PM] Sandesus used command ::YELL NEW VIDEO! + HUGE GIVEAWAYS "SANDESUS" IN YOUTUBE | Player rights = MYSTICAL_DONATOR	
[4/17/23 03:55PM] Sandesus used command ::yell  SELLING MYSTICAL SCYTHE "  | Player rights = MYSTICAL_DONATOR	
[4/17/23 03:58PM] Sandesus used command ::yell SELLING BLOOD BOOTS PM ME 400K IN STATS | Player rights = MYSTICAL_DONATOR	
[4/17/23 04:02PM] Sandesus used command ::yell NEW VIDEO + BIG GIVEAWAYS "SANDESUS" IN YOUTUBE | Player rights = MYSTICAL_DONATOR	
[4/17/23 04:02PM] Sandesus used command ::VEIGAR | Player rights = MYSTICAL_DONATOR	
[4/18/23 03:41PM] Sandesus used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/18/23 03:41PM] Sandesus used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/18/23 04:11PM] Sandesus used command ::veigar | Player rights = YOUTUBER	
[4/18/23 04:12PM] Sandesus used command ::elo | Player rights = YOUTUBER	
[4/18/23 04:15PM] Sandesus used command ::voteboss | Player rights = YOUTUBER	
[4/18/23 04:15PM] Sandesus used command ::voteboss | Player rights = YOUTUBER	
[4/18/23 04:15PM] Sandesus used command ::meruem | Player rights = YOUTUBER	
[4/18/23 04:18PM] Sandesus used command ::Yell sell cleric body 25m stats pm me | Player rights = MYSTICAL_DONATOR	
[4/20/23 01:54PM] Sandesus used command ::Yell check my tp very good items | Player rights = MYSTICAL_DONATOR	
[4/20/23 02:02PM] Sandesus used command ::yell selling graceful body 50m | Player rights = MYSTICAL_DONATOR	
[4/20/23 02:19PM] Sandesus used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/20/23 02:30PM] Sandesus used command ::Yell CHECK MY TP  | Player rights = MYSTICAL_DONATOR	
[4/20/23 02:49PM] Sandesus used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/20/23 02:52PM] Sandesus used command ::voteboss | Player rights = MYSTICAL_DONATOR	
