[4/15/23 01:15PM] Mike used command ::Ref | Player rights = PLAYER	
[4/16/23 05:28AM] Mike used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/16/23 05:51AM] Mike used command ::elo | Player rights = CLERIC_DONATOR	
[4/16/23 05:53AM] Mike used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 06:26AM] Mike used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 06:28AM] Mike used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 06:29AM] Mike used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 06:32AM] Mike used command ::Voteboss | Player rights = CLERIC_DONATOR	
[4/16/23 06:35AM] Mike used command ::totem | Player rights = CLERIC_DONATOR	
[4/16/23 06:53AM] Mike used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 07:22AM] Mike used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 07:23AM] Mike used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 07:24AM] Mike used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 07:29AM] Mike used command ::Voteboss | Player rights = CLERIC_DONATOR	
[4/16/23 07:53AM] Mike used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 07:57AM] Mike used command ::bank | Player rights = CLERIC_DONATOR	
[4/16/23 07:57AM] Mike used command ::bank | Player rights = CLERIC_DONATOR	
[4/16/23 07:57AM] Mike used command ::bank | Player rights = CLERIC_DONATOR	
[4/16/23 07:57AM] Mike used command ::Bank | Player rights = CLERIC_DONATOR	
[4/16/23 08:23AM] Mike used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 08:23AM] Mike used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 08:24AM] Mike used command ::golden | Player rights = CLERIC_DONATOR	
[4/16/23 08:33AM] Mike used command ::golden | Player rights = CLERIC_DONATOR	
[4/16/23 08:54AM] Mike used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/16/23 09:03AM] Mike used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/16/23 09:08AM] Mike used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/16/23 09:10AM] Mike used command ::Voteboss | Player rights = CLERIC_DONATOR	
[4/16/23 09:14AM] Mike used command ::store | Player rights = CLERIC_DONATOR	
[4/16/23 09:21AM] Mike used command ::Dropoff | Player rights = CLERIC_DONATOR	
[4/16/23 09:23AM] Mike used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 09:23AM] Mike used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 09:24AM] Mike used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 09:40AM] Mike used command ::mereum | Player rights = CLERIC_DONATOR	
[4/16/23 09:40AM] Mike used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 09:42AM] Mike used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 09:44AM] Mike used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 09:45AM] Mike used command ::golden | Player rights = CLERIC_DONATOR	
[4/16/23 09:47AM] Mike used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/16/23 09:49AM] Mike used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 09:49AM] Mike used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 10:23AM] Mike used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/16/23 10:25AM] Mike used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 10:53AM] Mike used command ::vEIGAR | Player rights = CLERIC_DONATOR	
[4/16/23 11:22AM] Mike used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 11:22AM] Mike used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/16/23 11:24AM] Mike used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 11:24AM] Mike used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 11:25AM] Mike used command ::golden | Player rights = CLERIC_DONATOR	
[4/16/23 11:30AM] Mike used command ::Voteboss | Player rights = CLERIC_DONATOR	
