[4/15/23 01:51PM] Xenon used command ::ref | Player rights = PLAYER	
[4/15/23 03:37PM] Xenon used command ::home | Player rights = GRACEFUL_DONATOR	
[4/15/23 03:58PM] Xenon used command ::veiar | Player rights = GRACEFUL_DONATOR	
[4/15/23 03:59PM] Xenon used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 04:00PM] Xenon used command ::home | Player rights = GRACEFUL_DONATOR	
[4/15/23 04:06PM] Xenon used command ::dropoff | Player rights = GRACEFUL_DONATOR	
[4/15/23 04:28PM] Xenon used command ::maxhit | Player rights = GRACEFUL_DONATOR	
[4/15/23 04:28PM] Xenon used command ::maxhit | Player rights = GRACEFUL_DONATOR	
[4/15/23 04:28PM] Xenon used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 04:29PM] Xenon used command ::dr | Player rights = GRACEFUL_DONATOR	
[4/15/23 04:31PM] Xenon used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/15/23 04:31PM] Xenon used command ::dropon | Player rights = GRACEFUL_DONATOR	
[4/15/23 04:33PM] Xenon used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/15/23 05:46PM] Xenon used command ::maxhit | Player rights = GRACEFUL_DONATOR	
[4/15/23 05:46PM] Xenon used command ::maxhit | Player rights = GRACEFUL_DONATOR	
[4/15/23 05:48PM] Xenon used command ::globals | Player rights = GRACEFUL_DONATOR	
[4/15/23 05:59PM] Xenon used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 06:00PM] Xenon used command ::home | Player rights = GRACEFUL_DONATOR	
[4/15/23 06:15PM] Xenon used command ::maxhit | Player rights = GRACEFUL_DONATOR	
[4/15/23 06:15PM] Xenon used command ::maxhit | Player rights = GRACEFUL_DONATOR	
[4/15/23 06:17PM] Xenon used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/15/23 06:17PM] Xenon used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/15/23 06:19PM] Xenon used command ::upgrade | Player rights = GRACEFUL_DONATOR	
[4/15/23 06:19PM] Xenon used command ::home | Player rights = GRACEFUL_DONATOR	
[4/15/23 06:29PM] Xenon used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 06:30PM] Xenon used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/15/23 06:31PM] Xenon used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/15/23 06:32PM] Xenon used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/15/23 06:33PM] Xenon used command ::yell dont forget to vote | Player rights = GRACEFUL_DONATOR	
[4/15/23 06:52PM] Xenon used command ::donate | Player rights = GRACEFUL_DONATOR	
[4/15/23 06:57PM] Xenon used command ::home | Player rights = GRACEFUL_DONATOR	
[4/15/23 06:58PM] Xenon used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 07:04PM] Xenon used command ::home | Player rights = GRACEFUL_DONATOR	
[4/15/23 07:05PM] Xenon used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/15/23 07:05PM] Xenon used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/15/23 07:12PM] Xenon used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/15/23 08:59PM] Xenon used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:29PM] Xenon used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:30PM] Xenon used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:32PM] Xenon used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:32PM] Xenon used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:55PM] Xenon used command ::maxhit | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:55PM] Xenon used command ::maxhit | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:59PM] Xenon used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:09PM] Xenon used command ::maxhit | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:09PM] Xenon used command ::maxhit | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:10PM] Xenon used command ::maxhit | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:10PM] Xenon used command ::home | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:12PM] Xenon used command ::maxhit | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:17PM] Xenon used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:26PM] Xenon used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:28PM] Xenon used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:29PM] Xenon used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:30PM] Xenon used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:31PM] Xenon used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:32PM] Xenon used command ::maxhit | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:32PM] Xenon used command ::maxhit | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:33PM] Xenon used command ::home | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:35PM] Xenon used command ::maxhit | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:36PM] Xenon used command ::maxhit | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:37PM] Xenon used command ::maxhit | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:43PM] Xenon used command ::home | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:46PM] Xenon used command ::home | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:47PM] Xenon used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:50PM] Xenon used command ::empty | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:53PM] Xenon used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:53PM] Xenon used command ::maxhit | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:54PM] Xenon used command ::players | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:56PM] Xenon used command ::maxhit | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:56PM] Xenon used command ::title | Player rights = CLERIC_DONATOR	
[4/15/23 10:59PM] Xenon used command ::viegart | Player rights = CLERIC_DONATOR	
[4/15/23 10:59PM] Xenon used command ::veiga | Player rights = CLERIC_DONATOR	
[4/15/23 10:59PM] Xenon used command ::veigar | Player rights = CLERIC_DONATOR	
[4/15/23 11:00PM] Xenon used command ::yt | Player rights = CLERIC_DONATOR	
[4/15/23 11:00PM] Xenon used command ::youtuber | Player rights = CLERIC_DONATOR	
[4/15/23 11:01PM] Xenon used command ::yell cc broke as fk | Player rights = CLERIC_DONATOR	
[4/15/23 11:01PM] Xenon used command ::pos | Player rights = CLERIC_DONATOR	
[4/15/23 11:01PM] Xenon used command ::yell oh god thats not good | Player rights = CLERIC_DONATOR	
[4/15/23 11:05PM] Xenon used command ::pos | Player rights = CLERIC_DONATOR	
[4/15/23 11:07PM] Xenon used command ::veigar | Player rights = CLERIC_DONATOR	
[4/15/23 11:08PM] Xenon used command ::home | Player rights = CLERIC_DONATOR	
[4/15/23 11:08PM] Xenon used command ::home | Player rights = CLERIC_DONATOR	
[4/15/23 11:08PM] Xenon used command ::home | Player rights = CLERIC_DONATOR	
[4/15/23 11:08PM] Xenon used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/15/23 11:08PM] Xenon used command ::nintails | Player rights = CLERIC_DONATOR	
[4/15/23 11:08PM] Xenon used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/15/23 11:08PM] Xenon used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/15/23 11:09PM] Xenon used command ::meruem | Player rights = CLERIC_DONATOR	
[4/15/23 11:10PM] Xenon used command ::meruem | Player rights = CLERIC_DONATOR	
