[4/23/23 10:43AM] Final Hour used command ::Starter | Player rights = PLAYER	
[4/24/23 04:34AM] Final Hour used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/24/23 04:35AM] Final Hour used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/24/23 05:01AM] Final Hour used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/24/23 05:32AM] Final Hour used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/24/23 05:52AM] Final Hour used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/24/23 06:01AM] Final Hour used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/24/23 06:31AM] Final Hour used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/24/23 06:51AM] Final Hour used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/24/23 07:01AM] Final Hour used command ::veigat | Player rights = GRACEFUL_DONATOR	
[4/24/23 07:01AM] Final Hour used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/24/23 07:13AM] Final Hour used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/24/23 07:14AM] Final Hour used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/24/23 07:30AM] Final Hour used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/24/23 07:31AM] Final Hour used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/24/23 07:32AM] Final Hour used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/24/23 07:32AM] Final Hour used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/24/23 07:33AM] Final Hour used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/24/23 07:44AM] Final Hour used command ::afk | Player rights = GRACEFUL_DONATOR	
[4/24/23 07:47AM] Final Hour used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/24/23 08:01AM] Final Hour used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/24/23 09:14AM] Final Hour used command ::noble | Player rights = GRACEFUL_DONATOR	
[4/24/23 09:15AM] Final Hour used command ::collection | Player rights = GRACEFUL_DONATOR	
[4/24/23 09:17AM] Final Hour used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/24/23 09:17AM] Final Hour used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/24/23 09:18AM] Final Hour used command ::yell lol | Player rights = GRACEFUL_DONATOR	
[4/24/23 09:21AM] Final Hour used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/24/23 09:22AM] Final Hour used command ::Reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/24/23 09:23AM] Final Hour used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/24/23 09:25AM] Final Hour used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/24/23 09:27AM] Final Hour used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/24/23 09:30AM] Final Hour used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/24/23 09:56AM] Final Hour used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/24/23 10:01AM] Final Hour used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/24/23 10:31AM] Final Hour used command ::viegar | Player rights = GRACEFUL_DONATOR	
[4/24/23 10:31AM] Final Hour used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/24/23 10:32AM] Final Hour used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/24/23 10:33AM] Final Hour used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/24/23 11:01AM] Final Hour used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/24/23 11:31AM] Final Hour used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/25/23 06:24AM] Final Hour used command ::Reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/25/23 07:02AM] Final Hour used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/25/23 07:31AM] Final Hour used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/25/23 07:32AM] Final Hour used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/25/23 07:33AM] Final Hour used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/25/23 07:33AM] Final Hour used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/25/23 07:35AM] Final Hour used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/25/23 09:01AM] Final Hour used command ::veigar | Player rights = GRACEFUL_DONATOR	
