[4/21/23 09:25PM] 4bit used command ::vote | Player rights = PLAYER	
[4/22/23 10:40AM] 4bit used command ::dr | Player rights = GRACEFUL_DONATOR	
[4/22/23 10:40AM] 4bit used command ::home | Player rights = GRACEFUL_DONATOR	
[4/22/23 10:41AM] 4bit used command ::dr | Player rights = GRACEFUL_DONATOR	
[4/22/23 10:46AM] 4bit used command ::ref | Player rights = GRACEFUL_DONATOR	
[4/22/23 10:46AM] 4bit used command ::ref | Player rights = GRACEFUL_DONATOR	
[4/22/23 11:06AM] 4bit used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/22/23 11:06AM] 4bit used command ::dr | Player rights = GRACEFUL_DONATOR	
[4/22/23 11:08AM] 4bit used command ::po | Player rights = GRACEFUL_DONATOR	
[4/22/23 11:09AM] 4bit used command ::home | Player rights = GRACEFUL_DONATOR	
[4/22/23 11:09AM] 4bit used command ::teleport | Player rights = GRACEFUL_DONATOR	
[4/22/23 11:12AM] 4bit used command ::collections | Player rights = GRACEFUL_DONATOR	
[4/22/23 11:12AM] 4bit used command ::collection | Player rights = GRACEFUL_DONATOR	
[4/22/23 11:20AM] 4bit used command ::dr | Player rights = GRACEFUL_DONATOR	
[4/22/23 11:25AM] 4bit used command ::home | Player rights = GRACEFUL_DONATOR	
[4/22/23 11:27AM] 4bit used command ::kc | Player rights = GRACEFUL_DONATOR	
[4/22/23 11:27AM] 4bit used command ::killcount | Player rights = GRACEFUL_DONATOR	
[4/22/23 11:27AM] 4bit used command ::kc | Player rights = GRACEFUL_DONATOR	
[4/22/23 11:27AM] 4bit used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/22/23 11:27AM] 4bit used command ::home | Player rights = GRACEFUL_DONATOR	
[4/22/23 11:27AM] 4bit used command ::home | Player rights = GRACEFUL_DONATOR	
[4/22/23 11:31AM] 4bit used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/22/23 11:31AM] 4bit used command ::Vote | Player rights = GRACEFUL_DONATOR	
[4/22/23 11:33AM] 4bit used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 11:33AM] 4bit used command ::reward 1 all  | Player rights = GRACEFUL_DONATOR	
[4/22/23 11:33AM] 4bit used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/22/23 11:34AM] 4bit used command ::dr | Player rights = GRACEFUL_DONATOR	
[4/22/23 11:34AM] 4bit used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/22/23 11:41AM] 4bit used command ::home | Player rights = GRACEFUL_DONATOR	
[4/22/23 11:48AM] 4bit used command ::dr | Player rights = GRACEFUL_DONATOR	
[4/22/23 11:55AM] 4bit used command ::dr | Player rights = GRACEFUL_DONATOR	
[4/22/23 11:59AM] 4bit used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/22/23 12:00PM] 4bit used command ::home | Player rights = GRACEFUL_DONATOR	
[4/22/23 12:02PM] 4bit used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 12:04PM] 4bit used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/22/23 12:04PM] 4bit used command ::home | Player rights = GRACEFUL_DONATOR	
[4/22/23 12:06PM] 4bit used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 12:09PM] 4bit used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/22/23 12:11PM] 4bit used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/22/23 12:13PM] 4bit used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/22/23 12:15PM] 4bit used command ::home | Player rights = GRACEFUL_DONATOR	
[4/22/23 12:19PM] 4bit used command ::wr3cked | Player rights = GRACEFUL_DONATOR	
[4/22/23 12:24PM] 4bit used command ::Donate | Player rights = GRACEFUL_DONATOR	
[4/22/23 12:30PM] 4bit used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 12:33PM] 4bit used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/22/23 12:34PM] 4bit used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/22/23 12:35PM] 4bit used command ::home | Player rights = GRACEFUL_DONATOR	
[4/22/23 01:22PM] 4bit used command ::home | Player rights = GRACEFUL_DONATOR	
[4/22/23 01:28PM] 4bit used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 01:31PM] 4bit used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/22/23 01:35PM] 4bit used command ::home | Player rights = GRACEFUL_DONATOR	
[4/22/23 02:03PM] 4bit used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 02:16PM] 4bit used command ::collection | Player rights = GRACEFUL_DONATOR	
[4/22/23 02:19PM] 4bit used command ::dr | Player rights = GRACEFUL_DONATOR	
[4/22/23 02:19PM] 4bit used command ::collection | Player rights = GRACEFUL_DONATOR	
[4/22/23 02:28PM] 4bit used command ::nobble | Player rights = GRACEFUL_DONATOR	
[4/22/23 02:30PM] 4bit used command ::noble | Player rights = GRACEFUL_DONATOR	
[4/22/23 02:31PM] 4bit used command ::Veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 02:33PM] 4bit used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/22/23 02:34PM] 4bit used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/22/23 02:35PM] 4bit used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/22/23 02:35PM] 4bit used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/22/23 02:39PM] 4bit used command ::dr | Player rights = CLERIC_DONATOR	
[4/22/23 02:42PM] 4bit used command ::collection | Player rights = CLERIC_DONATOR	
[4/22/23 02:53PM] 4bit used command ::collection | Player rights = CLERIC_DONATOR	
[4/22/23 02:54PM] 4bit used command ::dr | Player rights = CLERIC_DONATOR	
[4/22/23 03:02PM] 4bit used command ::veigE | Player rights = CLERIC_DONATOR	
[4/22/23 03:02PM] 4bit used command ::VEIGAR | Player rights = CLERIC_DONATOR	
[4/22/23 03:10PM] 4bit used command ::collection | Player rights = CLERIC_DONATOR	
[4/22/23 03:22PM] 4bit used command ::VOTEBOSS | Player rights = CLERIC_DONATOR	
[4/22/23 03:22PM] 4bit used command ::dr | Player rights = CLERIC_DONATOR	
[4/22/23 03:23PM] 4bit used command ::home | Player rights = CLERIC_DONATOR	
[4/22/23 03:49PM] 4bit used command ::dr | Player rights = CLERIC_DONATOR	
[4/22/23 03:49PM] 4bit used command ::home | Player rights = CLERIC_DONATOR	
[4/22/23 04:19PM] 4bit used command ::home | Player rights = CLERIC_DONATOR	
[4/22/23 04:20PM] 4bit used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/22/23 04:20PM] 4bit used command ::dr | Player rights = CLERIC_DONATOR	
[4/22/23 04:20PM] 4bit used command ::dr | Player rights = CLERIC_DONATOR	
[4/22/23 04:20PM] 4bit used command ::dr | Player rights = CLERIC_DONATOR	
[4/22/23 04:21PM] 4bit used command ::vote | Player rights = CLERIC_DONATOR	
[4/22/23 04:21PM] 4bit used command ::Reward 1 all | Player rights = CLERIC_DONATOR	
[4/22/23 04:32PM] 4bit used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 04:33PM] 4bit used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/22/23 04:34PM] 4bit used command ::meruem | Player rights = CLERIC_DONATOR	
[4/22/23 04:36PM] 4bit used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/22/23 04:38PM] 4bit used command ::home | Player rights = CLERIC_DONATOR	
[4/22/23 05:02PM] 4bit used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 05:32PM] 4bit used command ::home | Player rights = CLERIC_DONATOR	
[4/22/23 05:33PM] 4bit used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 05:33PM] 4bit used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/22/23 05:34PM] 4bit used command ::meruem | Player rights = CLERIC_DONATOR	
[4/22/23 05:35PM] 4bit used command ::golden | Player rights = CLERIC_DONATOR	
[4/22/23 05:35PM] 4bit used command ::home | Player rights = CLERIC_DONATOR	
[4/22/23 05:54PM] 4bit used command ::home | Player rights = CLERIC_DONATOR	
[4/22/23 06:03PM] 4bit used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/22/23 06:03PM] 4bit used command ::dr | Player rights = CLERIC_DONATOR	
[4/22/23 06:03PM] 4bit used command ::dr | Player rights = CLERIC_DONATOR	
[4/22/23 06:05PM] 4bit used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/22/23 06:05PM] 4bit used command ::home | Player rights = CLERIC_DONATOR	
[4/22/23 06:32PM] 4bit used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 06:34PM] 4bit used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/22/23 06:35PM] 4bit used command ::meruem | Player rights = CLERIC_DONATOR	
[4/22/23 06:35PM] 4bit used command ::dr | Player rights = CLERIC_DONATOR	
[4/22/23 06:37PM] 4bit used command ::golden | Player rights = CLERIC_DONATOR	
[4/22/23 06:48PM] 4bit used command ::dropoff | Player rights = CLERIC_DONATOR	
[4/22/23 07:08PM] 4bit used command ::discord | Player rights = CLERIC_DONATOR	
[4/22/23 07:13PM] 4bit used command ::Dr | Player rights = CLERIC_DONATOR	
[4/22/23 07:32PM] 4bit used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 07:34PM] 4bit used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/22/23 07:34PM] 4bit used command ::dropson | Player rights = CLERIC_DONATOR	
[4/22/23 07:34PM] 4bit used command ::dropon | Player rights = CLERIC_DONATOR	
[4/22/23 07:35PM] 4bit used command ::meruem | Player rights = CLERIC_DONATOR	
[4/22/23 07:35PM] 4bit used command ::home | Player rights = CLERIC_DONATOR	
[4/22/23 07:39PM] 4bit used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/22/23 07:44PM] 4bit used command ::home | Player rights = CLERIC_DONATOR	
[4/22/23 07:55PM] 4bit used command ::collection | Player rights = CLERIC_DONATOR	
[4/22/23 07:56PM] 4bit used command ::collection | Player rights = CLERIC_DONATOR	
[4/22/23 07:59PM] 4bit used command ::collection | Player rights = CLERIC_DONATOR	
[4/22/23 08:01PM] 4bit used command ::dr | Player rights = CLERIC_DONATOR	
[4/22/23 08:02PM] 4bit used command ::dr | Player rights = CLERIC_DONATOR	
[4/22/23 08:03PM] 4bit used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 08:03PM] 4bit used command ::dr | Player rights = CLERIC_DONATOR	
[4/22/23 08:04PM] 4bit used command ::home | Player rights = CLERIC_DONATOR	
[4/22/23 08:11PM] 4bit used command ::collection | Player rights = CLERIC_DONATOR	
[4/22/23 08:12PM] 4bit used command ::dr | Player rights = CLERIC_DONATOR	
[4/22/23 08:32PM] 4bit used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/22/23 08:32PM] 4bit used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 08:33PM] 4bit used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/22/23 08:34PM] 4bit used command ::meruem | Player rights = CLERIC_DONATOR	
[4/22/23 08:35PM] 4bit used command ::golden | Player rights = CLERIC_DONATOR	
[4/22/23 08:35PM] 4bit used command ::home | Player rights = CLERIC_DONATOR	
[4/22/23 09:26PM] 4bit used command ::home | Player rights = CLERIC_DONATOR	
[4/22/23 09:28PM] 4bit used command ::dr | Player rights = CLERIC_DONATOR	
[4/22/23 09:32PM] 4bit used command ::home | Player rights = CLERIC_DONATOR	
[4/22/23 09:32PM] 4bit used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 09:33PM] 4bit used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/22/23 09:34PM] 4bit used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/22/23 09:35PM] 4bit used command ::meruem | Player rights = CLERIC_DONATOR	
[4/22/23 09:40PM] 4bit used command ::dr | Player rights = CLERIC_DONATOR	
[4/22/23 09:40PM] 4bit used command ::dr | Player rights = CLERIC_DONATOR	
[4/22/23 09:41PM] 4bit used command ::vote | Player rights = CLERIC_DONATOR	
[4/22/23 09:42PM] 4bit used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/22/23 09:46PM] 4bit used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/22/23 09:49PM] 4bit used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/22/23 09:50PM] 4bit used command ::dr | Player rights = CLERIC_DONATOR	
[4/22/23 09:53PM] 4bit used command ::home | Player rights = CLERIC_DONATOR	
[4/22/23 09:59PM] 4bit used command ::dr | Player rights = CLERIC_DONATOR	
[4/22/23 10:00PM] 4bit used command ::dr | Player rights = CLERIC_DONATOR	
[4/22/23 10:00PM] 4bit used command ::dr | Player rights = CLERIC_DONATOR	
[4/22/23 10:00PM] 4bit used command ::Dr | Player rights = CLERIC_DONATOR	
[4/22/23 10:00PM] 4bit used command ::dr | Player rights = CLERIC_DONATOR	
[4/22/23 10:00PM] 4bit used command ::dr | Player rights = CLERIC_DONATOR	
[4/22/23 10:00PM] 4bit used command ::dr | Player rights = CLERIC_DONATOR	
[4/22/23 10:02PM] 4bit used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 10:02PM] 4bit used command ::dr | Player rights = CLERIC_DONATOR	
[4/22/23 10:03PM] 4bit used command ::dr | Player rights = CLERIC_DONATOR	
[4/22/23 10:04PM] 4bit used command ::home | Player rights = CLERIC_DONATOR	
[4/22/23 10:05PM] 4bit used command ::noble | Player rights = CLERIC_DONATOR	
[4/22/23 11:30PM] 4bit used command ::dr | Player rights = CLERIC_DONATOR	
[4/22/23 11:31PM] 4bit used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 11:32PM] 4bit used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 11:32PM] 4bit used command ::dr | Player rights = CLERIC_DONATOR	
[4/22/23 11:33PM] 4bit used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/22/23 11:34PM] 4bit used command ::meruem | Player rights = CLERIC_DONATOR	
[4/22/23 11:35PM] 4bit used command ::golden | Player rights = CLERIC_DONATOR	
[4/22/23 11:36PM] 4bit used command ::dr | Player rights = CLERIC_DONATOR	
[4/22/23 11:36PM] 4bit used command ::home | Player rights = CLERIC_DONATOR	
[4/22/23 11:37PM] 4bit used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 11:39PM] 4bit used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 11:40PM] 4bit used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 11:41PM] 4bit used command ::dr | Player rights = CLERIC_DONATOR	
[4/22/23 11:41PM] 4bit used command ::dr | Player rights = CLERIC_DONATOR	
[4/22/23 11:42PM] 4bit used command ::collection | Player rights = CLERIC_DONATOR	
[4/22/23 11:44PM] 4bit used command ::bank | Player rights = CLERIC_DONATOR	
[4/22/23 11:46PM] 4bit used command ::dr | Player rights = CLERIC_DONATOR	
[4/22/23 11:54PM] 4bit used command ::Dr | Player rights = CLERIC_DONATOR	
[4/23/23 12:01AM] 4bit used command ::Dr | Player rights = CLERIC_DONATOR	
[4/23/23 12:02AM] 4bit used command ::veigar | Player rights = CLERIC_DONATOR	
[4/23/23 12:03AM] 4bit used command ::dr | Player rights = CLERIC_DONATOR	
[4/23/23 12:04AM] 4bit used command ::dr | Player rights = CLERIC_DONATOR	
[4/23/23 12:04AM] 4bit used command ::dr | Player rights = CLERIC_DONATOR	
[4/23/23 09:37AM] 4bit used command ::dr | Player rights = CLERIC_DONATOR	
[4/23/23 09:37AM] 4bit used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/23/23 09:39AM] 4bit used command ::home | Player rights = CLERIC_DONATOR	
[4/23/23 09:39AM] 4bit used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/23/23 09:40AM] 4bit used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/23/23 09:41AM] 4bit used command ::voe | Player rights = CLERIC_DONATOR	
[4/23/23 09:41AM] 4bit used command ::vote | Player rights = CLERIC_DONATOR	
[4/23/23 09:44AM] 4bit used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/23/23 09:48AM] 4bit used command ::Dr | Player rights = CLERIC_DONATOR	
[4/23/23 09:48AM] 4bit used command ::dr | Player rights = CLERIC_DONATOR	
[4/23/23 09:49AM] 4bit used command ::dr | Player rights = CLERIC_DONATOR	
