[4/15/23 09:59AM] Vibes used command ::veigar | Player rights = PLAYER	
[4/15/23 01:07PM] Vibes used command ::perks | Player rights = GRACEFUL_DONATOR	
[4/15/23 01:29PM] Vibes used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 01:38PM] Vibes used command ::totem | Player rights = GRACEFUL_DONATOR	
[4/15/23 01:42PM] Vibes used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/15/23 01:42PM] Vibes used command ::commands | Player rights = GRACEFUL_DONATOR	
[4/15/23 01:59PM] Vibes used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 01:59PM] Vibes used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/15/23 01:59PM] Vibes used command ::afk | Player rights = GRACEFUL_DONATOR	
[4/15/23 02:00PM] Vibes used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/15/23 02:02PM] Vibes used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/15/23 02:05PM] Vibes used command ::prayer | Player rights = GRACEFUL_DONATOR	
[4/15/23 02:05PM] Vibes used command ::pray | Player rights = GRACEFUL_DONATOR	
[4/15/23 02:28PM] Vibes used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 03:57PM] Vibes used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/15/23 03:58PM] Vibes used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 04:06PM] Vibes used command ::dropoff | Player rights = GRACEFUL_DONATOR	
[4/15/23 04:28PM] Vibes used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 04:28PM] Vibes used command ::token | Player rights = GRACEFUL_DONATOR	
[4/15/23 04:28PM] Vibes used command ::tokem | Player rights = GRACEFUL_DONATOR	
[4/15/23 04:28PM] Vibes used command ::token | Player rights = GRACEFUL_DONATOR	
[4/15/23 04:28PM] Vibes used command ::tooken | Player rights = GRACEFUL_DONATOR	
[4/15/23 04:31PM] Vibes used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/15/23 04:33PM] Vibes used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/15/23 04:42PM] Vibes used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 04:56PM] Vibes used command ::upgrade | Player rights = GRACEFUL_DONATOR	
[4/15/23 04:57PM] Vibes used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 05:29PM] Vibes used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/15/23 05:54PM] Vibes used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 06:27PM] Vibes used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 06:30PM] Vibes used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/15/23 06:31PM] Vibes used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/15/23 06:32PM] Vibes used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/15/23 06:39PM] Vibes used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/15/23 06:40PM] Vibes used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/15/23 07:19PM] Vibes used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 07:30PM] Vibes used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/15/23 07:50PM] Vibes used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/15/23 07:57PM] Vibes used command ::afk | Player rights = CLERIC_DONATOR	
[4/16/23 06:15AM] Vibes used command ::afk | Player rights = CLERIC_DONATOR	
[4/16/23 06:15AM] Vibes used command ::shops | Player rights = CLERIC_DONATOR	
[4/16/23 06:15AM] Vibes used command ::home | Player rights = CLERIC_DONATOR	
[4/16/23 06:21AM] Vibes used command ::drops | Player rights = CLERIC_DONATOR	
[4/16/23 06:21AM] Vibes used command ::::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 06:23AM] Vibes used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 06:28AM] Vibes used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 06:30AM] Vibes used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 06:30AM] Vibes used command ::golden | Player rights = CLERIC_DONATOR	
[4/16/23 06:33AM] Vibes used command ::afk | Player rights = CLERIC_DONATOR	
[4/16/23 10:31AM] Vibes used command ::afk | Player rights = CLERIC_DONATOR	
[4/16/23 11:11AM] Vibes used command ::vote | Player rights = CLERIC_DONATOR	
[4/16/23 11:12AM] Vibes used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/16/23 11:20AM] Vibes used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 11:24AM] Vibes used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 11:24AM] Vibes used command ::mureum | Player rights = CLERIC_DONATOR	
[4/16/23 11:24AM] Vibes used command ::muruem | Player rights = CLERIC_DONATOR	
[4/16/23 11:25AM] Vibes used command ::golden | Player rights = CLERIC_DONATOR	
[4/16/23 11:26AM] Vibes used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/16/23 01:50PM] Vibes used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/16/23 01:53PM] Vibes used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 02:00PM] Vibes used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/16/23 07:02PM] Vibes used command ::eventboss | Player rights = CLERIC_DONATOR	
[4/16/23 07:02PM] Vibes used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/16/23 07:04PM] Vibes used command ::starter | Player rights = CLERIC_DONATOR	
[4/16/23 07:05PM] Vibes used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 07:09PM] Vibes used command ::kills | Player rights = CLERIC_DONATOR	
