[4/17/23 09:16AM] Star used command ::vote | Player rights = PLAYER	
[4/19/23 08:54AM] Star used command ::collection | Player rights = CLERIC_DONATOR	
[4/19/23 08:55AM] Star used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 08:56AM] Star used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 08:56AM] Star used command ::vboss | Player rights = CLERIC_DONATOR	
[4/19/23 08:58AM] Star used command ::tasks | Player rights = CLERIC_DONATOR	
[4/19/23 08:59AM] Star used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 08:59AM] Star used command ::tasks | Player rights = CLERIC_DONATOR	
[4/19/23 08:59AM] Star used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 09:00AM] Star used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 09:01AM] Star used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 09:02AM] Star used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 09:04AM] Star used command ::elo | Player rights = CLERIC_DONATOR	
[4/19/23 09:04AM] Star used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 09:05AM] Star used command ::elo | Player rights = CLERIC_DONATOR	
[4/19/23 09:05AM] Star used command ::elo | Player rights = CLERIC_DONATOR	
[4/19/23 09:10AM] Star used command ::dropoff | Player rights = CLERIC_DONATOR	
[4/19/23 09:10AM] Star used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 09:15AM] Star used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/19/23 09:15AM] Star used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 09:15AM] Star used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 09:16AM] Star used command ::meruem | Player rights = CLERIC_DONATOR	
[4/19/23 09:16AM] Star used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 09:17AM] Star used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 09:17AM] Star used command ::golden | Player rights = CLERIC_DONATOR	
[4/19/23 09:18AM] Star used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 09:19AM] Star used command ::home | Player rights = CLERIC_DONATOR	
[4/19/23 09:20AM] Star used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 09:20AM] Star used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 09:24AM] Star used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 09:27AM] Star used command ::bank | Player rights = CLERIC_DONATOR	
[4/19/23 09:28AM] Star used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 09:31AM] Star used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 09:31AM] Star used command ::elo | Player rights = CLERIC_DONATOR	
[4/19/23 09:33AM] Star used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 09:33AM] Star used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 09:37AM] Star used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 09:38AM] Star used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 09:38AM] Star used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 09:39AM] Star used command ::tasks | Player rights = CLERIC_DONATOR	
[4/19/23 09:40AM] Star used command ::home | Player rights = CLERIC_DONATOR	
[4/19/23 09:41AM] Star used command ::home | Player rights = CLERIC_DONATOR	
[4/19/23 09:41AM] Star used command ::home | Player rights = CLERIC_DONATOR	
[4/19/23 09:41AM] Star used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 09:42AM] Star used command ::tasks | Player rights = CLERIC_DONATOR	
[4/19/23 09:43AM] Star used command ::elo | Player rights = CLERIC_DONATOR	
[4/19/23 09:43AM] Star used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 09:45AM] Star used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 09:45AM] Star used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 09:57AM] Star used command ::tasks | Player rights = CLERIC_DONATOR	
[4/19/23 10:12AM] Star used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 10:13AM] Star used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 10:13AM] Star used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 10:13AM] Star used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 10:14AM] Star used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 10:14AM] Star used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 10:14AM] Star used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 10:15AM] Star used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/19/23 10:23AM] Star used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 10:26AM] Star used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 10:43AM] Star used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 10:44AM] Star used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 10:46AM] Star used command ::dropoff | Player rights = CLERIC_DONATOR	
[4/19/23 10:47AM] Star used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 10:49AM] Star used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 10:54AM] Star used command ::tasks | Player rights = CLERIC_DONATOR	
[4/19/23 10:57AM] Star used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 10:58AM] Star used command :::pos | Player rights = CLERIC_DONATOR	
[4/19/23 10:58AM] Star used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 10:59AM] Star used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 09:16AM] Star used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 12:33PM] Star used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 12:34PM] Star used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 12:36PM] Star used command ::vote | Player rights = CLERIC_DONATOR	
[4/21/23 12:38PM] Star used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/21/23 12:39PM] Star used command ::starter | Player rights = CLERIC_DONATOR	
[4/21/23 12:44PM] Star used command ::collection | Player rights = CLERIC_DONATOR	
