[4/15/23 08:55AM] Gpello used command ::train | Player rights = PLAYER	
[4/15/23 08:58PM] Gpello used command ::home | Player rights = PLAYER	
[4/15/23 09:09PM] Gpello used command ::home | Player rights = PLAYER	
[4/15/23 09:14PM] Gpello used command ::totem | Player rights = PLAYER	
[4/15/23 09:16PM] Gpello used command ::teleport | Player rights = PLAYER	
[4/15/23 09:26PM] Gpello used command ::donate | Player rights = PLAYER	
[4/15/23 09:29PM] Gpello used command ::veigar | Player rights = PLAYER	
[4/15/23 09:30PM] Gpello used command ::ninetails | Player rights = PLAYER	
[4/15/23 09:31PM] Gpello used command ::golden | Player rights = PLAYER	
[4/15/23 09:32PM] Gpello used command ::meruem | Player rights = PLAYER	
[4/15/23 09:32PM] Gpello used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:33PM] Gpello used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:38PM] Gpello used command ::home | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:38PM] Gpello used command ::home | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:51PM] Gpello used command ::home | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:58PM] Gpello used command ::home | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:58PM] Gpello used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:59PM] Gpello used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:00PM] Gpello used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:00PM] Gpello used command ::home | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:06PM] Gpello used command ::home | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:14PM] Gpello used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:16PM] Gpello used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:18PM] Gpello used command ::dropoff | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:28PM] Gpello used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:29PM] Gpello used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:30PM] Gpello used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:30PM] Gpello used command ::mureum | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:30PM] Gpello used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:31PM] Gpello used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:31PM] Gpello used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:33PM] Gpello used command ::home | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:54PM] Gpello used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:57PM] Gpello used command ::home | Player rights = GRACEFUL_DONATOR	
[4/15/23 11:25PM] Gpello used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/15/23 11:27PM] Gpello used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/15/23 11:30PM] Gpello used command ::home | Player rights = GRACEFUL_DONATOR	
[4/15/23 11:30PM] Gpello used command ::teleport | Player rights = GRACEFUL_DONATOR	
[4/15/23 11:43PM] Gpello used command ::vb | Player rights = GRACEFUL_DONATOR	
[4/15/23 11:43PM] Gpello used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/15/23 11:44PM] Gpello used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/15/23 11:45PM] Gpello used command ::home | Player rights = GRACEFUL_DONATOR	
[4/15/23 11:48PM] Gpello used command ::teleport | Player rights = GRACEFUL_DONATOR	
[4/15/23 11:53PM] Gpello used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 11:55PM] Gpello used command ::Veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 11:56PM] Gpello used command ::Dr | Player rights = GRACEFUL_DONATOR	
[4/16/23 12:00AM] Gpello used command ::home | Player rights = GRACEFUL_DONATOR	
[4/16/23 12:01AM] Gpello used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/16/23 12:04AM] Gpello used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/16/23 12:06AM] Gpello used command ::dropoff | Player rights = GRACEFUL_DONATOR	
[4/16/23 12:08AM] Gpello used command ::home | Player rights = GRACEFUL_DONATOR	
[4/16/23 12:09AM] Gpello used command ::afk | Player rights = GRACEFUL_DONATOR	
[4/16/23 07:28AM] Gpello used command ::home | Player rights = GRACEFUL_DONATOR	
[4/16/23 07:53AM] Gpello used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 07:56AM] Gpello used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/16/23 08:08AM] Gpello used command ::home | Player rights = GRACEFUL_DONATOR	
[4/16/23 08:23AM] Gpello used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 08:23AM] Gpello used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/16/23 08:24AM] Gpello used command ::tentails | Player rights = GRACEFUL_DONATOR	
[4/16/23 08:24AM] Gpello used command ::tentailes | Player rights = GRACEFUL_DONATOR	
[4/16/23 08:25AM] Gpello used command ::train | Player rights = GRACEFUL_DONATOR	
[4/16/23 08:28AM] Gpello used command ::home | Player rights = GRACEFUL_DONATOR	
[4/16/23 08:34AM] Gpello used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/16/23 08:34AM] Gpello used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:02AM] Gpello used command ::home | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:05AM] Gpello used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:06AM] Gpello used command ::home | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:06AM] Gpello used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:07AM] Gpello used command ::home | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:07AM] Gpello used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:09AM] Gpello used command ::bank | Player rights = CLERIC_DONATOR	
[4/16/23 09:14AM] Gpello used command ::home | Player rights = CLERIC_DONATOR	
[4/16/23 09:23AM] Gpello used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 09:40AM] Gpello used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 09:41AM] Gpello used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 09:44AM] Gpello used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 09:45AM] Gpello used command ::golden | Player rights = CLERIC_DONATOR	
[4/16/23 09:45AM] Gpello used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 09:45AM] Gpello used command ::golden | Player rights = CLERIC_DONATOR	
[4/16/23 09:47AM] Gpello used command ::vboss | Player rights = CLERIC_DONATOR	
[4/16/23 09:49AM] Gpello used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 09:49AM] Gpello used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 10:20AM] Gpello used command ::home | Player rights = CLERIC_DONATOR	
[4/16/23 10:23AM] Gpello used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 10:26AM] Gpello used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 10:28AM] Gpello used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 10:28AM] Gpello used command ::home | Player rights = CLERIC_DONATOR	
[4/16/23 12:09PM] Gpello used command ::home | Player rights = CLERIC_DONATOR	
[4/16/23 06:14PM] Gpello used command ::home | Player rights = CLERIC_DONATOR	
[4/16/23 06:21PM] Gpello used command ::vote | Player rights = CLERIC_DONATOR	
[4/16/23 06:23PM] Gpello used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 06:24PM] Gpello used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/16/23 06:25PM] Gpello used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 06:26PM] Gpello used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 06:26PM] Gpello used command ::ninetail | Player rights = CLERIC_DONATOR	
[4/16/23 06:26PM] Gpello used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 06:27PM] Gpello used command ::golden | Player rights = CLERIC_DONATOR	
[4/16/23 06:27PM] Gpello used command ::teleport | Player rights = CLERIC_DONATOR	
[4/16/23 06:41PM] Gpello used command ::teleport | Player rights = CLERIC_DONATOR	
[4/16/23 06:53PM] Gpello used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 06:55PM] Gpello used command ::home | Player rights = CLERIC_DONATOR	
[4/16/23 06:56PM] Gpello used command ::bank | Player rights = CLERIC_DONATOR	
[4/16/23 07:02PM] Gpello used command ::vboss | Player rights = CLERIC_DONATOR	
[4/16/23 07:23PM] Gpello used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 07:24PM] Gpello used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 07:25PM] Gpello used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 07:37PM] Gpello used command ::home | Player rights = CLERIC_DONATOR	
[4/16/23 07:53PM] Gpello used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 07:54PM] Gpello used command ::sasuke | Player rights = CLERIC_DONATOR	
[4/16/23 07:54PM] Gpello used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 07:55PM] Gpello used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 07:55PM] Gpello used command ::golden | Player rights = CLERIC_DONATOR	
[4/16/23 08:11PM] Gpello used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 08:17PM] Gpello used command ::yellowgolsboss | Player rights = CLERIC_DONATOR	
[4/16/23 08:23PM] Gpello used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 08:24PM] Gpello used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 08:25PM] Gpello used command ::golden | Player rights = CLERIC_DONATOR	
[4/16/23 08:26PM] Gpello used command ::Sfk | Player rights = CLERIC_DONATOR	
[4/16/23 08:26PM] Gpello used command ::afk | Player rights = CLERIC_DONATOR	
[4/16/23 08:26PM] Gpello used command ::afk | Player rights = CLERIC_DONATOR	
[4/16/23 08:30PM] Gpello used command ::home | Player rights = CLERIC_DONATOR	
[4/16/23 08:30PM] Gpello used command ::afk | Player rights = CLERIC_DONATOR	
[4/16/23 08:31PM] Gpello used command ::home | Player rights = CLERIC_DONATOR	
[4/16/23 08:31PM] Gpello used command ::home | Player rights = CLERIC_DONATOR	
[4/16/23 08:42PM] Gpello used command ::home | Player rights = CLERIC_DONATOR	
[4/16/23 08:48PM] Gpello used command ::home | Player rights = CLERIC_DONATOR	
[4/16/23 08:48PM] Gpello used command ::afk | Player rights = CLERIC_DONATOR	
[4/16/23 08:52PM] Gpello used command ::afk | Player rights = CLERIC_DONATOR	
[4/16/23 08:58PM] Gpello used command ::home | Player rights = CLERIC_DONATOR	
[4/16/23 08:59PM] Gpello used command ::afk | Player rights = CLERIC_DONATOR	
[4/17/23 05:41AM] Gpello used command ::afk | Player rights = CLERIC_DONATOR	
