[4/16/23 10:17AM] Atz used command ::ref | Player rights = PLAYER	
[4/16/23 03:24PM] Atz used command ::golden | Player rights = CLERIC_DONATOR	
[4/16/23 03:28PM] Atz used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 03:53PM] Atz used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 12:39AM] Atz used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 12:47AM] Atz used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 12:52AM] Atz used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 12:54AM] Atz used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 12:57AM] Atz used command ::vote | Player rights = CLERIC_DONATOR	
[4/17/23 12:58AM] Atz used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/17/23 12:59AM] Atz used command ::Reward 1 | Player rights = CLERIC_DONATOR	
[4/17/23 01:04AM] Atz used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/17/23 01:10AM] Atz used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 01:39AM] Atz used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 01:40AM] Atz used command ::nine | Player rights = CLERIC_DONATOR	
[4/17/23 01:40AM] Atz used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 01:41AM] Atz used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 01:48AM] Atz used command ::home | Player rights = CLERIC_DONATOR	
[4/17/23 02:03AM] Atz used command ::players | Player rights = CLERIC_DONATOR	
[4/17/23 02:10AM] Atz used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 03:40AM] Atz used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 03:41AM] Atz used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 03:42AM] Atz used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 01:32PM] Atz used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 01:33PM] Atz used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 01:33PM] Atz used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 01:35PM] Atz used command ::home | Player rights = CLERIC_DONATOR	
[4/17/23 01:38PM] Atz used command ::home | Player rights = CLERIC_DONATOR	
[4/17/23 01:47PM] Atz used command ::hom | Player rights = CLERIC_DONATOR	
[4/17/23 01:47PM] Atz used command ::home | Player rights = CLERIC_DONATOR	
[4/17/23 02:02PM] Atz used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 02:03PM] Atz used command ::shops | Player rights = CLERIC_DONATOR	
[4/17/23 02:11PM] Atz used command ::totem | Player rights = CLERIC_DONATOR	
[4/17/23 02:30PM] Atz used command ::players | Player rights = CLERIC_DONATOR	
[4/17/23 02:31PM] Atz used command ::pers | Player rights = CLERIC_DONATOR	
[4/17/23 02:31PM] Atz used command ::perks | Player rights = CLERIC_DONATOR	
[4/17/23 09:35PM] Atz used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 09:58PM] Atz used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/17/23 10:19PM] Atz used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 10:28PM] Atz used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/17/23 11:19PM] Atz used command ::bank | Player rights = CLERIC_DONATOR	
[4/17/23 11:26PM] Atz used command ::shops | Player rights = CLERIC_DONATOR	
[4/17/23 11:27PM] Atz used command ::shops | Player rights = CLERIC_DONATOR	
[4/17/23 11:41PM] Atz used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 11:51PM] Atz used command ::home | Player rights = TORMENTED_DONATOR	
[4/17/23 11:55PM] Atz used command ::pos | Player rights = TORMENTED_DONATOR	
[4/18/23 12:45AM] Atz used command ::voteboss | Player rights = TORMENTED_DONATOR	
[4/18/23 12:46AM] Atz used command ::home | Player rights = TORMENTED_DONATOR	
[4/18/23 01:20AM] Atz used command ::home | Player rights = TORMENTED_DONATOR	
[4/18/23 04:38AM] Atz used command ::Dropoff | Player rights = TORMENTED_DONATOR	
[4/18/23 04:41AM] Atz used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/18/23 04:42AM] Atz used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/18/23 04:43AM] Atz used command ::merum | Player rights = TORMENTED_DONATOR	
[4/18/23 04:43AM] Atz used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/18/23 04:44AM] Atz used command ::golden | Player rights = TORMENTED_DONATOR	
[4/18/23 04:46AM] Atz used command ::pos | Player rights = TORMENTED_DONATOR	
[4/18/23 05:19AM] Atz used command ::bank | Player rights = TORMENTED_DONATOR	
[4/18/23 05:20AM] Atz used command ::pos | Player rights = TORMENTED_DONATOR	
[4/18/23 08:39AM] Atz used command ::champion | Player rights = TORMENTED_DONATOR	
[4/18/23 08:43AM] Atz used command ::golden | Player rights = TORMENTED_DONATOR	
[4/18/23 08:51AM] Atz used command ::Dropsoff | Player rights = TORMENTED_DONATOR	
[4/18/23 08:57AM] Atz used command ::bank | Player rights = TORMENTED_DONATOR	
[4/18/23 09:13AM] Atz used command ::Voteboss | Player rights = TORMENTED_DONATOR	
[4/18/23 10:55AM] Atz used command ::bank | Player rights = TORMENTED_DONATOR	
[4/18/23 11:30AM] Atz used command ::pos | Player rights = TORMENTED_DONATOR	
[4/18/23 11:41AM] Atz used command ::dropson | Player rights = TORMENTED_DONATOR	
[4/18/23 11:41AM] Atz used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/18/23 11:41AM] Atz used command ::Veigar | Player rights = TORMENTED_DONATOR	
[4/18/23 11:41AM] Atz used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/18/23 11:43AM] Atz used command ::dropsoff | Player rights = TORMENTED_DONATOR	
[4/18/23 11:56AM] Atz used command ::dropson | Player rights = TORMENTED_DONATOR	
[4/18/23 11:56AM] Atz used command ::dropsoff | Player rights = TORMENTED_DONATOR	
[4/18/23 12:04PM] Atz used command ::pos | Player rights = TORMENTED_DONATOR	
[4/18/23 12:07PM] Atz used command ::pos | Player rights = TORMENTED_DONATOR	
[4/18/23 12:39PM] Atz used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/18/23 12:39PM] Atz used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/18/23 01:29PM] Atz used command ::voteboss | Player rights = MYSTICAL_DONATOR	
[4/19/23 02:04AM] Atz used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/19/23 05:24AM] Atz used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/19/23 05:33AM] Atz used command ::golden | Player rights = MYSTICAL_DONATOR	
[4/19/23 05:37AM] Atz used command ::mereum | Player rights = MYSTICAL_DONATOR	
[4/19/23 05:37AM] Atz used command ::mereum | Player rights = MYSTICAL_DONATOR	
[4/19/23 05:37AM] Atz used command ::merum | Player rights = MYSTICAL_DONATOR	
[4/19/23 05:38AM] Atz used command ::mereum | Player rights = MYSTICAL_DONATOR	
[4/19/23 05:38AM] Atz used command ::home | Player rights = MYSTICAL_DONATOR	
[4/19/23 06:25AM] Atz used command ::pos | Player rights = PLAYER	
[4/19/23 06:28AM] Atz used command ::pos | Player rights = PLAYER	
[4/19/23 06:44AM] Atz used command ::bank | Player rights = PLAYER	
