[4/18/23 08:21PM] Icy used command ::starter | Player rights = PLAYER	
[4/19/23 03:16PM] Icy used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/19/23 03:17PM] Icy used command ::ape | Player rights = GRACEFUL_DONATOR	
[4/19/23 03:18PM] Icy used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/19/23 04:13PM] Icy used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 04:15PM] Icy used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/19/23 04:38PM] Icy used command ::bank | Player rights = CLERIC_DONATOR	
[4/19/23 04:38PM] Icy used command ::home | Player rights = CLERIC_DONATOR	
[4/19/23 04:44PM] Icy used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 04:46PM] Icy used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/19/23 04:47PM] Icy used command ::bank | Player rights = CLERIC_DONATOR	
[4/19/23 04:48PM] Icy used command ::meruem | Player rights = CLERIC_DONATOR	
[4/19/23 04:52PM] Icy used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 04:53PM] Icy used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 05:12PM] Icy used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 05:14PM] Icy used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 05:15PM] Icy used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 05:16PM] Icy used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 05:17PM] Icy used command ::home | Player rights = CLERIC_DONATOR	
[4/19/23 05:17PM] Icy used command ::home | Player rights = CLERIC_DONATOR	
[4/19/23 05:22PM] Icy used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 05:42PM] Icy used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 05:44PM] Icy used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 05:44PM] Icy used command ::store | Player rights = CLERIC_DONATOR	
[4/19/23 05:56PM] Icy used command ::home | Player rights = CLERIC_DONATOR	
[4/19/23 05:59PM] Icy used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 06:00PM] Icy used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 06:14PM] Icy used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 06:15PM] Icy used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/19/23 06:16PM] Icy used command ::meruem | Player rights = CLERIC_DONATOR	
[4/19/23 06:43PM] Icy used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/19/23 06:44PM] Icy used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 06:45PM] Icy used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/19/23 06:57PM] Icy used command ::shops | Player rights = CLERIC_DONATOR	
[4/19/23 06:58PM] Icy used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 07:13PM] Icy used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 07:14PM] Icy used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/19/23 07:15PM] Icy used command ::meruem | Player rights = CLERIC_DONATOR	
[4/19/23 07:21PM] Icy used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 07:22PM] Icy used command ::afk | Player rights = CLERIC_DONATOR	
[4/19/23 09:47PM] Icy used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 09:49PM] Icy used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 09:58PM] Icy used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 10:11PM] Icy used command ::home | Player rights = CLERIC_DONATOR	
[4/19/23 10:12PM] Icy used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 10:14PM] Icy used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 10:14PM] Icy used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 10:20PM] Icy used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 10:21PM] Icy used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/19/23 11:15PM] Icy used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 11:19PM] Icy used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 11:21PM] Icy used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/19/23 11:33PM] Icy used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 11:36PM] Icy used command ::vote | Player rights = CLERIC_DONATOR	
[4/19/23 11:37PM] Icy used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/19/23 11:37PM] Icy used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/19/23 11:37PM] Icy used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/19/23 11:37PM] Icy used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/19/23 11:37PM] Icy used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/19/23 11:37PM] Icy used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/19/23 11:38PM] Icy used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/19/23 11:38PM] Icy used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/19/23 11:49PM] Icy used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 11:53PM] Icy used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/20/23 12:00AM] Icy used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 12:00AM] Icy used command ::bank | Player rights = CLERIC_DONATOR	
[4/20/23 12:01AM] Icy used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 12:02AM] Icy used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 12:03AM] Icy used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 12:19AM] Icy used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 12:21AM] Icy used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 12:23AM] Icy used command ::golden | Player rights = CLERIC_DONATOR	
[4/20/23 12:31AM] Icy used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 12:48AM] Icy used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 12:49AM] Icy used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 12:53AM] Icy used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 01:19AM] Icy used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 01:21AM] Icy used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 01:23AM] Icy used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 01:25AM] Icy used command ::golden | Player rights = CLERIC_DONATOR	
[4/20/23 01:25AM] Icy used command ::home | Player rights = CLERIC_DONATOR	
[4/20/23 01:25AM] Icy used command ::home | Player rights = CLERIC_DONATOR	
[4/20/23 01:26AM] Icy used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 01:49AM] Icy used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 02:01AM] Icy used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/20/23 02:09AM] Icy used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 02:15AM] Icy used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 02:20AM] Icy used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 02:21AM] Icy used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 02:49AM] Icy used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 03:18AM] Icy used command ::home | Player rights = CLERIC_DONATOR	
[4/20/23 03:18AM] Icy used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 03:21AM] Icy used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 03:22AM] Icy used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 03:24AM] Icy used command ::golden | Player rights = CLERIC_DONATOR	
[4/20/23 03:26AM] Icy used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 03:27AM] Icy used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/20/23 03:29AM] Icy used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 03:30AM] Icy used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 04:50AM] Icy used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 04:59AM] Icy used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 05:12AM] Icy used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 05:21AM] Icy used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 05:21AM] Icy used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 05:22AM] Icy used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 05:24AM] Icy used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 05:25AM] Icy used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 05:37AM] Icy used command ::wr3cked | Player rights = CLERIC_DONATOR	
[4/20/23 05:49AM] Icy used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 05:53AM] Icy used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/20/23 05:57AM] Icy used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 06:06AM] Icy used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 06:19AM] Icy used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 06:19AM] Icy used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 06:20AM] Icy used command ::dr | Player rights = CLERIC_DONATOR	
[4/20/23 06:21AM] Icy used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 06:21AM] Icy used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 06:22AM] Icy used command ::golden | Player rights = CLERIC_DONATOR	
[4/20/23 06:26AM] Icy used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 06:28AM] Icy used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 06:32AM] Icy used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/20/23 06:36AM] Icy used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 06:39AM] Icy used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 06:48AM] Icy used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 06:49AM] Icy used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 07:14AM] Icy used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 08:00AM] Icy used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 08:03AM] Icy used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 08:19AM] Icy used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 08:20AM] Icy used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 08:21AM] Icy used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 08:23AM] Icy used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 08:24AM] Icy used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 02:20PM] Icy used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 02:20PM] Icy used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 02:20PM] Icy used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 02:21PM] Icy used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 02:22PM] Icy used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 02:23PM] Icy used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 02:30PM] Icy used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 02:42PM] Icy used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 02:49PM] Icy used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 02:52PM] Icy used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/20/23 02:53PM] Icy used command ::home | Player rights = CLERIC_DONATOR	
[4/20/23 02:53PM] Icy used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 02:56PM] Icy used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 02:57PM] Icy used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 03:07PM] Icy used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 03:14PM] Icy used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 03:19PM] Icy used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 03:20PM] Icy used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 03:21PM] Icy used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 03:22PM] Icy used command ::golden | Player rights = CLERIC_DONATOR	
[4/20/23 03:25PM] Icy used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 03:28PM] Icy used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 03:29PM] Icy used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 03:32PM] Icy used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 03:46PM] Icy used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 03:50PM] Icy used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 03:50PM] Icy used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 04:05PM] Icy used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 04:10PM] Icy used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 04:17PM] Icy used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 04:19PM] Icy used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 04:29PM] Icy used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 04:34PM] Icy used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 04:43PM] Icy used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/20/23 04:44PM] Icy used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 04:49PM] Icy used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 04:50PM] Icy used command ::vote | Player rights = CLERIC_DONATOR	
[4/20/23 04:51PM] Icy used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/20/23 04:55PM] Icy used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 04:57PM] Icy used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 04:57PM] Icy used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 04:57PM] Icy used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 04:59PM] Icy used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 05:01PM] Icy used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 05:02PM] Icy used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 05:03PM] Icy used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 05:18PM] Icy used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 05:19PM] Icy used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 05:20PM] Icy used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 05:21PM] Icy used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 05:23PM] Icy used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 05:24PM] Icy used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 05:25PM] Icy used command ::Store | Player rights = CLERIC_DONATOR	
[4/20/23 05:26PM] Icy used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 05:26PM] Icy used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 05:31PM] Icy used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 05:34PM] Icy used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 05:39PM] Icy used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 05:49PM] Icy used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 05:55PM] Icy used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 09:33PM] Icy used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 09:34PM] Icy used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 09:39PM] Icy used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 09:45PM] Icy used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/20/23 09:51PM] Icy used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 09:52PM] Icy used command ::home | Player rights = CLERIC_DONATOR	
[4/20/23 09:56PM] Icy used command ::bank | Player rights = CLERIC_DONATOR	
[4/20/23 10:02PM] Icy used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 10:06PM] Icy used command ::home | Player rights = CLERIC_DONATOR	
[4/20/23 10:07PM] Icy used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 10:29PM] Icy used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 10:32PM] Icy used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 10:34PM] Icy used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 10:34PM] Icy used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 10:35PM] Icy used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 10:36PM] Icy used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 10:37PM] Icy used command ::golden | Player rights = CLERIC_DONATOR	
[4/20/23 10:37PM] Icy used command ::home | Player rights = CLERIC_DONATOR	
[4/20/23 10:49PM] Icy used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 11:03PM] Icy used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 11:07PM] Icy used command ::Store | Player rights = CLERIC_DONATOR	
[4/20/23 11:08PM] Icy used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 11:09PM] Icy used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 11:09PM] Icy used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 11:26PM] Icy used command ::vote | Player rights = CLERIC_DONATOR	
[4/20/23 11:32PM] Icy used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 11:34PM] Icy used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 11:35PM] Icy used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 11:35PM] Icy used command ::golden | Player rights = CLERIC_DONATOR	
[4/21/23 12:01AM] Icy used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 12:02AM] Icy used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 12:10AM] Icy used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 12:13AM] Icy used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 12:30AM] Icy used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 12:32AM] Icy used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 12:34AM] Icy used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 12:36AM] Icy used command ::meruem | Player rights = CLERIC_DONATOR	
[4/21/23 12:38AM] Icy used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 12:39AM] Icy used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 12:43AM] Icy used command ::vboss | Player rights = CLERIC_DONATOR	
[4/21/23 12:50AM] Icy used command ::dropon | Player rights = CLERIC_DONATOR	
[4/21/23 12:50AM] Icy used command ::dropoff | Player rights = CLERIC_DONATOR	
[4/21/23 12:57AM] Icy used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 01:02AM] Icy used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/21/23 01:11AM] Icy used command ::dropoff | Player rights = TORMENTED_DONATOR	
[4/21/23 01:13AM] Icy used command ::bank | Player rights = TORMENTED_DONATOR	
[4/21/23 01:13AM] Icy used command ::bank | Player rights = TORMENTED_DONATOR	
[4/21/23 01:33AM] Icy used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/21/23 01:36AM] Icy used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/21/23 01:43AM] Icy used command ::bank | Player rights = TORMENTED_DONATOR	
[4/21/23 01:44AM] Icy used command ::bank | Player rights = TORMENTED_DONATOR	
[4/21/23 02:01AM] Icy used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 02:03AM] Icy used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/21/23 02:12AM] Icy used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 03:13AM] Icy used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 03:32AM] Icy used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/21/23 03:35AM] Icy used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/21/23 03:40AM] Icy used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 06:38AM] Icy used command ::voteboss | Player rights = TORMENTED_DONATOR	
[4/21/23 06:39AM] Icy used command ::bank | Player rights = TORMENTED_DONATOR	
[4/21/23 06:42AM] Icy used command ::dr | Player rights = TORMENTED_DONATOR	
[4/21/23 06:43AM] Icy used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 07:02AM] Icy used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/21/23 07:03AM] Icy used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 07:16AM] Icy used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 07:21AM] Icy used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 07:24AM] Icy used command ::bank | Player rights = TORMENTED_DONATOR	
[4/21/23 07:31AM] Icy used command ::bank | Player rights = TORMENTED_DONATOR	
[4/21/23 07:31AM] Icy used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 07:32AM] Icy used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 07:33AM] Icy used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/21/23 07:33AM] Icy used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 07:34AM] Icy used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/21/23 07:34AM] Icy used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 07:41AM] Icy used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 07:51AM] Icy used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 07:57AM] Icy used command ::voteboss | Player rights = TORMENTED_DONATOR	
[4/21/23 07:58AM] Icy used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 07:58AM] Icy used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 08:03AM] Icy used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/21/23 08:03AM] Icy used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 08:13AM] Icy used command ::raids | Player rights = TORMENTED_DONATOR	
[4/21/23 08:22AM] Icy used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 08:28AM] Icy used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 08:29AM] Icy used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/21/23 08:29AM] Icy used command ::nintetails | Player rights = TORMENTED_DONATOR	
[4/21/23 08:29AM] Icy used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/21/23 08:31AM] Icy used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/21/23 08:32AM] Icy used command ::golden | Player rights = TORMENTED_DONATOR	
[4/21/23 08:32AM] Icy used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/21/23 08:33AM] Icy used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/21/23 08:34AM] Icy used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/21/23 08:35AM] Icy used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/21/23 08:37AM] Icy used command ::voteboss | Player rights = TORMENTED_DONATOR	
[4/21/23 08:38AM] Icy used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 08:39AM] Icy used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/21/23 08:39AM] Icy used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 08:40AM] Icy used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/21/23 08:40AM] Icy used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 08:42AM] Icy used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 08:43AM] Icy used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 08:43AM] Icy used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/21/23 08:45AM] Icy used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 08:45AM] Icy used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/21/23 08:46AM] Icy used command ::pos | Player rights = TORMENTED_DONATOR	
