[4/18/23 06:09AM] Gekyume used command ::train | Player rights = PLAYER	
[4/19/23 06:35AM] Gekyume used command ::meruem | Player rights = PLAYER	
[4/19/23 06:35AM] Gekyume used command ::golden | Player rights = PLAYER	
[4/19/23 06:41AM] Gekyume used command ::vote | Player rights = PLAYER	
[4/19/23 06:49AM] Gekyume used command ::reward 1 | Player rights = PLAYER	
[4/19/23 06:49AM] Gekyume used command ::reward 1 | Player rights = PLAYER	
[4/19/23 06:53AM] Gekyume used command ::veigar | Player rights = PLAYER	
[4/19/23 07:00AM] Gekyume used command ::tasks | Player rights = PLAYER	
[4/19/23 07:14AM] Gekyume used command ::tiers | Player rights = PLAYER	
[4/19/23 07:14AM] Gekyume used command ::tier | Player rights = PLAYER	
[4/19/23 07:15AM] Gekyume used command ::tasks | Player rights = PLAYER	
[4/19/23 07:21AM] Gekyume used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/19/23 07:23AM] Gekyume used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 07:25AM] Gekyume used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/19/23 07:25AM] Gekyume used command ::maxhit | Player rights = GRACEFUL_DONATOR	
[4/19/23 07:27AM] Gekyume used command ::Golden | Player rights = GRACEFUL_DONATOR	
[4/19/23 07:28AM] Gekyume used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/19/23 07:32AM] Gekyume used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/19/23 07:32AM] Gekyume used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/19/23 07:32AM] Gekyume used command ::reward 1  | Player rights = GRACEFUL_DONATOR	
[4/19/23 07:36AM] Gekyume used command ::yell selling 23$ for 40k ea in exchange for gear/casH | Player rights = GRACEFUL_DONATOR	
[4/19/23 07:43AM] Gekyume used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 07:47AM] Gekyume used command ::tasks | Player rights = GRACEFUL_DONATOR	
[4/19/23 07:48AM] Gekyume used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/19/23 07:50AM] Gekyume used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/19/23 07:52AM] Gekyume used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/19/23 07:55AM] Gekyume used command ::yell selling bonds @pm | Player rights = GRACEFUL_DONATOR	
[4/19/23 08:01AM] Gekyume used command ::yell selling $ scrolls | Player rights = GRACEFUL_DONATOR	
[4/19/23 08:04AM] Gekyume used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/19/23 08:07AM] Gekyume used command ::yell buying a weapon for up to 400k | Player rights = GRACEFUL_DONATOR	
[4/19/23 08:14AM] Gekyume used command ::yell buying a weapon for up to 400k | Player rights = GRACEFUL_DONATOR	
[4/19/23 08:16AM] Gekyume used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 08:18AM] Gekyume used command ::instance | Player rights = GRACEFUL_DONATOR	
[4/19/23 08:18AM] Gekyume used command ::yell how do you instance? | Player rights = GRACEFUL_DONATOR	
[4/19/23 08:46AM] Gekyume used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 08:47AM] Gekyume used command ::yell buying a weapon for up to 400k | Player rights = GRACEFUL_DONATOR	
[4/19/23 08:47AM] Gekyume used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/19/23 08:49AM] Gekyume used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/19/23 08:55AM] Gekyume used command ::vboss | Player rights = CLERIC_DONATOR	
[4/19/23 08:58AM] Gekyume used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 08:59AM] Gekyume used command ::bank | Player rights = CLERIC_DONATOR	
[4/19/23 09:00AM] Gekyume used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 09:02AM] Gekyume used command ::::pos | Player rights = CLERIC_DONATOR	
[4/19/23 09:02AM] Gekyume used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 09:03AM] Gekyume used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 09:03AM] Gekyume used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 09:05AM] Gekyume used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 09:06AM] Gekyume used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 09:06AM] Gekyume used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 09:07AM] Gekyume used command ::bank | Player rights = CLERIC_DONATOR	
[4/19/23 09:10AM] Gekyume used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 09:15AM] Gekyume used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/19/23 09:16AM] Gekyume used command ::meruem | Player rights = CLERIC_DONATOR	
[4/19/23 09:18AM] Gekyume used command ::golden | Player rights = CLERIC_DONATOR	
[4/19/23 09:19AM] Gekyume used command ::ref | Player rights = CLERIC_DONATOR	
[4/19/23 09:22AM] Gekyume used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 09:24AM] Gekyume used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 09:25AM] Gekyume used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 09:26AM] Gekyume used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 09:27AM] Gekyume used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 09:28AM] Gekyume used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 09:28AM] Gekyume used command ::Pos | Player rights = CLERIC_DONATOR	
[4/19/23 09:31AM] Gekyume used command ::yell so approx hm is 50m stats? | Player rights = CLERIC_DONATOR	
[4/19/23 09:33AM] Gekyume used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 09:36AM] Gekyume used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 09:36AM] Gekyume used command :::pos | Player rights = CLERIC_DONATOR	
[4/19/23 09:37AM] Gekyume used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 09:37AM] Gekyume used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 09:40AM] Gekyume used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 09:43AM] Gekyume used command ::Pos | Player rights = CLERIC_DONATOR	
[4/19/23 09:43AM] Gekyume used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 09:44AM] Gekyume used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 09:45AM] Gekyume used command ::bank | Player rights = CLERIC_DONATOR	
[4/19/23 09:47AM] Gekyume used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 09:52AM] Gekyume used command ::Pos | Player rights = CLERIC_DONATOR	
[4/19/23 09:56AM] Gekyume used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 10:13AM] Gekyume used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/19/23 10:14AM] Gekyume used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 10:15AM] Gekyume used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/19/23 10:17AM] Gekyume used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 10:34AM] Gekyume used command ::dropoff | Player rights = CLERIC_DONATOR	
[4/19/23 10:39AM] Gekyume used command ::bank | Player rights = CLERIC_DONATOR	
[4/19/23 10:39AM] Gekyume used command ::bank | Player rights = CLERIC_DONATOR	
[4/19/23 10:43AM] Gekyume used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 10:44AM] Gekyume used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 10:49AM] Gekyume used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 10:50AM] Gekyume used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 10:52AM] Gekyume used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 10:53AM] Gekyume used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 11:13AM] Gekyume used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 11:14AM] Gekyume used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 11:15AM] Gekyume used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/19/23 11:15AM] Gekyume used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/19/23 11:16AM] Gekyume used command ::meruem | Player rights = CLERIC_DONATOR	
[4/19/23 11:16AM] Gekyume used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 11:18AM] Gekyume used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 11:19AM] Gekyume used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 11:19AM] Gekyume used command ::vboss | Player rights = CLERIC_DONATOR	
[4/19/23 11:21AM] Gekyume used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 11:21AM] Gekyume used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 11:21AM] Gekyume used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 11:43AM] Gekyume used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/19/23 11:44AM] Gekyume used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/19/23 11:45AM] Gekyume used command ::meruem | Player rights = CLERIC_DONATOR	
[4/19/23 11:46AM] Gekyume used command ::golden | Player rights = CLERIC_DONATOR	
[4/19/23 11:47AM] Gekyume used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 11:53AM] Gekyume used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 12:13PM] Gekyume used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 12:14PM] Gekyume used command ::vboss | Player rights = CLERIC_DONATOR	
[4/19/23 12:14PM] Gekyume used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 12:14PM] Gekyume used command ::vboss | Player rights = CLERIC_DONATOR	
[4/19/23 12:16PM] Gekyume used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/19/23 12:17PM] Gekyume used command ::meruem | Player rights = CLERIC_DONATOR	
[4/19/23 12:17PM] Gekyume used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 12:18PM] Gekyume used command ::golden | Player rights = CLERIC_DONATOR	
[4/19/23 12:19PM] Gekyume used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 12:20PM] Gekyume used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 12:21PM] Gekyume used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 12:23PM] Gekyume used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 12:23PM] Gekyume used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 12:44PM] Gekyume used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 12:45PM] Gekyume used command ::vboss | Player rights = CLERIC_DONATOR	
[4/19/23 12:46PM] Gekyume used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 12:51PM] Gekyume used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 12:54PM] Gekyume used command ::yell selling 115 $ pm | Player rights = CLERIC_DONATOR	
[4/19/23 12:58PM] Gekyume used command ::yell selling 115$ | Player rights = CLERIC_DONATOR	
[4/19/23 01:04PM] Gekyume used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 01:12PM] Gekyume used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 01:13PM] Gekyume used command ::bank | Player rights = CLERIC_DONATOR	
[4/19/23 01:13PM] Gekyume used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 01:14PM] Gekyume used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/19/23 01:15PM] Gekyume used command ::meruem | Player rights = CLERIC_DONATOR	
[4/19/23 01:17PM] Gekyume used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 11:22PM] Gekyume used command ::yell selling saiyan god gloves 55m | Player rights = CLERIC_DONATOR	
[4/20/23 11:25PM] Gekyume used command ::yell anyone selling 3x3 aoe? | Player rights = CLERIC_DONATOR	
[4/20/23 11:32PM] Gekyume used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 11:34PM] Gekyume used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 11:35PM] Gekyume used command ::golden | Player rights = CLERIC_DONATOR	
[4/20/23 11:48PM] Gekyume used command ::yell anyone selling aoe 3x3? | Player rights = CLERIC_DONATOR	
[4/21/23 12:02AM] Gekyume used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 12:02AM] Gekyume used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 12:10AM] Gekyume used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 12:32AM] Gekyume used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 12:33AM] Gekyume used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 12:35AM] Gekyume used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 12:35AM] Gekyume used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 12:36AM] Gekyume used command ::meruem | Player rights = CLERIC_DONATOR	
[4/21/23 12:37AM] Gekyume used command ::vote | Player rights = CLERIC_DONATOR	
[4/21/23 12:38AM] Gekyume used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/21/23 12:38AM] Gekyume used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/21/23 12:38AM] Gekyume used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/21/23 12:38AM] Gekyume used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 12:40AM] Gekyume used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 12:43AM] Gekyume used command ::vboss | Player rights = CLERIC_DONATOR	
[4/21/23 12:46AM] Gekyume used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 01:03AM] Gekyume used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 01:08AM] Gekyume used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 01:25AM] Gekyume used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 01:33AM] Gekyume used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 01:35AM] Gekyume used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 01:42AM] Gekyume used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 01:58AM] Gekyume used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 02:02AM] Gekyume used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 02:12AM] Gekyume used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 02:15AM] Gekyume used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 02:26AM] Gekyume used command ::vboss | Player rights = CLERIC_DONATOR	
[4/21/23 02:29AM] Gekyume used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 02:32AM] Gekyume used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 02:34AM] Gekyume used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 02:37AM] Gekyume used command ::meruem | Player rights = CLERIC_DONATOR	
[4/21/23 02:39AM] Gekyume used command ::golden | Player rights = CLERIC_DONATOR	
[4/21/23 02:40AM] Gekyume used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 02:55AM] Gekyume used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 02:55AM] Gekyume used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 02:56AM] Gekyume used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 03:03AM] Gekyume used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 03:03AM] Gekyume used command ::Pos | Player rights = CLERIC_DONATOR	
[4/21/23 03:14AM] Gekyume used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 03:48AM] Gekyume used command ::ref wr3cked | Player rights = CLERIC_DONATOR	
[4/21/23 04:03AM] Gekyume used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 04:03AM] Gekyume used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 04:04AM] Gekyume used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 04:33AM] Gekyume used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 04:33AM] Gekyume used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 04:34AM] Gekyume used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 04:36AM] Gekyume used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 04:38AM] Gekyume used command ::meruem | Player rights = CLERIC_DONATOR	
[4/21/23 04:41AM] Gekyume used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 04:42AM] Gekyume used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 04:44AM] Gekyume used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 04:47AM] Gekyume used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/21/23 05:03AM] Gekyume used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 05:05AM] Gekyume used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 05:21AM] Gekyume used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 05:22AM] Gekyume used command ::yell lots of gear in my pos cheap | Player rights = CLERIC_DONATOR	
[4/21/23 05:33AM] Gekyume used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 05:34AM] Gekyume used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 05:35AM] Gekyume used command ::yell you need the dr only or exp and damage too? | Player rights = CLERIC_DONATOR	
[4/21/23 05:35AM] Gekyume used command ::golden | Player rights = CLERIC_DONATOR	
[4/21/23 05:36AM] Gekyume used command ::golden | Player rights = CLERIC_DONATOR	
[4/21/23 05:36AM] Gekyume used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 05:38AM] Gekyume used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 05:38AM] Gekyume used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 05:39AM] Gekyume used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 06:03AM] Gekyume used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 06:06AM] Gekyume used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 06:06AM] Gekyume used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 06:07AM] Gekyume used command ::yell hm are owner pieces worth? | Player rights = CLERIC_DONATOR	
[4/21/23 06:13AM] Gekyume used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 06:15AM] Gekyume used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 06:32AM] Gekyume used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 06:34AM] Gekyume used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 06:34AM] Gekyume used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 06:35AM] Gekyume used command ::meruem | Player rights = CLERIC_DONATOR	
[4/21/23 06:36AM] Gekyume used command ::golden | Player rights = CLERIC_DONATOR	
[4/21/23 06:58AM] Gekyume used command ::yell 14k kc and only 3 drops this cant be right | Player rights = CLERIC_DONATOR	
[4/21/23 07:03AM] Gekyume used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 07:03AM] Gekyume used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 07:29AM] Gekyume used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 07:31AM] Gekyume used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 07:32AM] Gekyume used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 07:34AM] Gekyume used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 07:34AM] Gekyume used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 07:35AM] Gekyume used command ::meruem | Player rights = CLERIC_DONATOR	
[4/21/23 08:02AM] Gekyume used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 08:02AM] Gekyume used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 08:22AM] Gekyume used command ::yell dude tf 26k golem kills and still no log | Player rights = CLERIC_DONATOR	
[4/21/23 08:24AM] Gekyume used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 08:26AM] Gekyume used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 08:26AM] Gekyume used command ::yell selling triple kills in my pos | Player rights = CLERIC_DONATOR	
[4/21/23 08:32AM] Gekyume used command ::yell selling saiyan god gloves 55m stats @pm | Player rights = CLERIC_DONATOR	
[4/21/23 08:32AM] Gekyume used command ::golden | Player rights = CLERIC_DONATOR	
[4/21/23 08:32AM] Gekyume used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 08:32AM] Gekyume used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 08:33AM] Gekyume used command ::vboss | Player rights = CLERIC_DONATOR	
[4/21/23 08:34AM] Gekyume used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 08:34AM] Gekyume used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 08:35AM] Gekyume used command ::meruem | Player rights = CLERIC_DONATOR	
[4/21/23 08:35AM] Gekyume used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 08:35AM] Gekyume used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 08:36AM] Gekyume used command ::golden | Player rights = CLERIC_DONATOR	
[4/21/23 08:36AM] Gekyume used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 08:37AM] Gekyume used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 08:37AM] Gekyume used command ::vboss | Player rights = CLERIC_DONATOR	
[4/21/23 08:37AM] Gekyume used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 08:38AM] Gekyume used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 08:38AM] Gekyume used command ::vboss | Player rights = CLERIC_DONATOR	
[4/21/23 08:39AM] Gekyume used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 08:39AM] Gekyume used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 08:40AM] Gekyume used command ::vboss | Player rights = CLERIC_DONATOR	
[4/21/23 08:40AM] Gekyume used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 08:41AM] Gekyume used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 08:43AM] Gekyume used command ::meruem | Player rights = CLERIC_DONATOR	
[4/21/23 08:44AM] Gekyume used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 08:45AM] Gekyume used command ::vboss | Player rights = CLERIC_DONATOR	
[4/21/23 08:45AM] Gekyume used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 08:46AM] Gekyume used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 08:49AM] Gekyume used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 08:53AM] Gekyume used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 09:00AM] Gekyume used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 09:03AM] Gekyume used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 09:03AM] Gekyume used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 09:04AM] Gekyume used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 09:09AM] Gekyume used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 09:10AM] Gekyume used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 09:11AM] Gekyume used command ::yell selling approx 180$ 55k ea | Player rights = CLERIC_DONATOR	
[4/21/23 09:16AM] Gekyume used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 09:32AM] Gekyume used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 09:33AM] Gekyume used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 09:33AM] Gekyume used command ::yell selling over 150$ in bonds | Player rights = CLERIC_DONATOR	
