[4/15/23 01:48PM] Uhthred used command ::donate | Player rights = PLAYER	
[4/16/23 05:12AM] Uhthred used command ::task | Player rights = CLERIC_DONATOR	
[4/16/23 05:12AM] Uhthred used command ::collection | Player rights = CLERIC_DONATOR	
[4/16/23 05:23AM] Uhthred used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 05:25AM] Uhthred used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 05:26AM] Uhthred used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 05:27AM] Uhthred used command ::dr | Player rights = CLERIC_DONATOR	
[4/16/23 05:28AM] Uhthred used command ::golden | Player rights = CLERIC_DONATOR	
[4/16/23 05:29AM] Uhthred used command ::golden | Player rights = CLERIC_DONATOR	
[4/16/23 05:53AM] Uhthred used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 11:54AM] Uhthred used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 12:00PM] Uhthred used command ::ref | Player rights = CLERIC_DONATOR	
[4/16/23 12:04PM] Uhthred used command ::ents | Player rights = CLERIC_DONATOR	
[4/16/23 12:04PM] Uhthred used command ::ref | Player rights = CLERIC_DONATOR	
[4/16/23 12:06PM] Uhthred used command ::dr | Player rights = CLERIC_DONATOR	
[4/16/23 12:11PM] Uhthred used command ::bank | Player rights = CLERIC_DONATOR	
[4/16/23 12:23PM] Uhthred used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 12:24PM] Uhthred used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 12:50PM] Uhthred used command :::elo | Player rights = CLERIC_DONATOR	
[4/16/23 12:50PM] Uhthred used command ::elo | Player rights = CLERIC_DONATOR	
[4/16/23 12:50PM] Uhthred used command ::elo | Player rights = CLERIC_DONATOR	
[4/16/23 12:50PM] Uhthred used command ::elo | Player rights = CLERIC_DONATOR	
[4/16/23 12:52PM] Uhthred used command ::dr | Player rights = CLERIC_DONATOR	
[4/16/23 12:54PM] Uhthred used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 12:54PM] Uhthred used command ::zones | Player rights = CLERIC_DONATOR	
[4/16/23 12:57PM] Uhthred used command ::dr | Player rights = CLERIC_DONATOR	
[4/17/23 01:32PM] Uhthred used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 02:01PM] Uhthred used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 09:58PM] Uhthred used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 09:58PM] Uhthred used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 10:18PM] Uhthred used command ::home | Player rights = CLERIC_DONATOR	
[4/17/23 10:28PM] Uhthred used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 10:42PM] Uhthred used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 10:42PM] Uhthred used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 10:43PM] Uhthred used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 10:43PM] Uhthred used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 11:04PM] Uhthred used command ::dr | Player rights = CLERIC_DONATOR	
[4/17/23 11:04PM] Uhthred used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 11:09PM] Uhthred used command ::dr | Player rights = CLERIC_DONATOR	
[4/17/23 11:11PM] Uhthred used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 11:21PM] Uhthred used command ::dr | Player rights = CLERIC_DONATOR	
[4/17/23 11:25PM] Uhthred used command ::dr | Player rights = CLERIC_DONATOR	
[4/17/23 11:41PM] Uhthred used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 11:52PM] Uhthred used command ::dr | Player rights = CLERIC_DONATOR	
[4/18/23 12:00AM] Uhthred used command ::home | Player rights = CLERIC_DONATOR	
[4/18/23 12:11AM] Uhthred used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 12:20AM] Uhthred used command ::dr | Player rights = CLERIC_DONATOR	
[4/18/23 12:41AM] Uhthred used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 12:42AM] Uhthred used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 12:43AM] Uhthred used command ::meruem | Player rights = CLERIC_DONATOR	
[4/18/23 12:45AM] Uhthred used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/18/23 12:49AM] Uhthred used command ::home | Player rights = CLERIC_DONATOR	
[4/18/23 12:59AM] Uhthred used command ::dr | Player rights = CLERIC_DONATOR	
[4/18/23 02:04AM] Uhthred used command ::afk | Player rights = CLERIC_DONATOR	
[4/18/23 02:05AM] Uhthred used command ::shops | Player rights = CLERIC_DONATOR	
[4/18/23 02:05AM] Uhthred used command ::shops | Player rights = CLERIC_DONATOR	
[4/18/23 02:06AM] Uhthred used command ::home | Player rights = CLERIC_DONATOR	
[4/18/23 02:08AM] Uhthred used command ::afk | Player rights = CLERIC_DONATOR	
[4/18/23 03:51AM] Uhthred used command ::store | Player rights = CLERIC_DONATOR	
[4/18/23 03:53AM] Uhthred used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 04:12AM] Uhthred used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 04:35AM] Uhthred used command ::afk | Player rights = CLERIC_DONATOR	
[4/18/23 05:41AM] Uhthred used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 05:42AM] Uhthred used command ::afk | Player rights = CLERIC_DONATOR	
[4/18/23 06:57AM] Uhthred used command ::dr | Player rights = CLERIC_DONATOR	
[4/18/23 12:11PM] Uhthred used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 12:16PM] Uhthred used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/18/23 12:17PM] Uhthred used command ::junk | Player rights = CLERIC_DONATOR	
[4/18/23 12:17PM] Uhthred used command ::bank | Player rights = CLERIC_DONATOR	
[4/18/23 12:17PM] Uhthred used command ::bank | Player rights = CLERIC_DONATOR	
[4/18/23 12:17PM] Uhthred used command ::Bank | Player rights = CLERIC_DONATOR	
[4/18/23 12:17PM] Uhthred used command ::bank | Player rights = CLERIC_DONATOR	
[4/18/23 12:17PM] Uhthred used command ::home | Player rights = CLERIC_DONATOR	
[4/18/23 12:41PM] Uhthred used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 12:41PM] Uhthred used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 12:42PM] Uhthred used command ::mereum | Player rights = CLERIC_DONATOR	
[4/18/23 12:42PM] Uhthred used command ::mereum | Player rights = CLERIC_DONATOR	
[4/18/23 12:43PM] Uhthred used command ::golden | Player rights = CLERIC_DONATOR	
[4/18/23 01:41PM] Uhthred used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 01:41PM] Uhthred used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 01:41PM] Uhthred used command ::golden | Player rights = CLERIC_DONATOR	
[4/19/23 11:41AM] Uhthred used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/19/23 11:43AM] Uhthred used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 11:44AM] Uhthred used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/19/23 11:45AM] Uhthred used command ::meruem | Player rights = CLERIC_DONATOR	
[4/19/23 11:46AM] Uhthred used command ::golden | Player rights = CLERIC_DONATOR	
[4/19/23 12:13PM] Uhthred used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 12:15PM] Uhthred used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/19/23 12:16PM] Uhthred used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/19/23 12:17PM] Uhthred used command ::golden | Player rights = CLERIC_DONATOR	
[4/19/23 12:44PM] Uhthred used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 12:45PM] Uhthred used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/19/23 12:50PM] Uhthred used command ::refer | Player rights = CLERIC_DONATOR	
[4/19/23 01:03PM] Uhthred used command ::ref wr3cked | Player rights = CLERIC_DONATOR	
[4/19/23 01:13PM] Uhthred used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 01:14PM] Uhthred used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/19/23 01:15PM] Uhthred used command ::mereum | Player rights = CLERIC_DONATOR	
[4/19/23 01:15PM] Uhthred used command ::meruem | Player rights = CLERIC_DONATOR	
[4/19/23 01:20PM] Uhthred used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/20/23 12:19PM] Uhthred used command ::dr | Player rights = CLERIC_DONATOR	
[4/20/23 12:19PM] Uhthred used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 12:20PM] Uhthred used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 12:21PM] Uhthred used command ::golden | Player rights = CLERIC_DONATOR	
[4/20/23 12:22PM] Uhthred used command ::vboss | Player rights = CLERIC_DONATOR	
[4/20/23 12:28PM] Uhthred used command ::Store | Player rights = CLERIC_DONATOR	
[4/20/23 12:49PM] Uhthred used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 12:50PM] Uhthred used command ::dr | Player rights = CLERIC_DONATOR	
