[4/19/23 11:26AM] Wr3cked used command ::REFER | Player rights = PLAYER	
[4/19/23 12:57PM] Wr3cked used command ::claimall | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:57PM] Wr3cked used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:59PM] Wr3cked used command ::Yell live rn $250 giveaway!!! @::wr3cked | Player rights = GRACEFUL_DONATOR	
[4/19/23 01:01PM] Wr3cked used command ::yell live rn! $250 giveaway inc!!!!!!!!! @::wr3cked | Player rights = GRACEFUL_DONATOR	
[4/19/23 01:02PM] Wr3cked used command ::Yell almost 150 onlineeeeeeee @::Wr3cked | Player rights = GRACEFUL_DONATOR	
[4/19/23 01:03PM] Wr3cked used command ::dropoff | Player rights = GRACEFUL_DONATOR	
[4/19/23 01:06PM] Wr3cked used command ::home | Player rights = GRACEFUL_DONATOR	
[4/20/23 05:41AM] Wr3cked used command ::Yell crazy 50m item giveaway live rn @::Wr3cked | Player rights = GRACEFUL_DONATOR	
[4/20/23 05:42AM] Wr3cked used command ::Bank | Player rights = GRACEFUL_DONATOR	
[4/20/23 05:42AM] Wr3cked used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/20/23 05:44AM] Wr3cked used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/20/23 05:45AM] Wr3cked used command ::Reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/20/23 05:46AM] Wr3cked used command ::Yell 50m giveaway live rn! early vibes @::Wr3cked | Player rights = GRACEFUL_DONATOR	
[4/20/23 05:50AM] Wr3cked used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 05:50AM] Wr3cked used command ::Yell first giveaway of many live rn! going in 2 mins @::Wr3cked | Player rights = GRACEFUL_DONATOR	
[4/20/23 05:50AM] Wr3cked used command ::YEll ::Wr3cked | Player rights = GRACEFUL_DONATOR	
[4/20/23 05:51AM] Wr3cked used command ::Yell happy 4/20#!!@#! | Player rights = GRACEFUL_DONATOR	
[4/20/23 05:53AM] Wr3cked used command ::vOTEBOSS | Player rights = GRACEFUL_DONATOR	
[4/20/23 05:55AM] Wr3cked used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/20/23 05:55AM] Wr3cked used command ::bANK | Player rights = GRACEFUL_DONATOR	
[4/20/23 05:58AM] Wr3cked used command ::mereum | Player rights = GRACEFUL_DONATOR	
[4/20/23 05:58AM] Wr3cked used command ::mereum | Player rights = GRACEFUL_DONATOR	
[4/20/23 05:58AM] Wr3cked used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/20/23 05:58AM] Wr3cked used command ::Yell rolling 50m giveaway rn! get in boiiis @::Wr3cked | Player rights = GRACEFUL_DONATOR	
[4/20/23 06:02AM] Wr3cked used command ::YELL OWNER CAPE + 50M BOOK GIVEAWAY @ ::wR3CKED | Player rights = CLERIC_DONATOR	
[4/20/23 06:03AM] Wr3cked used command ::Bank | Player rights = CLERIC_DONATOR	
[4/20/23 06:06AM] Wr3cked used command ::yell live rn! 2 winner giveaway sponsored @::Wr3cked | Player rights = CLERIC_DONATOR	
[4/20/23 06:07AM] Wr3cked used command ::Refer | Player rights = CLERIC_DONATOR	
[4/20/23 06:11AM] Wr3cked used command ::yell live rn crazy hypeeee @::wr3cked | Player rights = CLERIC_DONATOR	
[4/20/23 06:12AM] Wr3cked used command ::yell live rn massive 2 winner giveaway @::Wr3cked | Player rights = CLERIC_DONATOR	
[4/20/23 06:15AM] Wr3cked used command ::Yell 50m fazula book giveaway @::Wr3cked | Player rights = CLERIC_DONATOR	
[4/20/23 06:19AM] Wr3cked used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 06:20AM] Wr3cked used command ::mydr | Player rights = CLERIC_DONATOR	
[4/20/23 06:20AM] Wr3cked used command ::mydr | Player rights = CLERIC_DONATOR	
[4/20/23 06:21AM] Wr3cked used command ::golden | Player rights = CLERIC_DONATOR	
[4/20/23 06:21AM] Wr3cked used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 06:22AM] Wr3cked used command ::golden | Player rights = CLERIC_DONATOR	
[4/20/23 06:23AM] Wr3cked used command ::Yell massive $100 bond giveaway! live rn @::Wr3cked | Player rights = CLERIC_DONATOR	
[4/20/23 06:26AM] Wr3cked used command ::mereum | Player rights = CLERIC_DONATOR	
[4/20/23 06:26AM] Wr3cked used command ::mereum | Player rights = CLERIC_DONATOR	
[4/20/23 06:27AM] Wr3cked used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 06:28AM] Wr3cked used command ::yell lesgoooooo we hype @::Wr3cked !!!!!!!!!!!!!!!!!!!!!!!!! $100 bond g/a | Player rights = CLERIC_DONATOR	
[4/20/23 06:29AM] Wr3cked used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 06:32AM] Wr3cked used command ::Yell nic stick time then $100 bond giveaway @::Wr3cked | Player rights = CLERIC_DONATOR	
[4/20/23 06:32AM] Wr3cked used command ::Voteboss | Player rights = CLERIC_DONATOR	
[4/20/23 06:34AM] Wr3cked used command ::Yell all to ::Wr3cked !!! $100 bond giveaway | Player rights = CLERIC_DONATOR	
[4/20/23 06:42AM] Wr3cked used command ::Yell we turning it up!!!!!!!!!!!!!!!!!!!!!!!!!! get in now @::wr3cked | Player rights = CLERIC_DONATOR	
[4/20/23 06:45AM] Wr3cked used command ::Yell 4/20 vibessss! $100 bond giveaway @::Wr3cked | Player rights = CLERIC_DONATOR	
[4/20/23 06:46AM] Wr3cked used command ::Yell life gets me highhhhhhhhhhh | Player rights = CLERIC_DONATOR	
[4/20/23 06:48AM] Wr3cked used command ::Yell x2 damnnation giveaway @::Wr3cked | Player rights = CLERIC_DONATOR	
[4/20/23 06:49AM] Wr3cked used command ::feigar | Player rights = CLERIC_DONATOR	
[4/20/23 06:49AM] Wr3cked used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 06:55AM] Wr3cked used command ::Home | Player rights = CLERIC_DONATOR	
[4/20/23 06:58AM] Wr3cked used command ::Yell live $200+ giveaway! @60+ ?? @::Wr3cked | Player rights = CLERIC_DONATOR	
[4/20/23 07:02AM] Wr3cked used command ::Yell live $200+ giveaway!! can we hit 60? @::Wr3cked | Player rights = CLERIC_DONATOR	
[4/20/23 07:04AM] Wr3cked used command ::Yell live crazy giveaway @::Wr3cked $200+ ! vibes & grinds | Player rights = CLERIC_DONATOR	
[4/20/23 07:05AM] Wr3cked used command ::Yell $200 giveaway inc!!! @::wr3cked | Player rights = CLERIC_DONATOR	
[4/20/23 07:08AM] Wr3cked used command ::Home | Player rights = CLERIC_DONATOR	
[4/20/23 07:08AM] Wr3cked used command ::Yell $200 giveaway @::Wr3cked | Player rights = CLERIC_DONATOR	
[4/20/23 07:16AM] Wr3cked used command ::yell live rnnnnnn @::Wr3cked big giveaway in 30 seconds | Player rights = CLERIC_DONATOR	
[4/22/23 09:48AM] Wr3cked used command ::train | Player rights = CLERIC_DONATOR	
[4/22/23 12:28PM] Wr3cked used command ::bank | Player rights = CLERIC_DONATOR	
[4/22/23 12:28PM] Wr3cked used command ::bank | Player rights = CLERIC_DONATOR	
[4/22/23 12:33PM] Wr3cked used command ::yell new vid going up in moment! first gets fat goodie @ ::Wr3cked | Player rights = CLERIC_DONATOR	
