[4/19/23 01:11PM] Xcrystalx used command ::refer | Player rights = PLAYER	
[4/19/23 05:05PM] Xcrystalx used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/19/23 05:08PM] Xcrystalx used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/19/23 05:11PM] Xcrystalx used command ::dr | Player rights = GRACEFUL_DONATOR	
[4/19/23 05:11PM] Xcrystalx used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/19/23 05:13PM] Xcrystalx used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 05:17PM] Xcrystalx used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/19/23 05:17PM] Xcrystalx used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/19/23 05:17PM] Xcrystalx used command ::home | Player rights = GRACEFUL_DONATOR	
[4/19/23 05:20PM] Xcrystalx used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/19/23 05:25PM] Xcrystalx used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/19/23 05:28PM] Xcrystalx used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/19/23 05:29PM] Xcrystalx used command ::ddr | Player rights = GRACEFUL_DONATOR	
[4/19/23 05:29PM] Xcrystalx used command ::Dr | Player rights = GRACEFUL_DONATOR	
[4/19/23 05:35PM] Xcrystalx used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 05:47PM] Xcrystalx used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/19/23 05:58PM] Xcrystalx used command ::dr | Player rights = GRACEFUL_DONATOR	
[4/19/23 06:00PM] Xcrystalx used command ::home | Player rights = GRACEFUL_DONATOR	
[4/19/23 06:02PM] Xcrystalx used command ::train | Player rights = GRACEFUL_DONATOR	
[4/19/23 06:03PM] Xcrystalx used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/19/23 06:06PM] Xcrystalx used command ::dr | Player rights = GRACEFUL_DONATOR	
[4/19/23 06:10PM] Xcrystalx used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/19/23 06:13PM] Xcrystalx used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/19/23 06:14PM] Xcrystalx used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 06:15PM] Xcrystalx used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/19/23 06:16PM] Xcrystalx used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/19/23 06:19PM] Xcrystalx used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 06:26PM] Xcrystalx used command ::slayer | Player rights = CLERIC_DONATOR	
[4/19/23 06:33PM] Xcrystalx used command ::dr | Player rights = CLERIC_DONATOR	
[4/19/23 06:35PM] Xcrystalx used command ::slayer | Player rights = CLERIC_DONATOR	
[4/19/23 06:39PM] Xcrystalx used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 06:42PM] Xcrystalx used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/19/23 06:44PM] Xcrystalx used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 06:45PM] Xcrystalx used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/19/23 06:48PM] Xcrystalx used command ::dr | Player rights = CLERIC_DONATOR	
[4/19/23 06:48PM] Xcrystalx used command ::slayer | Player rights = CLERIC_DONATOR	
[4/19/23 06:53PM] Xcrystalx used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 06:57PM] Xcrystalx used command ::slayer | Player rights = CLERIC_DONATOR	
[4/19/23 07:02PM] Xcrystalx used command ::Bank | Player rights = CLERIC_DONATOR	
[4/19/23 07:02PM] Xcrystalx used command ::Bank | Player rights = CLERIC_DONATOR	
[4/19/23 07:02PM] Xcrystalx used command ::Dr | Player rights = CLERIC_DONATOR	
[4/19/23 07:05PM] Xcrystalx used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 07:08PM] Xcrystalx used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 07:14PM] Xcrystalx used command ::nicetails | Player rights = CLERIC_DONATOR	
[4/19/23 07:15PM] Xcrystalx used command ::nicetails | Player rights = CLERIC_DONATOR	
[4/19/23 07:15PM] Xcrystalx used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/19/23 07:15PM] Xcrystalx used command ::meruem | Player rights = CLERIC_DONATOR	
[4/19/23 07:16PM] Xcrystalx used command ::home | Player rights = CLERIC_DONATOR	
[4/19/23 07:19PM] Xcrystalx used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 07:21PM] Xcrystalx used command ::slayer | Player rights = CLERIC_DONATOR	
[4/19/23 07:21PM] Xcrystalx used command ::dr | Player rights = CLERIC_DONATOR	
[4/19/23 07:25PM] Xcrystalx used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 07:26PM] Xcrystalx used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 07:27PM] Xcrystalx used command ::slayer | Player rights = CLERIC_DONATOR	
[4/19/23 07:31PM] Xcrystalx used command ::slayer | Player rights = CLERIC_DONATOR	
[4/19/23 07:32PM] Xcrystalx used command ::vote | Player rights = CLERIC_DONATOR	
[4/19/23 07:33PM] Xcrystalx used command ::claimvotes | Player rights = CLERIC_DONATOR	
[4/19/23 07:33PM] Xcrystalx used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/19/23 07:34PM] Xcrystalx used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/19/23 07:38PM] Xcrystalx used command ::slayer | Player rights = CLERIC_DONATOR	
[4/19/23 07:43PM] Xcrystalx used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 07:49PM] Xcrystalx used command ::slayer | Player rights = CLERIC_DONATOR	
[4/19/23 07:57PM] Xcrystalx used command ::slayer | Player rights = CLERIC_DONATOR	
[4/19/23 08:03PM] Xcrystalx used command ::slayer | Player rights = CLERIC_DONATOR	
[4/19/23 08:10PM] Xcrystalx used command ::slayer | Player rights = CLERIC_DONATOR	
[4/19/23 08:11PM] Xcrystalx used command ::home | Player rights = CLERIC_DONATOR	
[4/19/23 08:14PM] Xcrystalx used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 08:15PM] Xcrystalx used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/19/23 08:17PM] Xcrystalx used command ::slayer | Player rights = CLERIC_DONATOR	
[4/19/23 08:25PM] Xcrystalx used command ::slayer | Player rights = CLERIC_DONATOR	
[4/19/23 08:30PM] Xcrystalx used command ::slayer | Player rights = CLERIC_DONATOR	
[4/19/23 08:39PM] Xcrystalx used command ::slayer | Player rights = CLERIC_DONATOR	
[4/19/23 08:44PM] Xcrystalx used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 08:47PM] Xcrystalx used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 08:47PM] Xcrystalx used command ::home | Player rights = CLERIC_DONATOR	
[4/19/23 09:48PM] Xcrystalx used command ::slayer | Player rights = CLERIC_DONATOR	
[4/19/23 09:49PM] Xcrystalx used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/19/23 09:52PM] Xcrystalx used command ::dropoff | Player rights = CLERIC_DONATOR	
[4/19/23 09:56PM] Xcrystalx used command ::slayer | Player rights = CLERIC_DONATOR	
[4/19/23 09:58PM] Xcrystalx used command ::dr | Player rights = CLERIC_DONATOR	
[4/19/23 09:59PM] Xcrystalx used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 10:03PM] Xcrystalx used command ::slayer | Player rights = CLERIC_DONATOR	
[4/19/23 10:04PM] Xcrystalx used command ::home | Player rights = CLERIC_DONATOR	
[4/19/23 10:11PM] Xcrystalx used command ::slayer | Player rights = CLERIC_DONATOR	
[4/19/23 10:16PM] Xcrystalx used command ::elo | Player rights = CLERIC_DONATOR	
[4/19/23 10:19PM] Xcrystalx used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 10:21PM] Xcrystalx used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/19/23 10:23PM] Xcrystalx used command ::home | Player rights = CLERIC_DONATOR	
[4/19/23 10:28PM] Xcrystalx used command ::home | Player rights = CLERIC_DONATOR	
[4/19/23 10:33PM] Xcrystalx used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 05:59AM] Xcrystalx used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 06:05AM] Xcrystalx used command ::dropoff | Player rights = CLERIC_DONATOR	
[4/20/23 06:05AM] Xcrystalx used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 06:05AM] Xcrystalx used command ::vote | Player rights = CLERIC_DONATOR	
[4/20/23 06:06AM] Xcrystalx used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/20/23 06:06AM] Xcrystalx used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/20/23 06:07AM] Xcrystalx used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/20/23 06:07AM] Xcrystalx used command ::reward 1  | Player rights = CLERIC_DONATOR	
[4/20/23 06:07AM] Xcrystalx used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/20/23 06:07AM] Xcrystalx used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/20/23 06:12AM] Xcrystalx used command ::yell dont forget ::wr3cked massive giveaway :DDDD | Player rights = CLERIC_DONATOR	
[4/20/23 06:19AM] Xcrystalx used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/20/23 06:21AM] Xcrystalx used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 06:21AM] Xcrystalx used command ::Dr | Player rights = CLERIC_DONATOR	
[4/20/23 06:21AM] Xcrystalx used command ::Dr | Player rights = CLERIC_DONATOR	
[4/20/23 06:22AM] Xcrystalx used command ::golden | Player rights = CLERIC_DONATOR	
[4/20/23 06:26AM] Xcrystalx used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 06:26AM] Xcrystalx used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 06:29AM] Xcrystalx used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 06:29AM] Xcrystalx used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 06:31AM] Xcrystalx used command ::ninetailsd | Player rights = CLERIC_DONATOR	
[4/20/23 06:31AM] Xcrystalx used command ::golden | Player rights = CLERIC_DONATOR	
[4/20/23 06:31AM] Xcrystalx used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 06:31AM] Xcrystalx used command ::home | Player rights = CLERIC_DONATOR	
[4/20/23 06:33AM] Xcrystalx used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/20/23 06:57AM] Xcrystalx used command ::lsyaer | Player rights = CLERIC_DONATOR	
[4/20/23 06:57AM] Xcrystalx used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 07:03AM] Xcrystalx used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 07:09AM] Xcrystalx used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 07:16AM] Xcrystalx used command ::home | Player rights = CLERIC_DONATOR	
[4/20/23 07:18AM] Xcrystalx used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/20/23 07:21AM] Xcrystalx used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 07:22AM] Xcrystalx used command ::golden | Player rights = CLERIC_DONATOR	
[4/20/23 07:22AM] Xcrystalx used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 07:23AM] Xcrystalx used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 07:25AM] Xcrystalx used command ::home | Player rights = CLERIC_DONATOR	
[4/20/23 07:27AM] Xcrystalx used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 07:31AM] Xcrystalx used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 07:31AM] Xcrystalx used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 07:34AM] Xcrystalx used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/20/23 07:38AM] Xcrystalx used command ::home | Player rights = CLERIC_DONATOR	
[4/20/23 07:49AM] Xcrystalx used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 07:52AM] Xcrystalx used command ::home | Player rights = CLERIC_DONATOR	
[4/20/23 07:57AM] Xcrystalx used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 08:01AM] Xcrystalx used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 08:06AM] Xcrystalx used command ::dr | Player rights = CLERIC_DONATOR	
[4/20/23 08:08AM] Xcrystalx used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 08:11AM] Xcrystalx used command ::afk | Player rights = CLERIC_DONATOR	
[4/20/23 08:12AM] Xcrystalx used command ::home | Player rights = CLERIC_DONATOR	
[4/20/23 08:18AM] Xcrystalx used command ::os | Player rights = CLERIC_DONATOR	
[4/20/23 08:18AM] Xcrystalx used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 08:20AM] Xcrystalx used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 08:21AM] Xcrystalx used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 08:24AM] Xcrystalx used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 08:30AM] Xcrystalx used command ::home | Player rights = CLERIC_DONATOR	
[4/20/23 08:34AM] Xcrystalx used command ::bank | Player rights = CLERIC_DONATOR	
[4/20/23 08:35AM] Xcrystalx used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 08:55AM] Xcrystalx used command ::home | Player rights = CLERIC_DONATOR	
[4/20/23 09:00AM] Xcrystalx used command ::home | Player rights = CLERIC_DONATOR	
[4/20/23 09:05AM] Xcrystalx used command ::dr | Player rights = CLERIC_DONATOR	
[4/20/23 09:16AM] Xcrystalx used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 09:19AM] Xcrystalx used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 09:20AM] Xcrystalx used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 09:21AM] Xcrystalx used command ::mereum | Player rights = CLERIC_DONATOR	
[4/20/23 09:22AM] Xcrystalx used command ::mereum | Player rights = CLERIC_DONATOR	
[4/20/23 09:22AM] Xcrystalx used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 09:23AM] Xcrystalx used command ::golden | Player rights = CLERIC_DONATOR	
[4/20/23 09:24AM] Xcrystalx used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/20/23 09:30AM] Xcrystalx used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 09:30AM] Xcrystalx used command ::home | Player rights = CLERIC_DONATOR	
[4/20/23 09:30AM] Xcrystalx used command ::bank | Player rights = CLERIC_DONATOR	
[4/20/23 09:31AM] Xcrystalx used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 09:36AM] Xcrystalx used command ::dr | Player rights = CLERIC_DONATOR	
[4/20/23 10:05AM] Xcrystalx used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 10:06AM] Xcrystalx used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 10:07AM] Xcrystalx used command ::dr | Player rights = CLERIC_DONATOR	
[4/20/23 10:17AM] Xcrystalx used command ::bank | Player rights = CLERIC_DONATOR	
[4/20/23 10:18AM] Xcrystalx used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 10:19AM] Xcrystalx used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/20/23 10:20AM] Xcrystalx used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 10:22AM] Xcrystalx used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 10:23AM] Xcrystalx used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 10:25AM] Xcrystalx used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 10:26AM] Xcrystalx used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 10:27AM] Xcrystalx used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 10:30AM] Xcrystalx used command ::golden | Player rights = CLERIC_DONATOR	
[4/20/23 10:34AM] Xcrystalx used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 10:38AM] Xcrystalx used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 10:42AM] Xcrystalx used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 10:45AM] Xcrystalx used command ::golden | Player rights = CLERIC_DONATOR	
[4/20/23 10:46AM] Xcrystalx used command ::golden | Player rights = CLERIC_DONATOR	
[4/20/23 10:47AM] Xcrystalx used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/20/23 10:49AM] Xcrystalx used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/20/23 10:51AM] Xcrystalx used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/20/23 10:52AM] Xcrystalx used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 10:52AM] Xcrystalx used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 10:52AM] Xcrystalx used command ::golden | Player rights = CLERIC_DONATOR	
[4/20/23 10:52AM] Xcrystalx used command ::home | Player rights = CLERIC_DONATOR	
[4/20/23 10:54AM] Xcrystalx used command ::voteboss | Player rights = TORMENTED_DONATOR	
[4/20/23 10:56AM] Xcrystalx used command ::home | Player rights = TORMENTED_DONATOR	
[4/20/23 11:02AM] Xcrystalx used command ::pos | Player rights = TORMENTED_DONATOR	
[4/20/23 11:03AM] Xcrystalx used command ::bank | Player rights = TORMENTED_DONATOR	
[4/20/23 11:06AM] Xcrystalx used command ::pos | Player rights = TORMENTED_DONATOR	
[4/20/23 11:18AM] Xcrystalx used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/20/23 11:21AM] Xcrystalx used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/20/23 11:22AM] Xcrystalx used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/20/23 11:23AM] Xcrystalx used command ::slayer | Player rights = TORMENTED_DONATOR	
[4/20/23 11:34AM] Xcrystalx used command ::slayer | Player rights = TORMENTED_DONATOR	
[4/20/23 11:38AM] Xcrystalx used command ::home | Player rights = TORMENTED_DONATOR	
[4/20/23 11:40AM] Xcrystalx used command ::slayer | Player rights = TORMENTED_DONATOR	
[4/20/23 11:49AM] Xcrystalx used command ::veigar | Player rights = TORMENTED_DONATOR	
