[4/17/23 05:31PM] Author used command ::referral | Player rights = PLAYER	
[4/18/23 10:43AM] Author used command ::golden | Player rights = PLAYER	
[4/18/23 10:43AM] Author used command ::home | Player rights = PLAYER	
[4/18/23 10:45AM] Author used command ::Deals | Player rights = PLAYER	
[4/18/23 10:48AM] Author used command ::home | Player rights = PLAYER	
[4/18/23 10:49AM] Author used command ::commands | Player rights = PLAYER	
[4/18/23 10:52AM] Author used command ::dr | Player rights = PLAYER	
[4/18/23 10:57AM] Author used command ::achievements | Player rights = PLAYER	
[4/18/23 10:59AM] Author used command ::home | Player rights = PLAYER	
[4/18/23 11:14AM] Author used command ::dr | Player rights = PLAYER	
[4/18/23 11:24AM] Author used command ::dr | Player rights = PLAYER	
[4/18/23 11:25AM] Author used command ::home | Player rights = PLAYER	
[4/18/23 11:26AM] Author used command ::claim | Player rights = PLAYER	
[4/18/23 11:26AM] Author used command ::donate | Player rights = PLAYER	
[4/18/23 11:26AM] Author used command ::claim | Player rights = PLAYER	
[4/18/23 11:30AM] Author used command ::dr | Player rights = PLAYER	
[4/18/23 11:32AM] Author used command ::Bank | Player rights = PLAYER	
[4/18/23 11:41AM] Author used command ::veigar | Player rights = PLAYER	
[4/18/23 11:42AM] Author used command ::ninetails | Player rights = PLAYER	
[4/18/23 11:43AM] Author used command ::home | Player rights = PLAYER	
[4/18/23 11:53AM] Author used command ::claim | Player rights = PLAYER	
[4/18/23 11:57AM] Author used command ::dr | Player rights = MYSTICAL_DONATOR	
[4/18/23 12:00PM] Author used command ::dr | Player rights = MYSTICAL_DONATOR	
[4/18/23 12:04PM] Author used command ::dr | Player rights = MYSTICAL_DONATOR	
[4/18/23 12:11PM] Author used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/18/23 12:13PM] Author used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/18/23 12:16PM] Author used command ::voteboss | Player rights = MYSTICAL_DONATOR	
[4/18/23 12:16PM] Author used command ::home | Player rights = MYSTICAL_DONATOR	
[4/18/23 12:32PM] Author used command ::collection | Player rights = MYSTICAL_DONATOR	
[4/18/23 12:34PM] Author used command ::gamble | Player rights = MYSTICAL_DONATOR	
[4/18/23 12:35PM] Author used command ::dr | Player rights = MYSTICAL_DONATOR	
[4/18/23 12:36PM] Author used command ::collection | Player rights = MYSTICAL_DONATOR	
[4/18/23 12:37PM] Author used command ::collection | Player rights = MYSTICAL_DONATOR	
[4/18/23 12:39PM] Author used command ::collection | Player rights = MYSTICAL_DONATOR	
[4/18/23 12:40PM] Author used command ::maxhit | Player rights = MYSTICAL_DONATOR	
[4/18/23 12:41PM] Author used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/18/23 12:41PM] Author used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/18/23 12:42PM] Author used command ::meruem | Player rights = MYSTICAL_DONATOR	
[4/18/23 12:46PM] Author used command ::collection | Player rights = MYSTICAL_DONATOR	
[4/18/23 12:52PM] Author used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/18/23 12:52PM] Author used command ::collection | Player rights = MYSTICAL_DONATOR	
[4/18/23 12:53PM] Author used command ::dr | Player rights = MYSTICAL_DONATOR	
[4/18/23 12:56PM] Author used command ::dr | Player rights = MYSTICAL_DONATOR	
[4/18/23 12:56PM] Author used command ::maxhit | Player rights = MYSTICAL_DONATOR	
[4/18/23 01:01PM] Author used command ::claim | Player rights = MYSTICAL_DONATOR	
[4/18/23 01:03PM] Author used command ::home | Player rights = MYSTICAL_DONATOR	
[4/18/23 01:03PM] Author used command ::dr | Player rights = MYSTICAL_DONATOR	
[4/18/23 01:11PM] Author used command ::dr | Player rights = MYSTICAL_DONATOR	
[4/18/23 01:13PM] Author used command ::elo | Player rights = MYSTICAL_DONATOR	
[4/18/23 01:14PM] Author used command ::home | Player rights = MYSTICAL_DONATOR	
[4/18/23 01:18PM] Author used command ::dr | Player rights = MYSTICAL_DONATOR	
[4/18/23 01:24PM] Author used command ::home | Player rights = MYSTICAL_DONATOR	
[4/18/23 01:31PM] Author used command ::collection | Player rights = MYSTICAL_DONATOR	
[4/18/23 01:33PM] Author used command ::collection | Player rights = MYSTICAL_DONATOR	
[4/18/23 01:34PM] Author used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/18/23 01:37PM] Author used command ::dr | Player rights = MYSTICAL_DONATOR	
[4/18/23 01:38PM] Author used command ::collection | Player rights = MYSTICAL_DONATOR	
[4/18/23 01:38PM] Author used command ::collection | Player rights = MYSTICAL_DONATOR	
[4/18/23 01:41PM] Author used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/18/23 01:41PM] Author used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/18/23 01:41PM] Author used command ::golden | Player rights = MYSTICAL_DONATOR	
[4/18/23 01:42PM] Author used command ::home | Player rights = MYSTICAL_DONATOR	
[4/18/23 01:45PM] Author used command ::home | Player rights = MYSTICAL_DONATOR	
[4/18/23 01:45PM] Author used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/18/23 01:53PM] Author used command ::ref walkchaos | Player rights = MYSTICAL_DONATOR	
[4/18/23 01:54PM] Author used command ::home | Player rights = MYSTICAL_DONATOR	
[4/18/23 01:59PM] Author used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/18/23 02:02PM] Author used command ::home | Player rights = MYSTICAL_DONATOR	
[4/18/23 02:09PM] Author used command ::collection | Player rights = MYSTICAL_DONATOR	
[4/18/23 02:11PM] Author used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/18/23 02:11PM] Author used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/18/23 02:12PM] Author used command ::home | Player rights = MYSTICAL_DONATOR	
[4/18/23 02:16PM] Author used command ::home | Player rights = MYSTICAL_DONATOR	
[4/18/23 02:17PM] Author used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/18/23 02:22PM] Author used command ::yell selling owner boots/gloves pm me offers | Player rights = MYSTICAL_DONATOR	
[4/18/23 02:25PM] Author used command ::home | Player rights = MYSTICAL_DONATOR	
[4/18/23 02:30PM] Author used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/18/23 02:31PM] Author used command ::home | Player rights = MYSTICAL_DONATOR	
[4/18/23 02:33PM] Author used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/18/23 02:35PM] Author used command ::dr | Player rights = MYSTICAL_DONATOR	
[4/18/23 02:42PM] Author used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/18/23 02:42PM] Author used command ::meruem | Player rights = MYSTICAL_DONATOR	
[4/18/23 02:43PM] Author used command ::dr | Player rights = MYSTICAL_DONATOR	
[4/18/23 02:43PM] Author used command ::home | Player rights = MYSTICAL_DONATOR	
[4/18/23 02:44PM] Author used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/18/23 02:45PM] Author used command ::dr | Player rights = MYSTICAL_DONATOR	
[4/18/23 02:45PM] Author used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/18/23 02:50PM] Author used command ::vboss | Player rights = MYSTICAL_DONATOR	
[4/18/23 02:50PM] Author used command ::Home | Player rights = MYSTICAL_DONATOR	
[4/18/23 02:53PM] Author used command ::dr | Player rights = MYSTICAL_DONATOR	
[4/18/23 02:53PM] Author used command ::perks | Player rights = MYSTICAL_DONATOR	
[4/18/23 03:03PM] Author used command ::home | Player rights = MYSTICAL_DONATOR	
[4/18/23 03:18PM] Author used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/18/23 03:18PM] Author used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/18/23 03:25PM] Author used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/18/23 03:26PM] Author used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/18/23 03:27PM] Author used command ::dissolve | Player rights = MYSTICAL_DONATOR	
[4/18/23 03:27PM] Author used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/18/23 03:28PM] Author used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/18/23 03:30PM] Author used command ::home | Player rights = MYSTICAL_DONATOR	
[4/18/23 03:35PM] Author used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/18/23 03:35PM] Author used command ::dr | Player rights = MYSTICAL_DONATOR	
[4/18/23 03:38PM] Author used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/18/23 03:41PM] Author used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/18/23 03:41PM] Author used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/18/23 03:41PM] Author used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/18/23 03:43PM] Author used command ::home | Player rights = MYSTICAL_DONATOR	
[4/18/23 03:43PM] Author used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/18/23 03:46PM] Author used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/18/23 03:47PM] Author used command ::Bank | Player rights = MYSTICAL_DONATOR	
[4/18/23 03:47PM] Author used command ::home | Player rights = MYSTICAL_DONATOR	
[4/18/23 04:11PM] Author used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/18/23 04:12PM] Author used command ::home | Player rights = MYSTICAL_DONATOR	
[4/18/23 04:14PM] Author used command ::voteboss | Player rights = MYSTICAL_DONATOR	
[4/18/23 04:15PM] Author used command ::meruem | Player rights = MYSTICAL_DONATOR	
[4/18/23 04:22PM] Author used command ::home | Player rights = MYSTICAL_DONATOR	
[4/18/23 04:28PM] Author used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/18/23 04:35PM] Author used command ::veignar | Player rights = MYSTICAL_DONATOR	
[4/18/23 04:36PM] Author used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/18/23 04:37PM] Author used command ::home | Player rights = MYSTICAL_DONATOR	
[4/18/23 04:39PM] Author used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/18/23 04:39PM] Author used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/18/23 04:41PM] Author used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/18/23 04:41PM] Author used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/18/23 04:41PM] Author used command ::meruem | Player rights = MYSTICAL_DONATOR	
[4/18/23 04:42PM] Author used command ::golden | Player rights = MYSTICAL_DONATOR	
[4/18/23 04:42PM] Author used command ::home | Player rights = MYSTICAL_DONATOR	
[4/18/23 04:45PM] Author used command ::dr | Player rights = OBSIDIAN_DONATOR	
[4/18/23 04:45PM] Author used command ::home | Player rights = OBSIDIAN_DONATOR	
[4/18/23 04:53PM] Author used command ::bank | Player rights = OBSIDIAN_DONATOR	
[4/18/23 04:55PM] Author used command ::vioteboss | Player rights = OBSIDIAN_DONATOR	
[4/18/23 04:55PM] Author used command ::vboss | Player rights = OBSIDIAN_DONATOR	
[4/18/23 05:02PM] Author used command ::bank | Player rights = OBSIDIAN_DONATOR	
[4/18/23 05:02PM] Author used command ::dr | Player rights = OBSIDIAN_DONATOR	
[4/18/23 05:07PM] Author used command ::home | Player rights = OBSIDIAN_DONATOR	
[4/18/23 05:11PM] Author used command ::veigar | Player rights = OBSIDIAN_DONATOR	
[4/18/23 05:12PM] Author used command ::home | Player rights = OBSIDIAN_DONATOR	
[4/18/23 05:12PM] Author used command ::bank | Player rights = OBSIDIAN_DONATOR	
[4/18/23 05:13PM] Author used command ::dr | Player rights = OBSIDIAN_DONATOR	
[4/18/23 05:15PM] Author used command ::dr | Player rights = OBSIDIAN_DONATOR	
[4/18/23 05:15PM] Author used command ::maxhit | Player rights = OBSIDIAN_DONATOR	
[4/18/23 05:16PM] Author used command ::bank | Player rights = OBSIDIAN_DONATOR	
[4/18/23 05:17PM] Author used command ::bank | Player rights = OBSIDIAN_DONATOR	
[4/18/23 05:17PM] Author used command ::dr | Player rights = OBSIDIAN_DONATOR	
[4/18/23 05:19PM] Author used command ::dr | Player rights = OBSIDIAN_DONATOR	
[4/18/23 05:26PM] Author used command ::yell first 2 to pm me get pet | Player rights = OBSIDIAN_DONATOR	
[4/18/23 05:29PM] Author used command ::voteboss | Player rights = OBSIDIAN_DONATOR	
[4/18/23 05:29PM] Author used command ::vboss | Player rights = OBSIDIAN_DONATOR	
[4/18/23 05:29PM] Author used command ::home | Player rights = OBSIDIAN_DONATOR	
[4/18/23 05:30PM] Author used command ::vboss | Player rights = OBSIDIAN_DONATOR	
[4/18/23 05:32PM] Author used command ::bank | Player rights = OBSIDIAN_DONATOR	
[4/18/23 05:32PM] Author used command ::meruem | Player rights = OBSIDIAN_DONATOR	
[4/18/23 05:35PM] Author used command ::veigar | Player rights = OBSIDIAN_DONATOR	
[4/18/23 05:35PM] Author used command ::golden | Player rights = OBSIDIAN_DONATOR	
[4/18/23 05:36PM] Author used command ::golden | Player rights = OBSIDIAN_DONATOR	
[4/18/23 05:39PM] Author used command ::home | Player rights = OBSIDIAN_DONATOR	
[4/18/23 05:39PM] Author used command ::yell Ty ALEXXXXX | Player rights = OBSIDIAN_DONATOR	
[4/18/23 05:40PM] Author used command ::yell juicy | Player rights = OBSIDIAN_DONATOR	
[4/18/23 05:41PM] Author used command ::Veigar | Player rights = OBSIDIAN_DONATOR	
[4/18/23 05:41PM] Author used command ::veigar | Player rights = OBSIDIAN_DONATOR	
[4/18/23 05:43PM] Author used command ::ninetails | Player rights = OBSIDIAN_DONATOR	
[4/18/23 05:45PM] Author used command ::home | Player rights = OBSIDIAN_DONATOR	
[4/18/23 05:46PM] Author used command ::yelling buying bonds or $ scrolls or votes from new players at home overpay | Player rights = OBSIDIAN_DONATOR	
[4/18/23 05:46PM] Author used command ::yell overpaying | Player rights = OBSIDIAN_DONATOR	
[4/18/23 05:47PM] Author used command ::pos | Player rights = OBSIDIAN_DONATOR	
[4/18/23 05:51PM] Author used command ::bank | Player rights = OBSIDIAN_DONATOR	
[4/18/23 05:52PM] Author used command ::bank | Player rights = OBSIDIAN_DONATOR	
[4/18/23 05:55PM] Author used command ::bank | Player rights = OBSIDIAN_DONATOR	
[4/18/23 06:01PM] Author used command ::dr | Player rights = OBSIDIAN_DONATOR	
[4/18/23 06:03PM] Author used command ::maxhit | Player rights = OBSIDIAN_DONATOR	
[4/18/23 06:03PM] Author used command ::maxhit | Player rights = OBSIDIAN_DONATOR	
[4/18/23 06:04PM] Author used command ::maxhit | Player rights = OBSIDIAN_DONATOR	
[4/18/23 06:04PM] Author used command ::dr | Player rights = OBSIDIAN_DONATOR	
[4/18/23 06:04PM] Author used command ::dr | Player rights = OBSIDIAN_DONATOR	
[4/18/23 06:04PM] Author used command ::bank | Player rights = OBSIDIAN_DONATOR	
[4/18/23 06:05PM] Author used command ::maxhit | Player rights = OBSIDIAN_DONATOR	
[4/18/23 06:48PM] Author used command ::dr | Player rights = OBSIDIAN_DONATOR	
[4/18/23 06:53PM] Author used command ::vote | Player rights = OBSIDIAN_DONATOR	
[4/18/23 06:54PM] Author used command ::claim reward1 all | Player rights = OBSIDIAN_DONATOR	
[4/18/23 06:54PM] Author used command ::reward1 all | Player rights = OBSIDIAN_DONATOR	
[4/18/23 06:54PM] Author used command ::reward 1 all | Player rights = OBSIDIAN_DONATOR	
[4/18/23 06:55PM] Author used command ::yell 2 more votes till vote boss | Player rights = OBSIDIAN_DONATOR	
[4/18/23 06:58PM] Author used command ::vboss | Player rights = OBSIDIAN_DONATOR	
[4/18/23 07:01PM] Author used command ::maxhit | Player rights = OBSIDIAN_DONATOR	
[4/18/23 07:02PM] Author used command ::Bank | Player rights = OBSIDIAN_DONATOR	
[4/18/23 07:03PM] Author used command ::bank | Player rights = OBSIDIAN_DONATOR	
[4/18/23 07:06PM] Author used command ::bank | Player rights = OBSIDIAN_DONATOR	
[4/18/23 07:06PM] Author used command ::bank | Player rights = OBSIDIAN_DONATOR	
[4/18/23 07:07PM] Author used command ::home | Player rights = OBSIDIAN_DONATOR	
[4/18/23 07:07PM] Author used command ::dr | Player rights = OBSIDIAN_DONATOR	
[4/18/23 07:11PM] Author used command ::veigar | Player rights = OBSIDIAN_DONATOR	
[4/18/23 07:13PM] Author used command ::ninetails | Player rights = OBSIDIAN_DONATOR	
[4/18/23 07:13PM] Author used command ::home | Player rights = OBSIDIAN_DONATOR	
[4/18/23 07:16PM] Author used command ::dr | Player rights = OBSIDIAN_DONATOR	
[4/18/23 07:18PM] Author used command ::bank | Player rights = OBSIDIAN_DONATOR	
[4/18/23 07:31PM] Author used command ::yell buying $300 inname - will sort you out | Player rights = OBSIDIAN_DONATOR	
[4/18/23 07:36PM] Author used command ::yell buying 300 in-name - will sort you out for end-game | Player rights = OBSIDIAN_DONATOR	
[4/18/23 07:41PM] Author used command ::veigar | Player rights = OBSIDIAN_DONATOR	
[4/18/23 07:43PM] Author used command ::ninetails | Player rights = OBSIDIAN_DONATOR	
[4/18/23 07:44PM] Author used command ::golden | Player rights = OBSIDIAN_DONATOR	
[4/19/23 12:02PM] Author used command ::donate | Player rights = OBSIDIAN_DONATOR	
[4/19/23 12:02PM] Author used command ::Deals | Player rights = OBSIDIAN_DONATOR	
[4/19/23 12:03PM] Author used command ::Home | Player rights = OBSIDIAN_DONATOR	
[4/19/23 12:06PM] Author used command ::Bank | Player rights = OBSIDIAN_DONATOR	
[4/19/23 12:07PM] Author used command ::Bank | Player rights = OBSIDIAN_DONATOR	
[4/19/23 12:07PM] Author used command ::claim | Player rights = OBSIDIAN_DONATOR	
[4/19/23 12:07PM] Author used command ::Claim | Player rights = OBSIDIAN_DONATOR	
[4/19/23 12:09PM] Author used command ::bank | Player rights = OBSIDIAN_DONATOR	
[4/19/23 12:10PM] Author used command ::yell selling owner legs pm me offers  | Player rights = OBSIDIAN_DONATOR	
[4/19/23 12:10PM] Author used command ::bank | Player rights = OBSIDIAN_DONATOR	
[4/19/23 12:13PM] Author used command ::veigar | Player rights = OBSIDIAN_DONATOR	
[4/19/23 12:14PM] Author used command ::voteboss | Player rights = OBSIDIAN_DONATOR	
[4/19/23 12:15PM] Author used command ::ninetails | Player rights = OBSIDIAN_DONATOR	
[4/19/23 12:16PM] Author used command ::golden | Player rights = OBSIDIAN_DONATOR	
[4/19/23 12:17PM] Author used command ::mereum | Player rights = OBSIDIAN_DONATOR	
[4/19/23 12:17PM] Author used command ::meruem | Player rights = OBSIDIAN_DONATOR	
[4/19/23 12:18PM] Author used command ::golden | Player rights = OBSIDIAN_DONATOR	
[4/19/23 12:39PM] Author used command ::home | Player rights = OBSIDIAN_DONATOR	
[4/19/23 12:40PM] Author used command ::wr3cked | Player rights = OBSIDIAN_DONATOR	
[4/19/23 12:41PM] Author used command ::Home | Player rights = OBSIDIAN_DONATOR	
[4/19/23 12:43PM] Author used command ::veigar | Player rights = OBSIDIAN_DONATOR	
[4/19/23 12:45PM] Author used command ::vboss | Player rights = OBSIDIAN_DONATOR	
[4/19/23 12:47PM] Author used command ::home | Player rights = OBSIDIAN_DONATOR	
[4/19/23 12:49PM] Author used command ::pos | Player rights = OBSIDIAN_DONATOR	
[4/19/23 12:53PM] Author used command ::bank | Player rights = OBSIDIAN_DONATOR	
[4/19/23 12:54PM] Author used command ::yell buying 300 inname - you will be sorted for end game | Player rights = OBSIDIAN_DONATOR	
[4/19/23 12:57PM] Author used command ::pos | Player rights = OBSIDIAN_DONATOR	
[4/19/23 12:58PM] Author used command ::Dr | Player rights = OBSIDIAN_DONATOR	
[4/19/23 01:00PM] Author used command ::pos | Player rights = OBSIDIAN_DONATOR	
[4/19/23 01:02PM] Author used command ::vank | Player rights = OBSIDIAN_DONATOR	
[4/19/23 01:02PM] Author used command ::bank | Player rights = OBSIDIAN_DONATOR	
[4/19/23 01:06PM] Author used command ::wr3cked | Player rights = OBSIDIAN_DONATOR	
[4/19/23 06:59PM] Author used command ::bank | Player rights = OBSIDIAN_DONATOR	
[4/19/23 07:00PM] Author used command ::bank: | Player rights = OBSIDIAN_DONATOR	
[4/19/23 07:00PM] Author used command ::bank | Player rights = OBSIDIAN_DONATOR	
[4/19/23 07:02PM] Author used command ::dr | Player rights = OBSIDIAN_DONATOR	
[4/19/23 07:10PM] Author used command ::pos | Player rights = OBSIDIAN_DONATOR	
[4/19/23 07:13PM] Author used command ::pos | Player rights = OBSIDIAN_DONATOR	
[4/19/23 07:14PM] Author used command ::veigar | Player rights = OBSIDIAN_DONATOR	
[4/19/23 07:15PM] Author used command ::home | Player rights = OBSIDIAN_DONATOR	
[4/19/23 07:18PM] Author used command ::yell if anyone has any dupe owner pieces mesage me, swapping dupes | Player rights = OBSIDIAN_DONATOR	
[4/19/23 07:18PM] Author used command ::yell swapping dupes | Player rights = OBSIDIAN_DONATOR	
[4/19/23 07:19PM] Author used command ::setyelltag P2W SOZ | Player rights = OBSIDIAN_DONATOR	
[4/19/23 07:19PM] Author used command ::setyell P2W | Player rights = OBSIDIAN_DONATOR	
[4/19/23 07:19PM] Author used command ::settag P2W | Player rights = OBSIDIAN_DONATOR	
[4/19/23 07:21PM] Author used command ::yell buying $300 inname and owner pieces  | Player rights = OBSIDIAN_DONATOR	
[4/19/23 07:22PM] Author used command ::dr | Player rights = OBSIDIAN_DONATOR	
[4/19/23 07:29PM] Author used command ::pos | Player rights = OBSIDIAN_DONATOR	
[4/19/23 07:30PM] Author used command ::onyxzone | Player rights = OBSIDIAN_DONATOR	
[4/19/23 07:31PM] Author used command ::yell buying 300 inname - massive offer | Player rights = OBSIDIAN_DONATOR	
[4/19/23 07:34PM] Author used command ::bank | Player rights = OBSIDIAN_DONATOR	
[4/19/23 07:35PM] Author used command ::Bank | Player rights = OBSIDIAN_DONATOR	
[4/19/23 07:37PM] Author used command ::bank | Player rights = OBSIDIAN_DONATOR	
[4/19/23 07:37PM] Author used command ::bank | Player rights = OBSIDIAN_DONATOR	
[4/19/23 07:40PM] Author used command ::bnk | Player rights = OBSIDIAN_DONATOR	
[4/19/23 07:40PM] Author used command ::Bank | Player rights = OBSIDIAN_DONATOR	
[4/19/23 07:51PM] Author used command ::dr | Player rights = OBSIDIAN_DONATOR	
[4/19/23 07:54PM] Author used command ::pos | Player rights = OBSIDIAN_DONATOR	
[4/19/23 07:55PM] Author used command ::collection | Player rights = OBSIDIAN_DONATOR	
[4/19/23 07:56PM] Author used command ::bank | Player rights = OBSIDIAN_DONATOR	
[4/19/23 07:58PM] Author used command ::pos | Player rights = OBSIDIAN_DONATOR	
[4/19/23 08:00PM] Author used command ::bank | Player rights = OBSIDIAN_DONATOR	
[4/19/23 08:03PM] Author used command ::dr | Player rights = OBSIDIAN_DONATOR	
[4/19/23 08:07PM] Author used command ::raids | Player rights = OBSIDIAN_DONATOR	
[4/19/23 08:09PM] Author used command ::elo | Player rights = OBSIDIAN_DONATOR	
[4/19/23 08:12PM] Author used command ::pos | Player rights = OBSIDIAN_DONATOR	
[4/19/23 08:13PM] Author used command ::elo | Player rights = OBSIDIAN_DONATOR	
[4/19/23 08:14PM] Author used command ::yell 1 more spot mass raid, 5k elo max | Player rights = OBSIDIAN_DONATOR	
[4/19/23 08:15PM] Author used command ::bank | Player rights = OBSIDIAN_DONATOR	
[4/19/23 08:15PM] Author used command ::elo | Player rights = OBSIDIAN_DONATOR	
[4/19/23 08:15PM] Author used command ::elo | Player rights = OBSIDIAN_DONATOR	
[4/19/23 08:15PM] Author used command ::elo | Player rights = OBSIDIAN_DONATOR	
[4/19/23 08:15PM] Author used command ::bank | Player rights = OBSIDIAN_DONATOR	
[4/19/23 08:16PM] Author used command ::elo | Player rights = OBSIDIAN_DONATOR	
[4/19/23 08:16PM] Author used command ::bank | Player rights = OBSIDIAN_DONATOR	
[4/19/23 08:16PM] Author used command ::elo | Player rights = OBSIDIAN_DONATOR	
[4/19/23 08:16PM] Author used command ::Elo | Player rights = OBSIDIAN_DONATOR	
[4/19/23 08:16PM] Author used command ::elo | Player rights = OBSIDIAN_DONATOR	
[4/20/23 03:15AM] Author used command ::home | Player rights = OBSIDIAN_DONATOR	
[4/20/23 03:17AM] Author used command ::dr | Player rights = OBSIDIAN_DONATOR	
[4/20/23 03:18AM] Author used command ::dr | Player rights = OBSIDIAN_DONATOR	
[4/20/23 03:18AM] Author used command ::dr | Player rights = OBSIDIAN_DONATOR	
[4/20/23 03:19AM] Author used command ::veigar | Player rights = OBSIDIAN_DONATOR	
[4/20/23 03:21AM] Author used command ::ninetails | Player rights = OBSIDIAN_DONATOR	
[4/20/23 03:22AM] Author used command ::meruem | Player rights = OBSIDIAN_DONATOR	
[4/20/23 03:24AM] Author used command ::golden | Player rights = OBSIDIAN_DONATOR	
[4/20/23 03:25AM] Author used command ::vote | Player rights = OBSIDIAN_DONATOR	
[4/20/23 03:26AM] Author used command ::voteboss | Player rights = OBSIDIAN_DONATOR	
[4/20/23 03:27AM] Author used command ::reward 1 all | Player rights = OBSIDIAN_DONATOR	
[4/20/23 03:29AM] Author used command ::Home | Player rights = OBSIDIAN_DONATOR	
[4/20/23 03:29AM] Author used command ::bank | Player rights = OBSIDIAN_DONATOR	
[4/20/23 03:29AM] Author used command ::pos | Player rights = OBSIDIAN_DONATOR	
[4/20/23 03:32AM] Author used command ::bank | Player rights = OBSIDIAN_DONATOR	
[4/20/23 03:36AM] Author used command ::yell selling owner cape (u) | Player rights = OBSIDIAN_DONATOR	
[4/20/23 03:49AM] Author used command ::VEIGAR | Player rights = OBSIDIAN_DONATOR	
[4/20/23 03:51AM] Author used command ::elo | Player rights = OBSIDIAN_DONATOR	
[4/20/23 03:51AM] Author used command ::home | Player rights = OBSIDIAN_DONATOR	
[4/20/23 04:00AM] Author used command ::pos | Player rights = OBSIDIAN_DONATOR	
[4/20/23 04:19AM] Author used command ::veigar | Player rights = OBSIDIAN_DONATOR	
[4/20/23 04:21AM] Author used command ::ninetails | Player rights = OBSIDIAN_DONATOR	
