[4/20/23 07:35AM] Shit used command ::voteboss | Player rights = PLAYER	
[4/20/23 11:21AM] Shit used command ::ninetails | Player rights = PLAYER	
[4/20/23 11:22AM] Shit used command ::meruem | Player rights = PLAYER	
[4/20/23 11:24AM] Shit used command ::afk | Player rights = PLAYER	
[4/20/23 11:25AM] Shit used command ::sops | Player rights = PLAYER	
[4/20/23 11:25AM] Shit used command ::shops | Player rights = PLAYER	
[4/20/23 11:25AM] Shit used command ::market | Player rights = PLAYER	
[4/20/23 11:25AM] Shit used command ::afk | Player rights = PLAYER	
[4/20/23 11:28AM] Shit used command ::afk | Player rights = PLAYER	
[4/20/23 11:29AM] Shit used command ::afk | Player rights = PLAYER	
[4/20/23 11:15PM] Shit used command ::afk | Player rights = PLAYER	
[4/20/23 11:32PM] Shit used command ::veigar | Player rights = PLAYER	
[4/20/23 11:34PM] Shit used command ::ninetails | Player rights = PLAYER	
[4/20/23 11:35PM] Shit used command ::golden | Player rights = PLAYER	
[4/20/23 11:36PM] Shit used command ::afk | Player rights = PLAYER	
[4/21/23 12:02AM] Shit used command ::veigar | Player rights = PLAYER	
[4/21/23 12:05AM] Shit used command ::afk | Player rights = PLAYER	
[4/21/23 12:32AM] Shit used command ::veigar | Player rights = PLAYER	
[4/21/23 12:34AM] Shit used command ::ninetails | Player rights = PLAYER	
[4/21/23 12:36AM] Shit used command ::meruem | Player rights = PLAYER	
[4/21/23 12:42AM] Shit used command ::vb | Player rights = PLAYER	
[4/21/23 12:43AM] Shit used command ::vboss | Player rights = PLAYER	
[4/21/23 01:32AM] Shit used command ::veigar | Player rights = PLAYER	
[4/21/23 01:35AM] Shit used command ::ninetails | Player rights = PLAYER	
[4/21/23 01:38AM] Shit used command ::afk | Player rights = PLAYER	
[4/21/23 02:27AM] Shit used command ::Vboss | Player rights = PLAYER	
[4/21/23 02:29AM] Shit used command ::afk | Player rights = PLAYER	
[4/21/23 03:02AM] Shit used command ::veigar | Player rights = PLAYER	
[4/21/23 03:05AM] Shit used command ::afk | Player rights = PLAYER	
[4/21/23 03:32AM] Shit used command ::veigar | Player rights = PLAYER	
[4/21/23 03:35AM] Shit used command ::ninetails | Player rights = PLAYER	
[4/21/23 03:37AM] Shit used command ::afk | Player rights = PLAYER	
[4/21/23 04:04AM] Shit used command ::veigar | Player rights = PLAYER	
[4/21/23 04:05AM] Shit used command ::afk | Player rights = PLAYER	
[4/21/23 04:23AM] Shit used command ::vboss | Player rights = PLAYER	
[4/21/23 04:23AM] Shit used command ::afk | Player rights = PLAYER	
[4/21/23 04:32AM] Shit used command ::veigar | Player rights = PLAYER	
[4/21/23 04:36AM] Shit used command ::ninetails | Player rights = PLAYER	
[4/21/23 04:38AM] Shit used command ::meruem | Player rights = PLAYER	
[4/21/23 04:40AM] Shit used command ::afk | Player rights = PLAYER	
[4/21/23 04:40AM] Shit used command ::afk | Player rights = PLAYER	
[4/21/23 04:41AM] Shit used command ::afk | Player rights = PLAYER	
[4/21/23 05:36AM] Shit used command ::golden | Player rights = PLAYER	
[4/21/23 05:37AM] Shit used command ::afk | Player rights = PLAYER	
[4/21/23 06:03AM] Shit used command ::Veigar | Player rights = PLAYER	
[4/21/23 06:07AM] Shit used command ::afk | Player rights = PLAYER	
[4/21/23 06:33AM] Shit used command ::veigar | Player rights = PLAYER	
[4/21/23 06:34AM] Shit used command ::ninetails | Player rights = PLAYER	
[4/21/23 06:35AM] Shit used command ::meruem | Player rights = PLAYER	
[4/21/23 06:36AM] Shit used command ::afk | Player rights = PLAYER	
[4/21/23 06:38AM] Shit used command ::vboss | Player rights = PLAYER	
[4/21/23 06:45AM] Shit used command ::afk | Player rights = PLAYER	
[4/21/23 07:32AM] Shit used command ::veigar | Player rights = PLAYER	
[4/21/23 07:34AM] Shit used command ::ninetails | Player rights = PLAYER	
[4/21/23 07:35AM] Shit used command ::afk | Player rights = PLAYER	
[4/21/23 07:37AM] Shit used command ::afk | Player rights = PLAYER	
[4/21/23 07:57AM] Shit used command ::vboss | Player rights = PLAYER	
[4/21/23 07:59AM] Shit used command ::afk | Player rights = PLAYER	
[4/21/23 08:03AM] Shit used command ::veigar | Player rights = PLAYER	
[4/21/23 08:04AM] Shit used command ::afk | Player rights = PLAYER	
[4/21/23 08:28AM] Shit used command ::veigar | Player rights = PLAYER	
[4/21/23 08:30AM] Shit used command ::meruem | Player rights = PLAYER	
[4/21/23 08:31AM] Shit used command ::ninetails | Player rights = PLAYER	
[4/21/23 08:32AM] Shit used command ::golden | Player rights = PLAYER	
[4/21/23 08:32AM] Shit used command ::veigar | Player rights = PLAYER	
[4/21/23 08:33AM] Shit used command ::vboss | Player rights = PLAYER	
[4/21/23 08:34AM] Shit used command ::veigar | Player rights = PLAYER	
[4/21/23 08:35AM] Shit used command ::meruem | Player rights = PLAYER	
[4/21/23 08:36AM] Shit used command ::afk | Player rights = PLAYER	
[4/21/23 08:37AM] Shit used command ::vboss | Player rights = PLAYER	
[4/21/23 08:39AM] Shit used command ::veigar | Player rights = PLAYER	
[4/21/23 08:40AM] Shit used command ::vboss | Player rights = PLAYER	
[4/21/23 08:43AM] Shit used command ::meruem | Player rights = PLAYER	
[4/21/23 09:03AM] Shit used command ::veigar | Player rights = PLAYER	
[4/21/23 09:04AM] Shit used command ::afk | Player rights = PLAYER	
[4/21/23 09:32AM] Shit used command ::veigar | Player rights = PLAYER	
[4/21/23 09:34AM] Shit used command ::ninetails | Player rights = PLAYER	
[4/21/23 09:35AM] Shit used command ::afk | Player rights = PLAYER	
[4/21/23 09:54AM] Shit used command ::vboss | Player rights = PLAYER	
[4/21/23 09:58AM] Shit used command ::afk | Player rights = PLAYER	
[4/21/23 10:03AM] Shit used command ::veigar | Player rights = PLAYER	
[4/21/23 10:06AM] Shit used command ::afk | Player rights = PLAYER	
[4/21/23 11:02AM] Shit used command ::veigar | Player rights = PLAYER	
[4/21/23 11:05AM] Shit used command ::afk | Player rights = PLAYER	
[4/21/23 11:32AM] Shit used command ::veigar | Player rights = PLAYER	
[4/21/23 11:33AM] Shit used command ::ninetails | Player rights = PLAYER	
[4/21/23 11:35AM] Shit used command ::golden | Player rights = PLAYER	
[4/21/23 11:35AM] Shit used command ::golden | Player rights = PLAYER	
[4/21/23 11:51AM] Shit used command ::afk | Player rights = PLAYER	
[4/21/23 12:02PM] Shit used command ::veigar | Player rights = PLAYER	
[4/21/23 12:05PM] Shit used command ::vboss | Player rights = PLAYER	
[4/21/23 12:11PM] Shit used command ::afk | Player rights = PLAYER	
[4/21/23 12:13PM] Shit used command ::vboss | Player rights = PLAYER	
[4/21/23 12:15PM] Shit used command ::afk | Player rights = PLAYER	
[4/21/23 12:36PM] Shit used command ::afk | Player rights = PLAYER	
[4/21/23 01:09PM] Shit used command ::Vboss | Player rights = PLAYER	
[4/21/23 01:14PM] Shit used command ::afk | Player rights = PLAYER	
[4/21/23 09:32PM] Shit used command ::veigar | Player rights = PLAYER	
[4/21/23 09:34PM] Shit used command ::ninetails | Player rights = PLAYER	
[4/21/23 09:35PM] Shit used command ::afk | Player rights = PLAYER	
[4/21/23 09:56PM] Shit used command ::vboss | Player rights = PLAYER	
[4/21/23 10:02PM] Shit used command ::veigar | Player rights = PLAYER	
[4/21/23 10:32PM] Shit used command ::veigar | Player rights = PLAYER	
[4/21/23 10:33PM] Shit used command ::ninetails | Player rights = PLAYER	
[4/21/23 10:34PM] Shit used command ::meruem | Player rights = PLAYER	
[4/21/23 10:35PM] Shit used command ::afk | Player rights = PLAYER	
[4/22/23 01:33AM] Shit used command ::Veigar | Player rights = PLAYER	
[4/22/23 01:34AM] Shit used command ::ninetails | Player rights = PLAYER	
[4/22/23 01:35AM] Shit used command ::afk | Player rights = PLAYER	
[4/22/23 01:35AM] Shit used command ::ninetails | Player rights = PLAYER	
[4/22/23 01:35AM] Shit used command ::afk | Player rights = PLAYER	
[4/22/23 01:45AM] Shit used command ::vboss | Player rights = PLAYER	
[4/22/23 01:48AM] Shit used command ::home | Player rights = PLAYER	
[4/22/23 01:49AM] Shit used command ::afk | Player rights = PLAYER	
[4/22/23 02:32AM] Shit used command ::veigar | Player rights = PLAYER	
[4/22/23 02:34AM] Shit used command ::ninetails | Player rights = PLAYER	
[4/22/23 02:36AM] Shit used command ::meruem | Player rights = PLAYER	
[4/22/23 02:37AM] Shit used command ::golden | Player rights = PLAYER	
[4/22/23 02:39AM] Shit used command ::afk | Player rights = PLAYER	
[4/22/23 04:33AM] Shit used command ::veigar | Player rights = PLAYER	
[4/22/23 04:34AM] Shit used command ::ninetails | Player rights = PLAYER	
[4/22/23 04:35AM] Shit used command ::meruem | Player rights = PLAYER	
[4/22/23 04:58AM] Shit used command ::afk | Player rights = PLAYER	
[4/22/23 05:03AM] Shit used command ::veigar | Player rights = PLAYER	
[4/22/23 05:04AM] Shit used command ::afk | Player rights = PLAYER	
[4/22/23 05:32AM] Shit used command ::veigar | Player rights = PLAYER	
[4/22/23 05:33AM] Shit used command ::ninetails | Player rights = PLAYER	
[4/22/23 05:34AM] Shit used command ::golden | Player rights = PLAYER	
[4/22/23 05:40AM] Shit used command ::afk | Player rights = PLAYER	
[4/22/23 05:52AM] Shit used command ::vboss | Player rights = PLAYER	
[4/22/23 06:12AM] Shit used command ::afk | Player rights = PLAYER	
[4/22/23 06:32AM] Shit used command ::Veigar | Player rights = PLAYER	
[4/22/23 06:33AM] Shit used command ::ninetails | Player rights = PLAYER	
[4/22/23 06:34AM] Shit used command ::meruem | Player rights = PLAYER	
[4/22/23 06:39AM] Shit used command ::afk | Player rights = PLAYER	
[4/22/23 07:37AM] Shit used command ::vboss | Player rights = PLAYER	
[4/22/23 08:32AM] Shit used command ::veigar | Player rights = PLAYER	
[4/22/23 08:33AM] Shit used command ::ninetails | Player rights = PLAYER	
[4/22/23 08:34AM] Shit used command ::veigar | Player rights = PLAYER	
[4/22/23 08:34AM] Shit used command ::meruem | Player rights = PLAYER	
[4/22/23 08:34AM] Shit used command ::golden | Player rights = PLAYER	
[4/22/23 08:37AM] Shit used command ::vboss | Player rights = PLAYER	
[4/22/23 10:32AM] Shit used command ::veigar | Player rights = PLAYER	
[4/22/23 10:33AM] Shit used command ::ninetails | Player rights = PLAYER	
[4/22/23 10:34AM] Shit used command ::meruem | Player rights = PLAYER	
[4/22/23 10:35AM] Shit used command ::afk | Player rights = PLAYER	
[4/22/23 10:36AM] Shit used command ::veigar | Player rights = PLAYER	
[4/22/23 10:37AM] Shit used command ::afk | Player rights = PLAYER	
[4/22/23 11:07AM] Shit used command ::vboss | Player rights = PLAYER	
[4/22/23 11:08AM] Shit used command ::afk | Player rights = PLAYER	
[4/22/23 11:10AM] Shit used command ::afk | Player rights = PLAYER	
[4/22/23 11:32AM] Shit used command ::veigar | Player rights = PLAYER	
[4/22/23 11:34AM] Shit used command ::ninetails | Player rights = PLAYER	
[4/22/23 11:34AM] Shit used command ::golden | Player rights = PLAYER	
[4/22/23 11:34AM] Shit used command ::golden | Player rights = PLAYER	
[4/22/23 11:45AM] Shit used command ::afk | Player rights = PLAYER	
[4/22/23 11:57AM] Shit used command ::vboss | Player rights = PLAYER	
[4/22/23 12:02PM] Shit used command ::veigar | Player rights = PLAYER	
[4/22/23 12:07PM] Shit used command ::veigar | Player rights = PLAYER	
[4/22/23 12:09PM] Shit used command ::ninetails | Player rights = PLAYER	
[4/22/23 12:11PM] Shit used command ::meruem | Player rights = PLAYER	
[4/22/23 12:13PM] Shit used command ::golden | Player rights = PLAYER	
[4/22/23 12:14PM] Shit used command ::golden | Player rights = PLAYER	
[4/22/23 12:18PM] Shit used command ::afk | Player rights = PLAYER	
[4/22/23 01:30PM] Shit used command ::vboss | Player rights = PLAYER	
[4/22/23 01:32PM] Shit used command ::veigar | Player rights = PLAYER	
[4/22/23 01:33PM] Shit used command ::ninetails | Player rights = PLAYER	
[4/22/23 01:39PM] Shit used command ::afk | Player rights = PLAYER	
[4/22/23 08:33PM] Shit used command ::ninetails | Player rights = PLAYER	
[4/22/23 08:34PM] Shit used command ::meruem | Player rights = PLAYER	
[4/22/23 08:35PM] Shit used command ::golden | Player rights = PLAYER	
[4/22/23 08:35PM] Shit used command ::golden | Player rights = PLAYER	
[4/22/23 08:36PM] Shit used command ::afk | Player rights = PLAYER	
[4/23/23 06:25AM] Shit used command ::afk | Player rights = PLAYER	
[4/23/23 07:05AM] Shit used command ::ninetails | Player rights = PLAYER	
[4/23/23 07:05AM] Shit used command ::viegar | Player rights = PLAYER	
[4/23/23 07:05AM] Shit used command ::veigar | Player rights = PLAYER	
[4/23/23 07:05AM] Shit used command ::golden | Player rights = PLAYER	
[4/23/23 07:05AM] Shit used command ::golden | Player rights = PLAYER	
[4/23/23 07:07AM] Shit used command ::afk | Player rights = PLAYER	
[4/23/23 09:42AM] Shit used command ::vboss | Player rights = PLAYER	
[4/23/23 09:46AM] Shit used command ::afk | Player rights = PLAYER	
[4/23/23 10:53AM] Shit used command ::vboss | Player rights = PLAYER	
[4/23/23 10:55AM] Shit used command ::veigar | Player rights = PLAYER	
[4/23/23 10:55AM] Shit used command :::ninetails | Player rights = PLAYER	
[4/23/23 10:55AM] Shit used command ::veigar | Player rights = PLAYER	
[4/23/23 10:55AM] Shit used command ::ninetails | Player rights = PLAYER	
[4/23/23 10:55AM] Shit used command ::vboss | Player rights = PLAYER	
[4/23/23 10:58AM] Shit used command ::afk | Player rights = PLAYER	
[4/23/23 11:44AM] Shit used command ::vboss | Player rights = PLAYER	
[4/23/23 11:54AM] Shit used command ::veigar | Player rights = PLAYER	
[4/23/23 11:59AM] Shit used command ::ninetails | Player rights = PLAYER	
[4/23/23 11:59AM] Shit used command ::ninetails | Player rights = PLAYER	
[4/23/23 12:00PM] Shit used command ::meruem | Player rights = PLAYER	
[4/23/23 12:00PM] Shit used command ::golden | Player rights = PLAYER	
[4/23/23 12:00PM] Shit used command ::meruem | Player rights = PLAYER	
[4/23/23 12:00PM] Shit used command ::home | Player rights = PLAYER	
[4/23/23 12:01PM] Shit used command ::vboss | Player rights = PLAYER	
[4/23/23 12:05PM] Shit used command ::meruem | Player rights = PLAYER	
[4/23/23 12:20PM] Shit used command ::afk | Player rights = PLAYER	
[4/23/23 12:27PM] Shit used command ::veigar | Player rights = PLAYER	
[4/23/23 12:31PM] Shit used command ::veigar | Player rights = PLAYER	
[4/23/23 12:32PM] Shit used command ::ninetails | Player rights = PLAYER	
[4/23/23 12:33PM] Shit used command ::meruem | Player rights = PLAYER	
[4/23/23 12:34PM] Shit used command ::meruem | Player rights = PLAYER	
[4/23/23 12:34PM] Shit used command ::meruem | Player rights = PLAYER	
[4/23/23 12:34PM] Shit used command ::meruem | Player rights = PLAYER	
[4/23/23 12:35PM] Shit used command ::golden | Player rights = PLAYER	
[4/23/23 12:35PM] Shit used command ::golden | Player rights = PLAYER	
[4/23/23 12:35PM] Shit used command ::home | Player rights = PLAYER	
[4/26/23 01:11AM] Shit used command ::veigar | Player rights = PLAYER	
[4/26/23 01:14AM] Shit used command ::ninetails | Player rights = PLAYER	
[4/26/23 01:17AM] Shit used command ::meruem | Player rights = PLAYER	
[4/26/23 01:17AM] Shit used command ::meruem | Player rights = PLAYER	
[4/26/23 01:18AM] Shit used command ::golden | Player rights = PLAYER	
[4/26/23 01:19AM] Shit used command ::golden | Player rights = PLAYER	
[4/26/23 01:19AM] Shit used command ::golden | Player rights = PLAYER	
[4/26/23 01:22AM] Shit used command ::afk | Player rights = PLAYER	
[4/26/23 01:27AM] Shit used command ::afk | Player rights = PLAYER	
[4/26/23 01:43AM] Shit used command ::veigar | Player rights = PLAYER	
[4/26/23 01:44AM] Shit used command ::afk::afk | Player rights = PLAYER	
[4/26/23 01:44AM] Shit used command ::afk | Player rights = PLAYER	
