[4/15/23 08:25AM] Clav used command ::ref walkchaos | Player rights = PLAYER	
[4/16/23 11:54AM] Clav used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 12:53PM] Clav used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 12:54PM] Clav used command ::elo | Player rights = GRACEFUL_DONATOR	
[4/16/23 12:57PM] Clav used command ::yell selling agumon body | Player rights = GRACEFUL_DONATOR	
[4/16/23 01:23PM] Clav used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 02:23PM] Clav used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 02:24PM] Clav used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/16/23 02:24PM] Clav used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/16/23 02:53PM] Clav used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 03:22PM] Clav used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 03:23PM] Clav used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/16/23 03:24PM] Clav used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/17/23 02:52PM] Clav used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/17/23 02:53PM] Clav used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/17/23 02:59PM] Clav used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/17/23 03:02PM] Clav used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 02:27PM] Clav used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/19/23 02:30PM] Clav used command ::totem | Player rights = CLERIC_DONATOR	
[4/19/23 02:43PM] Clav used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 12:13PM] Clav used command ::bank | Player rights = CLERIC_DONATOR	
[4/20/23 12:15PM] Clav used command ::instance | Player rights = CLERIC_DONATOR	
[4/20/23 12:17PM] Clav used command ::vote | Player rights = CLERIC_DONATOR	
[4/20/23 12:18PM] Clav used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/20/23 12:18PM] Clav used command ::Reward 1 all | Player rights = CLERIC_DONATOR	
[4/20/23 12:19PM] Clav used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 12:19PM] Clav used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 12:20PM] Clav used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 12:20PM] Clav used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/20/23 12:21PM] Clav used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 12:21PM] Clav used command ::golden | Player rights = CLERIC_DONATOR	
[4/20/23 12:22PM] Clav used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/20/23 12:23PM] Clav used command ::altars | Player rights = CLERIC_DONATOR	
[4/20/23 12:49PM] Clav used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 12:56PM] Clav used command ::kc nagendra | Player rights = CLERIC_DONATOR	
[4/20/23 12:57PM] Clav used command ::killcounty nagendra | Player rights = CLERIC_DONATOR	
[4/20/23 12:57PM] Clav used command ::npckills | Player rights = CLERIC_DONATOR	
[4/20/23 12:57PM] Clav used command ::npckills nagendra | Player rights = CLERIC_DONATOR	
[4/20/23 01:10PM] Clav used command ::checkdr | Player rights = CLERIC_DONATOR	
[4/20/23 01:10PM] Clav used command ::dr | Player rights = CLERIC_DONATOR	
[4/22/23 08:27AM] Clav used command ::vote | Player rights = CLERIC_DONATOR	
[4/22/23 08:28AM] Clav used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/22/23 08:31AM] Clav used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 08:33AM] Clav used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/22/23 08:34AM] Clav used command ::meruem | Player rights = CLERIC_DONATOR	
[4/22/23 08:35AM] Clav used command ::golden | Player rights = CLERIC_DONATOR	
[4/22/23 08:36AM] Clav used command ::donate | Player rights = CLERIC_DONATOR	
[4/22/23 08:38AM] Clav used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/22/23 08:44AM] Clav used command ::claikm | Player rights = CLERIC_DONATOR	
[4/22/23 08:44AM] Clav used command ::claim | Player rights = CLERIC_DONATOR	
[4/22/23 09:10AM] Clav used command ::instance | Player rights = CLERIC_DONATOR	
[4/22/23 03:22PM] Clav used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/22/23 03:22PM] Clav used command ::vboss | Player rights = CLERIC_DONATOR	
[4/22/23 03:33PM] Clav used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 04:03PM] Clav used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 04:33PM] Clav used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 04:36PM] Clav used command ::vboss | Player rights = CLERIC_DONATOR	
[4/22/23 04:37PM] Clav used command ::hideall | Player rights = CLERIC_DONATOR	
[4/22/23 06:33PM] Clav used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 06:34PM] Clav used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/22/23 06:35PM] Clav used command ::meruem | Player rights = CLERIC_DONATOR	
[4/22/23 08:32PM] Clav used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 08:33PM] Clav used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/22/23 08:34PM] Clav used command ::meruem | Player rights = CLERIC_DONATOR	
[4/22/23 08:35PM] Clav used command ::golden | Player rights = CLERIC_DONATOR	
[4/22/23 09:49PM] Clav used command ::vboss | Player rights = CLERIC_DONATOR	
[4/22/23 10:03PM] Clav used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 10:31PM] Clav used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 10:33PM] Clav used command ::meruem | Player rights = CLERIC_DONATOR	
[4/22/23 10:33PM] Clav used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/22/23 10:34PM] Clav used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/22/23 10:34PM] Clav used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/22/23 10:35PM] Clav used command ::meruem | Player rights = CLERIC_DONATOR	
[4/22/23 11:07PM] Clav used command ::vboss | Player rights = CLERIC_DONATOR	
[4/22/23 11:32PM] Clav used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 11:33PM] Clav used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/22/23 11:34PM] Clav used command ::golden | Player rights = CLERIC_DONATOR	
[4/22/23 11:35PM] Clav used command ::meruem | Player rights = CLERIC_DONATOR	
[4/22/23 11:35PM] Clav used command ::golden | Player rights = CLERIC_DONATOR	
[4/23/23 10:28AM] Clav used command ::vote | Player rights = CLERIC_DONATOR	
[4/23/23 10:29AM] Clav used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/23/23 10:53AM] Clav used command ::vboss | Player rights = CLERIC_DONATOR	
[4/23/23 10:54AM] Clav used command ::veigar | Player rights = CLERIC_DONATOR	
[4/23/23 10:55AM] Clav used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/23/23 10:55AM] Clav used command ::meruem | Player rights = CLERIC_DONATOR	
[4/23/23 10:55AM] Clav used command ::golden | Player rights = CLERIC_DONATOR	
[4/23/23 10:55AM] Clav used command ::vboss | Player rights = CLERIC_DONATOR	
[4/23/23 10:55AM] Clav used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/23/23 10:55AM] Clav used command ::vboss | Player rights = CLERIC_DONATOR	
[4/23/23 10:58AM] Clav used command ::dropoff | Player rights = CLERIC_DONATOR	
[4/23/23 11:00AM] Clav used command ::dropoff | Player rights = CLERIC_DONATOR	
[4/23/23 11:00AM] Clav used command ::dropon | Player rights = CLERIC_DONATOR	
[4/23/23 11:02AM] Clav used command ::afk | Player rights = CLERIC_DONATOR	
[4/23/23 11:25AM] Clav used command ::veigar | Player rights = CLERIC_DONATOR	
[4/23/23 11:25AM] Clav used command ::veigar | Player rights = CLERIC_DONATOR	
[4/23/23 11:27AM] Clav used command ::yell buying $ scrolls 60k per $1 | Player rights = CLERIC_DONATOR	
[4/23/23 11:33AM] Clav used command ::ref | Player rights = CLERIC_DONATOR	
[4/23/23 11:43AM] Clav used command ::vboss | Player rights = CLERIC_DONATOR	
[4/23/23 11:54AM] Clav used command ::veigar | Player rights = CLERIC_DONATOR	
[4/23/23 11:54AM] Clav used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/23/23 11:55AM] Clav used command ::meruem | Player rights = CLERIC_DONATOR	
[4/23/23 11:56AM] Clav used command ::save | Player rights = CLERIC_DONATOR	
[4/23/23 12:01PM] Clav used command ::vboss | Player rights = CLERIC_DONATOR	
[4/23/23 12:05PM] Clav used command ::meruem | Player rights = CLERIC_DONATOR	
[4/23/23 12:23PM] Clav used command ::bank | Player rights = TORMENTED_DONATOR	
[4/23/23 12:47PM] Clav used command ::bank | Player rights = TORMENTED_DONATOR	
[4/23/23 03:10PM] Clav used command ::pos | Player rights = TORMENTED_DONATOR	
[4/23/23 03:35PM] Clav used command ::dr | Player rights = TORMENTED_DONATOR	
[4/23/23 03:38PM] Clav used command ::droplog | Player rights = TORMENTED_DONATOR	
[4/23/23 03:42PM] Clav used command ::kc | Player rights = TORMENTED_DONATOR	
[4/23/23 03:42PM] Clav used command ::npckills | Player rights = TORMENTED_DONATOR	
[4/23/23 03:47PM] Clav used command ::pos | Player rights = TORMENTED_DONATOR	
[4/23/23 04:01PM] Clav used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/23/23 04:12PM] Clav used command ::bank | Player rights = TORMENTED_DONATOR	
[4/23/23 04:22PM] Clav used command ::bank | Player rights = TORMENTED_DONATOR	
[4/23/23 04:31PM] Clav used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/23/23 04:32PM] Clav used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/23/23 04:33PM] Clav used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/23/23 04:42PM] Clav used command ::dr | Player rights = TORMENTED_DONATOR	
[4/23/23 04:50PM] Clav used command ::dr | Player rights = TORMENTED_DONATOR	
[4/23/23 04:50PM] Clav used command ::dr | Player rights = TORMENTED_DONATOR	
[4/23/23 04:51PM] Clav used command ::dr | Player rights = TORMENTED_DONATOR	
[4/23/23 04:53PM] Clav used command ::bank | Player rights = TORMENTED_DONATOR	
[4/23/23 05:07PM] Clav used command ::dr | Player rights = TORMENTED_DONATOR	
[4/23/23 05:23PM] Clav used command ::vboaa | Player rights = TORMENTED_DONATOR	
[4/23/23 05:23PM] Clav used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/23/23 05:25PM] Clav used command ::dr | Player rights = TORMENTED_DONATOR	
[4/23/23 05:31PM] Clav used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/23/23 05:32PM] Clav used command ::dr | Player rights = TORMENTED_DONATOR	
[4/23/23 05:32PM] Clav used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/23/23 05:41PM] Clav used command ::pos | Player rights = TORMENTED_DONATOR	
[4/23/23 05:44PM] Clav used command ::dr | Player rights = TORMENTED_DONATOR	
[4/23/23 05:46PM] Clav used command ::pos | Player rights = TORMENTED_DONATOR	
[4/23/23 05:46PM] Clav used command ::dr | Player rights = TORMENTED_DONATOR	
[4/23/23 05:53PM] Clav used command ::dr | Player rights = TORMENTED_DONATOR	
[4/23/23 06:02PM] Clav used command ::bank | Player rights = TORMENTED_DONATOR	
[4/23/23 06:02PM] Clav used command ::bank | Player rights = TORMENTED_DONATOR	
[4/24/23 01:46PM] Clav used command ::vote | Player rights = TORMENTED_DONATOR	
[4/24/23 01:47PM] Clav used command ::reward 1 all | Player rights = TORMENTED_DONATOR	
[4/24/23 01:48PM] Clav used command ::dr | Player rights = TORMENTED_DONATOR	
[4/24/23 01:59PM] Clav used command ::dr | Player rights = TORMENTED_DONATOR	
[4/24/23 02:13PM] Clav used command ::dr | Player rights = TORMENTED_DONATOR	
[4/24/23 02:23PM] Clav used command ::dr | Player rights = TORMENTED_DONATOR	
[4/24/23 02:24PM] Clav used command ::bank | Player rights = TORMENTED_DONATOR	
[4/24/23 02:27PM] Clav used command ::Dr | Player rights = TORMENTED_DONATOR	
[4/24/23 02:29PM] Clav used command ::dr | Player rights = TORMENTED_DONATOR	
[4/24/23 02:47PM] Clav used command ::voteboss | Player rights = TORMENTED_DONATOR	
[4/24/23 02:48PM] Clav used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/24/23 02:51PM] Clav used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/24/23 02:54PM] Clav used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/24/23 02:56PM] Clav used command ::golden | Player rights = TORMENTED_DONATOR	
[4/24/23 03:02PM] Clav used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/24/23 03:07PM] Clav used command ::Dr | Player rights = MYSTICAL_DONATOR	
[4/24/23 03:29PM] Clav used command ::Dr | Player rights = MYSTICAL_DONATOR	
[4/24/23 03:31PM] Clav used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/24/23 03:32PM] Clav used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/24/23 03:34PM] Clav used command ::golden | Player rights = MYSTICAL_DONATOR	
[4/24/23 03:36PM] Clav used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/24/23 03:38PM] Clav used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/24/23 03:38PM] Clav used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/24/23 03:38PM] Clav used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/24/23 03:38PM] Clav used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/24/23 03:38PM] Clav used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/24/23 03:38PM] Clav used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/24/23 03:48PM] Clav used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/24/23 03:52PM] Clav used command ::Dr | Player rights = MYSTICAL_DONATOR	
[4/24/23 03:57PM] Clav used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/24/23 04:16PM] Clav used command ::Dr | Player rights = MYSTICAL_DONATOR	
[4/24/23 04:16PM] Clav used command ::Dr | Player rights = MYSTICAL_DONATOR	
[4/24/23 04:17PM] Clav used command ::Dr | Player rights = MYSTICAL_DONATOR	
[4/24/23 04:17PM] Clav used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/24/23 04:27PM] Clav used command ::Dr | Player rights = MYSTICAL_DONATOR	
[4/24/23 04:38PM] Clav used command ::Dr | Player rights = MYSTICAL_DONATOR	
[4/24/23 04:38PM] Clav used command ::Dr | Player rights = MYSTICAL_DONATOR	
[4/24/23 05:08PM] Clav used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/24/23 05:09PM] Clav used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/24/23 05:18PM] Clav used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/24/23 05:19PM] Clav used command ::Dr | Player rights = MYSTICAL_DONATOR	
[4/24/23 05:20PM] Clav used command ::Dr | Player rights = MYSTICAL_DONATOR	
[4/25/23 02:10PM] Clav used command ::Dr | Player rights = MYSTICAL_DONATOR	
[4/25/23 02:11PM] Clav used command ::dr | Player rights = MYSTICAL_DONATOR	
[4/25/23 02:12PM] Clav used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/25/23 02:12PM] Clav used command ::Dr | Player rights = MYSTICAL_DONATOR	
[4/25/23 02:13PM] Clav used command ::Dr | Player rights = MYSTICAL_DONATOR	
[4/25/23 02:15PM] Clav used command ::dr | Player rights = MYSTICAL_DONATOR	
[4/25/23 02:39PM] Clav used command ::Dr | Player rights = MYSTICAL_DONATOR	
[4/25/23 02:44PM] Clav used command ::vote | Player rights = MYSTICAL_DONATOR	
[4/25/23 02:45PM] Clav used command ::Reward 1 all | Player rights = MYSTICAL_DONATOR	
[4/25/23 03:05PM] Clav used command ::Vboss | Player rights = MYSTICAL_DONATOR	
