[4/18/23 01:05AM] Zennit used command ::ref | Player rights = PLAYER	
[4/19/23 06:13PM] Zennit used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 06:15PM] Zennit used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/19/23 06:16PM] Zennit used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/19/23 06:19PM] Zennit used command ::dropoff | Player rights = GRACEFUL_DONATOR	
[4/19/23 06:42PM] Zennit used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/19/23 06:44PM] Zennit used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 06:45PM] Zennit used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/19/23 07:14PM] Zennit used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 07:14PM] Zennit used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/19/23 07:15PM] Zennit used command ::meruem | Player rights = CLERIC_DONATOR	
[4/19/23 07:16PM] Zennit used command ::golden | Player rights = CLERIC_DONATOR	
[4/19/23 07:42PM] Zennit used command ::ref fpk merk | Player rights = CLERIC_DONATOR	
[4/19/23 07:42PM] Zennit used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 08:13PM] Zennit used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 08:15PM] Zennit used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/19/23 08:38PM] Zennit used command ::afk | Player rights = CLERIC_DONATOR	
[4/19/23 09:05PM] Zennit used command ::afk | Player rights = CLERIC_DONATOR	
[4/20/23 12:12AM] Zennit used command ::dropoff | Player rights = CLERIC_DONATOR	
[4/20/23 12:19AM] Zennit used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 12:21AM] Zennit used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 12:23AM] Zennit used command ::golden | Player rights = CLERIC_DONATOR	
[4/20/23 12:33AM] Zennit used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/20/23 12:33AM] Zennit used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/20/23 12:34AM] Zennit used command ::donate | Player rights = CLERIC_DONATOR	
[4/20/23 12:49AM] Zennit used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 01:19AM] Zennit used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 01:19AM] Zennit used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 01:19AM] Zennit used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 01:21AM] Zennit used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 01:23AM] Zennit used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 01:29AM] Zennit used command ::afk | Player rights = CLERIC_DONATOR	
[4/20/23 01:47AM] Zennit used command ::discord | Player rights = CLERIC_DONATOR	
[4/20/23 01:48AM] Zennit used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 01:56AM] Zennit used command ::vote | Player rights = CLERIC_DONATOR	
[4/20/23 02:00AM] Zennit used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/20/23 02:19AM] Zennit used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 02:21AM] Zennit used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 02:49AM] Zennit used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 03:03AM] Zennit used command ::donate | Player rights = CLERIC_DONATOR	
[4/20/23 03:06AM] Zennit used command ::claim | Player rights = CLERIC_DONATOR	
[4/20/23 03:19AM] Zennit used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 03:21AM] Zennit used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 03:23AM] Zennit used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 03:24AM] Zennit used command ::golden | Player rights = CLERIC_DONATOR	
[4/20/23 03:27AM] Zennit used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/20/23 03:30AM] Zennit used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/20/23 03:31AM] Zennit used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/20/23 03:40AM] Zennit used command ::afk | Player rights = CLERIC_DONATOR	
[4/20/23 02:49PM] Zennit used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 02:50PM] Zennit used command ::afk | Player rights = CLERIC_DONATOR	
[4/20/23 02:50PM] Zennit used command ::vote | Player rights = CLERIC_DONATOR	
[4/20/23 02:50PM] Zennit used command ::vboss | Player rights = CLERIC_DONATOR	
[4/20/23 02:50PM] Zennit used command ::vboss | Player rights = CLERIC_DONATOR	
[4/20/23 02:52PM] Zennit used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/20/23 02:52PM] Zennit used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/20/23 02:52PM] Zennit used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/20/23 02:52PM] Zennit used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/20/23 02:53PM] Zennit used command ::afk | Player rights = CLERIC_DONATOR	
[4/20/23 03:03PM] Zennit used command ::loot | Player rights = CLERIC_DONATOR	
[4/20/23 03:11PM] Zennit used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 03:19PM] Zennit used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 03:20PM] Zennit used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 03:21PM] Zennit used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 03:22PM] Zennit used command ::golden | Player rights = CLERIC_DONATOR	
[4/20/23 03:24PM] Zennit used command ::iron | Player rights = CLERIC_DONATOR	
[4/20/23 03:25PM] Zennit used command ::yellowboss | Player rights = CLERIC_DONATOR	
[4/20/23 03:25PM] Zennit used command ::afk | Player rights = CLERIC_DONATOR	
[4/21/23 01:40AM] Zennit used command ::dropoff | Player rights = CLERIC_DONATOR	
[4/21/23 01:53AM] Zennit used command ::vote | Player rights = CLERIC_DONATOR	
[4/21/23 02:03AM] Zennit used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 02:25AM] Zennit used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/21/23 02:33AM] Zennit used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 02:34AM] Zennit used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 02:37AM] Zennit used command ::muruem | Player rights = CLERIC_DONATOR	
[4/21/23 02:37AM] Zennit used command ::muruem | Player rights = CLERIC_DONATOR	
[4/21/23 02:37AM] Zennit used command ::meruem | Player rights = CLERIC_DONATOR	
[4/21/23 02:39AM] Zennit used command ::golden | Player rights = CLERIC_DONATOR	
[4/21/23 02:43AM] Zennit used command ::perk | Player rights = CLERIC_DONATOR	
[4/21/23 02:54AM] Zennit used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/21/23 02:54AM] Zennit used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/21/23 02:54AM] Zennit used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/21/23 02:54AM] Zennit used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/21/23 03:03AM] Zennit used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 03:15AM] Zennit used command ::donate | Player rights = CLERIC_DONATOR	
[4/21/23 03:19AM] Zennit used command ::claim | Player rights = CLERIC_DONATOR	
[4/21/23 03:19AM] Zennit used command ::donate | Player rights = CLERIC_DONATOR	
[4/21/23 03:20AM] Zennit used command ::claim | Player rights = CLERIC_DONATOR	
[4/21/23 03:20AM] Zennit used command ::claim | Player rights = CLERIC_DONATOR	
[4/21/23 03:34AM] Zennit used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 03:35AM] Zennit used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 03:35AM] Zennit used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 04:05AM] Zennit used command ::afk | Player rights = CLERIC_DONATOR	
[4/21/23 06:33AM] Zennit used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 06:34AM] Zennit used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 06:35AM] Zennit used command ::meruem | Player rights = CLERIC_DONATOR	
[4/21/23 06:38AM] Zennit used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/21/23 06:38AM] Zennit used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/21/23 07:33AM] Zennit used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 07:34AM] Zennit used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 07:57AM] Zennit used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/21/23 08:31AM] Zennit used command ::golden | Player rights = CLERIC_DONATOR	
[4/21/23 08:31AM] Zennit used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 08:31AM] Zennit used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 08:32AM] Zennit used command ::golden | Player rights = CLERIC_DONATOR	
[4/21/23 08:32AM] Zennit used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 08:33AM] Zennit used command ::vboss | Player rights = CLERIC_DONATOR	
[4/21/23 08:34AM] Zennit used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 08:35AM] Zennit used command ::meruem | Player rights = CLERIC_DONATOR	
[4/21/23 08:36AM] Zennit used command ::golden | Player rights = CLERIC_DONATOR	
[4/21/23 08:37AM] Zennit used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/21/23 08:39AM] Zennit used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 08:40AM] Zennit used command ::vboss | Player rights = CLERIC_DONATOR	
[4/21/23 08:43AM] Zennit used command ::meruem | Player rights = CLERIC_DONATOR	
[4/21/23 08:45AM] Zennit used command ::vboss | Player rights = CLERIC_DONATOR	
[4/21/23 08:52AM] Zennit used command ::afk | Player rights = CLERIC_DONATOR	
[4/21/23 04:33PM] Zennit used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 04:34PM] Zennit used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 04:35PM] Zennit used command ::meruem | Player rights = CLERIC_DONATOR	
[4/21/23 04:52PM] Zennit used command ::totem | Player rights = CLERIC_DONATOR	
[4/21/23 05:33PM] Zennit used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 05:33PM] Zennit used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 05:34PM] Zennit used command ::meruem | Player rights = CLERIC_DONATOR	
[4/21/23 05:34PM] Zennit used command ::golden | Player rights = CLERIC_DONATOR	
[4/21/23 05:34PM] Zennit used command ::meruem | Player rights = CLERIC_DONATOR	
[4/21/23 05:53PM] Zennit used command ::vote | Player rights = CLERIC_DONATOR	
[4/21/23 05:55PM] Zennit used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/21/23 05:55PM] Zennit used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/21/23 05:55PM] Zennit used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/21/23 06:03PM] Zennit used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 06:12PM] Zennit used command ::afk | Player rights = CLERIC_DONATOR	
[4/21/23 06:32PM] Zennit used command ::discord | Player rights = CLERIC_DONATOR	
[4/21/23 06:32PM] Zennit used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 06:33PM] Zennit used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 06:34PM] Zennit used command ::meruem | Player rights = CLERIC_DONATOR	
[4/21/23 06:35PM] Zennit used command ::golden | Player rights = CLERIC_DONATOR	
[4/21/23 06:36PM] Zennit used command ::vboss | Player rights = CLERIC_DONATOR	
[4/21/23 07:30PM] Zennit used command ::afk | Player rights = CLERIC_DONATOR	
[4/21/23 08:12PM] Zennit used command ::afk | Player rights = CLERIC_DONATOR	
[4/22/23 02:38AM] Zennit used command ::afk | Player rights = CLERIC_DONATOR	
[4/24/23 03:43AM] Zennit used command ::dropofff | Player rights = CLERIC_DONATOR	
[4/24/23 03:43AM] Zennit used command ::dropoff | Player rights = CLERIC_DONATOR	
