[4/17/23 11:00AM] Nexthokage used command ::starter | Player rights = PLAYER	
[4/17/23 03:43PM] Nexthokage used command ::home | Player rights = CLERIC_DONATOR	
[4/17/23 03:53PM] Nexthokage used command ::tasks | Player rights = CLERIC_DONATOR	
[4/17/23 03:55PM] Nexthokage used command ::tasks | Player rights = CLERIC_DONATOR	
[4/17/23 04:02PM] Nexthokage used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 04:25PM] Nexthokage used command ::donate | Player rights = CLERIC_DONATOR	
[4/17/23 04:32PM] Nexthokage used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 04:32PM] Nexthokage used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 04:33PM] Nexthokage used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 04:33PM] Nexthokage used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 04:58PM] Nexthokage used command ::home | Player rights = CLERIC_DONATOR	
[4/17/23 05:02PM] Nexthokage used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 05:21PM] Nexthokage used command ::home | Player rights = CLERIC_DONATOR	
[4/17/23 05:26PM] Nexthokage used command ::home | Player rights = CLERIC_DONATOR	
[4/17/23 05:32PM] Nexthokage used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 05:33PM] Nexthokage used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 06:02PM] Nexthokage used command ::::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 06:02PM] Nexthokage used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 06:07PM] Nexthokage used command ::home | Player rights = CLERIC_DONATOR	
[4/17/23 06:09PM] Nexthokage used command ::home | Player rights = CLERIC_DONATOR	
[4/17/23 06:32PM] Nexthokage used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 06:33PM] Nexthokage used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 06:33PM] Nexthokage used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 06:38PM] Nexthokage used command ::home | Player rights = CLERIC_DONATOR	
[4/17/23 06:51PM] Nexthokage used command ::home | Player rights = CLERIC_DONATOR	
[4/17/23 07:15PM] Nexthokage used command ::home | Player rights = CLERIC_DONATOR	
[4/17/23 07:30PM] Nexthokage used command ::home | Player rights = CLERIC_DONATOR	
[4/17/23 07:31PM] Nexthokage used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 07:31PM] Nexthokage used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 07:31PM] Nexthokage used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 07:32PM] Nexthokage used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 07:33PM] Nexthokage used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 07:33PM] Nexthokage used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 08:15PM] Nexthokage used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 08:21PM] Nexthokage used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 08:23PM] Nexthokage used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 08:24PM] Nexthokage used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 08:34PM] Nexthokage used command ::home | Player rights = CLERIC_DONATOR	
[4/17/23 08:36PM] Nexthokage used command ::home | Player rights = CLERIC_DONATOR	
[4/17/23 08:39PM] Nexthokage used command ::home | Player rights = CLERIC_DONATOR	
[4/18/23 11:11AM] Nexthokage used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 11:25AM] Nexthokage used command ::home | Player rights = CLERIC_DONATOR	
[4/18/23 11:26AM] Nexthokage used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 11:28AM] Nexthokage used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 11:41AM] Nexthokage used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 11:42AM] Nexthokage used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 11:42AM] Nexthokage used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 11:42AM] Nexthokage used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 11:44AM] Nexthokage used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 11:44AM] Nexthokage used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 11:50AM] Nexthokage used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/18/23 01:10PM] Nexthokage used command ::home | Player rights = CLERIC_DONATOR	
[4/18/23 01:11PM] Nexthokage used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 01:15PM] Nexthokage used command ::home | Player rights = CLERIC_DONATOR	
[4/18/23 01:19PM] Nexthokage used command ::vote | Player rights = CLERIC_DONATOR	
[4/18/23 01:21PM] Nexthokage used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/18/23 01:29PM] Nexthokage used command ::vboss | Player rights = CLERIC_DONATOR	
[4/18/23 01:41PM] Nexthokage used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 01:41PM] Nexthokage used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 01:41PM] Nexthokage used command ::golden | Player rights = CLERIC_DONATOR	
[4/18/23 02:02PM] Nexthokage used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 02:03PM] Nexthokage used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 02:11PM] Nexthokage used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 02:19PM] Nexthokage used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 02:25PM] Nexthokage used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 02:27PM] Nexthokage used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 02:30PM] Nexthokage used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 02:35PM] Nexthokage used command ::home | Player rights = CLERIC_DONATOR	
[4/18/23 02:35PM] Nexthokage used command ::home | Player rights = CLERIC_DONATOR	
[4/18/23 02:35PM] Nexthokage used command ::home | Player rights = CLERIC_DONATOR	
[4/18/23 02:35PM] Nexthokage used command ::home | Player rights = CLERIC_DONATOR	
[4/18/23 02:45PM] Nexthokage used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 02:50PM] Nexthokage used command ::vboss | Player rights = CLERIC_DONATOR	
[4/18/23 02:51PM] Nexthokage used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 03:12PM] Nexthokage used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 03:15PM] Nexthokage used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 03:16PM] Nexthokage used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 03:18PM] Nexthokage used command ::home | Player rights = CLERIC_DONATOR	
[4/18/23 03:38PM] Nexthokage used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 03:41PM] Nexthokage used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 03:41PM] Nexthokage used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 03:48PM] Nexthokage used command ::home | Player rights = CLERIC_DONATOR	
[4/18/23 04:03PM] Nexthokage used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 04:03PM] Nexthokage used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 04:10PM] Nexthokage used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 04:10PM] Nexthokage used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 04:12PM] Nexthokage used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 04:12PM] Nexthokage used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 04:15PM] Nexthokage used command ::vboss | Player rights = CLERIC_DONATOR	
[4/18/23 04:15PM] Nexthokage used command ::meruem | Player rights = CLERIC_DONATOR	
[4/18/23 04:16PM] Nexthokage used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 04:18PM] Nexthokage used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 04:19PM] Nexthokage used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 04:20PM] Nexthokage used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 04:34PM] Nexthokage used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 04:39PM] Nexthokage used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 04:41PM] Nexthokage used command ::meruem | Player rights = CLERIC_DONATOR	
[4/18/23 04:41PM] Nexthokage used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 04:42PM] Nexthokage used command ::meruem | Player rights = CLERIC_DONATOR	
[4/18/23 04:42PM] Nexthokage used command ::golden | Player rights = CLERIC_DONATOR	
[4/18/23 04:42PM] Nexthokage used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 04:42PM] Nexthokage used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 04:43PM] Nexthokage used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 04:44PM] Nexthokage used command ::home | Player rights = CLERIC_DONATOR	
[4/18/23 04:52PM] Nexthokage used command ::vote | Player rights = CLERIC_DONATOR	
[4/18/23 04:52PM] Nexthokage used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/18/23 04:53PM] Nexthokage used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/18/23 04:53PM] Nexthokage used command ::rewards 1 all | Player rights = CLERIC_DONATOR	
[4/18/23 04:53PM] Nexthokage used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/18/23 04:55PM] Nexthokage used command ::vboss | Player rights = CLERIC_DONATOR	
[4/18/23 04:56PM] Nexthokage used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 05:11PM] Nexthokage used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 05:11PM] Nexthokage used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 05:12PM] Nexthokage used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 05:29PM] Nexthokage used command ::vboss | Player rights = CLERIC_DONATOR	
[4/18/23 05:29PM] Nexthokage used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 05:29PM] Nexthokage used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 05:32PM] Nexthokage used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 05:32PM] Nexthokage used command ::meruem | Player rights = CLERIC_DONATOR	
[4/18/23 05:35PM] Nexthokage used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 05:36PM] Nexthokage used command ::golden | Player rights = CLERIC_DONATOR	
[4/18/23 05:40PM] Nexthokage used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 05:41PM] Nexthokage used command ::veigaR | Player rights = CLERIC_DONATOR	
[4/18/23 05:43PM] Nexthokage used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 05:45PM] Nexthokage used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 05:49PM] Nexthokage used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 05:52PM] Nexthokage used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 06:12PM] Nexthokage used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 06:41PM] Nexthokage used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 06:43PM] Nexthokage used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 06:45PM] Nexthokage used command ::meruem | Player rights = CLERIC_DONATOR	
[4/18/23 06:50PM] Nexthokage used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 06:57PM] Nexthokage used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 06:58PM] Nexthokage used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 06:59PM] Nexthokage used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 06:59PM] Nexthokage used command ::vboss | Player rights = CLERIC_DONATOR	
[4/18/23 07:11PM] Nexthokage used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 07:24PM] Nexthokage used command ::home | Player rights = CLERIC_DONATOR	
[4/18/23 07:42PM] Nexthokage used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 07:43PM] Nexthokage used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 07:44PM] Nexthokage used command ::golden | Player rights = CLERIC_DONATOR	
[4/18/23 08:11PM] Nexthokage used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 08:14PM] Nexthokage used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 08:15PM] Nexthokage used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 03:35PM] Nexthokage used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 03:40PM] Nexthokage used command ::noble | Player rights = CLERIC_DONATOR	
[4/19/23 03:42PM] Nexthokage used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 03:59PM] Nexthokage used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 04:01PM] Nexthokage used command ::home | Player rights = CLERIC_DONATOR	
[4/19/23 04:04PM] Nexthokage used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 04:04PM] Nexthokage used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 04:05PM] Nexthokage used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 04:22PM] Nexthokage used command ::veigar::pos | Player rights = CLERIC_DONATOR	
[4/19/23 04:22PM] Nexthokage used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 04:29PM] Nexthokage used command ::home | Player rights = CLERIC_DONATOR	
[4/19/23 04:36PM] Nexthokage used command ::vote | Player rights = CLERIC_DONATOR	
[4/19/23 04:39PM] Nexthokage used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/19/23 04:42PM] Nexthokage used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 04:43PM] Nexthokage used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 04:43PM] Nexthokage used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 04:45PM] Nexthokage used command ::vboss | Player rights = CLERIC_DONATOR	
[4/19/23 04:48PM] Nexthokage used command ::meruem | Player rights = CLERIC_DONATOR	
[4/19/23 04:51PM] Nexthokage used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 04:51PM] Nexthokage used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 04:54PM] Nexthokage used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 04:59PM] Nexthokage used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 05:13PM] Nexthokage used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 05:15PM] Nexthokage used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/19/23 05:15PM] Nexthokage used command ::meruem | Player rights = CLERIC_DONATOR	
[4/19/23 05:43PM] Nexthokage used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 06:13PM] Nexthokage used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 06:15PM] Nexthokage used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/19/23 06:16PM] Nexthokage used command ::golden | Player rights = CLERIC_DONATOR	
[4/19/23 06:36PM] Nexthokage used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 06:37PM] Nexthokage used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 06:41PM] Nexthokage used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 06:42PM] Nexthokage used command ::vboss | Player rights = CLERIC_DONATOR	
[4/19/23 06:44PM] Nexthokage used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 06:45PM] Nexthokage used command ::vboss | Player rights = CLERIC_DONATOR	
[4/20/23 09:22AM] Nexthokage used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 09:22AM] Nexthokage used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 09:24AM] Nexthokage used command ::vboss | Player rights = CLERIC_DONATOR	
[4/20/23 09:49AM] Nexthokage used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 10:07AM] Nexthokage used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 10:19AM] Nexthokage used command ::vboss | Player rights = CLERIC_DONATOR	
[4/20/23 10:20AM] Nexthokage used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 10:22AM] Nexthokage used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 10:26AM] Nexthokage used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 10:28AM] Nexthokage used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 10:30AM] Nexthokage used command ::golden | Player rights = CLERIC_DONATOR	
[4/20/23 10:36AM] Nexthokage used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 10:39AM] Nexthokage used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 10:40AM] Nexthokage used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 10:42AM] Nexthokage used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 10:46AM] Nexthokage used command ::golden | Player rights = CLERIC_DONATOR	
[4/20/23 10:47AM] Nexthokage used command ::vboss | Player rights = CLERIC_DONATOR	
[4/20/23 10:49AM] Nexthokage used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 10:50AM] Nexthokage used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 10:54AM] Nexthokage used command ::vboss | Player rights = CLERIC_DONATOR	
[4/20/23 11:20AM] Nexthokage used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 11:21AM] Nexthokage used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 11:22AM] Nexthokage used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 11:53AM] Nexthokage used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 11:56AM] Nexthokage used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 11:58AM] Nexthokage used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 12:08PM] Nexthokage used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 12:19PM] Nexthokage used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 12:20PM] Nexthokage used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 12:21PM] Nexthokage used command ::golden | Player rights = CLERIC_DONATOR	
[4/20/23 12:22PM] Nexthokage used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 12:23PM] Nexthokage used command ::vboss | Player rights = CLERIC_DONATOR	
[4/20/23 12:35PM] Nexthokage used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 12:38PM] Nexthokage used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 12:49PM] Nexthokage used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 01:00PM] Nexthokage used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 01:02PM] Nexthokage used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 01:08PM] Nexthokage used command ::tasks | Player rights = CLERIC_DONATOR	
[4/20/23 01:19PM] Nexthokage used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 01:20PM] Nexthokage used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 01:21PM] Nexthokage used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 01:22PM] Nexthokage used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 01:28PM] Nexthokage used command ::vote | Player rights = CLERIC_DONATOR	
[4/20/23 01:29PM] Nexthokage used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/20/23 01:30PM] Nexthokage used command ::vboss | Player rights = CLERIC_DONATOR	
[4/20/23 01:34PM] Nexthokage used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 01:35PM] Nexthokage used command ::tasks | Player rights = CLERIC_DONATOR	
[4/20/23 01:35PM] Nexthokage used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 01:35PM] Nexthokage used command ::tasks | Player rights = CLERIC_DONATOR	
