[4/19/23 11:16PM] Grumpyoldman used command ::vote | Player rights = PLAYER	
[4/20/23 10:27AM] Grumpyoldman used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 10:30AM] Grumpyoldman used command ::golden | Player rights = CLERIC_DONATOR	
[4/20/23 10:32AM] Grumpyoldman used command ::golden | Player rights = CLERIC_DONATOR	
[4/20/23 10:34AM] Grumpyoldman used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 10:38AM] Grumpyoldman used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 10:42AM] Grumpyoldman used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 10:45AM] Grumpyoldman used command ::golden | Player rights = CLERIC_DONATOR	
[4/20/23 10:47AM] Grumpyoldman used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/20/23 10:49AM] Grumpyoldman used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 10:52AM] Grumpyoldman used command ::home | Player rights = CLERIC_DONATOR	
[4/20/23 10:55AM] Grumpyoldman used command ::oteboss | Player rights = CLERIC_DONATOR	
[4/20/23 10:55AM] Grumpyoldman used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/20/23 10:57AM] Grumpyoldman used command ::afk | Player rights = CLERIC_DONATOR	
[4/20/23 11:04AM] Grumpyoldman used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 11:14AM] Grumpyoldman used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 11:18AM] Grumpyoldman used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 11:19AM] Grumpyoldman used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 11:21AM] Grumpyoldman used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 11:22AM] Grumpyoldman used command ::merue | Player rights = CLERIC_DONATOR	
[4/20/23 11:22AM] Grumpyoldman used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 12:05PM] Grumpyoldman used command ::vote | Player rights = CLERIC_DONATOR	
[4/20/23 12:07PM] Grumpyoldman used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/20/23 12:19PM] Grumpyoldman used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 12:20PM] Grumpyoldman used command ::Ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 12:21PM] Grumpyoldman used command ::golden | Player rights = CLERIC_DONATOR	
[4/20/23 12:22PM] Grumpyoldman used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/20/23 12:26PM] Grumpyoldman used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 12:28PM] Grumpyoldman used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 12:49PM] Grumpyoldman used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 12:54PM] Grumpyoldman used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 01:00PM] Grumpyoldman used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 01:09PM] Grumpyoldman used command ::yell selling potions and scrolls cheap | Player rights = CLERIC_DONATOR	
[4/20/23 01:14PM] Grumpyoldman used command ::yell selling potions and scrolls cheap in POS | Player rights = CLERIC_DONATOR	
[4/20/23 01:19PM] Grumpyoldman used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 01:20PM] Grumpyoldman used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 01:21PM] Grumpyoldman used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 01:22PM] Grumpyoldman used command ::golden | Player rights = CLERIC_DONATOR	
[4/20/23 01:23PM] Grumpyoldman used command ::home | Player rights = CLERIC_DONATOR	
[4/20/23 01:30PM] Grumpyoldman used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/20/23 01:33PM] Grumpyoldman used command ::home | Player rights = CLERIC_DONATOR	
[4/20/23 01:33PM] Grumpyoldman used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/20/23 01:39PM] Grumpyoldman used command ::home | Player rights = CLERIC_DONATOR	
[4/20/23 01:43PM] Grumpyoldman used command ::afk | Player rights = CLERIC_DONATOR	
[4/22/23 01:24PM] Grumpyoldman used command ::vote | Player rights = CLERIC_DONATOR	
[4/22/23 01:26PM] Grumpyoldman used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/22/23 01:26PM] Grumpyoldman used command ::afk | Player rights = CLERIC_DONATOR	
[4/22/23 01:30PM] Grumpyoldman used command ::vboss | Player rights = CLERIC_DONATOR	
[4/22/23 01:32PM] Grumpyoldman used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 01:34PM] Grumpyoldman used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/22/23 01:36PM] Grumpyoldman used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 01:36PM] Grumpyoldman used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 01:38PM] Grumpyoldman used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 01:45PM] Grumpyoldman used command ::home | Player rights = CLERIC_DONATOR	
[4/22/23 02:03PM] Grumpyoldman used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 02:32PM] Grumpyoldman used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 02:33PM] Grumpyoldman used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/22/23 02:34PM] Grumpyoldman used command ::meruem | Player rights = CLERIC_DONATOR	
[4/22/23 02:35PM] Grumpyoldman used command ::golden | Player rights = CLERIC_DONATOR	
[4/22/23 02:38PM] Grumpyoldman used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 02:51PM] Grumpyoldman used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 03:02PM] Grumpyoldman used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 03:05PM] Grumpyoldman used command ::home | Player rights = CLERIC_DONATOR	
[4/22/23 03:22PM] Grumpyoldman used command ::vboss | Player rights = CLERIC_DONATOR	
[4/22/23 03:32PM] Grumpyoldman used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 03:34PM] Grumpyoldman used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/22/23 03:37PM] Grumpyoldman used command ::afk | Player rights = CLERIC_DONATOR	
[4/22/23 04:02PM] Grumpyoldman used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 04:28PM] Grumpyoldman used command ::donate | Player rights = CLERIC_DONATOR	
[4/22/23 04:33PM] Grumpyoldman used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 04:33PM] Grumpyoldman used command ::claim | Player rights = CLERIC_DONATOR	
[4/22/23 04:34PM] Grumpyoldman used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/22/23 04:35PM] Grumpyoldman used command ::merumen | Player rights = CLERIC_DONATOR	
[4/22/23 04:35PM] Grumpyoldman used command ::meruem | Player rights = CLERIC_DONATOR	
[4/22/23 04:38PM] Grumpyoldman used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/22/23 04:39PM] Grumpyoldman used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 04:41PM] Grumpyoldman used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 04:42PM] Grumpyoldman used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 04:43PM] Grumpyoldman used command ::home | Player rights = TORMENTED_DONATOR	
[4/22/23 04:44PM] Grumpyoldman used command ::slayer | Player rights = TORMENTED_DONATOR	
[4/22/23 04:45PM] Grumpyoldman used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 04:53PM] Grumpyoldman used command ::slayer | Player rights = TORMENTED_DONATOR	
[4/22/23 07:42PM] Grumpyoldman used command ::vote | Player rights = TORMENTED_DONATOR	
[4/22/23 07:42PM] Grumpyoldman used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/22/23 07:48PM] Grumpyoldman used command ::home | Player rights = TORMENTED_DONATOR	
[4/22/23 08:32PM] Grumpyoldman used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/22/23 08:33PM] Grumpyoldman used command ::ninetals | Player rights = TORMENTED_DONATOR	
[4/22/23 08:33PM] Grumpyoldman used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/22/23 08:34PM] Grumpyoldman used command ::menurem | Player rights = TORMENTED_DONATOR	
[4/22/23 08:34PM] Grumpyoldman used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/22/23 08:35PM] Grumpyoldman used command ::golden | Player rights = TORMENTED_DONATOR	
[4/22/23 08:36PM] Grumpyoldman used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 08:37PM] Grumpyoldman used command ::afk | Player rights = TORMENTED_DONATOR	
[4/22/23 08:38PM] Grumpyoldman used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 08:40PM] Grumpyoldman used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 08:41PM] Grumpyoldman used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 08:41PM] Grumpyoldman used command ::yell pc on santa hats? | Player rights = TORMENTED_DONATOR	
[4/22/23 08:43PM] Grumpyoldman used command ::home | Player rights = TORMENTED_DONATOR	
[4/22/23 09:02PM] Grumpyoldman used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/22/23 09:32PM] Grumpyoldman used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/22/23 09:49PM] Grumpyoldman used command ::vote | Player rights = TORMENTED_DONATOR	
[4/22/23 09:50PM] Grumpyoldman used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/22/23 10:02PM] Grumpyoldman used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/22/23 10:13PM] Grumpyoldman used command ::home | Player rights = TORMENTED_DONATOR	
[4/22/23 11:03PM] Grumpyoldman used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/22/23 11:04PM] Grumpyoldman used command ::claim | Player rights = TORMENTED_DONATOR	
[4/22/23 11:07PM] Grumpyoldman used command ::voteboss | Player rights = TORMENTED_DONATOR	
[4/22/23 11:13PM] Grumpyoldman used command ::home | Player rights = TORMENTED_DONATOR	
[4/22/23 11:14PM] Grumpyoldman used command ::yell buy my POS please | Player rights = TORMENTED_DONATOR	
