[4/16/23 01:26PM] Ppoopoo used command ::ref fpk merk | Player rights = PLAYER	
[4/19/23 12:08PM] Ppoopoo used command ::Pos | Player rights = PLAYER	
[4/19/23 12:08PM] Ppoopoo used command ::pos | Player rights = PLAYER	
[4/19/23 12:10PM] Ppoopoo used command ::Pos | Player rights = PLAYER	
[4/19/23 12:11PM] Ppoopoo used command ::curse | Player rights = PLAYER	
[4/19/23 12:13PM] Ppoopoo used command ::veigar | Player rights = PLAYER	
[4/19/23 12:15PM] Ppoopoo used command ::vboss | Player rights = PLAYER	
[4/19/23 12:15PM] Ppoopoo used command ::ninetails | Player rights = PLAYER	
[4/19/23 12:17PM] Ppoopoo used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:18PM] Ppoopoo used command ::mereum | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:18PM] Ppoopoo used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:18PM] Ppoopoo used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:19PM] Ppoopoo used command ::home | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:19PM] Ppoopoo used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:21PM] Ppoopoo used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:22PM] Ppoopoo used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:22PM] Ppoopoo used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:22PM] Ppoopoo used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:22PM] Ppoopoo used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:22PM] Ppoopoo used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:22PM] Ppoopoo used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:22PM] Ppoopoo used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:23PM] Ppoopoo used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:23PM] Ppoopoo used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:23PM] Ppoopoo used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:23PM] Ppoopoo used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:23PM] Ppoopoo used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:23PM] Ppoopoo used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:23PM] Ppoopoo used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:25PM] Ppoopoo used command ::Vote | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:26PM] Ppoopoo used command ::voted | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:26PM] Ppoopoo used command ::Claim | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:26PM] Ppoopoo used command ::claimvotes | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:26PM] Ppoopoo used command ::voted | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:26PM] Ppoopoo used command ::votes | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:26PM] Ppoopoo used command ::commands | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:27PM] Ppoopoo used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:36PM] Ppoopoo used command ::reward1 | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:36PM] Ppoopoo used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:36PM] Ppoopoo used command ::reward 2 | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:43PM] Ppoopoo used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:45PM] Ppoopoo used command ::Vboss | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:57PM] Ppoopoo used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/19/23 01:07PM] Ppoopoo used command ::home | Player rights = GRACEFUL_DONATOR	
[4/19/23 01:13PM] Ppoopoo used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 01:14PM] Ppoopoo used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/19/23 01:15PM] Ppoopoo used command ::mereum | Player rights = GRACEFUL_DONATOR	
[4/19/23 01:15PM] Ppoopoo used command ::mereum | Player rights = GRACEFUL_DONATOR	
[4/19/23 01:16PM] Ppoopoo used command ::mureum | Player rights = GRACEFUL_DONATOR	
[4/19/23 01:16PM] Ppoopoo used command ::meuem | Player rights = GRACEFUL_DONATOR	
[4/19/23 01:16PM] Ppoopoo used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/19/23 01:20PM] Ppoopoo used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/19/23 01:22PM] Ppoopoo used command ::Voteboss | Player rights = GRACEFUL_DONATOR	
[4/19/23 01:34PM] Ppoopoo used command ::WZONE | Player rights = GRACEFUL_DONATOR	
[4/19/23 01:34PM] Ppoopoo used command ::yellowzone | Player rights = GRACEFUL_DONATOR	
[4/19/23 01:34PM] Ppoopoo used command ::home | Player rights = GRACEFUL_DONATOR	
[4/19/23 01:38PM] Ppoopoo used command ::donate | Player rights = GRACEFUL_DONATOR	
[4/19/23 01:43PM] Ppoopoo used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 01:45PM] Ppoopoo used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/19/23 01:53PM] Ppoopoo used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/19/23 02:03PM] Ppoopoo used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/19/23 02:06PM] Ppoopoo used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/19/23 02:07PM] Ppoopoo used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/19/23 02:09PM] Ppoopoo used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/19/23 02:10PM] Ppoopoo used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/19/23 02:11PM] Ppoopoo used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/19/23 02:12PM] Ppoopoo used command ::Slayer | Player rights = GRACEFUL_DONATOR	
[4/19/23 02:13PM] Ppoopoo used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 02:15PM] Ppoopoo used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/19/23 02:16PM] Ppoopoo used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/19/23 02:18PM] Ppoopoo used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/19/23 02:19PM] Ppoopoo used command ::Home | Player rights = GRACEFUL_DONATOR	
[4/19/23 02:21PM] Ppoopoo used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/19/23 02:22PM] Ppoopoo used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/19/23 02:23PM] Ppoopoo used command ::Slayer | Player rights = GRACEFUL_DONATOR	
[4/19/23 02:25PM] Ppoopoo used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/19/23 02:27PM] Ppoopoo used command ::Voteboss | Player rights = GRACEFUL_DONATOR	
[4/19/23 02:30PM] Ppoopoo used command ::Totem | Player rights = GRACEFUL_DONATOR	
[4/19/23 02:33PM] Ppoopoo used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/19/23 02:40PM] Ppoopoo used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/19/23 02:42PM] Ppoopoo used command ::yellowevent | Player rights = GRACEFUL_DONATOR	
[4/19/23 02:42PM] Ppoopoo used command ::wevent | Player rights = GRACEFUL_DONATOR	
[4/19/23 02:43PM] Ppoopoo used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/19/23 02:43PM] Ppoopoo used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 02:45PM] Ppoopoo used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/19/23 02:45PM] Ppoopoo used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/19/23 02:54PM] Ppoopoo used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/19/23 02:57PM] Ppoopoo used command ::noble | Player rights = GRACEFUL_DONATOR	
[4/19/23 03:00PM] Ppoopoo used command ::Home | Player rights = GRACEFUL_DONATOR	
[4/19/23 03:05PM] Ppoopoo used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/19/23 03:10PM] Ppoopoo used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/19/23 03:14PM] Ppoopoo used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 03:15PM] Ppoopoo used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/19/23 03:16PM] Ppoopoo used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/19/23 03:17PM] Ppoopoo used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/19/23 03:18PM] Ppoopoo used command ::home | Player rights = CLERIC_DONATOR	
[4/19/23 03:18PM] Ppoopoo used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 03:20PM] Ppoopoo used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 04:58PM] Ppoopoo used command ::slayer | Player rights = CLERIC_DONATOR	
[4/19/23 05:02PM] Ppoopoo used command ::slayer | Player rights = CLERIC_DONATOR	
[4/19/23 05:08PM] Ppoopoo used command ::slayer | Player rights = CLERIC_DONATOR	
[4/19/23 05:08PM] Ppoopoo used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 05:12PM] Ppoopoo used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 05:13PM] Ppoopoo used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 05:14PM] Ppoopoo used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/19/23 05:16PM] Ppoopoo used command ::meruem | Player rights = CLERIC_DONATOR	
[4/19/23 05:16PM] Ppoopoo used command ::golden | Player rights = CLERIC_DONATOR	
[4/19/23 05:17PM] Ppoopoo used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/19/23 05:17PM] Ppoopoo used command ::home | Player rights = CLERIC_DONATOR	
[4/19/23 05:18PM] Ppoopoo used command ::slayer | Player rights = CLERIC_DONATOR	
[4/19/23 05:21PM] Ppoopoo used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 05:23PM] Ppoopoo used command ::slayer | Player rights = CLERIC_DONATOR	
[4/19/23 05:26PM] Ppoopoo used command ::slayer | Player rights = CLERIC_DONATOR	
[4/19/23 05:30PM] Ppoopoo used command ::slayer | Player rights = CLERIC_DONATOR	
[4/19/23 05:34PM] Ppoopoo used command ::home | Player rights = CLERIC_DONATOR	
[4/19/23 05:35PM] Ppoopoo used command ::slayer | Player rights = CLERIC_DONATOR	
[4/19/23 05:37PM] Ppoopoo used command ::slayer | Player rights = CLERIC_DONATOR	
[4/19/23 05:39PM] Ppoopoo used command ::slayer | Player rights = CLERIC_DONATOR	
[4/19/23 05:40PM] Ppoopoo used command ::bank | Player rights = CLERIC_DONATOR	
[4/19/23 05:43PM] Ppoopoo used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 05:47PM] Ppoopoo used command ::home | Player rights = CLERIC_DONATOR	
[4/19/23 05:50PM] Ppoopoo used command ::slayer | Player rights = CLERIC_DONATOR	
[4/19/23 05:51PM] Ppoopoo used command ::slayer | Player rights = CLERIC_DONATOR	
[4/19/23 05:55PM] Ppoopoo used command ::slayer | Player rights = CLERIC_DONATOR	
[4/19/23 05:56PM] Ppoopoo used command ::slayer | Player rights = CLERIC_DONATOR	
[4/19/23 05:59PM] Ppoopoo used command ::slayer | Player rights = CLERIC_DONATOR	
[4/19/23 06:02PM] Ppoopoo used command ::slayer | Player rights = CLERIC_DONATOR	
[4/19/23 06:07PM] Ppoopoo used command ::slayer | Player rights = CLERIC_DONATOR	
[4/19/23 06:10PM] Ppoopoo used command ::slayer | Player rights = CLERIC_DONATOR	
[4/19/23 06:13PM] Ppoopoo used command ::slayer | Player rights = CLERIC_DONATOR	
[4/19/23 06:13PM] Ppoopoo used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 06:15PM] Ppoopoo used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/19/23 06:16PM] Ppoopoo used command ::golden | Player rights = CLERIC_DONATOR	
[4/19/23 06:19PM] Ppoopoo used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 06:22PM] Ppoopoo used command ::afk | Player rights = CLERIC_DONATOR	
[4/19/23 06:22PM] Ppoopoo used command ::home | Player rights = CLERIC_DONATOR	
[4/19/23 06:22PM] Ppoopoo used command ::Shops | Player rights = CLERIC_DONATOR	
[4/19/23 06:25PM] Ppoopoo used command ::afk | Player rights = CLERIC_DONATOR	
[4/19/23 06:42PM] Ppoopoo used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/19/23 06:44PM] Ppoopoo used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 06:45PM] Ppoopoo used command ::Voteboss | Player rights = CLERIC_DONATOR	
[4/19/23 07:13PM] Ppoopoo used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 07:14PM] Ppoopoo used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/19/23 07:15PM] Ppoopoo used command ::meruem | Player rights = CLERIC_DONATOR	
[4/19/23 07:44PM] Ppoopoo used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 08:08PM] Ppoopoo used command ::bank | Player rights = CLERIC_DONATOR	
[4/19/23 08:08PM] Ppoopoo used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 08:09PM] Ppoopoo used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 08:13PM] Ppoopoo used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 08:15PM] Ppoopoo used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/19/23 08:17PM] Ppoopoo used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 06:03AM] Ppoopoo used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 06:03AM] Ppoopoo used command ::wr3cked | Player rights = CLERIC_DONATOR	
[4/20/23 06:05AM] Ppoopoo used command ::Pos | Player rights = CLERIC_DONATOR	
[4/20/23 06:15AM] Ppoopoo used command ::Slayer | Player rights = CLERIC_DONATOR	
[4/20/23 06:18AM] Ppoopoo used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 06:19AM] Ppoopoo used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 06:19AM] Ppoopoo used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 06:21AM] Ppoopoo used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 06:22AM] Ppoopoo used command ::golden | Player rights = CLERIC_DONATOR	
[4/20/23 06:24AM] Ppoopoo used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 06:25AM] Ppoopoo used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 06:26AM] Ppoopoo used command ::Vote | Player rights = CLERIC_DONATOR	
[4/20/23 06:26AM] Ppoopoo used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 06:28AM] Ppoopoo used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 06:31AM] Ppoopoo used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/20/23 06:31AM] Ppoopoo used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/20/23 06:31AM] Ppoopoo used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/20/23 06:31AM] Ppoopoo used command ::Pos | Player rights = CLERIC_DONATOR	
[4/20/23 06:32AM] Ppoopoo used command ::Voteboss | Player rights = CLERIC_DONATOR	
[4/20/23 06:36AM] Ppoopoo used command ::Pos | Player rights = CLERIC_DONATOR	
[4/20/23 06:37AM] Ppoopoo used command ::bank | Player rights = CLERIC_DONATOR	
[4/20/23 06:37AM] Ppoopoo used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 06:38AM] Ppoopoo used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 06:41AM] Ppoopoo used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 06:45AM] Ppoopoo used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 06:49AM] Ppoopoo used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 06:49AM] Ppoopoo used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 06:54AM] Ppoopoo used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 07:32AM] Ppoopoo used command ::vboss | Player rights = CLERIC_DONATOR	
[4/20/23 07:56AM] Ppoopoo used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 07:57AM] Ppoopoo used command ::bank | Player rights = CLERIC_DONATOR	
[4/20/23 07:59AM] Ppoopoo used command ::ref | Player rights = CLERIC_DONATOR	
[4/20/23 08:02AM] Ppoopoo used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 08:06AM] Ppoopoo used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 08:11AM] Ppoopoo used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 08:15AM] Ppoopoo used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 08:19AM] Ppoopoo used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 08:21AM] Ppoopoo used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 08:23AM] Ppoopoo used command ::pod | Player rights = CLERIC_DONATOR	
[4/20/23 08:23AM] Ppoopoo used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 08:24AM] Ppoopoo used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 08:26AM] Ppoopoo used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 08:30AM] Ppoopoo used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 08:32AM] Ppoopoo used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 08:36AM] Ppoopoo used command ::home | Player rights = CLERIC_DONATOR	
[4/20/23 08:36AM] Ppoopoo used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 08:36AM] Ppoopoo used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 08:38AM] Ppoopoo used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 08:39AM] Ppoopoo used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 08:39AM] Ppoopoo used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 08:40AM] Ppoopoo used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 08:40AM] Ppoopoo used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 08:41AM] Ppoopoo used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 08:44AM] Ppoopoo used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 08:47AM] Ppoopoo used command ::Slayer | Player rights = CLERIC_DONATOR	
[4/20/23 08:49AM] Ppoopoo used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/20/23 08:50AM] Ppoopoo used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 08:51AM] Ppoopoo used command ::home | Player rights = CLERIC_DONATOR	
[4/20/23 08:52AM] Ppoopoo used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 08:54AM] Ppoopoo used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 08:57AM] Ppoopoo used command ::Slayer | Player rights = CLERIC_DONATOR	
[4/20/23 09:00AM] Ppoopoo used command ::home | Player rights = CLERIC_DONATOR	
[4/20/23 09:00AM] Ppoopoo used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 09:04AM] Ppoopoo used command ::Slayer | Player rights = CLERIC_DONATOR	
[4/20/23 09:05AM] Ppoopoo used command ::Pos | Player rights = CLERIC_DONATOR	
[4/20/23 09:09AM] Ppoopoo used command ::POS | Player rights = CLERIC_DONATOR	
[4/20/23 09:11AM] Ppoopoo used command ::Slayer | Player rights = CLERIC_DONATOR	
[4/20/23 09:14AM] Ppoopoo used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 09:15AM] Ppoopoo used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 09:15AM] Ppoopoo used command ::home | Player rights = CLERIC_DONATOR	
[4/20/23 09:19AM] Ppoopoo used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 09:20AM] Ppoopoo used command ::Pos | Player rights = CLERIC_DONATOR	
[4/20/23 09:20AM] Ppoopoo used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 09:23AM] Ppoopoo used command ::golden | Player rights = CLERIC_DONATOR	
[4/20/23 09:24AM] Ppoopoo used command ::Voteboss | Player rights = CLERIC_DONATOR	
[4/20/23 09:24AM] Ppoopoo used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 09:26AM] Ppoopoo used command ::Voteboss | Player rights = CLERIC_DONATOR	
[4/20/23 09:28AM] Ppoopoo used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 09:32AM] Ppoopoo used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 09:33AM] Ppoopoo used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 09:36AM] Ppoopoo used command ::Slayer | Player rights = CLERIC_DONATOR	
[4/20/23 09:38AM] Ppoopoo used command ::Pos | Player rights = CLERIC_DONATOR	
[4/20/23 09:38AM] Ppoopoo used command ::yell any1 selling demon bow or something close (thats not melee) | Player rights = CLERIC_DONATOR	
[4/20/23 09:39AM] Ppoopoo used command ::Pos | Player rights = CLERIC_DONATOR	
[4/20/23 09:40AM] Ppoopoo used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 09:41AM] Ppoopoo used command ::Pos | Player rights = CLERIC_DONATOR	
[4/20/23 09:43AM] Ppoopoo used command ::Pos | Player rights = CLERIC_DONATOR	
[4/20/23 09:44AM] Ppoopoo used command ::Yell buying demon bow 3m cash | Player rights = CLERIC_DONATOR	
[4/20/23 09:45AM] Ppoopoo used command ::Pos | Player rights = CLERIC_DONATOR	
[4/20/23 09:47AM] Ppoopoo used command ::yell buying demon bow 1.5m cash + $26 in scrolls | Player rights = CLERIC_DONATOR	
[4/20/23 09:47AM] Ppoopoo used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 09:48AM] Ppoopoo used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 09:49AM] Ppoopoo used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 09:49AM] Ppoopoo used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 09:50AM] Ppoopoo used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 09:53AM] Ppoopoo used command ::Pos | Player rights = CLERIC_DONATOR	
[4/20/23 09:56AM] Ppoopoo used command ::Pos | Player rights = CLERIC_DONATOR	
[4/20/23 09:57AM] Ppoopoo used command ::Pos | Player rights = CLERIC_DONATOR	
[4/20/23 09:57AM] Ppoopoo used command ::Pos | Player rights = CLERIC_DONATOR	
[4/20/23 09:58AM] Ppoopoo used command ::donate | Player rights = CLERIC_DONATOR	
[4/20/23 09:59AM] Ppoopoo used command ::Pos | Player rights = CLERIC_DONATOR	
[4/20/23 10:00AM] Ppoopoo used command ::Pos | Player rights = CLERIC_DONATOR	
[4/20/23 10:01AM] Ppoopoo used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 10:03AM] Ppoopoo used command ::Pos | Player rights = CLERIC_DONATOR	
[4/20/23 10:04AM] Ppoopoo used command ::Pos | Player rights = CLERIC_DONATOR	
[4/20/23 10:06AM] Ppoopoo used command ::Pos | Player rights = CLERIC_DONATOR	
[4/20/23 10:09AM] Ppoopoo used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 10:11AM] Ppoopoo used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 10:12AM] Ppoopoo used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 10:17AM] Ppoopoo used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 10:17AM] Ppoopoo used command ::home | Player rights = CLERIC_DONATOR	
[4/20/23 10:19AM] Ppoopoo used command ::Yell it counts | Player rights = CLERIC_DONATOR	
[4/20/23 10:19AM] Ppoopoo used command ::Voteboss | Player rights = CLERIC_DONATOR	
[4/20/23 10:20AM] Ppoopoo used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 10:21AM] Ppoopoo used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 10:23AM] Ppoopoo used command ::Yell buying demon bowww | Player rights = CLERIC_DONATOR	
[4/20/23 10:23AM] Ppoopoo used command ::vboss | Player rights = CLERIC_DONATOR	
[4/20/23 10:24AM] Ppoopoo used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 10:24AM] Ppoopoo used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 10:24AM] Ppoopoo used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 10:24AM] Ppoopoo used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 10:25AM] Ppoopoo used command ::yell veigar first | Player rights = CLERIC_DONATOR	
[4/20/23 10:25AM] Ppoopoo used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 10:26AM] Ppoopoo used command ::yell ninetails almost dead | Player rights = CLERIC_DONATOR	
[4/20/23 10:26AM] Ppoopoo used command ::veigar | Player rights = CLERIC_DONATOR	
