[4/22/23 01:00PM] Droprate used command ::refer | Player rights = PLAYER	
[4/23/23 10:40AM] Droprate used command ::claimvotes | Player rights = GRACEFUL_DONATOR	
[4/23/23 10:40AM] Droprate used command ::voted | Player rights = GRACEFUL_DONATOR	
[4/23/23 10:40AM] Droprate used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/23/23 10:53AM] Droprate used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/23/23 10:54AM] Droprate used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/23/23 10:54AM] Droprate used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/23/23 10:55AM] Droprate used command ::ninetail | Player rights = GRACEFUL_DONATOR	
[4/23/23 10:55AM] Droprate used command ::nine | Player rights = GRACEFUL_DONATOR	
[4/23/23 10:55AM] Droprate used command ::ninetail | Player rights = GRACEFUL_DONATOR	
[4/23/23 10:55AM] Droprate used command ::nine tail | Player rights = GRACEFUL_DONATOR	
[4/23/23 10:55AM] Droprate used command ::home | Player rights = GRACEFUL_DONATOR	
[4/23/23 10:56AM] Droprate used command ::teleport | Player rights = GRACEFUL_DONATOR	
[4/23/23 11:24AM] Droprate used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/23/23 11:25AM] Droprate used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/23/23 11:25AM] Droprate used command ::home | Player rights = GRACEFUL_DONATOR	
[4/23/23 11:25AM] Droprate used command ::home | Player rights = GRACEFUL_DONATOR	
[4/23/23 11:41AM] Droprate used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/23/23 11:47AM] Droprate used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/23/23 11:51AM] Droprate used command ::yellowzone | Player rights = GRACEFUL_DONATOR	
[4/23/23 11:51AM] Droprate used command ::yellowzone | Player rights = GRACEFUL_DONATOR	
[4/23/23 11:54AM] Droprate used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/23/23 11:59AM] Droprate used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/23/23 11:59AM] Droprate used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/23/23 12:00PM] Droprate used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/23/23 12:00PM] Droprate used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/23/23 12:00PM] Droprate used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/23/23 12:03PM] Droprate used command ::hide | Player rights = GRACEFUL_DONATOR	
[4/23/23 12:03PM] Droprate used command ::hidepeople | Player rights = GRACEFUL_DONATOR	
[4/23/23 12:05PM] Droprate used command ::merum | Player rights = GRACEFUL_DONATOR	
[4/23/23 12:05PM] Droprate used command ::merum | Player rights = GRACEFUL_DONATOR	
[4/23/23 12:05PM] Droprate used command ::merum | Player rights = GRACEFUL_DONATOR	
[4/23/23 12:06PM] Droprate used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/23/23 12:15PM] Droprate used command ::fewb | Player rights = GRACEFUL_DONATOR	
[4/23/23 12:15PM] Droprate used command ::fewb | Player rights = GRACEFUL_DONATOR	
[4/23/23 12:15PM] Droprate used command ::fewb | Player rights = GRACEFUL_DONATOR	
[4/23/23 12:15PM] Droprate used command ::fewb | Player rights = GRACEFUL_DONATOR	
[4/23/23 12:27PM] Droprate used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/23/23 12:31PM] Droprate used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/23/23 12:32PM] Droprate used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/23/23 12:33PM] Droprate used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/23/23 12:33PM] Droprate used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/23/23 12:34PM] Droprate used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/23/23 12:34PM] Droprate used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/23/23 12:34PM] Droprate used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/23/23 12:34PM] Droprate used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/23/23 01:01PM] Droprate used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/23/23 01:02PM] Droprate used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/23/23 01:02PM] Droprate used command ::home | Player rights = GRACEFUL_DONATOR	
[4/23/23 01:05PM] Droprate used command ::teleport | Player rights = GRACEFUL_DONATOR	
[4/23/23 01:05PM] Droprate used command ::teleport | Player rights = GRACEFUL_DONATOR	
[4/23/23 01:30PM] Droprate used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/23/23 01:31PM] Droprate used command ::ninetail | Player rights = GRACEFUL_DONATOR	
[4/23/23 01:31PM] Droprate used command ::ninetial | Player rights = GRACEFUL_DONATOR	
[4/23/23 01:31PM] Droprate used command ::ninetail | Player rights = GRACEFUL_DONATOR	
[4/23/23 01:31PM] Droprate used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/23/23 01:32PM] Droprate used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/23/23 01:33PM] Droprate used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/23/23 01:37PM] Droprate used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/23/23 01:38PM] Droprate used command ::shops | Player rights = GRACEFUL_DONATOR	
[4/24/23 02:04AM] Droprate used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/24/23 02:08AM] Droprate used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/24/23 02:10AM] Droprate used command ::redeem 1 1 | Player rights = GRACEFUL_DONATOR	
[4/24/23 11:01PM] Droprate used command ::veigar | Player rights = CLERIC_DONATOR	
[4/24/23 11:03PM] Droprate used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/24/23 11:08PM] Droprate used command ::vote | Player rights = CLERIC_DONATOR	
[4/24/23 11:10PM] Droprate used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/24/23 11:12PM] Droprate used command ::noble | Player rights = CLERIC_DONATOR	
[4/24/23 11:29PM] Droprate used command ::veigar | Player rights = CLERIC_DONATOR	
[4/24/23 11:29PM] Droprate used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/24/23 11:29PM] Droprate used command ::veigar | Player rights = CLERIC_DONATOR	
[4/24/23 11:32PM] Droprate used command ::veigar | Player rights = CLERIC_DONATOR	
[4/24/23 11:33PM] Droprate used command ::ninetail | Player rights = CLERIC_DONATOR	
[4/24/23 11:33PM] Droprate used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/24/23 11:36PM] Droprate used command ::zones | Player rights = CLERIC_DONATOR	
[4/24/23 11:36PM] Droprate used command ::teleport | Player rights = CLERIC_DONATOR	
[4/24/23 11:55PM] Droprate used command ::veigar | Player rights = CLERIC_DONATOR	
[4/25/23 12:05AM] Droprate used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/25/23 12:30AM] Droprate used command ::home | Player rights = CLERIC_DONATOR	
[4/25/23 12:30AM] Droprate used command ::veigar | Player rights = CLERIC_DONATOR	
[4/25/23 12:33AM] Droprate used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/25/23 12:34AM] Droprate used command ::meruem | Player rights = CLERIC_DONATOR	
[4/25/23 12:36AM] Droprate used command ::golden | Player rights = CLERIC_DONATOR	
[4/25/23 12:39AM] Droprate used command ::home | Player rights = CLERIC_DONATOR	
[4/25/23 12:55AM] Droprate used command ::teleport | Player rights = CLERIC_DONATOR	
[4/25/23 12:58AM] Droprate used command ::veigar | Player rights = CLERIC_DONATOR	
[4/25/23 01:03AM] Droprate used command ::veigar | Player rights = CLERIC_DONATOR	
[4/25/23 01:04AM] Droprate used command ::home | Player rights = CLERIC_DONATOR	
