[4/17/23 04:57PM] Nadez used command ::home | Player rights = PLAYER	
[4/17/23 08:25PM] Nadez used command ::rewards 1 | Player rights = CLERIC_DONATOR	
[4/17/23 08:27PM] Nadez used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 08:37PM] Nadez used command ::claim | Player rights = CLERIC_DONATOR	
[4/17/23 08:37PM] Nadez used command ::claim | Player rights = CLERIC_DONATOR	
[4/17/23 08:37PM] Nadez used command ::donated | Player rights = CLERIC_DONATOR	
[4/17/23 08:37PM] Nadez used command ::claim | Player rights = CLERIC_DONATOR	
[4/17/23 08:37PM] Nadez used command ::claim | Player rights = CLERIC_DONATOR	
[4/17/23 08:37PM] Nadez used command ::donated | Player rights = CLERIC_DONATOR	
[4/17/23 08:37PM] Nadez used command ::claim | Player rights = CLERIC_DONATOR	
[4/17/23 08:38PM] Nadez used command ::donated | Player rights = CLERIC_DONATOR	
[4/17/23 08:38PM] Nadez used command ::claim | Player rights = CLERIC_DONATOR	
[4/17/23 08:39PM] Nadez used command ::claim | Player rights = CLERIC_DONATOR	
[4/17/23 08:39PM] Nadez used command ::donated | Player rights = CLERIC_DONATOR	
[4/17/23 08:40PM] Nadez used command ::dropoff | Player rights = CLERIC_DONATOR	
[4/17/23 08:41PM] Nadez used command ::claim | Player rights = CLERIC_DONATOR	
[4/17/23 08:41PM] Nadez used command ::donated | Player rights = CLERIC_DONATOR	
[4/17/23 08:44PM] Nadez used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 08:46PM] Nadez used command ::home | Player rights = CLERIC_DONATOR	
[4/17/23 08:50PM] Nadez used command ::reward 1 Nadez | Player rights = CLERIC_DONATOR	
[4/17/23 08:50PM] Nadez used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/17/23 08:50PM] Nadez used command ::reward | Player rights = CLERIC_DONATOR	
[4/17/23 08:50PM] Nadez used command ::reward 1 1 | Player rights = CLERIC_DONATOR	
[4/17/23 08:58PM] Nadez used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 09:00PM] Nadez used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/17/23 09:00PM] Nadez used command ::reward1 | Player rights = CLERIC_DONATOR	
[4/17/23 09:00PM] Nadez used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/17/23 09:00PM] Nadez used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 09:00PM] Nadez used command ::mereum | Player rights = CLERIC_DONATOR	
[4/17/23 09:00PM] Nadez used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 09:00PM] Nadez used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 09:01PM] Nadez used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 09:04PM] Nadez used command ::claim | Player rights = CLERIC_DONATOR	
[4/17/23 09:04PM] Nadez used command ::donated | Player rights = CLERIC_DONATOR	
[4/17/23 09:04PM] Nadez used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/17/23 09:07PM] Nadez used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/17/23 09:10PM] Nadez used command ::home | Player rights = CLERIC_DONATOR	
[4/17/23 09:27PM] Nadez used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 09:35PM] Nadez used command ::claim | Player rights = CLERIC_DONATOR	
[4/17/23 09:35PM] Nadez used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/17/23 09:35PM] Nadez used command ::reward1 | Player rights = CLERIC_DONATOR	
[4/17/23 09:45PM] Nadez used command ::home | Player rights = CLERIC_DONATOR	
[4/17/23 09:50PM] Nadez used command ::home | Player rights = CLERIC_DONATOR	
[4/17/23 09:58PM] Nadez used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 09:58PM] Nadez used command ::nintails | Player rights = CLERIC_DONATOR	
[4/17/23 09:59PM] Nadez used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 10:07PM] Nadez used command ::home | Player rights = CLERIC_DONATOR	
[4/17/23 10:09PM] Nadez used command ::bank | Player rights = CLERIC_DONATOR	
[4/17/23 10:12PM] Nadez used command ::claim | Player rights = CLERIC_DONATOR	
[4/17/23 10:28PM] Nadez used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 10:46PM] Nadez used command ::claim | Player rights = CLERIC_DONATOR	
[4/18/23 04:42AM] Nadez used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 04:42AM] Nadez used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 04:53AM] Nadez used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 04:55AM] Nadez used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 04:57AM] Nadez used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 05:03AM] Nadez used command ::perks | Player rights = CLERIC_DONATOR	
[4/18/23 05:08AM] Nadez used command ::teleport | Player rights = CLERIC_DONATOR	
[4/18/23 05:10AM] Nadez used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 05:11AM] Nadez used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 05:17AM] Nadez used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 05:20AM] Nadez used command ::claim | Player rights = CLERIC_DONATOR	
[4/18/23 05:29AM] Nadez used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 05:29AM] Nadez used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 05:36AM] Nadez used command ::home | Player rights = CLERIC_DONATOR	
[4/18/23 05:41AM] Nadez used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 06:11AM] Nadez used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 06:14AM] Nadez used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/18/23 06:15AM] Nadez used command ::vote | Player rights = CLERIC_DONATOR	
[4/18/23 06:16AM] Nadez used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/18/23 06:17AM] Nadez used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 06:19AM] Nadez used command ::elo | Player rights = CLERIC_DONATOR	
[4/18/23 06:20AM] Nadez used command ::elo | Player rights = CLERIC_DONATOR	
[4/18/23 06:20AM] Nadez used command ::elo | Player rights = CLERIC_DONATOR	
[4/18/23 06:20AM] Nadez used command ::home | Player rights = CLERIC_DONATOR	
[4/18/23 06:26AM] Nadez used command ::vboss | Player rights = CLERIC_DONATOR	
[4/18/23 06:28AM] Nadez used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 06:29AM] Nadez used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 06:41AM] Nadez used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 06:42AM] Nadez used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 06:44AM] Nadez used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 06:49AM] Nadez used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 06:50AM] Nadez used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 06:54AM] Nadez used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 06:54AM] Nadez used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 07:06AM] Nadez used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 07:07AM] Nadez used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 07:11AM] Nadez used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 07:13AM] Nadez used command ::home | Player rights = CLERIC_DONATOR	
[4/18/23 07:42AM] Nadez used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 07:42AM] Nadez used command ::home | Player rights = CLERIC_DONATOR	
[4/18/23 07:43AM] Nadez used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 07:45AM] Nadez used command ::home | Player rights = CLERIC_DONATOR	
[4/18/23 07:53AM] Nadez used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/18/23 07:53AM] Nadez used command ::home | Player rights = CLERIC_DONATOR	
[4/18/23 11:42AM] Nadez used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 12:12PM] Nadez used command ::home | Player rights = CLERIC_DONATOR	
[4/18/23 12:13PM] Nadez used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 12:34PM] Nadez used command ::bank | Player rights = CLERIC_DONATOR	
[4/18/23 12:35PM] Nadez used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 12:38PM] Nadez used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 12:39PM] Nadez used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 12:41PM] Nadez used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 12:42PM] Nadez used command ::bank | Player rights = CLERIC_DONATOR	
[4/18/23 12:42PM] Nadez used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 12:46PM] Nadez used command ::home | Player rights = CLERIC_DONATOR	
[4/18/23 12:47PM] Nadez used command ::afk | Player rights = CLERIC_DONATOR	
[4/18/23 12:48PM] Nadez used command ::home | Player rights = CLERIC_DONATOR	
[4/18/23 02:27PM] Nadez used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 02:30PM] Nadez used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 02:34PM] Nadez used command ::vote | Player rights = CLERIC_DONATOR	
[4/18/23 02:35PM] Nadez used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/18/23 02:35PM] Nadez used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 02:37PM] Nadez used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 02:38PM] Nadez used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 02:41PM] Nadez used command ::collection | Player rights = CLERIC_DONATOR	
[4/18/23 02:41PM] Nadez used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 02:41PM] Nadez used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 02:42PM] Nadez used command ::home | Player rights = CLERIC_DONATOR	
[4/18/23 02:43PM] Nadez used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 02:43PM] Nadez used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 02:46PM] Nadez used command ::home | Player rights = CLERIC_DONATOR	
[4/18/23 02:48PM] Nadez used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 02:49PM] Nadez used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 02:49PM] Nadez used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 02:49PM] Nadez used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 02:50PM] Nadez used command ::vboss | Player rights = CLERIC_DONATOR	
[4/18/23 02:56PM] Nadez used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 02:57PM] Nadez used command ::home | Player rights = CLERIC_DONATOR	
[4/18/23 02:59PM] Nadez used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 03:11PM] Nadez used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 03:12PM] Nadez used command ::home | Player rights = CLERIC_DONATOR	
[4/18/23 03:30PM] Nadez used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 03:31PM] Nadez used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 03:33PM] Nadez used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 03:38PM] Nadez used command ::home | Player rights = CLERIC_DONATOR	
[4/18/23 03:41PM] Nadez used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 03:41PM] Nadez used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 03:48PM] Nadez used command ::home | Player rights = CLERIC_DONATOR	
[4/18/23 03:50PM] Nadez used command ::home | Player rights = CLERIC_DONATOR	
[4/18/23 03:57PM] Nadez used command ::elo | Player rights = CLERIC_DONATOR	
[4/18/23 04:04PM] Nadez used command ::home | Player rights = CLERIC_DONATOR	
[4/18/23 04:11PM] Nadez used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 04:13PM] Nadez used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 04:15PM] Nadez used command ::vboss | Player rights = CLERIC_DONATOR	
[4/18/23 04:15PM] Nadez used command ::meruem | Player rights = CLERIC_DONATOR	
[4/18/23 04:16PM] Nadez used command ::home | Player rights = CLERIC_DONATOR	
[4/18/23 04:17PM] Nadez used command ::bank | Player rights = CLERIC_DONATOR	
[4/18/23 04:21PM] Nadez used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 04:27PM] Nadez used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 04:29PM] Nadez used command ::home | Player rights = CLERIC_DONATOR	
[4/18/23 04:38PM] Nadez used command ::vote | Player rights = CLERIC_DONATOR	
[4/18/23 04:39PM] Nadez used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/18/23 04:39PM] Nadez used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 04:43PM] Nadez used command ::home | Player rights = CLERIC_DONATOR	
[4/18/23 04:48PM] Nadez used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 04:53PM] Nadez used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 04:53PM] Nadez used command ::home | Player rights = CLERIC_DONATOR	
[4/18/23 04:55PM] Nadez used command ::vboss | Player rights = CLERIC_DONATOR	
[4/18/23 05:01PM] Nadez used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 05:02PM] Nadez used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 05:02PM] Nadez used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 05:04PM] Nadez used command ::home | Player rights = CLERIC_DONATOR	
[4/18/23 05:09PM] Nadez used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 05:11PM] Nadez used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 05:16PM] Nadez used command ::pos | Player rights = TORMENTED_DONATOR	
[4/18/23 05:19PM] Nadez used command ::home | Player rights = TORMENTED_DONATOR	
[4/18/23 05:23PM] Nadez used command ::pos | Player rights = TORMENTED_DONATOR	
[4/18/23 05:30PM] Nadez used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/18/23 05:32PM] Nadez used command ::pos | Player rights = TORMENTED_DONATOR	
[4/18/23 05:33PM] Nadez used command ::home | Player rights = TORMENTED_DONATOR	
[4/18/23 05:33PM] Nadez used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/18/23 05:34PM] Nadez used command ::pos | Player rights = TORMENTED_DONATOR	
[4/18/23 05:35PM] Nadez used command ::pos | Player rights = TORMENTED_DONATOR	
[4/18/23 05:35PM] Nadez used command ::golden | Player rights = TORMENTED_DONATOR	
[4/18/23 05:39PM] Nadez used command ::pos | Player rights = TORMENTED_DONATOR	
[4/18/23 05:39PM] Nadez used command ::home | Player rights = TORMENTED_DONATOR	
[4/18/23 05:39PM] Nadez used command ::pos | Player rights = TORMENTED_DONATOR	
[4/18/23 05:41PM] Nadez used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/18/23 05:47PM] Nadez used command ::pos | Player rights = TORMENTED_DONATOR	
[4/18/23 05:52PM] Nadez used command ::pos | Player rights = TORMENTED_DONATOR	
[4/18/23 05:54PM] Nadez used command ::home | Player rights = TORMENTED_DONATOR	
[4/18/23 05:54PM] Nadez used command ::pos | Player rights = TORMENTED_DONATOR	
[4/18/23 06:03PM] Nadez used command ::home | Player rights = TORMENTED_DONATOR	
[4/18/23 06:11PM] Nadez used command ::home | Player rights = TORMENTED_DONATOR	
[4/18/23 06:11PM] Nadez used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/18/23 06:14PM] Nadez used command ::home | Player rights = TORMENTED_DONATOR	
[4/18/23 06:15PM] Nadez used command ::pos | Player rights = TORMENTED_DONATOR	
[4/18/23 06:17PM] Nadez used command ::home | Player rights = TORMENTED_DONATOR	
[4/18/23 06:17PM] Nadez used command ::pos | Player rights = TORMENTED_DONATOR	
[4/18/23 06:25PM] Nadez used command ::home | Player rights = TORMENTED_DONATOR	
[4/18/23 06:50PM] Nadez used command ::home | Player rights = TORMENTED_DONATOR	
[4/18/23 06:50PM] Nadez used command ::home | Player rights = TORMENTED_DONATOR	
[4/18/23 06:52PM] Nadez used command ::pos | Player rights = TORMENTED_DONATOR	
[4/18/23 06:56PM] Nadez used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/18/23 07:01PM] Nadez used command ::pos | Player rights = TORMENTED_DONATOR	
[4/18/23 07:01PM] Nadez used command ::home | Player rights = TORMENTED_DONATOR	
[4/18/23 07:02PM] Nadez used command ::pos | Player rights = TORMENTED_DONATOR	
[4/18/23 07:02PM] Nadez used command ::pos | Player rights = TORMENTED_DONATOR	
[4/18/23 07:07PM] Nadez used command ::pos | Player rights = TORMENTED_DONATOR	
[4/18/23 07:12PM] Nadez used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/18/23 07:13PM] Nadez used command ::home | Player rights = TORMENTED_DONATOR	
[4/18/23 07:15PM] Nadez used command ::afk | Player rights = TORMENTED_DONATOR	
[4/18/23 07:15PM] Nadez used command ::home | Player rights = TORMENTED_DONATOR	
[4/18/23 07:16PM] Nadez used command ::afk | Player rights = TORMENTED_DONATOR	
[4/19/23 11:58AM] Nadez used command ::bank | Player rights = TORMENTED_DONATOR	
[4/19/23 11:58AM] Nadez used command ::bank | Player rights = TORMENTED_DONATOR	
[4/19/23 11:58AM] Nadez used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 12:00PM] Nadez used command ::bank | Player rights = TORMENTED_DONATOR	
[4/19/23 12:00PM] Nadez used command ::VOTE | Player rights = TORMENTED_DONATOR	
[4/19/23 12:02PM] Nadez used command ::REWARDS 1 ALL | Player rights = TORMENTED_DONATOR	
[4/19/23 12:03PM] Nadez used command ::rewards 1 all | Player rights = TORMENTED_DONATOR	
[4/19/23 12:03PM] Nadez used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 12:04PM] Nadez used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 12:05PM] Nadez used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 12:07PM] Nadez used command ::wr3cked | Player rights = TORMENTED_DONATOR	
[4/19/23 12:14PM] Nadez used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/19/23 12:14PM] Nadez used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/19/23 12:15PM] Nadez used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/19/23 12:17PM] Nadez used command ::bank | Player rights = TORMENTED_DONATOR	
[4/19/23 12:18PM] Nadez used command ::golden | Player rights = TORMENTED_DONATOR	
[4/19/23 12:19PM] Nadez used command ::bank | Player rights = TORMENTED_DONATOR	
[4/19/23 12:19PM] Nadez used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 12:19PM] Nadez used command ::home | Player rights = TORMENTED_DONATOR	
[4/19/23 12:19PM] Nadez used command ::bank | Player rights = TORMENTED_DONATOR	
[4/19/23 12:19PM] Nadez used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 12:21PM] Nadez used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 12:25PM] Nadez used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 12:30PM] Nadez used command ::wr3cked | Player rights = TORMENTED_DONATOR	
[4/19/23 12:37PM] Nadez used command ::home | Player rights = TORMENTED_DONATOR	
[4/19/23 12:43PM] Nadez used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 12:44PM] Nadez used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/19/23 12:45PM] Nadez used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/19/23 12:46PM] Nadez used command ::bank | Player rights = TORMENTED_DONATOR	
[4/19/23 12:46PM] Nadez used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 12:47PM] Nadez used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 12:57PM] Nadez used command ::home | Player rights = TORMENTED_DONATOR	
[4/19/23 12:57PM] Nadez used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 01:00PM] Nadez used command ::bank | Player rights = TORMENTED_DONATOR	
[4/19/23 01:02PM] Nadez used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 01:04PM] Nadez used command ::bank | Player rights = TORMENTED_DONATOR	
[4/19/23 01:04PM] Nadez used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 05:45PM] Nadez used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 05:49PM] Nadez used command ::bank | Player rights = TORMENTED_DONATOR	
[4/19/23 06:04PM] Nadez used command ::home | Player rights = TORMENTED_DONATOR	
[4/19/23 06:07PM] Nadez used command ::donate | Player rights = TORMENTED_DONATOR	
