[4/20/23 07:06AM] Jdrope used command ::Ref | Player rights = PLAYER	
[4/20/23 10:55AM] Jdrope used command ::home | Player rights = CLERIC_DONATOR	
[4/20/23 11:04AM] Jdrope used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 11:06AM] Jdrope used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 11:06AM] Jdrope used command ::bank | Player rights = CLERIC_DONATOR	
[4/20/23 11:06AM] Jdrope used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 11:06AM] Jdrope used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 11:07AM] Jdrope used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 11:08AM] Jdrope used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 11:09AM] Jdrope used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 11:10AM] Jdrope used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 11:11AM] Jdrope used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 11:12AM] Jdrope used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 11:12AM] Jdrope used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 11:14AM] Jdrope used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 11:15AM] Jdrope used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 11:17AM] Jdrope used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 11:17AM] Jdrope used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 11:19AM] Jdrope used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 11:21AM] Jdrope used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 11:22AM] Jdrope used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 11:23AM] Jdrope used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 11:24AM] Jdrope used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 11:26AM] Jdrope used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 11:28AM] Jdrope used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 11:28AM] Jdrope used command ::bank | Player rights = CLERIC_DONATOR	
[4/20/23 11:29AM] Jdrope used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 11:30AM] Jdrope used command ::upgrade | Player rights = CLERIC_DONATOR	
[4/20/23 11:30AM] Jdrope used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 11:31AM] Jdrope used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 11:32AM] Jdrope used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 11:33AM] Jdrope used command ::home | Player rights = CLERIC_DONATOR	
[4/20/23 11:35AM] Jdrope used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 11:40AM] Jdrope used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 11:41AM] Jdrope used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 11:41AM] Jdrope used command ::thiving | Player rights = CLERIC_DONATOR	
[4/20/23 11:46AM] Jdrope used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 11:54AM] Jdrope used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 11:55AM] Jdrope used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 11:59AM] Jdrope used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 12:03PM] Jdrope used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 12:07PM] Jdrope used command ::home | Player rights = CLERIC_DONATOR	
[4/20/23 12:14PM] Jdrope used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 12:15PM] Jdrope used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 12:19PM] Jdrope used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/20/23 12:19PM] Jdrope used command ::veigat | Player rights = CLERIC_DONATOR	
[4/20/23 12:19PM] Jdrope used command ::vegiar | Player rights = CLERIC_DONATOR	
[4/20/23 12:19PM] Jdrope used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 12:20PM] Jdrope used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 12:20PM] Jdrope used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/20/23 12:20PM] Jdrope used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/20/23 12:21PM] Jdrope used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 12:21PM] Jdrope used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/20/23 12:21PM] Jdrope used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 12:21PM] Jdrope used command ::golden | Player rights = CLERIC_DONATOR	
[4/20/23 12:22PM] Jdrope used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/20/23 12:23PM] Jdrope used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 12:23PM] Jdrope used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 12:24PM] Jdrope used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 12:26PM] Jdrope used command ::home | Player rights = CLERIC_DONATOR	
[4/20/23 02:19PM] Jdrope used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 02:20PM] Jdrope used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 02:22PM] Jdrope used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 02:22PM] Jdrope used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 02:27PM] Jdrope used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 02:32PM] Jdrope used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 02:46PM] Jdrope used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 02:49PM] Jdrope used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 02:51PM] Jdrope used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/20/23 02:54PM] Jdrope used command ::home | Player rights = CLERIC_DONATOR	
[4/20/23 02:54PM] Jdrope used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 02:57PM] Jdrope used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 02:57PM] Jdrope used command ::home | Player rights = CLERIC_DONATOR	
[4/20/23 02:58PM] Jdrope used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 03:00PM] Jdrope used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 03:05PM] Jdrope used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 03:11PM] Jdrope used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 03:14PM] Jdrope used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 03:18PM] Jdrope used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 03:20PM] Jdrope used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 03:21PM] Jdrope used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 03:22PM] Jdrope used command ::golden | Player rights = CLERIC_DONATOR	
[4/20/23 03:22PM] Jdrope used command ::golden | Player rights = CLERIC_DONATOR	
[4/20/23 03:24PM] Jdrope used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 03:27PM] Jdrope used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 03:29PM] Jdrope used command ::bank | Player rights = CLERIC_DONATOR	
[4/20/23 03:32PM] Jdrope used command ::zones | Player rights = CLERIC_DONATOR	
[4/20/23 03:32PM] Jdrope used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 03:36PM] Jdrope used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 03:46PM] Jdrope used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 03:49PM] Jdrope used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 03:49PM] Jdrope used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 03:50PM] Jdrope used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 03:51PM] Jdrope used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 03:55PM] Jdrope used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 03:59PM] Jdrope used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 04:04PM] Jdrope used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 04:07PM] Jdrope used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 04:09PM] Jdrope used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 04:10PM] Jdrope used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 04:12PM] Jdrope used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 04:13PM] Jdrope used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 04:14PM] Jdrope used command ::donate | Player rights = CLERIC_DONATOR	
[4/20/23 04:15PM] Jdrope used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 04:18PM] Jdrope used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 04:20PM] Jdrope used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 04:22PM] Jdrope used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 04:26PM] Jdrope used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 04:29PM] Jdrope used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 04:44PM] Jdrope used command ::vboss | Player rights = CLERIC_DONATOR	
[4/20/23 04:45PM] Jdrope used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 04:48PM] Jdrope used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 04:51PM] Jdrope used command ::home | Player rights = CLERIC_DONATOR	
[4/20/23 04:56PM] Jdrope used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 05:02PM] Jdrope used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 05:07PM] Jdrope used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 05:09PM] Jdrope used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 05:17PM] Jdrope used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 05:20PM] Jdrope used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 05:21PM] Jdrope used command ::LLmeruem | Player rights = CLERIC_DONATOR	
[4/20/23 05:21PM] Jdrope used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 05:22PM] Jdrope used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 05:23PM] Jdrope used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 05:30PM] Jdrope used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 05:30PM] Jdrope used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 05:32PM] Jdrope used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 05:32PM] Jdrope used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 05:38PM] Jdrope used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 05:39PM] Jdrope used command ::bank | Player rights = CLERIC_DONATOR	
[4/20/23 05:40PM] Jdrope used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 05:42PM] Jdrope used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 05:43PM] Jdrope used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 05:49PM] Jdrope used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 05:51PM] Jdrope used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 05:56PM] Jdrope used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 05:59PM] Jdrope used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 06:05PM] Jdrope used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 06:10PM] Jdrope used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 06:18PM] Jdrope used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 06:19PM] Jdrope used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 06:20PM] Jdrope used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 06:21PM] Jdrope used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 06:21PM] Jdrope used command ::golden | Player rights = CLERIC_DONATOR	
[4/20/23 06:22PM] Jdrope used command ::home | Player rights = CLERIC_DONATOR	
[4/20/23 06:26PM] Jdrope used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 06:29PM] Jdrope used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 06:33PM] Jdrope used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 06:36PM] Jdrope used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 06:38PM] Jdrope used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/20/23 06:38PM] Jdrope used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 06:38PM] Jdrope used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 06:40PM] Jdrope used command ::vboss | Player rights = CLERIC_DONATOR	
[4/20/23 06:40PM] Jdrope used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/20/23 06:44PM] Jdrope used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 06:49PM] Jdrope used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 06:52PM] Jdrope used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 06:56PM] Jdrope used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 07:03PM] Jdrope used command ::Slayer | Player rights = CLERIC_DONATOR	
[4/20/23 07:10PM] Jdrope used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 07:12PM] Jdrope used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 07:19PM] Jdrope used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 07:20PM] Jdrope used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 07:21PM] Jdrope used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 07:22PM] Jdrope used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 07:23PM] Jdrope used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 07:25PM] Jdrope used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 07:30PM] Jdrope used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 07:34PM] Jdrope used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 07:40PM] Jdrope used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 07:44PM] Jdrope used command ::vote | Player rights = CLERIC_DONATOR	
[4/20/23 07:46PM] Jdrope used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 07:46PM] Jdrope used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 07:48PM] Jdrope used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 07:49PM] Jdrope used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 07:49PM] Jdrope used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 07:50PM] Jdrope used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 07:51PM] Jdrope used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 07:52PM] Jdrope used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 07:53PM] Jdrope used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 07:59PM] Jdrope used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 08:00PM] Jdrope used command ::Slayer | Player rights = CLERIC_DONATOR	
[4/20/23 08:00PM] Jdrope used command ::home | Player rights = CLERIC_DONATOR	
[4/20/23 08:03PM] Jdrope used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 08:06PM] Jdrope used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 08:08PM] Jdrope used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 08:09PM] Jdrope used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 08:19PM] Jdrope used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 08:19PM] Jdrope used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 02:05PM] Jdrope used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 02:08PM] Jdrope used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 02:09PM] Jdrope used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 02:12PM] Jdrope used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 02:20PM] Jdrope used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 01:47PM] Jdrope used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 01:49PM] Jdrope used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 01:50PM] Jdrope used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 01:52PM] Jdrope used command ::teleport | Player rights = CLERIC_DONATOR	
[4/22/23 01:52PM] Jdrope used command ::home | Player rights = CLERIC_DONATOR	
[4/22/23 01:52PM] Jdrope used command ::home | Player rights = CLERIC_DONATOR	
[4/22/23 01:53PM] Jdrope used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 01:53PM] Jdrope used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 01:53PM] Jdrope used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 01:53PM] Jdrope used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 01:53PM] Jdrope used command ::home | Player rights = CLERIC_DONATOR	
[4/22/23 01:57PM] Jdrope used command ::bank | Player rights = CLERIC_DONATOR	
[4/22/23 02:02PM] Jdrope used command ::help | Player rights = CLERIC_DONATOR	
[4/22/23 02:04PM] Jdrope used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 02:05PM] Jdrope used command ::home | Player rights = CLERIC_DONATOR	
[4/22/23 02:09PM] Jdrope used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 02:14PM] Jdrope used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 02:14PM] Jdrope used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 02:16PM] Jdrope used command ::slayer | Player rights = CLERIC_DONATOR	
[4/22/23 02:16PM] Jdrope used command ::bank | Player rights = CLERIC_DONATOR	
[4/22/23 02:19PM] Jdrope used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 02:21PM] Jdrope used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 02:24PM] Jdrope used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 02:25PM] Jdrope used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 02:32PM] Jdrope used command ::veigar | Player rights = CLERIC_DONATOR	
