[4/16/23 05:51PM] Winter used command ::bank | Player rights = PLAYER	
[4/16/23 07:24PM] Winter used command ::ninetails | Player rights = PLAYER	
[4/16/23 07:25PM] Winter used command ::meruem | Player rights = PLAYER	
[4/16/23 07:27PM] Winter used command ::home | Player rights = PLAYER	
[4/16/23 07:27PM] Winter used command ::vote | Player rights = PLAYER	
[4/16/23 07:36PM] Winter used command ::home | Player rights = PLAYER	
[4/16/23 07:37PM] Winter used command ::rewards 1 | Player rights = PLAYER	
[4/16/23 07:37PM] Winter used command ::rewards 1 all | Player rights = PLAYER	
[4/16/23 07:44PM] Winter used command ::home | Player rights = PLAYER	
[4/16/23 07:56PM] Winter used command ::upgrade | Player rights = PLAYER	
[4/16/23 08:07PM] Winter used command ::home | Player rights = PLAYER	
[4/16/23 08:17PM] Winter used command ::yellowgoldboss | Player rights = PLAYER	
[4/16/23 08:20PM] Winter used command ::home | Player rights = PLAYER	
[4/16/23 08:23PM] Winter used command ::Veigar | Player rights = PLAYER	
[4/16/23 08:24PM] Winter used command ::donate | Player rights = PLAYER	
[4/16/23 08:24PM] Winter used command ::ninetails | Player rights = PLAYER	
[4/16/23 08:25PM] Winter used command ::golden | Player rights = PLAYER	
[4/16/23 08:30PM] Winter used command ::home | Player rights = PLAYER	
[4/16/23 08:41PM] Winter used command ::home | Player rights = PLAYER	
[4/16/23 08:52PM] Winter used command ::veigar | Player rights = PLAYER	
[4/16/23 08:53PM] Winter used command ::ninetails | Player rights = PLAYER	
[4/16/23 08:54PM] Winter used command ::votebos::vote | Player rights = PLAYER	
[4/16/23 08:54PM] Winter used command ::voteboss | Player rights = PLAYER	
[4/16/23 08:54PM] Winter used command ::ninetails | Player rights = PLAYER	
[4/16/23 08:54PM] Winter used command ::meruem | Player rights = PLAYER	
[4/16/23 08:55PM] Winter used command ::golden | Player rights = PLAYER	
[4/16/23 08:55PM] Winter used command ::meruem | Player rights = PLAYER	
[4/16/23 08:56PM] Winter used command ::golden | Player rights = PLAYER	
[4/16/23 08:56PM] Winter used command ::voteboss | Player rights = PLAYER	
[4/16/23 08:56PM] Winter used command ::golden | Player rights = PLAYER	
[4/16/23 08:57PM] Winter used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/17/23 02:33AM] Winter used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/17/23 02:39AM] Winter used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 02:41AM] Winter used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/17/23 02:41AM] Winter used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/17/23 02:41AM] Winter used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/17/23 02:41AM] Winter used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/17/23 02:41AM] Winter used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/17/23 02:43AM] Winter used command ::home | Player rights = GRACEFUL_DONATOR	
[4/17/23 02:50AM] Winter used command ::home | Player rights = GRACEFUL_DONATOR	
[4/17/23 02:53AM] Winter used command ::shops | Player rights = GRACEFUL_DONATOR	
[4/17/23 02:53AM] Winter used command ::commands | Player rights = GRACEFUL_DONATOR	
[4/17/23 02:54AM] Winter used command ::Shops | Player rights = GRACEFUL_DONATOR	
[4/17/23 02:54AM] Winter used command ::shops | Player rights = GRACEFUL_DONATOR	
[4/17/23 02:54AM] Winter used command ::shop | Player rights = GRACEFUL_DONATOR	
[4/17/23 02:54AM] Winter used command ::home | Player rights = GRACEFUL_DONATOR	
[4/17/23 03:10AM] Winter used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 03:11AM] Winter used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/17/23 03:11AM] Winter used command ::meriem | Player rights = GRACEFUL_DONATOR	
[4/17/23 03:11AM] Winter used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/17/23 03:11AM] Winter used command ::goldem | Player rights = GRACEFUL_DONATOR	
[4/17/23 03:11AM] Winter used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/17/23 10:53AM] Winter used command ::fpk | Player rights = GRACEFUL_DONATOR	
[4/17/23 10:55AM] Winter used command ::home | Player rights = GRACEFUL_DONATOR	
[4/17/23 10:59AM] Winter used command ::ref | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:02AM] Winter used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:03AM] Winter used command ::ninetail | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:03AM] Winter used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:03AM] Winter used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:04AM] Winter used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:04AM] Winter used command ::progression | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:04AM] Winter used command ::progression | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:04AM] Winter used command ::progression | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:04AM] Winter used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:04AM] Winter used command ::progression | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:04AM] Winter used command ::taks | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:05AM] Winter used command ::tasks | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:05AM] Winter used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:05AM] Winter used command ::tasks | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:06AM] Winter used command ::home | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:06AM] Winter used command ::taks | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:06AM] Winter used command ::tasks | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:07AM] Winter used command ::Tasks | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:08AM] Winter used command ::tasks | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:09AM] Winter used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:09AM] Winter used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:16AM] Winter used command ::rewards 1 all | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:20AM] Winter used command ::home | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:24AM] Winter used command ::home | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:24AM] Winter used command ::home | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:24AM] Winter used command ::home | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:24AM] Winter used command ::home | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:26AM] Winter used command ::tasks | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:28AM] Winter used command ::home | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:32AM] Winter used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:33AM] Winter used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:33AM] Winter used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:33AM] Winter used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:33AM] Winter used command ::home | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:38AM] Winter used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:45AM] Winter used command ::train | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:46AM] Winter used command ::home | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:52AM] Winter used command ::tasks | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:52AM] Winter used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:53AM] Winter used command ::vobss | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:53AM] Winter used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:53AM] Winter used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:53AM] Winter used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:53AM] Winter used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:53AM] Winter used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:54AM] Winter used command ::home | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:54AM] Winter used command ::tasks | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:54AM] Winter used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:55AM] Winter used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:55AM] Winter used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:56AM] Winter used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:57AM] Winter used command ::home | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:57AM] Winter used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:58AM] Winter used command ::home | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:00PM] Winter used command ::tasks | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:02PM] Winter used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:03PM] Winter used command :::ninetails | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:03PM] Winter used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:03PM] Winter used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:03PM] Winter used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:03PM] Winter used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:03PM] Winter used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:03PM] Winter used command ::tasks | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:04PM] Winter used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:04PM] Winter used command ::Tasks | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:06PM] Winter used command ::tasks | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:07PM] Winter used command ::tasks | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:08PM] Winter used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:09PM] Winter used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:11PM] Winter used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:13PM] Winter used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:15PM] Winter used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:17PM] Winter used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 12:17PM] Winter used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 12:18PM] Winter used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 12:18PM] Winter used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 12:19PM] Winter used command ::tasks | Player rights = CLERIC_DONATOR	
[4/17/23 12:19PM] Winter used command ::home | Player rights = CLERIC_DONATOR	
[4/17/23 12:19PM] Winter used command ::vboss | Player rights = CLERIC_DONATOR	
[4/17/23 12:19PM] Winter used command ::vboss | Player rights = CLERIC_DONATOR	
[4/17/23 12:20PM] Winter used command ::home | Player rights = CLERIC_DONATOR	
[4/17/23 12:23PM] Winter used command ::tasks | Player rights = CLERIC_DONATOR	
[4/17/23 12:25PM] Winter used command ::tasks | Player rights = CLERIC_DONATOR	
[4/17/23 12:26PM] Winter used command ::home | Player rights = CLERIC_DONATOR	
[4/17/23 12:30PM] Winter used command ::tasks | Player rights = CLERIC_DONATOR	
[4/17/23 12:32PM] Winter used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 12:32PM] Winter used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 12:32PM] Winter used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 12:33PM] Winter used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 12:33PM] Winter used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 12:39PM] Winter used command ::vboss | Player rights = CLERIC_DONATOR	
[4/17/23 12:41PM] Winter used command ::home | Player rights = CLERIC_DONATOR	
[4/17/23 12:42PM] Winter used command ::bank | Player rights = CLERIC_DONATOR	
[4/17/23 12:42PM] Winter used command ::bank | Player rights = CLERIC_DONATOR	
[4/17/23 12:42PM] Winter used command ::bank | Player rights = CLERIC_DONATOR	
[4/17/23 12:44PM] Winter used command ::tasks | Player rights = CLERIC_DONATOR	
[4/17/23 12:49PM] Winter used command ::tasks | Player rights = CLERIC_DONATOR	
[4/17/23 12:50PM] Winter used command ::coll | Player rights = CLERIC_DONATOR	
[4/17/23 12:54PM] Winter used command ::tasks | Player rights = CLERIC_DONATOR	
[4/17/23 01:02PM] Winter used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 01:17PM] Winter used command ::bank | Player rights = CLERIC_DONATOR	
[4/17/23 01:32PM] Winter used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 01:33PM] Winter used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 01:33PM] Winter used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 01:36PM] Winter used command ::pets | Player rights = CLERIC_DONATOR	
[4/17/23 02:02PM] Winter used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 02:15PM] Winter used command ::home | Player rights = CLERIC_DONATOR	
[4/17/23 02:18PM] Winter used command ::home | Player rights = CLERIC_DONATOR	
[4/17/23 02:19PM] Winter used command ::donate | Player rights = CLERIC_DONATOR	
[4/17/23 02:32PM] Winter used command ::donate | Player rights = CLERIC_DONATOR	
[4/17/23 02:32PM] Winter used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 02:33PM] Winter used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 02:33PM] Winter used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 02:35PM] Winter used command ::home | Player rights = CLERIC_DONATOR	
[4/17/23 02:59PM] Winter used command ::vboss | Player rights = CLERIC_DONATOR	
[4/17/23 03:00PM] Winter used command ::home | Player rights = CLERIC_DONATOR	
[4/17/23 03:00PM] Winter used command ::home | Player rights = CLERIC_DONATOR	
[4/17/23 03:01PM] Winter used command ::claim 1 all | Player rights = CLERIC_DONATOR	
[4/17/23 03:01PM] Winter used command ::claim 1 all | Player rights = CLERIC_DONATOR	
[4/17/23 03:01PM] Winter used command ::claim 1 all | Player rights = CLERIC_DONATOR	
[4/17/23 03:03PM] Winter used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 03:04PM] Winter used command ::home | Player rights = CLERIC_DONATOR	
[4/17/23 03:15PM] Winter used command ::bank | Player rights = CLERIC_DONATOR	
[4/17/23 03:18PM] Winter used command ::home | Player rights = CLERIC_DONATOR	
[4/17/23 03:23PM] Winter used command ::wogw | Player rights = CLERIC_DONATOR	
[4/17/23 03:23PM] Winter used command ::perks | Player rights = CLERIC_DONATOR	
[4/17/23 03:27PM] Winter used command ::home | Player rights = CLERIC_DONATOR	
[4/17/23 03:52PM] Winter used command ::logs | Player rights = CLERIC_DONATOR	
[4/17/23 03:52PM] Winter used command ::logs | Player rights = CLERIC_DONATOR	
[4/17/23 04:02PM] Winter used command ::::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 04:02PM] Winter used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/17/23 04:16PM] Winter used command ::tasks | Player rights = CLERIC_DONATOR	
[4/17/23 04:17PM] Winter used command ::bank | Player rights = CLERIC_DONATOR	
[4/17/23 04:32PM] Winter used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 04:32PM] Winter used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 04:33PM] Winter used command ::bank | Player rights = CLERIC_DONATOR	
[4/17/23 04:33PM] Winter used command ::home | Player rights = CLERIC_DONATOR	
[4/17/23 04:33PM] Winter used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 04:33PM] Winter used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 04:33PM] Winter used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 05:02PM] Winter used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 05:25PM] Winter used command ::home | Player rights = CLERIC_DONATOR	
[4/17/23 05:28PM] Winter used command ::home | Player rights = CLERIC_DONATOR	
[4/17/23 05:30PM] Winter used command ::home | Player rights = CLERIC_DONATOR	
[4/17/23 05:32PM] Winter used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 05:33PM] Winter used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 05:33PM] Winter used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 05:33PM] Winter used command ::home | Player rights = CLERIC_DONATOR	
[4/17/23 05:36PM] Winter used command ::tasks | Player rights = CLERIC_DONATOR	
[4/17/23 06:02PM] Winter used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 06:17PM] Winter used command ::home | Player rights = CLERIC_DONATOR	
[4/17/23 06:23PM] Winter used command ::home | Player rights = CLERIC_DONATOR	
[4/17/23 06:32PM] Winter used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 06:33PM] Winter used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 06:33PM] Winter used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 07:02PM] Winter used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 07:21PM] Winter used command ::/ill buy | Player rights = CLERIC_DONATOR	
[4/17/23 07:21PM] Winter used command ::home | Player rights = CLERIC_DONATOR	
[4/17/23 07:32PM] Winter used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 07:33PM] Winter used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 07:33PM] Winter used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 07:53PM] Winter used command ::home | Player rights = CLERIC_DONATOR	
[4/17/23 08:19PM] Winter used command ::home | Player rights = CLERIC_DONATOR	
[4/17/23 08:34PM] Winter used command ::vote | Player rights = CLERIC_DONATOR	
[4/17/23 08:44PM] Winter used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 08:44PM] Winter used command ::bank | Player rights = CLERIC_DONATOR	
[4/17/23 08:51PM] Winter used command ::logs | Player rights = CLERIC_DONATOR	
[4/17/23 08:51PM] Winter used command ::tasks | Player rights = CLERIC_DONATOR	
[4/17/23 08:52PM] Winter used command ::tasks | Player rights = CLERIC_DONATOR	
[4/17/23 08:59PM] Winter used command ::tasks | Player rights = CLERIC_DONATOR	
[4/17/23 09:00PM] Winter used command ::tasks | Player rights = CLERIC_DONATOR	
[4/17/23 09:01PM] Winter used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 09:02PM] Winter used command ::tasks | Player rights = CLERIC_DONATOR	
[4/17/23 09:03PM] Winter used command ::tasks | Player rights = CLERIC_DONATOR	
[4/17/23 09:03PM] Winter used command ::tasks | Player rights = CLERIC_DONATOR	
[4/17/23 09:03PM] Winter used command ::tasks | Player rights = CLERIC_DONATOR	
[4/17/23 09:06PM] Winter used command ::tasks | Player rights = CLERIC_DONATOR	
[4/17/23 09:07PM] Winter used command ::tasks | Player rights = CLERIC_DONATOR	
[4/17/23 09:07PM] Winter used command ::tasks | Player rights = CLERIC_DONATOR	
[4/17/23 09:08PM] Winter used command ::Tasks | Player rights = CLERIC_DONATOR	
[4/17/23 09:11PM] Winter used command ::tasks | Player rights = CLERIC_DONATOR	
[4/17/23 09:12PM] Winter used command ::tasks | Player rights = CLERIC_DONATOR	
[4/17/23 09:12PM] Winter used command ::home | Player rights = CLERIC_DONATOR	
[4/18/23 05:42AM] Winter used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 05:52AM] Winter used command ::home | Player rights = CLERIC_DONATOR	
[4/18/23 06:08AM] Winter used command ::tasks | Player rights = CLERIC_DONATOR	
[4/18/23 06:38AM] Winter used command ::home | Player rights = CLERIC_DONATOR	
[4/18/23 07:09AM] Winter used command ::home | Player rights = CLERIC_DONATOR	
[4/18/23 07:12AM] Winter used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 07:13AM] Winter used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 07:41AM] Winter used command ::vote | Player rights = CLERIC_DONATOR	
[4/18/23 07:42AM] Winter used command ::claim 1 all | Player rights = CLERIC_DONATOR	
[4/18/23 07:42AM] Winter used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 07:42AM] Winter used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 07:42AM] Winter used command ::golden | Player rights = CLERIC_DONATOR	
[4/18/23 07:43AM] Winter used command ::home | Player rights = CLERIC_DONATOR	
[4/18/23 08:11AM] Winter used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 08:41AM] Winter used command ::tasks | Player rights = CLERIC_DONATOR	
[4/18/23 08:41AM] Winter used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 08:42AM] Winter used command ::meruem | Player rights = CLERIC_DONATOR	
[4/18/23 08:42AM] Winter used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 08:42AM] Winter used command ::meruem | Player rights = CLERIC_DONATOR	
[4/18/23 08:43AM] Winter used command ::home | Player rights = CLERIC_DONATOR	
[4/18/23 08:43AM] Winter used command ::rewards 1 all | Player rights = CLERIC_DONATOR	
[4/18/23 08:46AM] Winter used command ::home | Player rights = CLERIC_DONATOR	
[4/18/23 09:11AM] Winter used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 09:12AM] Winter used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 09:12AM] Winter used command ::meruem | Player rights = CLERIC_DONATOR	
[4/18/23 09:12AM] Winter used command ::golden | Player rights = CLERIC_DONATOR	
[4/18/23 09:12AM] Winter used command ::meruem | Player rights = CLERIC_DONATOR	
[4/18/23 09:16AM] Winter used command ::home | Player rights = CLERIC_DONATOR	
[4/18/23 09:42AM] Winter used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 09:42AM] Winter used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 09:42AM] Winter used command ::meruem | Player rights = CLERIC_DONATOR	
[4/18/23 09:43AM] Winter used command ::golden | Player rights = CLERIC_DONATOR	
[4/18/23 10:41AM] Winter used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 10:41AM] Winter used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 10:42AM] Winter used command ::meruem | Player rights = CLERIC_DONATOR	
[4/18/23 10:42AM] Winter used command ::golden | Player rights = CLERIC_DONATOR	
[4/18/23 11:02AM] Winter used command ::teleport | Player rights = CLERIC_DONATOR	
[4/18/23 11:02AM] Winter used command ::logs | Player rights = CLERIC_DONATOR	
[4/18/23 11:02AM] Winter used command ::tasks | Player rights = CLERIC_DONATOR	
[4/18/23 11:09AM] Winter used command ::home | Player rights = CLERIC_DONATOR	
[4/18/23 11:11AM] Winter used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 11:12AM] Winter used command ::home | Player rights = CLERIC_DONATOR	
[4/18/23 11:27AM] Winter used command ::donate | Player rights = CLERIC_DONATOR	
[4/18/23 11:41AM] Winter used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 11:41AM] Winter used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 11:42AM] Winter used command ::home | Player rights = CLERIC_DONATOR	
[4/18/23 12:11PM] Winter used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 12:16PM] Winter used command ::vboss | Player rights = CLERIC_DONATOR	
[4/18/23 12:18PM] Winter used command ::home | Player rights = CLERIC_DONATOR	
[4/18/23 12:20PM] Winter used command ::home | Player rights = CLERIC_DONATOR	
[4/18/23 12:26PM] Winter used command ::home | Player rights = CLERIC_DONATOR	
[4/18/23 12:41PM] Winter used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/18/23 12:41PM] Winter used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 12:41PM] Winter used command ::bank | Player rights = CLERIC_DONATOR	
[4/18/23 12:42PM] Winter used command ::meruem | Player rights = CLERIC_DONATOR	
[4/18/23 12:42PM] Winter used command ::home | Player rights = CLERIC_DONATOR	
[4/18/23 12:48PM] Winter used command ::Tasks | Player rights = CLERIC_DONATOR	
[4/18/23 12:53PM] Winter used command ::perks | Player rights = CLERIC_DONATOR	
[4/18/23 12:57PM] Winter used command ::home | Player rights = CLERIC_DONATOR	
[4/18/23 01:11PM] Winter used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 01:27PM] Winter used command ::home | Player rights = CLERIC_DONATOR	
[4/18/23 01:29PM] Winter used command ::vboss | Player rights = CLERIC_DONATOR	
[4/18/23 01:30PM] Winter used command ::home | Player rights = CLERIC_DONATOR	
[4/18/23 01:31PM] Winter used command ::home | Player rights = CLERIC_DONATOR	
[4/18/23 01:41PM] Winter used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 01:41PM] Winter used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 01:41PM] Winter used command ::golden | Player rights = CLERIC_DONATOR	
[4/18/23 01:43PM] Winter used command ::home | Player rights = CLERIC_DONATOR	
[4/18/23 01:56PM] Winter used command ::tasks | Player rights = CLERIC_DONATOR	
[4/18/23 01:56PM] Winter used command ::home | Player rights = CLERIC_DONATOR	
[4/18/23 02:03PM] Winter used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 02:05PM] Winter used command ::logs | Player rights = CLERIC_DONATOR	
