[4/16/23 10:23AM] Bryce used command ::veigar | Player rights = PLAYER	
[4/17/23 11:33AM] Bryce used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:52AM] Bryce used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:53AM] Bryce used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:54AM] Bryce used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:55AM] Bryce used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:56AM] Bryce used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:58AM] Bryce used command ::tasks | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:02PM] Bryce used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:08PM] Bryce used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:09PM] Bryce used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:11PM] Bryce used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:13PM] Bryce used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:15PM] Bryce used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:17PM] Bryce used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:17PM] Bryce used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:18PM] Bryce used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:18PM] Bryce used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:19PM] Bryce used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/17/23 07:32PM] Bryce used command ::Veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 07:33PM] Bryce used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/17/23 07:33PM] Bryce used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/17/23 08:44PM] Bryce used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 08:46PM] Bryce used command ::home | Player rights = GRACEFUL_DONATOR	
[4/18/23 08:42AM] Bryce used command ::EIGAR | Player rights = GRACEFUL_DONATOR	
[4/18/23 08:42AM] Bryce used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 08:42AM] Bryce used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/18/23 08:43AM] Bryce used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/18/23 08:43AM] Bryce used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/18/23 09:12AM] Bryce used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 09:12AM] Bryce used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/18/23 09:14AM] Bryce used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/18/23 07:41PM] Bryce used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 07:43PM] Bryce used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/18/23 07:44PM] Bryce used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:35AM] Bryce used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 10:13AM] Bryce used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 10:44AM] Bryce used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:13AM] Bryce used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:15AM] Bryce used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:16AM] Bryce used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:20AM] Bryce used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:41AM] Bryce used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:43AM] Bryce used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:43AM] Bryce used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:44AM] Bryce used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:45AM] Bryce used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:45AM] Bryce used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:46AM] Bryce used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:08PM] Bryce used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 12:09PM] Bryce used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 12:13PM] Bryce used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 12:14PM] Bryce used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 12:15PM] Bryce used command ::vboss | Player rights = CLERIC_DONATOR	
[4/19/23 12:15PM] Bryce used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/19/23 12:17PM] Bryce used command ::meruem | Player rights = CLERIC_DONATOR	
[4/19/23 12:18PM] Bryce used command ::golden | Player rights = CLERIC_DONATOR	
[4/19/23 12:20PM] Bryce used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 12:20PM] Bryce used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 12:23PM] Bryce used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 12:25PM] Bryce used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 12:49PM] Bryce used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 01:01PM] Bryce used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 01:03PM] Bryce used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 01:13PM] Bryce used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 01:14PM] Bryce used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/19/23 01:15PM] Bryce used command ::meruem | Player rights = CLERIC_DONATOR	
[4/19/23 01:16PM] Bryce used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 01:17PM] Bryce used command ::bank | Player rights = CLERIC_DONATOR	
[4/19/23 01:19PM] Bryce used command ::vboss | Player rights = CLERIC_DONATOR	
[4/19/23 01:21PM] Bryce used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 01:22PM] Bryce used command ::vboss | Player rights = CLERIC_DONATOR	
[4/19/23 01:24PM] Bryce used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 01:44PM] Bryce used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 02:03PM] Bryce used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 02:06PM] Bryce used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 02:07PM] Bryce used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 02:08PM] Bryce used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 02:08PM] Bryce used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 02:09PM] Bryce used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 02:14PM] Bryce used command ::VEIGAR | Player rights = TORMENTED_DONATOR	
[4/19/23 02:15PM] Bryce used command ::NINETAILS | Player rights = TORMENTED_DONATOR	
[4/19/23 04:17PM] Bryce used command ::POS | Player rights = TORMENTED_DONATOR	
[4/19/23 04:33PM] Bryce used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 04:42PM] Bryce used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 04:43PM] Bryce used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 04:44PM] Bryce used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/19/23 04:44PM] Bryce used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 04:45PM] Bryce used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/19/23 04:49PM] Bryce used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 04:49PM] Bryce used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 04:50PM] Bryce used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 04:50PM] Bryce used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 05:14PM] Bryce used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/19/23 05:15PM] Bryce used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/19/23 05:15PM] Bryce used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/19/23 05:16PM] Bryce used command ::golden | Player rights = TORMENTED_DONATOR	
[4/19/23 05:18PM] Bryce used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 05:19PM] Bryce used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 05:21PM] Bryce used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 05:23PM] Bryce used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 05:29PM] Bryce used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 05:31PM] Bryce used command ::pos | Player rights = TORMENTED_DONATOR	
