[4/18/23 04:01PM] Jetfire used command ::ref fpkmerk | Player rights = PLAYER	
[4/19/23 02:25PM] Jetfire used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/19/23 02:43PM] Jetfire used command ::Veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 02:44PM] Jetfire used command ::curses | Player rights = GRACEFUL_DONATOR	
[4/19/23 03:13PM] Jetfire used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 03:15PM] Jetfire used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/19/23 03:16PM] Jetfire used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/19/23 03:17PM] Jetfire used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/19/23 03:42PM] Jetfire used command ::elo | Player rights = GRACEFUL_DONATOR	
[4/19/23 03:43PM] Jetfire used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 03:43PM] Jetfire used command ::elo | Player rights = GRACEFUL_DONATOR	
[4/19/23 03:46PM] Jetfire used command ::shops | Player rights = GRACEFUL_DONATOR	
[4/19/23 03:47PM] Jetfire used command ::shop | Player rights = GRACEFUL_DONATOR	
[4/19/23 03:49PM] Jetfire used command ::home | Player rights = GRACEFUL_DONATOR	
[4/20/23 01:33AM] Jetfire used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/20/23 01:34AM] Jetfire used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/20/23 01:34AM] Jetfire used command ::reward 1 2 | Player rights = GRACEFUL_DONATOR	
[4/20/23 01:34AM] Jetfire used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/20/23 01:34AM] Jetfire used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/20/23 01:35AM] Jetfire used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/20/23 01:36AM] Jetfire used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/20/23 01:37AM] Jetfire used command ::stats | Player rights = GRACEFUL_DONATOR	
[4/20/23 01:41AM] Jetfire used command ::dropoff | Player rights = GRACEFUL_DONATOR	
[4/20/23 03:06PM] Jetfire used command ::dropoff | Player rights = GRACEFUL_DONATOR	
[4/20/23 03:08PM] Jetfire used command ::dropoff | Player rights = GRACEFUL_DONATOR	
[4/20/23 03:17PM] Jetfire used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/20/23 03:18PM] Jetfire used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/20/23 03:18PM] Jetfire used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 03:20PM] Jetfire used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/20/23 03:21PM] Jetfire used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/20/23 03:22PM] Jetfire used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/26/23 04:35AM] Jetfire used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/26/23 04:39AM] Jetfire used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/26/23 04:40AM] Jetfire used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/26/23 04:40AM] Jetfire used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/26/23 05:33AM] Jetfire used command ::veigar | Player rights = CLERIC_DONATOR	
[4/26/23 05:35AM] Jetfire used command ::ref | Player rights = CLERIC_DONATOR	
[4/26/23 05:37AM] Jetfire used command ::home | Player rights = CLERIC_DONATOR	
[4/26/23 05:38AM] Jetfire used command ::ninetals | Player rights = CLERIC_DONATOR	
[4/26/23 05:38AM] Jetfire used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/26/23 05:39AM] Jetfire used command ::meruem | Player rights = CLERIC_DONATOR	
[4/26/23 03:06PM] Jetfire used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/26/23 03:07PM] Jetfire used command ::meruem | Player rights = CLERIC_DONATOR	
[4/26/23 03:08PM] Jetfire used command ::golden | Player rights = CLERIC_DONATOR	
