[4/15/23 11:44AM] Kau used command ::train | Player rights = PLAYER	
[4/21/23 06:30PM] Kau used command ::claim | Player rights = TORMENTED_DONATOR	
[4/21/23 06:30PM] Kau used command ::claim | Player rights = TORMENTED_DONATOR	
[4/21/23 06:31PM] Kau used command ::claim | Player rights = TORMENTED_DONATOR	
[4/21/23 06:36PM] Kau used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/21/23 06:37PM] Kau used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 06:46PM] Kau used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 07:30AM] Kau used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 09:28AM] Kau used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 09:33AM] Kau used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 09:36AM] Kau used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 09:55AM] Kau used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 10:01AM] Kau used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/22/23 10:02AM] Kau used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/22/23 10:04AM] Kau used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 10:05AM] Kau used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 10:16AM] Kau used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 10:16AM] Kau used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 10:21AM] Kau used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 10:30AM] Kau used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 10:31AM] Kau used command ::vote | Player rights = TORMENTED_DONATOR	
[4/22/23 10:32AM] Kau used command ::redeem 1 | Player rights = TORMENTED_DONATOR	
[4/22/23 10:32AM] Kau used command ::vote | Player rights = TORMENTED_DONATOR	
[4/22/23 10:32AM] Kau used command ::reward 1 | Player rights = TORMENTED_DONATOR	
[4/22/23 10:32AM] Kau used command ::reward 1 | Player rights = TORMENTED_DONATOR	
[4/22/23 10:32AM] Kau used command ::reward 1 | Player rights = TORMENTED_DONATOR	
[4/22/23 10:41AM] Kau used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/22/23 10:41AM] Kau used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 10:41AM] Kau used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 12:11PM] Kau used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 12:19PM] Kau used command ::bank | Player rights = TORMENTED_DONATOR	
[4/22/23 12:19PM] Kau used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 12:20PM] Kau used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 12:21PM] Kau used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 12:30PM] Kau used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 12:31PM] Kau used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 12:32PM] Kau used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/22/23 12:34PM] Kau used command ::wr3cked | Player rights = TORMENTED_DONATOR	
[4/22/23 01:44PM] Kau used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 02:04PM] Kau used command ::noble | Player rights = TORMENTED_DONATOR	
[4/22/23 02:14PM] Kau used command ::bank | Player rights = TORMENTED_DONATOR	
[4/22/23 02:14PM] Kau used command ::bank | Player rights = TORMENTED_DONATOR	
[4/22/23 02:27PM] Kau used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 02:27PM] Kau used command ::bank | Player rights = TORMENTED_DONATOR	
[4/22/23 02:27PM] Kau used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 02:29PM] Kau used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 06:07PM] Kau used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 06:13PM] Kau used command ::bank | Player rights = TORMENTED_DONATOR	
[4/22/23 06:30PM] Kau used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 06:32PM] Kau used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 06:32PM] Kau used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/22/23 06:38PM] Kau used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 06:54PM] Kau used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 06:55PM] Kau used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 06:55PM] Kau used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 06:58PM] Kau used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 06:58PM] Kau used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 06:59PM] Kau used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 07:02PM] Kau used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/22/23 07:04PM] Kau used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 07:04PM] Kau used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 07:05PM] Kau used command ::dzone | Player rights = TORMENTED_DONATOR	
[4/22/23 07:05PM] Kau used command ::commands | Player rights = TORMENTED_DONATOR	
[4/22/23 07:05PM] Kau used command ::donated | Player rights = TORMENTED_DONATOR	
[4/22/23 07:06PM] Kau used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 07:07PM] Kau used command ::pos | Player rights = TORMENTED_DONATOR	
