[4/20/23 07:34PM] Login. ip: 24.158.251.94, mac: Default string20210411160405.000000-300, uuid: E0-D5-5E-A0-B0-3F	
[4/20/23 07:34PM] (CC) Help. Said: Why no veteran iron	
[4/20/23 07:35PM] Picked up gr.Item Blurite Boots, amount: 1	
[4/21/23 11:03AM] Picked up gr.Item Coin, amount: 500	
[4/21/23 11:03AM] Picked up gr.Item Coin, amount: 500	
[4/21/23 11:03AM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 11:03AM] Picked up gr.Item Coin, amount: 500	
[4/21/23 11:03AM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 11:03AM] Picked up gr.Item Coin, amount: 1000	
[4/21/23 11:04AM] (CC) Help. Said: Zats cheap	
[4/21/23 11:04AM] Picked up gr.Item Lava bones, amount: 3	
[4/21/23 11:04AM] Picked up gr.Item Coin, amount: 500	
[4/21/23 11:04AM] Picked up gr.Item Coin, amount: 500	
[4/21/23 11:04AM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 11:04AM] Picked up gr.Item Coin, amount: 500	
[4/21/23 11:04AM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 11:04AM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 11:04AM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 11:04AM] Picked up gr.Item Coin, amount: 500	
[4/21/23 11:04AM] Picked up gr.Item Coin, amount: 500	
[4/21/23 11:04AM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 11:04AM] Picked up gr.Item Blurite Box, amount: 1	
[4/21/23 11:04AM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 11:04AM] Picked up gr.Item Coin, amount: 500	
[4/21/23 11:05AM] Picked up gr.Item Coin, amount: 500	
[4/21/23 11:05AM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 11:05AM] Picked up gr.Item Coin, amount: 500	
[4/21/23 11:05AM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 11:05AM] Picked up gr.Item Coin, amount: 500	
[4/21/23 11:05AM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 11:05AM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 11:05AM] Picked up gr.Item Coin, amount: 500	
[4/21/23 11:05AM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 11:05AM] Picked up gr.Item Coin, amount: 500	
[4/21/23 11:05AM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 11:05AM] Picked up gr.Item Coin, amount: 500	
[4/21/23 11:05AM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 11:05AM] Picked up gr.Item Coin, amount: 500	
[4/21/23 11:05AM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 11:06AM] Picked up gr.Item Lava bones, amount: 2	
[4/21/23 11:06AM] Picked up gr.Item Coin, amount: 500	
[4/21/23 11:06AM] Picked up gr.Item Coin, amount: 500	
[4/21/23 11:06AM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 11:06AM] Player dropping item: Starter Boots, amount: 1	
[4/21/23 11:06AM] Player dropping item: Starter Cannon, amount: 1	
[4/21/23 11:08AM] Picked up gr.Item Coin, amount: 600	
[4/21/23 11:08AM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 11:09AM] Picked up gr.Item Coin, amount: 1800	
[4/21/23 11:09AM] Picked up gr.Item Lava bones, amount: 4	
[4/21/23 11:09AM] Picked up gr.Item Coin, amount: 600	
[4/21/23 11:09AM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 11:11AM] Picked up gr.Item Coin, amount: 600	
[4/21/23 11:11AM] Picked up gr.Item Coin, amount: 600	
[4/21/23 11:11AM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 11:11AM] Picked up gr.Item Coin, amount: 600	
[4/21/23 11:11AM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 11:12AM] Picked up gr.Item Coin, amount: 600	
[4/21/23 11:12AM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 11:12AM] Picked up gr.Item Coin, amount: 600	
[4/21/23 11:12AM] Picked up gr.Item Coin, amount: 1800	
[4/21/23 11:12AM] Picked up gr.Item Lava bones, amount: 3	
[4/21/23 11:13AM] Picked up gr.Item Coin, amount: 1800	
[4/21/23 11:13AM] Picked up gr.Item Lava bones, amount: 4	
[4/21/23 11:13AM] Picked up gr.Item Coin, amount: 2400	
[4/21/23 11:13AM] Picked up gr.Item Lava bones, amount: 4	
[4/21/23 11:13AM] Picked up gr.Item Coin, amount: 600	
[4/21/23 11:13AM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 11:13AM] Picked up gr.Item Imperial amulet, amount: 1	
[4/21/23 11:13AM] Player dropping item: Vial, amount: 1	
[4/21/23 11:14AM] Picked up gr.Item Coin, amount: 4200	
[4/21/23 11:14AM] Picked up gr.Item Lava bones, amount: 8	
[4/21/23 11:15AM] (CC) Help. Said: Guys when opening boxes its a chance the item comes with a roll?	
[4/21/23 11:15AM] Picked up gr.Item Coin, amount: 3000	
[4/21/23 11:15AM] (CC) Help. Said: Ty	
[4/21/23 11:15AM] (CC) Help. Said: :o	
[4/21/23 11:18AM] Picked up gr.Item Coin, amount: 4200	
[4/21/23 11:19AM] Picked up gr.Item Coin, amount: 2100	
[4/21/23 11:19AM] Picked up gr.Item Imperial Box, amount: 1	
[4/21/23 11:19AM] Picked up gr.Item Lava bones, amount: 3	
[4/21/23 11:19AM] Player dropping item: Imperial Box, amount: 1	
[4/21/23 11:19AM] Picked up gr.Item Imperial Box, amount: 1	
[4/21/23 11:19AM] Player dropping item: Imperial Box, amount: 1	
[4/21/23 11:19AM] Picked up gr.Item Imperial Box, amount: 1	
[4/21/23 11:22AM] Picked up gr.Item Imperial boots, amount: 1	
[4/21/23 11:23AM] Picked up gr.Item Imperial helm, amount: 1	
[4/21/23 11:24AM] Picked up gr.Item Coin, amount: 800	
[4/21/23 11:24AM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 11:25AM] Picked up gr.Item Imperial gloves, amount: 1	
[4/21/23 11:27AM] Picked up gr.Item Imperial gloves, amount: 1	
[4/21/23 11:27AM] Picked up gr.Item Coin, amount: 800	
[4/21/23 11:28AM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 11:28AM] Picked up gr.Item Imperial body, amount: 1	
[4/21/23 11:30AM] Picked up gr.Item Coin, amount: 1800	
[4/21/23 11:31AM] Picked up gr.Item Imperial legs, amount: 1	
[4/21/23 11:31AM] Picked up gr.Item Coin, amount: 900	
[4/21/23 11:33AM] GLOBAL_BOSS|2143,5017,8|Said: My drop incoming	
[4/21/23 11:33AM] Picked up gr.Item Coin, amount: 1122197	
[4/21/23 11:33AM] Picked up gr.Item Lava bones, amount: 25	
[4/21/23 11:34AM] GLOBAL_BOSS|2142,5020,8|Said: Cap	
[4/21/23 11:41AM] (CC) Help. Said: Guys double slayer ticket role weapon all i need to do is use it	
[4/21/23 11:41AM] (CC) Help. Said: For last kill?	
[4/21/23 11:41AM] Picked up gr.Item Coin, amount: 1800	
[4/21/23 11:41AM] (CC) Help. Said: Nice	
[4/21/23 11:42AM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 11:42AM] Picked up gr.Item Imperial amulet, amount: 1	
[4/21/23 11:43AM] Picked up gr.Item Coin, amount: 3600	
[4/21/23 11:50AM] Picked up gr.Item Coin, amount: 1000	
[4/21/23 11:52AM] TRAINING_ROCK_CRAB|2708,4751,28|Said: Hackr	
[4/21/23 11:55AM] (CC) Help. Said: /hm tickets per easy task is it?	
[4/21/23 11:58AM] Picked up gr.Item Imperial amulet, amount: 1	
[4/21/23 11:58AM] Picked up gr.Item Imperial amulet, amount: 1	
[4/21/23 11:58AM] Picked up gr.Item Imperial boots, amount: 1	
[4/21/23 11:59AM] (CC) Help. Said: Examine it noluck	
[4/21/23 12:03PM] GLOBAL_BOSS|2139,5018,8|Said: Cmon 6% drop 	
[4/21/23 12:03PM] GLOBAL_BOSS|2139,5018,8|Said: Break the game	
[4/21/23 12:04PM] Picked up gr.Item Coin, amount: 1919380	
[4/21/23 12:04PM] Picked up gr.Item Lava bones, amount: 25	
[4/21/23 12:05PM] (CC) Help. Said: How to claim all votes	
[4/21/23 12:13PM] Picked up gr.Item Coin, amount: 2100	
[4/21/23 12:17PM] Picked up gr.Item Coin, amount: 5000	
[4/21/23 12:17PM] Picked up gr.Item Lava bones, amount: 2	
[4/21/23 12:18PM] Picked up gr.Item Coin, amount: 5000	
[4/21/23 12:18PM] Picked up gr.Item Lava bones, amount: 2	
[4/21/23 12:18PM] Picked up gr.Item Coin, amount: 5000	
[4/21/23 12:18PM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 12:19PM] Picked up gr.Item Coin, amount: 5000	
[4/21/23 12:19PM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 12:20PM] Picked up gr.Item Coin, amount: 15000	
[4/21/23 12:20PM] Picked up gr.Item Lava bones, amount: 3	
[4/21/23 12:22PM] Player dropping item: Vial, amount: 1	
[4/21/23 12:22PM] Player dropping item: Vial, amount: 1	
[4/21/23 12:23PM] Picked up gr.Item Coin, amount: 10000	
[4/21/23 12:23PM] Picked up gr.Item Lava bones, amount: 2	
[4/21/23 12:34PM] Picked up gr.Item Coin, amount: 1818955	
[4/21/23 12:34PM] Picked up gr.Item Lava bones, amount: 25	
[4/21/23 12:34PM] GLOBAL_BOSS|2141,5016,8|Said: ?	
[4/21/23 12:37PM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 12:37PM] Picked up gr.Item Coin, amount: 5000	
[4/21/23 12:37PM] Picked up gr.Item Coin, amount: 5000	
[4/21/23 12:37PM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 12:38PM] Picked up gr.Item Coin, amount: 5000	
[4/21/23 12:38PM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 12:38PM] Picked up gr.Item Coin, amount: 5000	
[4/21/23 12:38PM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 12:39PM] Picked up gr.Item Coin, amount: 5000	
[4/21/23 12:41PM] Picked up gr.Item Coin, amount: 10000	
[4/21/23 12:41PM] Picked up gr.Item Lava bones, amount: 3	
[4/21/23 12:42PM] Picked up gr.Item Coin, amount: 10000	
[4/21/23 12:43PM] Picked up gr.Item Coin, amount: 5000	
[4/21/23 12:44PM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 12:44PM] Picked up gr.Item Coin, amount: 5000	
[4/21/23 12:44PM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 12:44PM] Picked up gr.Item Coin, amount: 5000	
[4/21/23 12:45PM] (CC) Help. Said: /owner came?	
[4/21/23 12:45PM] (CC) Help. Said: Pc owner nut	
[4/21/23 12:46PM] Picked up gr.Item Coin, amount: 15000	
[4/21/23 12:46PM] Picked up gr.Item Lava bones, amount: 3	
[4/21/23 12:47PM] Picked up gr.Item Coin, amount: 5000	
[4/21/23 12:47PM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 12:55PM] Picked up gr.Item Lava bones, amount: 2	
[4/21/23 12:59PM] Picked up gr.Item Coin, amount: 5000	
