[4/21/23 03:47PM] Login. ip: 24.176.101.49, mac: Default string20210116012558.000000-300, uuid: D4-5D-64-1B-E4-6B	
[4/21/23 03:48PM] (CC) Help. Said: Hello	
[4/21/23 03:48PM] Player dropping item: Starter Helm, amount: 1	
[4/21/23 03:59PM] Picked up gr.Item Coin, amount: 200	
[4/21/23 03:59PM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 03:59PM] Picked up gr.Item Coin, amount: 200	
[4/21/23 03:59PM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 04:00PM] Picked up gr.Item Coin, amount: 200	
[4/21/23 04:00PM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 04:00PM] Picked up gr.Item Coin, amount: 200	
[4/21/23 04:00PM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 04:00PM] Picked up gr.Item Coin, amount: 200	
[4/21/23 04:00PM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 04:00PM] Picked up gr.Item Coin, amount: 200	
[4/21/23 04:00PM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 04:00PM] Picked up gr.Item Coin, amount: 400	
[4/21/23 04:00PM] Picked up gr.Item Lava bones, amount: 2	
[4/21/23 04:00PM] Picked up gr.Item Coin, amount: 200	
[4/21/23 04:00PM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 04:01PM] Picked up gr.Item Coin, amount: 200	
[4/21/23 04:01PM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 04:01PM] Picked up gr.Item Coin, amount: 200	
[4/21/23 04:01PM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 04:01PM] Picked up gr.Item Coin, amount: 200	
[4/21/23 04:01PM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 04:02PM] (CC) Help. Said: Anymore cmds to use as starter?	
[4/21/23 04:04PM] Picked up gr.Item Coin, amount: 2359443	
[4/21/23 04:04PM] Picked up gr.Item Lava bones, amount: 25	
[4/21/23 04:04PM] GLOBAL_BOSS|2141,5016,8|Said: Is there unlimited prayer or collector?	
[4/21/23 04:05PM] GLOBAL_BOSS|2141,5016,8|Said: How do i get one?	
[4/21/23 04:05PM] GLOBAL_BOSS|2141,5016,8|Said: Ahhh	
[4/21/23 04:06PM] GLOBAL_BOSS|2141,5016,8|Said: Thanks.	
[4/21/23 04:09PM] Player dropping item: Vial, amount: 1	
[4/21/23 04:09PM] DEFAULT|2228,3759,0|Said: O.o	
[4/21/23 04:10PM] Picked up gr.Item Coin, amount: 300	
[4/21/23 04:10PM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 04:10PM] Picked up gr.Item Coin, amount: 300	
[4/21/23 04:10PM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 04:10PM] Picked up gr.Item Coin, amount: 300	
[4/21/23 04:10PM] Picked up gr.Item Coin, amount: 300	
[4/21/23 04:10PM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 04:10PM] Picked up gr.Item Coin, amount: 600	
[4/21/23 04:10PM] Picked up gr.Item Lava bones, amount: 2	
[4/21/23 04:10PM] Picked up gr.Item Coin, amount: 300	
[4/21/23 04:10PM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 04:10PM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 04:10PM] Picked up gr.Item Coin, amount: 300	
[4/21/23 04:10PM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 04:10PM] Picked up gr.Item Coin, amount: 300	
[4/21/23 04:10PM] Picked up gr.Item Coin, amount: 300	
[4/21/23 04:10PM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 04:10PM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 04:10PM] Picked up gr.Item Coin, amount: 300	
[4/21/23 04:10PM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 04:10PM] Picked up gr.Item Coin, amount: 300	
[4/21/23 04:10PM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 04:11PM] Picked up gr.Item Blurite Legs, amount: 1	
[4/21/23 04:11PM] Picked up gr.Item Coin, amount: 300	
[4/21/23 04:11PM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 04:11PM] Picked up gr.Item Coin, amount: 300	
[4/21/23 04:11PM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 04:11PM] Picked up gr.Item Coin, amount: 300	
[4/21/23 04:11PM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 04:11PM] Picked up gr.Item Coin, amount: 300	
[4/21/23 04:11PM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 04:11PM] Picked up gr.Item Coin, amount: 300	
[4/21/23 04:11PM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 04:11PM] Picked up gr.Item Coin, amount: 300	
[4/21/23 04:11PM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 04:12PM] Picked up gr.Item Coin, amount: 300	
[4/21/23 04:12PM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 04:12PM] Picked up gr.Item Coin, amount: 600	
[4/21/23 04:12PM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 04:12PM] Picked up gr.Item Lava bones, amount: 2	
[4/21/23 04:12PM] Picked up gr.Item Coin, amount: 300	
[4/21/23 04:12PM] Picked up gr.Item Coin, amount: 300	
[4/21/23 04:12PM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 04:12PM] Picked up gr.Item Coin, amount: 300	
[4/21/23 04:12PM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 04:12PM] Picked up gr.Item Coin, amount: 300	
[4/21/23 04:12PM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 04:12PM] Picked up gr.Item Coin, amount: 300	
[4/21/23 04:12PM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 04:12PM] Picked up gr.Item Coin, amount: 300	
[4/21/23 04:12PM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 04:13PM] Picked up gr.Item Coin, amount: 1200	
[4/21/23 04:13PM] Picked up gr.Item Lava bones, amount: 3	
[4/21/23 04:13PM] Picked up gr.Item Coin, amount: 400	
[4/21/23 04:13PM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 04:13PM] Picked up gr.Item Coin, amount: 400	
[4/21/23 04:13PM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 04:13PM] Picked up gr.Item Coin, amount: 1600	
[4/21/23 04:13PM] Picked up gr.Item Lava bones, amount: 4	
[4/21/23 04:13PM] Picked up gr.Item Coin, amount: 400	
[4/21/23 04:13PM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 04:13PM] Picked up gr.Item Coin, amount: 400	
[4/21/23 04:13PM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 04:13PM] Picked up gr.Item Coin, amount: 400	
[4/21/23 04:13PM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 04:13PM] Picked up gr.Item Blurite Body, amount: 1	
[4/21/23 04:13PM] Picked up gr.Item Coin, amount: 400	
[4/21/23 04:14PM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 04:14PM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 04:14PM] Picked up gr.Item Coin, amount: 400	
[4/21/23 04:14PM] Picked up gr.Item Coin, amount: 400	
[4/21/23 04:14PM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 04:14PM] Picked up gr.Item Coin, amount: 400	
[4/21/23 04:14PM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 04:15PM] Picked up gr.Item Coin, amount: 400	
[4/21/23 04:15PM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 04:15PM] Picked up gr.Item Coin, amount: 400	
[4/21/23 04:15PM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 04:15PM] Picked up gr.Item Coin, amount: 400	
[4/21/23 04:15PM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 04:15PM] Picked up gr.Item Coin, amount: 1200	
[4/21/23 04:15PM] Picked up gr.Item Lava bones, amount: 3	
[4/21/23 04:15PM] Picked up gr.Item Coin, amount: 800	
[4/21/23 04:15PM] Picked up gr.Item Lava bones, amount: 2	
[4/21/23 04:15PM] Picked up gr.Item Coin, amount: 1200	
[4/21/23 04:15PM] Picked up gr.Item Lava bones, amount: 3	
[4/21/23 04:15PM] Picked up gr.Item Coin, amount: 800	
[4/21/23 04:15PM] Picked up gr.Item Lava bones, amount: 2	
[4/21/23 04:15PM] Picked up gr.Item Coin, amount: 400	
[4/21/23 04:15PM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 04:15PM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 04:15PM] Picked up gr.Item Coin, amount: 400	
[4/21/23 04:15PM] Picked up gr.Item Blurite Body, amount: 1	
[4/21/23 04:18PM] Picked up gr.Item Coin, amount: 1500	
[4/21/23 04:22PM] HULK|3487,3615,16|Said: ;o	
[4/21/23 04:22PM] HULK|3487,3615,16|Said: Is there a way to get free donor ranks?	
[4/21/23 04:23PM] Picked up gr.Item Imperial boots, amount: 1	
[4/21/23 04:27PM] (CC) Help. Said: Giveaway ::noble	
[4/21/23 04:34PM] GLOBAL_BOSS|2143,5016,8|Said: Which next?	
[4/21/23 04:34PM] Picked up gr.Item Coin, amount: 1509329	
[4/21/23 04:34PM] Picked up gr.Item Lava bones, amount: 25	
[4/21/23 04:35PM] Picked up gr.Item Coin, amount: 2027405	
[4/21/23 04:35PM] Picked up gr.Item Lava bones, amount: 40	
[4/21/23 04:35PM] GLOBAL_BOSS|2139,5018,4|Said: All of your dps..	
[4/21/23 04:35PM] GLOBAL_BOSS|2139,5018,4|Said: Jesus	
[4/21/23 04:35PM] Picked up gr.Item Lava bones, amount: 100	
[4/21/23 04:35PM] Picked up gr.Item $1 Scroll, amount: 1	
[4/21/23 04:36PM] Has just redeemed a $1 Scroll successfully!	
[4/21/23 04:40PM] Picked up gr.Item Imperial body, amount: 1	
[4/21/23 04:41PM] Picked up gr.Item Imperial body, amount: 1	
[4/21/23 04:42PM] Picked up gr.Item Imperial helm, amount: 1	
[4/21/23 04:43PM] Picked up gr.Item Imperial boots, amount: 1	
[4/21/23 04:45PM] Picked up gr.Item Imperial gloves, amount: 1	
[4/21/23 04:50PM] (CC) Help. Said: Someone have an extra pet ;o	
[4/21/23 04:51PM] DEFAULT|2222,3759,0|Said: Me	
[4/21/23 04:52PM] Receiving item from trade with O T T E R Id: 19490, amount: 1	
[4/21/23 04:52PM] DEFAULT|2218,3759,0|Said: ;o	
[4/21/23 04:52PM] Receiving item from trade with Asquad Id: 19481, amount: 1	
[4/21/23 04:53PM] DEFAULT|2218,3759,0|Said: O.o	
[4/21/23 04:53PM] DEFAULT|2218,3759,0|Said: Whats better?	
[4/21/23 04:53PM] DEFAULT|2218,3759,0|Said: He gave me groudon	
[4/21/23 04:56PM] Receiving item from trade with O T T E R Id: 21042, amount: 1	
[4/21/23 04:56PM] Receiving item from trade with O T T E R Id: 16023, amount: 1	
[4/21/23 04:56PM] Receiving item from trade with O T T E R Id: 11003, amount: 1	
[4/21/23 04:56PM] DEFAULT|2220,3761,0|Said: ;o	
[4/21/23 04:56PM] DEFAULT|2220,3761,0|Said: Thanks so much man	
[4/21/23 04:56PM] Receiving item from trade with O T T E R Id: 22135, amount: 1	
[4/21/23 04:56PM] DEFAULT|2219,3762,0|Said: O.o	
[4/21/23 04:56PM] DEFAULT|2219,3762,0|Said: Dude thanks so much	
[4/21/23 04:59PM] Receiving item from trade with O T T E R Id: 11182, amount: 1	
[4/21/23 04:59PM] Receiving item from trade with O T T E R Id: 8273, amount: 1	
[4/21/23 04:59PM] Receiving item from trade with O T T E R Id: 8136, amount: 1	
[4/21/23 04:59PM] DEFAULT|2224,3757,0|Said: O.o	
[4/21/23 04:59PM] DEFAULT|2224,3757,0|Said: Dude thank you	
[4/21/23 04:59PM] DEFAULT|2224,3757,0|Said: You literally just made me op af	
[4/21/23 04:59PM] DEFAULT|2224,3757,0|Said: Compared to what i was	
[4/21/23 04:59PM] DEFAULT|2221,3762,0|Said: I'll do the same when the time comes ;p	
[4/21/23 05:00PM] Picked up gr.Item Imperial ring, amount: 1	
[4/21/23 05:00PM] Picked up gr.Item Imperial ring, amount: 1	
[4/21/23 05:01PM] Receiving item from trade with Hc Pvm Id: 17391, amount: 1	
[4/21/23 05:02PM] DEFAULT|2227,3757,0|Said: O.o	
[4/21/23 05:02PM] DEFAULT|2227,3757,0|Said: I love you guys	
[4/21/23 05:04PM] Picked up gr.Item Coin, amount: 2287994	
[4/21/23 05:04PM] Picked up gr.Item Lava bones, amount: 25	
[4/21/23 05:07PM] Picked up gr.Item Imperial gloves, amount: 1	
[4/21/23 05:07PM] Picked up gr.Item Imperial helm, amount: 1	
[4/21/23 05:16PM] Picked up gr.Item Imperial amulet, amount: 1	
[4/21/23 05:16PM] Picked up gr.Item Imperial gloves, amount: 1	
[4/21/23 05:28PM] Picked up gr.Item Imperial Box, amount: 1	
[4/21/23 05:33PM] Picked up gr.Item Lava bones, amount: 25	
[4/21/23 05:33PM] GLOBAL_BOSS|2140,5015,8|Said: W::ninetails	
[4/21/23 05:34PM] Picked up gr.Item Coin, amount: 5176426	
[4/21/23 05:34PM] Picked up gr.Item Lava bones, amount: 40	
[4/21/23 05:43PM] Has just redeemed a Donator rank ticket successfully!	
[4/21/23 06:04PM] Picked up gr.Item Lava bones, amount: 25	
[4/21/23 06:26PM] TRAININZONEMULTI|2533,2530,4|Said: All good	
[4/21/23 06:35PM] Picked up gr.Item Lava bones, amount: 100	
[4/21/23 06:35PM] Picked up gr.Item $1 Scroll, amount: 2	
[4/21/23 06:35PM] Has just redeemed a $1 Scroll successfully!	
[4/21/23 06:36PM] Picked up gr.Item Lava bones, amount: 300	
[4/21/23 06:36PM] Picked up gr.Item $1 Scroll, amount: 2	
[4/21/23 06:36PM] Has just redeemed a $1 Scroll successfully!	
[4/21/23 06:37PM] Picked up gr.Item Lava bones, amount: 600	
[4/21/23 06:37PM] Picked up gr.Item Vote scroll, amount: 3	
[4/21/23 06:37PM] Picked up gr.Item $1 Scroll, amount: 10	
[4/21/23 06:37PM] Has just redeemed a $1 Scroll successfully!	
[4/21/23 06:37PM] (CC) Help. Said: Gz	
[4/21/23 06:50PM] Picked up gr.Item Coin, amount: 8000	
[4/22/23 07:37AM] Login. ip: 24.176.101.49, mac: Default string20210116012558.000000-300, uuid: D4-5D-64-1B-E4-6B	
[4/22/23 07:38AM] Picked up gr.Item Zinq sword, amount: 1	
[4/22/23 07:40AM] Picked up gr.Item Zinq boots, amount: 1	
[4/22/23 07:42AM] (CC) Help. Said: How do i get  aoe?	
[4/22/23 07:44AM] Picked up gr.Item Zinq helm, amount: 1	
[4/22/23 07:45AM] Picked up gr.Item Coin, amount: 4000	
[4/22/23 07:47AM] (CC) Help. Said: Whats elo?	
[4/22/23 07:50AM] (CC) Help. Said: .whats elo?	
[4/22/23 07:54AM] (CC) Help. Said: Let me get the link	
[4/22/23 08:03AM] TRAININZONEMULTI|2538,2529,8|Said: W::veigar	
[4/22/23 08:37AM] Player dropping item: Imperial Minigun, amount: 1	
[4/22/23 08:37AM] Picked up gr.Item Imperial Minigun, amount: 1	
[4/22/23 08:57AM] Has just redeemed a $10 Bond successfully!	
[4/22/23 08:58AM] (CC) Help. Said: How do i get instances	
[4/22/23 09:27AM] (CC) Help. Said: How do we get properous prayer?	
[4/22/23 09:28AM] (CC) Help. Said: Already votes ;o	
[4/22/23 09:33AM] (CC) Help. Said: Pc on executive set?	
[4/22/23 02:23PM] Login. ip: 24.176.101.49, mac: Default string20210116012558.000000-300, uuid: D4-5D-64-1B-E4-6B	
[4/22/23 02:23PM] (CC) Help. Said: /veigar > ninetails > mereum > golden?	
[4/22/23 02:28PM] (CC) Help. Said: 4m globals	
[4/22/23 02:28PM] (CC) Help. Said: Gz	
[4/22/23 02:48PM] Login. ip: 24.176.101.49, mac: Default string20210116012558.000000-300, uuid: D4-5D-64-1B-E4-6B	
[4/22/23 02:50PM] Has just redeemed a $1 Scroll successfully!	
[4/22/23 04:03PM] GLOBAL_BOSS|2139,5018,8|Said: Give daddy something good..	
[4/22/23 04:04PM] (CC) Help. Said: Where can i get a pickaxe to do afk?	
[4/22/23 04:04PM] (CC) Help. Said: Donde	
[4/22/23 04:04PM] GLOBAL_BOSS|2139,5018,8|Said: Bones	
[4/22/23 04:04PM] GLOBAL_BOSS|2139,5018,8|Said: Lol	
