[4/20/23 07:35AM] Login. ip: 79.177.107.75, mac: 20210101014922.000000+120, uuid: 2C-FD-A1-73-83-5E	
[4/20/23 07:35AM] Picked up gr.Item $1 Scroll, amount: 5	
[4/20/23 11:35PM] Picked up gr.Item Coin, amount: 4217627	
[4/20/23 11:35PM] Picked up gr.Item Lava bones, amount: 40	
[4/20/23 11:36PM] Picked up gr.Item Lava bones, amount: 300	
[4/21/23 12:04AM] Picked up gr.Item Coin, amount: 2063000	
[4/21/23 12:04AM] Picked up gr.Item Lava bones, amount: 25	
[4/21/23 12:34AM] Picked up gr.Item Coin, amount: 1135873	
[4/21/23 12:34AM] Picked up gr.Item Lava bones, amount: 25	
[4/21/23 12:36AM] Picked up gr.Item Coin, amount: 2044993	
[4/21/23 12:36AM] Picked up gr.Item Lava bones, amount: 40	
[4/21/23 12:38AM] Picked up gr.Item Lava bones, amount: 100	
[4/21/23 12:38AM] Picked up gr.Item $1 Scroll, amount: 1	
[4/21/23 01:35AM] Picked up gr.Item Coin, amount: 2423406	
[4/21/23 01:35AM] Picked up gr.Item Lava bones, amount: 25	
[4/21/23 01:38AM] Picked up gr.Item Coin, amount: 2712311	
[4/21/23 01:38AM] Picked up gr.Item Lava bones, amount: 40	
[4/21/23 02:29AM] Picked up gr.Item $1 Scroll, amount: 5	
[4/21/23 02:29AM] Picked up gr.Item Vote scroll, amount: 3	
[4/21/23 03:35AM] Picked up gr.Item Coin, amount: 1038710	
[4/21/23 03:35AM] Picked up gr.Item Lava bones, amount: 25	
[4/21/23 03:37AM] Picked up gr.Item Coin, amount: 3564353	
[4/21/23 03:37AM] Picked up gr.Item Lava bones, amount: 40	
[4/21/23 04:05AM] Picked up gr.Item Coin, amount: 1903965	
[4/21/23 04:05AM] Picked up gr.Item Lava bones, amount: 25	
[4/21/23 04:23AM] Picked up gr.Item $1 Scroll, amount: 5	
[4/21/23 04:23AM] Picked up gr.Item Vote scroll, amount: 3	
[4/21/23 04:36AM] Picked up gr.Item Coin, amount: 1795149	
[4/21/23 04:36AM] Picked up gr.Item Lava bones, amount: 25	
[4/21/23 04:38AM] Picked up gr.Item Coin, amount: 3396935	
[4/21/23 04:38AM] Picked up gr.Item Lava bones, amount: 40	
[4/21/23 04:40AM] Picked up gr.Item Lava bones, amount: 100	
[4/21/23 04:40AM] Picked up gr.Item $1 Scroll, amount: 1	
[4/21/23 04:40AM] Receiving item from trade with V1 Id: 23020, amount: 3	
[4/21/23 04:40AM] Receiving item from trade with V1 Id: 995, amount: 9732905	
[4/21/23 04:40AM] Receiving item from trade with V1 Id: 2023, amount: 900	
[4/21/23 04:40AM] Receiving item from trade with V1 Id: 10946, amount: 6	
[4/21/23 04:41AM] Gave item in trade to Blind Shit. Id: 10946, amount: 18	
[4/21/23 04:41AM] Gave item in trade to Blind Shit. Id: 23020, amount: 8	
[4/21/23 04:41AM] Gave item in trade to Blind Shit. Id: 2023, amount: 1775	
[4/21/23 04:41AM] Gave item in trade to Blind Shit. Id: 10835, amount: 38234	
[4/21/23 05:37AM] Picked up gr.Item Lava bones, amount: 300	
[4/21/23 05:37AM] Picked up gr.Item $1 Scroll, amount: 2	
[4/21/23 05:37AM] GLOBAL_BOSS|2139,5018,0|Said: Gz	
[4/21/23 06:34AM] Picked up gr.Item Coin, amount: 1695118	
[4/21/23 06:34AM] Picked up gr.Item Lava bones, amount: 25	
[4/21/23 06:35AM] Picked up gr.Item Coin, amount: 4312309	
[4/21/23 06:35AM] Picked up gr.Item Lava bones, amount: 40	
[4/21/23 06:36AM] Picked up gr.Item Lava bones, amount: 100	
[4/21/23 06:36AM] Picked up gr.Item $1 Scroll, amount: 1	
[4/21/23 06:39AM] Picked up gr.Item $1 Scroll, amount: 5	
[4/21/23 06:39AM] Picked up gr.Item Vote scroll, amount: 3	
[4/21/23 06:39AM] Receiving item from trade with V1 Id: 10946, amount: 8	
[4/21/23 06:39AM] Receiving item from trade with V1 Id: 23020, amount: 3	
[4/21/23 06:39AM] Receiving item from trade with V1 Id: 995, amount: 3536539	
[4/21/23 06:39AM] Receiving item from trade with V1 Id: 2023, amount: 465	
[4/21/23 06:40AM] Gave item in trade to Blind Shit. Id: 995, amount: 9544485	
[4/21/23 06:40AM] Gave item in trade to Blind Shit. Id: 10946, amount: 16	
[4/21/23 06:40AM] Gave item in trade to Blind Shit. Id: 23020, amount: 6	
[4/21/23 06:40AM] Gave item in trade to Blind Shit. Id: 2023, amount: 930	
[4/21/23 07:34AM] Picked up gr.Item Coin, amount: 1010283	
[4/21/23 07:34AM] Picked up gr.Item Lava bones, amount: 25	
[4/21/23 07:35AM] Picked up gr.Item Coin, amount: 4349289	
[4/21/23 07:35AM] Picked up gr.Item Lava bones, amount: 40	
[4/21/23 07:36AM] Gave item in trade to Blind Shit. Id: 15003, amount: 1	
[4/21/23 07:36AM] Gave item in trade to Blind Shit. Id: 995, amount: 5359572	
[4/21/23 07:58AM] Picked up gr.Item $1 Scroll, amount: 5	
[4/21/23 07:59AM] Picked up gr.Item Vote scroll, amount: 3	
[4/21/23 08:04AM] Picked up gr.Item Coin, amount: 2397948	
[4/21/23 08:04AM] Picked up gr.Item Lava bones, amount: 25	
[4/21/23 08:29AM] Picked up gr.Item Coin, amount: 3568274	
[4/21/23 08:29AM] Picked up gr.Item Lava bones, amount: 50	
[4/21/23 08:30AM] Picked up gr.Item Lava bones, amount: 100	
[4/21/23 08:30AM] Picked up gr.Item $1 Scroll, amount: 1	
[4/21/23 08:31AM] Picked up gr.Item Lava bones, amount: 100	
[4/21/23 08:31AM] Picked up gr.Item $1 Scroll, amount: 1	
[4/21/23 08:31AM] Picked up gr.Item Coin, amount: 3512744	
[4/21/23 08:31AM] Picked up gr.Item Lava bones, amount: 40	
[4/21/23 08:32AM] Picked up gr.Item Coin, amount: 3570658	
[4/21/23 08:32AM] Picked up gr.Item Lava bones, amount: 40	
[4/21/23 08:32AM] Picked up gr.Item Lava bones, amount: 300	
[4/21/23 08:32AM] Picked up gr.Item $1 Scroll, amount: 2	
[4/21/23 08:32AM] Picked up gr.Item Lava bones, amount: 300	
[4/21/23 08:32AM] Picked up gr.Item $1 Scroll, amount: 2	
[4/21/23 08:34AM] Picked up gr.Item $1 Scroll, amount: 5	
[4/21/23 08:34AM] Picked up gr.Item Vote scroll, amount: 3	
[4/21/23 08:34AM] Picked up gr.Item Coin, amount: 1774672	
[4/21/23 08:34AM] Picked up gr.Item Lava bones, amount: 25	
[4/21/23 08:35AM] Picked up gr.Item Coin, amount: 2642950	
[4/21/23 08:35AM] Picked up gr.Item Lava bones, amount: 40	
[4/21/23 08:35AM] Picked up gr.Item Lava bones, amount: 100	
[4/21/23 08:36AM] Picked up gr.Item $1 Scroll, amount: 1	
[4/21/23 08:36AM] Receiving item from trade with V1 Id: 10946, amount: 17	
[4/21/23 08:36AM] Receiving item from trade with V1 Id: 995, amount: 15565688	
[4/21/23 08:36AM] Receiving item from trade with V1 Id: 3578, amount: 1	
[4/21/23 08:36AM] Receiving item from trade with V1 Id: 23020, amount: 6	
[4/21/23 08:36AM] Receiving item from trade with V1 Id: 2023, amount: 1185	
[4/21/23 08:37AM] Gave item in trade to Blind Shit. Id: 995, amount: 33032934	
[4/21/23 08:37AM] Gave item in trade to Blind Shit. Id: 3578, amount: 1	
[4/21/23 08:37AM] Gave item in trade to Blind Shit. Id: 10946, amount: 34	
[4/21/23 08:37AM] Gave item in trade to Blind Shit. Id: 23020, amount: 12	
[4/21/23 08:37AM] Gave item in trade to Blind Shit. Id: 2023, amount: 2370	
[4/21/23 08:38AM] Picked up gr.Item $1 Scroll, amount: 5	
[4/21/23 08:38AM] Picked up gr.Item Vote scroll, amount: 3	
[4/21/23 08:40AM] Picked up gr.Item Coin, amount: 3065884	
[4/21/23 08:40AM] Picked up gr.Item Lava bones, amount: 50	
[4/21/23 08:41AM] Picked up gr.Item $1 Scroll, amount: 5	
[4/21/23 08:41AM] Picked up gr.Item Vote scroll, amount: 3	
[4/21/23 08:42AM] Receiving item from trade with V1 Id: 10946, amount: 10	
[4/21/23 08:42AM] Receiving item from trade with V1 Id: 23020, amount: 6	
[4/21/23 08:42AM] Receiving item from trade with V1 Id: 995, amount: 2006288	
[4/21/23 08:42AM] Gave item in trade to Blind Shit. Id: 995, amount: 5072172	
[4/21/23 08:42AM] Gave item in trade to Blind Shit. Id: 23020, amount: 12	
[4/21/23 08:42AM] Gave item in trade to Blind Shit. Id: 10946, amount: 20	
[4/21/23 08:44AM] Picked up gr.Item Lava bones, amount: 100	
[4/21/23 08:44AM] Picked up gr.Item $1 Scroll, amount: 1	
[4/21/23 08:44AM] Picked up gr.Item Lava bones, amount: 100	
[4/21/23 08:44AM] Picked up gr.Item $1 Scroll, amount: 1	
[4/21/23 08:45AM] Receiving item from trade with V1 Id: 10946, amount: 2	
[4/21/23 08:46AM] Gave item in trade to Blind Shit. Id: 10946, amount: 4	
[4/21/23 09:04AM] Picked up gr.Item Coin, amount: 1489606	
[4/21/23 09:04AM] Picked up gr.Item Lava bones, amount: 25	
[4/21/23 09:34AM] Picked up gr.Item Coin, amount: 2039297	
[4/21/23 09:34AM] Picked up gr.Item Lava bones, amount: 25	
[4/21/23 09:35AM] Picked up gr.Item Coin, amount: 2036989	
[4/21/23 09:35AM] Picked up gr.Item Lava bones, amount: 40	
[4/21/23 09:57AM] Picked up gr.Item $1 Scroll, amount: 5	
[4/21/23 09:57AM] Picked up gr.Item Vote scroll, amount: 3	
[4/21/23 11:04AM] Picked up gr.Item Coin, amount: 1277612	
[4/21/23 11:04AM] Picked up gr.Item Lava bones, amount: 25	
[4/21/23 11:33AM] Picked up gr.Item Coin, amount: 2439881	
[4/21/23 11:33AM] Picked up gr.Item Lava bones, amount: 25	
[4/21/23 11:35AM] Picked up gr.Item Coin, amount: 3963978	
[4/21/23 11:35AM] Picked up gr.Item Lava bones, amount: 40	
[4/21/23 11:36AM] Picked up gr.Item Lava bones, amount: 300	
[4/21/23 11:36AM] Picked up gr.Item $1 Scroll, amount: 2	
[4/21/23 11:36AM] Receiving item from trade with V1 Id: 23020, amount: 5	
[4/21/23 11:36AM] Receiving item from trade with V1 Id: 10946, amount: 7	
[4/21/23 11:36AM] Receiving item from trade with V1 Id: 995, amount: 11625190	
[4/21/23 11:37AM] Gave item in trade to Blind Shit. Id: 23020, amount: 8	
[4/21/23 11:37AM] Gave item in trade to Blind Shit. Id: 10946, amount: 14	
[4/21/23 11:37AM] Gave item in trade to Blind Shit. Id: 995, amount: 24872553	
[4/21/23 11:38AM] (CC) Help. Said: 78	
[4/21/23 12:04PM] Picked up gr.Item Coin, amount: 1773917	
[4/21/23 12:04PM] Picked up gr.Item Lava bones, amount: 25	
[4/21/23 12:05PM] Receiving item from trade with Blind Shit Id: 23020, amount: 5	
[4/21/23 12:05PM] Gave item in trade to Blind Shit. Id: 8788, amount: 1	
[4/21/23 12:06PM] Picked up gr.Item $1 Scroll, amount: 5	
[4/21/23 12:06PM] Picked up gr.Item Vote scroll, amount: 3	
[4/21/23 12:09PM] Picked up gr.Item $1 Scroll, amount: 5	
[4/21/23 12:09PM] Picked up gr.Item Vote scroll, amount: 3	
[4/21/23 12:14PM] Picked up gr.Item $1 Scroll, amount: 5	
[4/21/23 12:14PM] Picked up gr.Item Vote scroll, amount: 3	
[4/21/23 12:15PM] Gave item in trade to V1. Id: 23020, amount: 9	
[4/21/23 12:15PM] Gave item in trade to V1. Id: 10946, amount: 15	
[4/21/23 12:15PM] Gave item in trade to V1. Id: 2023, amount: 755	
[4/21/23 12:15PM] Gave item in trade to V1. Id: 995, amount: 4273917	
[4/21/23 12:34PM] Picked up gr.Item Coin, amount: 2008158	
[4/21/23 12:34PM] Picked up gr.Item Lava bones, amount: 25	
[4/21/23 12:35PM] Picked up gr.Item Coin, amount: 2705200	
[4/21/23 12:35PM] Picked up gr.Item Lava bones, amount: 40	
[4/21/23 12:36PM] Picked up gr.Item Lava bones, amount: 100	
[4/21/23 12:36PM] Picked up gr.Item $1 Scroll, amount: 1	
[4/21/23 01:12PM] Picked up gr.Item $1 Scroll, amount: 5	
[4/21/23 01:12PM] Picked up gr.Item Vote scroll, amount: 3	
[4/21/23 01:14PM] Picked up gr.Item $1 Scroll, amount: 5	
[4/21/23 01:14PM] Picked up gr.Item Vote scroll, amount: 3	
[4/21/23 09:26PM] Player dropping item: Bronze pickaxe, amount: 1	
[4/21/23 09:34PM] Picked up gr.Item Coin, amount: 1451085	
[4/21/23 09:34PM] Picked up gr.Item Lava bones, amount: 25	
[4/21/23 09:35PM] Picked up gr.Item Coin, amount: 2123617	
[4/21/23 09:35PM] Picked up gr.Item Lava bones, amount: 40	
[4/21/23 09:59PM] Picked up gr.Item $1 Scroll, amount: 5	
[4/21/23 09:59PM] Picked up gr.Item Vote scroll, amount: 3	
[4/21/23 10:01PM] Picked up gr.Item $1 Scroll, amount: 5	
[4/21/23 10:01PM] Picked up gr.Item Vote scroll, amount: 3	
[4/21/23 10:04PM] Picked up gr.Item Coin, amount: 1866965	
[4/21/23 10:04PM] Picked up gr.Item Lava bones, amount: 25	
[4/21/23 10:04PM] Gave item in trade to Blind Shit. Id: 10946, amount: 21	
[4/21/23 10:04PM] Gave item in trade to Blind Shit. Id: 995, amount: 10155025	
[4/21/23 10:04PM] Gave item in trade to Blind Shit. Id: 23020, amount: 12	
[4/21/23 10:33PM] Picked up gr.Item Coin, amount: 1842685	
[4/21/23 10:33PM] Picked up gr.Item Lava bones, amount: 25	
[4/21/23 10:34PM] Picked up gr.Item Coin, amount: 3306412	
[4/21/23 10:34PM] Picked up gr.Item Lava bones, amount: 40	
[4/21/23 10:35PM] Picked up gr.Item Lava bones, amount: 100	
[4/21/23 10:35PM] Picked up gr.Item $1 Scroll, amount: 1	
[4/22/23 01:34AM] Picked up gr.Item Coin, amount: 2212927	
[4/22/23 01:34AM] Picked up gr.Item Lava bones, amount: 25	
[4/22/23 01:35AM] Picked up gr.Item Coin, amount: 2602924	
[4/22/23 01:35AM] Picked up gr.Item Lava bones, amount: 40	
[4/22/23 01:46AM] Picked up gr.Item $1 Scroll, amount: 5	
[4/22/23 01:46AM] Picked up gr.Item Vote scroll, amount: 3	
[4/22/23 01:48AM] Picked up gr.Item $1 Scroll, amount: 5	
[4/22/23 01:48AM] Picked up gr.Item Vote scroll, amount: 3	
[4/22/23 01:49AM] Receiving item from trade with V1 Id: 10946, amount: 15	
[4/22/23 01:49AM] Receiving item from trade with V1 Id: 23020, amount: 12	
[4/22/23 01:49AM] Gave item in trade to Blind Shit. Id: 10946, amount: 26	
[4/22/23 01:49AM] Gave item in trade to Blind Shit. Id: 23020, amount: 18	
[4/22/23 01:49AM] Gave item in trade to Blind Shit. Id: 995, amount: 9964948	
[4/22/23 02:34AM] Picked up gr.Item Coin, amount: 2461946	
[4/22/23 02:34AM] Picked up gr.Item Lava bones, amount: 25	
[4/22/23 02:36AM] Picked up gr.Item Coin, amount: 3962137	
[4/22/23 02:36AM] Picked up gr.Item Lava bones, amount: 40	
[4/22/23 02:37AM] Picked up gr.Item Lava bones, amount: 100	
[4/22/23 02:37AM] Picked up gr.Item $1 Scroll, amount: 1	
[4/22/23 02:39AM] Picked up gr.Item Lava bones, amount: 300	
[4/22/23 02:39AM] Picked up gr.Item $1 Scroll, amount: 2	
[4/22/23 04:34AM] Picked up gr.Item Coin, amount: 1477675	
[4/22/23 04:34AM] Picked up gr.Item Lava bones, amount: 25	
[4/22/23 04:35AM] Picked up gr.Item Coin, amount: 4484647	
[4/22/23 04:35AM] Picked up gr.Item Lava bones, amount: 40	
[4/22/23 04:36AM] Picked up gr.Item Lava bones, amount: 100	
[4/22/23 04:36AM] Picked up gr.Item $1 Scroll, amount: 1	
[4/22/23 05:04AM] Picked up gr.Item Coin, amount: 1549173	
[4/22/23 05:04AM] Picked up gr.Item Lava bones, amount: 25	
[4/22/23 05:33AM] Picked up gr.Item Coin, amount: 1062748	
[4/22/23 05:33AM] Picked up gr.Item Lava bones, amount: 25	
[4/22/23 05:34AM] Picked up gr.Item Coin, amount: 3151546	
[4/22/23 05:34AM] Picked up gr.Item Lava bones, amount: 40	
[4/22/23 05:35AM] Picked up gr.Item Lava bones, amount: 300	
[4/22/23 05:35AM] Picked up gr.Item $1 Scroll, amount: 2	
[4/22/23 05:40AM] Receiving item from trade with V1 Id: 10946, amount: 10	
[4/22/23 05:40AM] Receiving item from trade with V1 Id: 995, amount: 24944914	
[4/22/23 05:40AM] Gave item in trade to Blind Shit. Id: 10946, amount: 16	
[4/22/23 05:40AM] Gave item in trade to Blind Shit. Id: 995, amount: 43094786	
[4/22/23 05:52AM] Picked up gr.Item $1 Scroll, amount: 5	
[4/22/23 05:53AM] Picked up gr.Item Vote scroll, amount: 3	
[4/22/23 06:33AM] Picked up gr.Item Coin, amount: 1359961	
[4/22/23 06:33AM] Picked up gr.Item Lava bones, amount: 25	
[4/22/23 06:34AM] Picked up gr.Item Coin, amount: 2904693	
[4/22/23 06:35AM] Picked up gr.Item Lava bones, amount: 100	
[4/22/23 06:35AM] Picked up gr.Item $1 Scroll, amount: 1	
[4/22/23 06:38AM] Gave item in trade to Blind Shit. Id: 10946, amount: 6	
[4/22/23 06:38AM] Gave item in trade to Blind Shit. Id: 23020, amount: 3	
[4/22/23 07:37AM] Picked up gr.Item $1 Scroll, amount: 5	
[4/22/23 07:37AM] Picked up gr.Item Vote scroll, amount: 3	
[4/22/23 08:34AM] Picked up gr.Item Coin, amount: 2060454	
[4/22/23 08:34AM] Picked up gr.Item Lava bones, amount: 40	
[4/22/23 08:34AM] Picked up gr.Item Coin, amount: 1897303	
[4/22/23 08:34AM] Picked up gr.Item Lava bones, amount: 25	
[4/22/23 08:34AM] Picked up gr.Item Lava bones, amount: 100	
[4/22/23 08:34AM] Picked up gr.Item $1 Scroll, amount: 1	
[4/22/23 08:35AM] GLOBAL_BOSS|2139,5018,0|Said: Gz	
[4/22/23 08:35AM] Picked up gr.Item Lava bones, amount: 300	
[4/22/23 08:35AM] Picked up gr.Item $1 Scroll, amount: 2	
[4/22/23 08:38AM] Picked up gr.Item $1 Scroll, amount: 5	
[4/22/23 08:38AM] Picked up gr.Item Vote scroll, amount: 3	
[4/22/23 08:39AM] Receiving item from trade with V1 Id: 23020, amount: 12	
[4/22/23 08:39AM] Receiving item from trade with V1 Id: 10946, amount: 14	
[4/22/23 08:39AM] Receiving item from trade with V1 Id: 995, amount: 10219012	
[4/22/23 08:39AM] Gave item in trade to Blind Shit. Id: 23020, amount: 18	
[4/22/23 08:39AM] Gave item in trade to Blind Shit. Id: 10946, amount: 27	
[4/22/23 08:39AM] Gave item in trade to Blind Shit. Id: 995, amount: 18441423	
[4/22/23 10:33AM] Picked up gr.Item Coin, amount: 2282523	
[4/22/23 10:33AM] Picked up gr.Item Lava bones, amount: 25	
[4/22/23 10:34AM] Picked up gr.Item Coin, amount: 3859322	
[4/22/23 10:34AM] Picked up gr.Item Lava bones, amount: 40	
[4/22/23 10:35AM] Picked up gr.Item Lava bones, amount: 100	
[4/22/23 10:35AM] Picked up gr.Item $1 Scroll, amount: 1	
[4/22/23 10:37AM] Picked up gr.Item Coin, amount: 1954551	
[4/22/23 10:37AM] Picked up gr.Item Lava bones, amount: 25	
[4/22/23 11:07AM] Picked up gr.Item $1 Scroll, amount: 5	
[4/22/23 11:07AM] Picked up gr.Item Vote scroll, amount: 3	
[4/22/23 11:09AM] Receiving item from trade with V1 Id: 10946, amount: 5	
[4/22/23 11:09AM] Receiving item from trade with V1 Id: 23020, amount: 6	
[4/22/23 11:09AM] Gave item in trade to Blind Shit. Id: 23020, amount: 9	
[4/22/23 11:09AM] Gave item in trade to Blind Shit. Id: 10946, amount: 11	
[4/22/23 11:33AM] Picked up gr.Item Coin, amount: 1943893	
[4/22/23 11:34AM] Picked up gr.Item Lava bones, amount: 25	
[4/22/23 11:34AM] Picked up gr.Item Coin, amount: 2104414	
[4/22/23 11:34AM] Picked up gr.Item Lava bones, amount: 40	
[4/22/23 11:34AM] Receiving item from trade with V1 Id: 8808, amount: 1	
[4/22/23 11:34AM] Receiving item from trade with V1 Id: 8819, amount: 1	
[4/22/23 11:34AM] Receiving item from trade with V1 Id: 8807, amount: 1	
[4/22/23 11:34AM] Receiving item from trade with V1 Id: 7014, amount: 1	
[4/22/23 11:35AM] Picked up gr.Item Lava bones, amount: 600	
[4/22/23 11:35AM] Picked up gr.Item $1 Scroll, amount: 4	
[4/22/23 11:58AM] Picked up gr.Item $1 Scroll, amount: 10	
[4/22/23 11:58AM] Picked up gr.Item Vote scroll, amount: 6	
[4/22/23 12:02PM] Gave item in trade to Blind Shit. Id: 10946, amount: 14	
[4/22/23 12:02PM] Gave item in trade to Blind Shit. Id: 23020, amount: 6	
[4/22/23 12:02PM] Receiving item from trade with Blind Shit Id: 20586, amount: 1	
