[4/16/23 05:56AM] Login. ip: 176.93.41.31, mac: NHQAREL00113202599340020211216233149.000000+120, uuid: 76-4C-A1-60-13-B9	
[4/16/23 05:58AM] Picked up gr.Item Imperial body, amount: 1	
[4/17/23 10:33AM] Picked up gr.Item Lava bones, amount: 25	
[4/17/23 10:34AM] Picked up gr.Item Coin, amount: 3822664	
[4/17/23 10:34AM] Picked up gr.Item Lava bones, amount: 40	
[4/17/23 10:35AM] Picked up gr.Item Lava bones, amount: 100	
[4/17/23 10:35AM] Picked up gr.Item $1 Scroll, amount: 1	
[4/17/23 10:35AM] Picked up gr.Item Lava bones, amount: 300	
[4/17/23 10:35AM] Picked up gr.Item $1 Scroll, amount: 2	
[4/17/23 10:39AM] Player dropping item: Antique Bow, amount: 1	
[4/17/23 10:39AM] Picked up gr.Item Antique Bow, amount: 1	
[4/17/23 10:40AM] Picked up gr.Item Imperial helm, amount: 1	
[4/17/23 10:40AM] Picked up gr.Item Coin, amount: 800	
[4/17/23 10:46AM] Picked up gr.Item Coin, amount: 10000	
[4/17/23 10:49AM] Picked up gr.Item Coin, amount: 700	
[4/17/23 10:49AM] Picked up gr.Item Imperial legs, amount: 1	
[4/17/23 10:51AM] Picked up gr.Item Coin, amount: 5000	
[4/17/23 10:53AM] Picked up gr.Item Imperial amulet, amount: 1	
[4/17/23 10:54AM] Picked up gr.Item Coin, amount: 800	
[4/17/23 10:54AM] Player dropping item: Clean Cardamon, amount: 1	
[4/17/23 10:54AM] Picked up gr.Item Clean Cardamon, amount: 1	
[4/17/23 10:55AM] Picked up gr.Item Imperial amulet, amount: 1	
[4/17/23 10:55AM] Picked up gr.Item Imperial legs, amount: 1	
[4/17/23 10:59AM] Picked up gr.Item Coin, amount: 900	
[4/17/23 11:00AM] Picked up gr.Item Imperial amulet, amount: 1	
[4/17/23 11:00AM] Picked up gr.Item Coin, amount: 1400	
[4/17/23 11:01AM] Picked up gr.Item Imperial boots, amount: 1	
[4/17/23 11:02AM] Picked up gr.Item Imperial gloves, amount: 1	
[4/17/23 11:03AM] Picked up gr.Item Coin, amount: 1788558	
[4/17/23 11:03AM] Picked up gr.Item Lava bones, amount: 25	
[4/17/23 11:03AM] Picked up gr.Item Lava bones, amount: 100	
[4/17/23 11:03AM] Picked up gr.Item $1 Scroll, amount: 1	
[4/17/23 11:05AM] Picked up gr.Item Coin, amount: 2643473	
[4/17/23 11:05AM] Picked up gr.Item Lava bones, amount: 40	
[4/17/23 11:06AM] Picked up gr.Item Owner cape goodiebag, amount: 1	
[4/17/23 11:06AM] Picked up gr.Item Lava bones, amount: 300	
[4/17/23 11:06AM] Picked up gr.Item $1 Scroll, amount: 2	
[4/17/23 11:08AM] Player dropping item: Vial, amount: 1	
[4/17/23 11:09AM] Picked up gr.Item Lava bones, amount: 100	
[4/17/23 11:09AM] Picked up gr.Item $1 Scroll, amount: 1	
[4/17/23 11:10AM] Picked up gr.Item Lava bones, amount: 100	
[4/17/23 11:10AM] Picked up gr.Item $1 Scroll, amount: 1	
[4/17/23 11:20AM] Picked up gr.Item Coin, amount: 1000	
[4/17/23 11:21AM] Has just redeemed a Donator rank ticket successfully!	
[4/17/23 11:23AM] Player dropping item: Vial, amount: 1	
[4/17/23 11:25AM] Picked up gr.Item Coin, amount: 2000	
[4/17/23 11:27AM] Picked up gr.Item Lava bones, amount: 1	
[4/17/23 11:27AM] Player dropping item: Vial, amount: 1	
[4/17/23 11:27AM] Picked up gr.Item Coin, amount: 1000	
[4/17/23 11:31AM] Picked up gr.Item Coin, amount: 800	
[4/17/23 11:33AM] Picked up gr.Item Coin, amount: 1946650	
[4/17/23 11:33AM] Picked up gr.Item Lava bones, amount: 50	
[4/17/23 11:33AM] Picked up gr.Item Coin, amount: 2007460	
[4/17/23 11:33AM] Picked up gr.Item Lava bones, amount: 40	
[4/17/23 11:34AM] Picked up gr.Item Imperial legs, amount: 1	
[4/17/23 11:34AM] Picked up gr.Item Imperial legs, amount: 1	
[4/17/23 11:35AM] Picked up gr.Item Imperial legs, amount: 1	
[4/17/23 11:35AM] Picked up gr.Item Coin, amount: 2700	
[4/17/23 11:38AM] Picked up gr.Item Coin, amount: 10000	
[4/17/23 11:39AM] Player dropping item: Vial, amount: 1	
[4/17/23 11:39AM] Picked up gr.Item Coin, amount: 30000	
[4/17/23 11:39AM] Picked up gr.Item Lava bones, amount: 3	
[4/17/23 11:39AM] Picked up gr.Item Coin, amount: 20000	
[4/17/23 11:43AM] Player dropping item: Vial, amount: 1	
[4/17/23 11:43AM] Player dropping item: Vial, amount: 1	
[4/17/23 11:44AM] Picked up gr.Item Coin, amount: 20000	
[4/17/23 11:44AM] Picked up gr.Item Coin, amount: 10000	
[4/17/23 11:44AM] Picked up gr.Item Coin, amount: 10000	
[4/17/23 11:44AM] Picked up gr.Item Coin, amount: 10000	
[4/17/23 11:44AM] Picked up gr.Item Coin, amount: 10000	
[4/17/23 11:44AM] Picked up gr.Item Coin, amount: 10000	
[4/17/23 11:44AM] Picked up gr.Item Lava bones, amount: 1	
[4/17/23 11:50AM] Picked up gr.Item Coin, amount: 8000	
[4/17/23 11:51AM] Picked up gr.Item Coin, amount: 2000	
[4/17/23 11:51AM] Picked up gr.Item Coin, amount: 8000	
[4/17/23 11:51AM] Picked up gr.Item Zinq boots, amount: 1	
[4/17/23 11:51AM] Picked up gr.Item Coin, amount: 2000	
[4/17/23 11:51AM] Picked up gr.Item Zinq boots, amount: 1	
[4/17/23 11:53AM] Picked up gr.Item Lava bones, amount: 1	
[4/17/23 11:53AM] Picked up gr.Item Coin, amount: 2000	
[4/17/23 11:53AM] Picked up gr.Item Lava bones, amount: 1	
[4/17/23 11:53AM] Picked up gr.Item Coin, amount: 2000	
[4/17/23 11:53AM] Picked up gr.Item Coin, amount: 2000	
[4/17/23 11:54AM] Picked up gr.Item Coin, amount: 12000	
[4/17/23 11:54AM] Picked up gr.Item Lava bones, amount: 3	
[4/17/23 11:54AM] Picked up gr.Item Lava bones, amount: 300	
[4/17/23 11:54AM] Picked up gr.Item $1 Scroll, amount: 2	
[4/17/23 11:54AM] Picked up gr.Item $10 Bond, amount: 2	
[4/17/23 11:55AM] GLOBAL_BOSS|2139,5018,0|Said: :veigar	
[4/17/23 11:55AM] Picked up gr.Item Coin, amount: 1091569	
[4/17/23 11:55AM] Picked up gr.Item Lava bones, amount: 25	
[4/17/23 11:56AM] Picked up gr.Item Coin, amount: 1283595	
[4/17/23 11:56AM] Picked up gr.Item Lava bones, amount: 25	
[4/17/23 11:56AM] Picked up gr.Item $1 Scroll, amount: 5	
[4/17/23 11:56AM] Picked up gr.Item Vote scroll, amount: 3	
[4/17/23 11:57AM] Picked up gr.Item $1 Scroll, amount: 5	
[4/17/23 11:57AM] Picked up gr.Item Vote scroll, amount: 3	
[4/17/23 11:58AM] Picked up gr.Item Coin, amount: 2000	
[4/17/23 11:58AM] Picked up gr.Item Coin, amount: 2000	
[4/17/23 11:59AM] Picked up gr.Item Zinq helm, amount: 1	
[4/17/23 11:59AM] Picked up gr.Item Lava bones, amount: 1	
[4/17/23 11:59AM] Picked up gr.Item Zinq body, amount: 1	
[4/17/23 11:59AM] Picked up gr.Item Coin, amount: 4000	
[4/17/23 12:00PM] Picked up gr.Item Zinq sword, amount: 1	
[4/17/23 12:01PM] Picked up gr.Item Zinq legs, amount: 1	
[4/17/23 12:01PM] Picked up gr.Item Coin, amount: 4000	
[4/17/23 12:03PM] Picked up gr.Item Coin, amount: 2106056	
[4/17/23 12:03PM] Picked up gr.Item Lava bones, amount: 25	
[4/17/23 12:03PM] Player dropping item: Vial, amount: 1	
[4/17/23 12:04PM] Picked up gr.Item Coin, amount: 2000	
[4/17/23 12:05PM] Picked up gr.Item Coin, amount: 2000	
[4/17/23 12:05PM] Picked up gr.Item Coin, amount: 2000	
[4/17/23 12:05PM] Picked up gr.Item Zinq boots, amount: 1	
[4/17/23 12:05PM] Picked up gr.Item Coin, amount: 14000	
[4/17/23 12:06PM] Picked up gr.Item Coin, amount: 2000	
[4/17/23 12:06PM] Picked up gr.Item Coin, amount: 4000	
[4/17/23 12:07PM] Picked up gr.Item Coin, amount: 10000	
[4/17/23 12:07PM] Picked up gr.Item Lava bones, amount: 1	
[4/17/23 12:08PM] Picked up gr.Item Coin, amount: 1534992	
[4/17/23 12:08PM] Picked up gr.Item Lava bones, amount: 25	
[4/17/23 12:09PM] Picked up gr.Item Coin, amount: 1077425	
[4/17/23 12:09PM] Picked up gr.Item Lava bones, amount: 25	
[4/17/23 12:09PM] Picked up gr.Item Coin, amount: 1844533	
[4/17/23 12:09PM] Picked up gr.Item Lava bones, amount: 25	
[4/17/23 12:10PM] Picked up gr.Item Lava bones, amount: 100	
[4/17/23 12:10PM] Picked up gr.Item $1 Scroll, amount: 1	
[4/17/23 12:10PM] Picked up gr.Item Lava bones, amount: 100	
[4/17/23 12:10PM] Picked up gr.Item $1 Scroll, amount: 1	
[4/17/23 12:11PM] Picked up gr.Item Lava bones, amount: 100	
[4/17/23 12:11PM] Picked up gr.Item $1 Scroll, amount: 1	
[4/17/23 12:11PM] Picked up gr.Item Coin, amount: 4117726	
[4/17/23 12:11PM] Picked up gr.Item Lava bones, amount: 40	
[4/17/23 12:12PM] Picked up gr.Item Coin, amount: 4019320	
[4/17/23 12:12PM] Picked up gr.Item Lava bones, amount: 40	
[4/17/23 12:12PM] Picked up gr.Item Coin, amount: 2515825	
[4/17/23 12:12PM] Picked up gr.Item Lava bones, amount: 40	
[4/17/23 12:13PM] Picked up gr.Item Lava bones, amount: 300	
[4/17/23 12:13PM] Picked up gr.Item $1 Scroll, amount: 2	
[4/17/23 12:14PM] Picked up gr.Item Lava bones, amount: 300	
[4/17/23 12:14PM] Picked up gr.Item $1 Scroll, amount: 2	
[4/17/23 12:15PM] Picked up gr.Item Lava bones, amount: 300	
[4/17/23 12:15PM] Picked up gr.Item $1 Scroll, amount: 2	
[4/17/23 12:15PM] Picked up gr.Item $1 Scroll, amount: 5	
[4/17/23 12:15PM] Picked up gr.Item Vote scroll, amount: 3	
[4/17/23 12:16PM] Picked up gr.Item $1 Scroll, amount: 5	
[4/17/23 12:16PM] Picked up gr.Item Vote scroll, amount: 6	
[4/17/23 12:17PM] Picked up gr.Item $1 Scroll, amount: 5	
[4/17/23 12:17PM] Picked up gr.Item Vote scroll, amount: 3	
[4/17/23 12:17PM] Picked up gr.Item Coin, amount: 2040753	
[4/17/23 12:17PM] Picked up gr.Item Lava bones, amount: 25	
[4/17/23 12:18PM] Picked up gr.Item Coin, amount: 3858548	
[4/17/23 12:18PM] Picked up gr.Item Lava bones, amount: 40	
[4/17/23 12:18PM] Picked up gr.Item Lava bones, amount: 100	
[4/17/23 12:18PM] Picked up gr.Item $1 Scroll, amount: 1	
[4/17/23 12:19PM] Picked up gr.Item Lava bones, amount: 300	
[4/17/23 12:19PM] Picked up gr.Item $1 Scroll, amount: 2	
[4/17/23 12:19PM] VBOSS|2982,2775,0|Said: Can get facking target	
[4/17/23 12:21PM] Picked up gr.Item Coin, amount: 2000	
[4/17/23 12:21PM] Picked up gr.Item Coin, amount: 2000	
[4/17/23 12:23PM] Picked up gr.Item Coin, amount: 6000	
[4/17/23 12:24PM] Picked up gr.Item Coin, amount: 4000	
[4/17/23 12:24PM] Picked up gr.Item Coin, amount: 2000	
[4/17/23 12:25PM] Picked up gr.Item Coin, amount: 2000	
[4/17/23 12:25PM] Picked up gr.Item Zinq legs, amount: 1	
[4/17/23 12:25PM] Picked up gr.Item Lava bones, amount: 3	
[4/17/23 12:25PM] Picked up gr.Item Coin, amount: 8000	
[4/17/23 12:26PM] Picked up gr.Item Coin, amount: 2000	
[4/17/23 12:26PM] Picked up gr.Item Coin, amount: 2000	
[4/17/23 12:27PM] Picked up gr.Item Coin, amount: 6000	
[4/17/23 12:27PM] Picked up gr.Item Lava bones, amount: 4	
[4/17/23 12:27PM] Picked up gr.Item Lava bones, amount: 1	
[4/17/23 12:27PM] Picked up gr.Item Coin, amount: 2000	
[4/17/23 12:28PM] Picked up gr.Item Coin, amount: 2000	
[4/17/23 12:29PM] Picked up gr.Item Coin, amount: 6000	
[4/17/23 12:30PM] Picked up gr.Item Coin, amount: 6000	
[4/17/23 12:30PM] Picked up gr.Item Coin, amount: 4000	
[4/17/23 12:30PM] Picked up gr.Item Coin, amount: 2000	
[4/17/23 12:30PM] Picked up gr.Item Lava bones, amount: 1	
[4/17/23 12:30PM] Picked up gr.Item Coin, amount: 6000	
[4/17/23 12:30PM] Picked up gr.Item Lava bones, amount: 3	
[4/17/23 12:30PM] Picked up gr.Item Coin, amount: 2000	
[4/17/23 12:31PM] Picked up gr.Item Coin, amount: 2000	
[4/17/23 12:33PM] Picked up gr.Item Coin, amount: 2008202	
[4/17/23 12:33PM] Picked up gr.Item Lava bones, amount: 25	
[4/17/23 12:33PM] Picked up gr.Item Lava bones, amount: 40	
[4/17/23 12:33PM] Picked up gr.Item Lava bones, amount: 100	
[4/17/23 12:33PM] Picked up gr.Item $1 Scroll, amount: 1	
[4/17/23 12:40PM] Has just redeemed a $25 Bond successfully!	
[4/17/23 12:40PM] Has just redeemed a $10 Bond successfully!	
[4/17/23 12:40PM] Has just redeemed a $10 Bond successfully!	
[4/17/23 12:40PM] Has just redeemed a $10 Bond successfully!	
[4/17/23 12:41PM] Has just redeemed a $1 Scroll successfully!	
[4/17/23 12:41PM] Has just redeemed a $1 Scroll successfully!	
[4/17/23 12:41PM] Has just redeemed a $1 Scroll successfully!	
[4/17/23 12:41PM] Has just redeemed a $1 Scroll successfully!	
[4/17/23 12:41PM] Has just redeemed a $1 Scroll successfully!	
[4/17/23 12:41PM] Has just redeemed a $1 Scroll successfully!	
[4/17/23 12:41PM] Has just redeemed a $1 Scroll successfully!	
[4/17/23 12:41PM] Has just redeemed a $1 Scroll successfully!	
[4/17/23 12:41PM] Has just redeemed a $1 Scroll successfully!	
[4/17/23 12:41PM] Has just redeemed a $1 Scroll successfully!	
[4/17/23 12:41PM] Has just redeemed a $1 Scroll successfully!	
[4/19/23 10:03AM] Login. ip: 176.93.41.31, mac: NHQAREL00113202599340020211216233149.000000+120, uuid: 76-4C-A1-60-13-B9	
[4/19/23 10:11AM] Player dropping item: Vial, amount: 1	
[4/19/23 10:18AM] Receiving item from trade with Vafliuss Id: 15359, amount: 1	
[4/19/23 10:18AM] Receiving item from trade with Vafliuss Id: 23124, amount: 1	
[4/19/23 10:18AM] Receiving item from trade with Vafliuss Id: 10835, amount: 12271	
[4/19/23 10:27AM] Player sold 23020 x 5 to Mondo for 100000 Billions in their pos shop	
[4/19/23 10:27AM] DEFAULT|2221,3762,0|Said: D::pos	
[4/19/23 10:28AM] Played claimed 100K Billions from pos	
[4/19/23 10:30AM] Player bought 8088 x 1 from Okmante's pos shop for 100000 Billions	
[4/19/23 10:30AM] Player bought 17684 x 1 from Kriipz's pos shop for 10000 Billions	
[4/19/23 10:31AM] Player bought 14053 x 1 from Rokas's pos shop for 25000 Billions	
[4/19/23 10:32AM] Player bought 15922 x 1 from Rokas's pos shop for 8000 Billions	
[4/19/23 10:34AM] Player sold 10946 x 10 to Suh for 200000 Billions in their pos shop	
[4/19/23 10:34AM] Player sold 10946 x 10 to Suh for 200000 Billions in their pos shop	
[4/19/23 10:34AM] Player bought 23093 x 1 from Amura's pos shop for 20000 Billions	
[4/19/23 10:34AM] Player sold 10946 x 10 to Suh for 200000 Billions in their pos shop	
[4/19/23 10:34AM] Player sold 10946 x 8 to Zaryte for 160000 Billions in their pos shop	
[4/19/23 10:34AM] Player sold 19886 x 1 to Suh for 40000 Billions in their pos shop	
[4/19/23 10:34AM] Player bought 14052 x 1 from Amura's pos shop for 20000 Billions	
[4/19/23 10:34AM] Played claimed 800K Billions from pos	
[4/19/23 10:36AM] Player bought 11003 x 1 from Resi's pos shop for 10000 Billions	
[4/19/23 10:36AM] Player bought 11001 x 1 from Resi's pos shop for 10000 Billions	
[4/19/23 10:38AM] Player bought 13306 x 1 from Frog's pos shop for 5000 Billions	
[4/19/23 10:40AM] Player bought 21029 x 1 from Rokas's pos shop for 40000 Billions	
[4/19/23 10:41AM] Player bought 8273 x 1 from Ruthie's pos shop for 199000 Billions	
[4/19/23 10:43AM] Player sold 23020 x 7 to Gekyume for 140000 Billions in their pos shop	
[4/19/23 10:47AM] Player bought 21023 x 1 from Tellur's pos shop for 50000 Billions	
[4/19/23 10:47AM] Player bought 12610 x 1 from Oblivion's pos shop for 100000 Billions	
[4/19/23 10:48AM] Player bought 20095 x 1 from Nobledefeat's pos shop for 250000 Billions	
[4/19/23 10:48AM] Player bought 17606 x 1 from Nobledefeat's pos shop for 100000 Billions	
[4/19/23 11:03AM] Played claimed 140K Billions from pos	
[4/19/23 11:18AM] Has just redeemed a $1 Scroll successfully!	
[4/19/23 11:22AM] Player sold 10946 x 5 to Suh for 200000 Billions in their pos shop	
[4/19/23 11:22AM] Played claimed 200K Billions from pos	
[4/19/23 11:42AM] Player sold 23020 x 6 to Entropy for 180000 Billions in their pos shop	
[4/20/23 09:17AM] Login. ip: 176.93.41.31, mac: NHQAREL00113202599340020211216233149.000000+120, uuid: 76-4C-A1-60-13-B9	
[4/20/23 09:18AM] Played claimed 180K Billions from pos	
[4/20/23 09:19AM] Player bought 22135 x 1 from Zshana's pos shop for 150000 Billions	
[4/20/23 09:27AM] Player sold 10946 x 10 to Boterkoek for 500000 Billions in their pos shop	
[4/20/23 09:27AM] Player sold 10946 x 8 to Boterkoek for 400000 Billions in their pos shop	
[4/20/23 09:27AM] Played claimed 900K Billions from pos	
[4/20/23 09:29AM] Player sold 23020 x 9 to Like My Peep for 360000 Billions in their pos shop	
[4/20/23 09:29AM] Played claimed 360K Billions from pos	
[4/20/23 09:31AM] Player bought 8274 x 1 from A Fatality's pos shop for 100000 Billions	
[4/20/23 09:31AM] Player bought 4686 x 1 from A Fatality's pos shop for 100000 Billions	
[4/20/23 09:31AM] Player bought 4685 x 1 from Gekyume's pos shop for 200000 Billions	
[4/20/23 09:31AM] Player bought 4684 x 1 from Alakazam's pos shop for 200000 Billions	
[4/20/23 09:39AM] Player bought 8788 x 5 from Zshana's pos shop for 600000 Billions	
[4/20/23 09:44AM] Player dropping item: Vial, amount: 1	
[4/20/23 09:49AM] Player bought 22135 x 1 from Zshana's pos shop for 200000 Billions	
[4/20/23 09:55AM] Player dropping item: Nagi Cape, amount: 1	
[4/20/23 09:55AM] Picked up gr.Item Nagi Cape, amount: 1	
[4/20/23 10:51AM] Player sold 10946 x 27 to Like My Peep for 1620000 Billions in their pos shop	
[4/20/23 10:51AM] Player sold 23020 x 6 to Hibashi for 240000 Billions in their pos shop	
[4/20/23 10:52AM] Played claimed 1860K Billions from pos	
[4/20/23 10:57AM] Has just redeemed a $1 Scroll successfully!	
[4/20/23 11:13AM] (CC) Help. Said: Someone have bow for sale like for 1m?	
[4/21/23 08:21AM] Login. ip: 176.93.41.31, mac: NHQAREL00113202599340020211216233149.000000+120, uuid: 76-4C-A1-60-13-B9	
[4/21/23 08:24AM] Player bought 3107 x 1 from Kabal's pos shop for 150000 Billions	
[4/21/23 08:24AM] Player bought 19918 x 1 from Kabal's pos shop for 150000 Billions	
[4/21/23 08:24AM] Player bought 21934 x 1 from Kabal's pos shop for 150000 Billions	
[4/21/23 08:24AM] Player bought 19913 x 1 from Kabal's pos shop for 275000 Billions	
[4/21/23 08:25AM] Player bought 13964 x 1 from Redx12's pos shop for 300000 Billions	
[4/21/23 08:25AM] Player bought 13640 x 1 from Suh's pos shop for 175000 Billions	
[4/21/23 08:26AM] Player bought 15448 x 1 from Redx12's pos shop for 300000 Billions	
[4/21/23 08:26AM] Player bought 8788 x 6 from Shaxx's pos shop for 660000 Billions	
[4/21/23 09:43AM] Player sold 22135 x 1 to Loot for 150000 Billions in their pos shop	
[4/21/23 09:55AM] Played claimed 150K Billions from pos	
[4/21/23 10:11AM] Player sold 12610 x 1 to Esso for 20000 Billions in their pos shop	
[4/21/23 10:21AM] Played claimed 20K Billions from pos	
[4/21/23 10:59AM] Player sold 4685 x 1 to Rak for 100000 Billions in their pos shop	
[4/21/23 10:59AM] Player sold 4684 x 1 to Rak for 100000 Billions in their pos shop	
[4/21/23 01:41PM] Player sold 8274 x 1 to Elcf for 100000 Billions in their pos shop	
[4/21/23 02:48PM] Player sold 23020 x 3 to Like My Peep for 120000 Billions in their pos shop	
[4/22/23 06:39AM] Player sold 23057 x 1 to Xtc for 600000 Billions in their pos shop	
[4/22/23 07:44AM] Player sold 20095 x 1 to Cameron for 200000 Billions in their pos shop	
[4/22/23 05:19PM] Player sold 10946 x 5 to Redx12 for 300000 Billions in their pos shop	
[4/22/23 05:19PM] Player sold 10946 x 2 to Redx12 for 120000 Billions in their pos shop	
