[4/20/23 05:02PM] Login. ip: 72.130.133.245, mac: NXA9DAA001111150C1340020230113233500.000000-600, uuid: EA-F3-BC-52-02-D7	
[4/20/23 05:15PM] Gave item in trade to Ainokea. Id: 23020, amount: 3	
[4/22/23 11:36PM] Picked up gr.Item $1 Scroll, amount: 1	
[4/22/23 11:36PM] Picked up gr.Item Lava bones, amount: 300	
[4/22/23 11:36PM] Picked up gr.Item $1 Scroll, amount: 2	
[4/22/23 11:38PM] Gave item in trade to Ainokea. Id: 10946, amount: 3	
[4/22/23 11:38PM] Gave item in trade to Ainokea. Id: 995, amount: 11404702	
[4/23/23 12:33AM] Picked up gr.Item Coin, amount: 1179133	
[4/23/23 12:33AM] Picked up gr.Item Lava bones, amount: 25	
[4/23/23 12:34AM] Picked up gr.Item Coin, amount: 3791250	
[4/23/23 12:34AM] Picked up gr.Item Lava bones, amount: 40	
[4/23/23 12:36AM] Picked up gr.Item Lava bones, amount: 100	
[4/23/23 12:36AM] Picked up gr.Item $1 Scroll, amount: 1	
[4/23/23 12:51AM] Picked up gr.Item $1 Scroll, amount: 5	
[4/23/23 12:51AM] Picked up gr.Item Vote scroll, amount: 3	
[4/23/23 01:35AM] Picked up gr.Item Coin, amount: 1027796	
[4/23/23 01:35AM] Picked up gr.Item Lava bones, amount: 25	
[4/23/23 02:33AM] Picked up gr.Item Coin, amount: 1135315	
[4/23/23 02:33AM] Picked up gr.Item Lava bones, amount: 25	
[4/23/23 02:34AM] Picked up gr.Item Coin, amount: 2997218	
[4/23/23 02:34AM] Picked up gr.Item Lava bones, amount: 40	
[4/23/23 02:35AM] Picked up gr.Item Lava bones, amount: 100	
[4/23/23 02:35AM] Picked up gr.Item $1 Scroll, amount: 1	
[4/23/23 02:36AM] Picked up gr.Item Lava bones, amount: 300	
[4/23/23 02:36AM] Picked up gr.Item $1 Scroll, amount: 2	
[4/23/23 02:58AM] Login. ip: 72.130.133.245, mac: NXA9DAA001111150C1340020230113233500.000000-600, uuid: EA-F3-BC-52-02-D7	
[4/23/23 02:58AM] GLOBAL_BOSS|2139,5018,0|Said: Go veigar	
[4/23/23 03:54AM] Login. ip: 72.130.133.245, mac: NXA9DAA001111150C1340020230113233500.000000-600, uuid: EA-F3-BC-52-02-D7	
[4/23/23 04:05AM] Login. ip: 72.130.133.245, mac: NXA9DAA001111150C1340020230113233500.000000-600, uuid: EA-F3-BC-52-02-D7	
[4/23/23 04:32AM] Picked up gr.Item $1 Scroll, amount: 5	
[4/23/23 04:32AM] Picked up gr.Item Vote scroll, amount: 3	
[4/23/23 04:34AM] Gave item in trade to Ainokea. Id: 10946, amount: 14	
[4/23/23 04:34AM] Gave item in trade to Ainokea. Id: 995, amount: 10130712	
[4/23/23 04:34AM] Gave item in trade to Ainokea. Id: 23020, amount: 6	
