[4/20/23 08:58AM] Login. ip: 167.179.183.237, mac: 20220807220242.000000+600, uuid: 68-54-5A-E0-6F-BE	
[4/20/23 09:02AM] Receiving item from trade with Cheech Id: 19481, amount: 1	
[4/20/23 09:12AM] Picked up gr.Item Imperial legs, amount: 1	
[4/20/23 09:12AM] Picked up gr.Item Imperial legs, amount: 1	
[4/20/23 09:17AM] Picked up gr.Item Zinq body, amount: 1	
[4/20/23 09:17AM] Picked up gr.Item Zinq body, amount: 1	
[4/20/23 09:18AM] Picked up gr.Item Coin, amount: 2000	
[4/20/23 09:20AM] Player dropping item: Lava bones, amount: 8206	
[4/20/23 09:20AM] Picked up gr.Item Lava bones, amount: 8256	
[4/20/23 09:22AM] Picked up gr.Item Lava bones, amount: 80	
[4/20/23 09:23AM] Picked up gr.Item $1 Scroll, amount: 2	
[4/20/23 09:23AM] Picked up gr.Item Lava bones, amount: 200	
[4/20/23 09:24AM] Picked up gr.Item $1 Scroll, amount: 4	
[4/20/23 09:24AM] Picked up gr.Item Lava bones, amount: 600	
[4/20/23 09:25AM] Picked up gr.Item $1 Scroll, amount: 5	
[4/20/23 09:25AM] Picked up gr.Item Vote scroll, amount: 3	
[4/20/23 09:27AM] Picked up gr.Item Vote scroll, amount: 3	
[4/20/23 09:27AM] Picked up gr.Item $1 Scroll, amount: 10	
[4/20/23 09:27AM] Player dropping item: Imperial Minigun, amount: 1	
[4/20/23 09:27AM] Player dropping item: Imperial Whip, amount: 1	
[4/20/23 09:28AM] Player dropping item: Imperial Minigun, amount: 1	
[4/20/23 09:28AM] Player dropping item: Imperial Minigun, amount: 1	
[4/20/23 09:34AM] Player dropping item: Imperial Minigun, amount: 1	
[4/20/23 04:22PM] Picked up gr.Item Coin, amount: 3988810	
[4/20/23 04:22PM] Picked up gr.Item Lava bones, amount: 80	
[4/20/23 04:45PM] Picked up gr.Item $1 Scroll, amount: 5	
[4/20/23 04:45PM] Picked up gr.Item Vote scroll, amount: 6	
[4/20/23 04:52PM] Player dropping item: Lava bones, amount: 5783	
[4/20/23 04:52PM] Picked up gr.Item Lava bones, amount: 5783	
[4/20/23 04:57PM] Gave item in trade to Cheech. Id: 7995, amount: 1	
[4/20/23 04:57PM] Gave item in trade to Cheech. Id: 4684, amount: 1	
[4/20/23 04:57PM] Gave item in trade to Cheech. Id: 8335, amount: 1	
[4/20/23 04:57PM] Gave item in trade to Cheech. Id: 14307, amount: 1	
[4/20/23 04:57PM] Gave item in trade to Cheech. Id: 23051, amount: 1	
[4/20/23 04:57PM] Gave item in trade to Cheech. Id: 4686, amount: 1	
[4/20/23 04:57PM] Gave item in trade to Cheech. Id: 22143, amount: 1	
[4/20/23 04:57PM] Gave item in trade to Cheech. Id: 12864, amount: 1	
[4/20/23 04:57PM] Gave item in trade to Cheech. Id: 23054, amount: 1	
[4/20/23 07:52PM] DEFAULT|2236,3745,0|Said: :afk	
[4/20/23 08:23PM] Login. ip: 167.179.183.237, mac: 20220807220242.000000+600, uuid: 68-54-5A-E0-6F-BE	
[4/22/23 03:18AM] Login. ip: 167.179.183.237, mac: 20220807220242.000000+600, uuid: 68-54-5A-E0-6F-BE	
[4/22/23 03:49AM] Login. ip: 167.179.183.237, mac: 20220807220242.000000+600, uuid: 68-54-5A-E0-6F-BE	
[4/22/23 03:59AM] Receiving item from trade with Cheech Id: 22135, amount: 1	
[4/22/23 03:59AM] Receiving item from trade with Cheech Id: 4684, amount: 1	
[4/22/23 03:59AM] Receiving item from trade with Cheech Id: 19886, amount: 1	
[4/22/23 03:59AM] Receiving item from trade with Cheech Id: 17283, amount: 1	
[4/22/23 03:59AM] Receiving item from trade with Cheech Id: 16194, amount: 1	
[4/22/23 03:59AM] Receiving item from trade with Cheech Id: 20095, amount: 1	
[4/22/23 03:59AM] Receiving item from trade with Cheech Id: 8814, amount: 1	
[4/22/23 04:00AM] Receiving item from trade with Cheech Id: 2736, amount: 10	
