[4/15/23 06:45AM] Login. ip: 216.218.112.168, mac: K2003N003141120210422114824.000000-300, uuid: 00-D8-61-E3-4F-32	
[4/15/23 07:09AM] Login. ip: 216.218.112.168, mac: K2003N003141120210422114824.000000-300, uuid: 00-D8-61-E3-4F-32	
[4/15/23 07:11AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 10:38AM] Picked up gr.Item Coin, amount: 300	
[4/15/23 10:38AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 10:39AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 10:39AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 10:40AM] Picked up gr.Item Coin, amount: 300	
[4/15/23 10:40AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 10:40AM] Picked up gr.Item Coin, amount: 300	
[4/15/23 10:40AM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 10:40AM] Picked up gr.Item Coin, amount: 300	
[4/15/23 10:41AM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 10:41AM] Picked up gr.Item Coin, amount: 300	
[4/15/23 10:41AM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 10:41AM] Picked up gr.Item Coin, amount: 300	
[4/15/23 10:41AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 10:42AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 10:42AM] Picked up gr.Item Coin, amount: 300	
[4/15/23 10:42AM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 10:43AM] Picked up gr.Item Coin, amount: 300	
[4/15/23 10:43AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 10:46AM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 10:47AM] Picked up gr.Item Coin, amount: 300	
[4/15/23 10:47AM] Picked up gr.Item Lava bones, amount: 4	
[4/15/23 10:47AM] Picked up gr.Item Coin, amount: 300	
[4/15/23 10:47AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 10:47AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 10:48AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 10:49AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 10:50AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 10:50AM] Picked up gr.Item Coin, amount: 300	
[4/15/23 10:50AM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 10:51AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 10:53AM] Player dropping item: Imperial Minigun, amount: 1	
[4/15/23 10:53AM] Picked up gr.Item Imperial Minigun, amount: 1	
[4/15/23 10:54AM] Player dropping item: Starter Blade, amount: 1	
[4/15/23 10:54AM] Player dropping item: Starter Staff, amount: 1	
[4/15/23 10:54AM] Player dropping item: Starter Ring, amount: 1	
[4/15/23 10:54AM] Player dropping item: Starter Amulet, amount: 1	
[4/15/23 10:57AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 10:57AM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 10:58AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 10:58AM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 10:58AM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 03:36PM] Login. ip: 216.218.112.168, mac: K2003N003141120210422114824.000000-300, uuid: 00-D8-61-E3-4F-32	
[4/15/23 03:37PM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 03:38PM] Picked up gr.Item Coin, amount: 400	
[4/15/23 03:38PM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 03:40PM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 03:40PM] Picked up gr.Item Coin, amount: 400	
[4/15/23 03:40PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 03:40PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 03:41PM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 03:41PM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 03:43PM] Picked up gr.Item Coin, amount: 400	
[4/15/23 03:43PM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 03:44PM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 03:44PM] Picked up gr.Item Blurite Amulet, amount: 1	
[4/15/23 03:44PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 03:45PM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 03:45PM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 03:45PM] Picked up gr.Item Blurite Box, amount: 1	
[4/15/23 03:46PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 03:46PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 03:46PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 03:47PM] Picked up gr.Item Coin, amount: 400	
[4/15/23 03:47PM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 03:47PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 03:47PM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 03:48PM] Picked up gr.Item Coin, amount: 400	
[4/15/23 03:48PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 03:48PM] Picked up gr.Item Coin, amount: 400	
[4/15/23 03:48PM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 03:48PM] Picked up gr.Item Coin, amount: 400	
[4/15/23 03:48PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 03:49PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 03:49PM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 03:49PM] Picked up gr.Item Coin, amount: 400	
[4/15/23 03:49PM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 03:50PM] Picked up gr.Item Coin, amount: 400	
[4/15/23 03:50PM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 03:51PM] Picked up gr.Item Coin, amount: 400	
[4/15/23 03:51PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 03:51PM] Picked up gr.Item Coin, amount: 400	
[4/15/23 03:51PM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 03:52PM] Picked up gr.Item Coin, amount: 400	
[4/15/23 03:52PM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 03:52PM] Picked up gr.Item Coin, amount: 400	
[4/15/23 03:52PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 03:53PM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 03:53PM] Picked up gr.Item Coin, amount: 400	
[4/15/23 03:53PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 03:54PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 03:54PM] Picked up gr.Item Coin, amount: 400	
[4/15/23 03:54PM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 04:05PM] Picked up gr.Item Coin, amount: 500	
[4/15/23 04:05PM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 04:05PM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 04:05PM] Picked up gr.Item Coin, amount: 500	
[4/15/23 04:05PM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 04:06PM] Picked up gr.Item Blurite Ring, amount: 1	
[4/15/23 04:06PM] Picked up gr.Item Blurite Ring, amount: 1	
[4/15/23 04:06PM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 04:07PM] Picked up gr.Item Coin, amount: 500	
[4/15/23 04:07PM] Picked up gr.Item Lava bones, amount: 3	
[4/15/23 04:07PM] Picked up gr.Item Blurite Boots, amount: 1	
[4/15/23 04:07PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 04:08PM] Picked up gr.Item Coin, amount: 500	
[4/15/23 04:08PM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 04:08PM] Picked up gr.Item Coin, amount: 500	
[4/15/23 04:08PM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 04:09PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 04:09PM] Picked up gr.Item Coin, amount: 500	
[4/15/23 04:09PM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 04:09PM] Picked up gr.Item Coin, amount: 500	
[4/15/23 04:09PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 04:10PM] Picked up gr.Item Coin, amount: 500	
[4/15/23 04:10PM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 04:10PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 04:11PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 04:11PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 04:11PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 04:12PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 04:12PM] Picked up gr.Item Coin, amount: 500	
[4/15/23 04:12PM] Picked up gr.Item Blurite Boots, amount: 1	
[4/15/23 04:12PM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 04:13PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 04:13PM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 04:13PM] Picked up gr.Item Coin, amount: 500	
[4/15/23 04:14PM] Picked up gr.Item Coin, amount: 500	
[4/15/23 04:14PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 04:14PM] Picked up gr.Item Coin, amount: 500	
[4/15/23 04:14PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 04:15PM] Picked up gr.Item Coin, amount: 500	
[4/15/23 04:15PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 04:15PM] Picked up gr.Item Coin, amount: 500	
[4/15/23 04:15PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 04:16PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 04:16PM] Picked up gr.Item Coin, amount: 500	
[4/15/23 04:16PM] Picked up gr.Item Lava bones, amount: 3	
[4/15/23 04:17PM] Picked up gr.Item Coin, amount: 500	
[4/15/23 04:17PM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 04:17PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 04:18PM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 04:18PM] Picked up gr.Item Coin, amount: 500	
[4/15/23 04:18PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 04:19PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 04:19PM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 04:20PM] Picked up gr.Item Coin, amount: 500	
[4/15/23 04:20PM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 04:20PM] Picked up gr.Item Coin, amount: 500	
[4/15/23 04:20PM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 04:21PM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 04:21PM] Picked up gr.Item Coin, amount: 500	
[4/15/23 04:21PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 04:21PM] Picked up gr.Item Coin, amount: 500	
[4/15/23 04:21PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 04:21PM] Picked up gr.Item Blurite Legs, amount: 1	
[4/15/23 04:21PM] Picked up gr.Item Blurite Legs, amount: 1	
[4/15/23 04:22PM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 04:23PM] Picked up gr.Item Coin, amount: 500	
[4/15/23 04:23PM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 04:23PM] Picked up gr.Item Coin, amount: 500	
[4/15/23 04:23PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 04:23PM] Picked up gr.Item Coin, amount: 500	
[4/15/23 04:23PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 04:24PM] Picked up gr.Item Coin, amount: 500	
[4/15/23 04:24PM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 04:24PM] Picked up gr.Item Coin, amount: 500	
[4/15/23 04:24PM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 04:24PM] Picked up gr.Item Coin, amount: 500	
[4/15/23 04:24PM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 04:25PM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 04:25PM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 04:25PM] Picked up gr.Item Coin, amount: 500	
[4/15/23 04:25PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 04:33PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 04:33PM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 04:34PM] Picked up gr.Item Coin, amount: 600	
[4/15/23 04:34PM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 04:34PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 04:34PM] Picked up gr.Item Coin, amount: 600	
[4/15/23 04:34PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 04:35PM] Picked up gr.Item Coin, amount: 600	
[4/15/23 04:35PM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 04:35PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 04:36PM] Picked up gr.Item Coin, amount: 600	
[4/15/23 04:36PM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 04:36PM] Picked up gr.Item Coin, amount: 600	
[4/15/23 04:36PM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 04:37PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 04:37PM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 04:38PM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 04:39PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 04:39PM] Picked up gr.Item Coin, amount: 600	
[4/15/23 04:39PM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 04:39PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 04:40PM] Picked up gr.Item Coin, amount: 600	
[4/15/23 04:40PM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 04:40PM] Picked up gr.Item Coin, amount: 600	
[4/15/23 04:40PM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 04:41PM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 04:41PM] Picked up gr.Item Coin, amount: 600	
[4/15/23 04:41PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 04:41PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 04:42PM] Picked up gr.Item Coin, amount: 600	
[4/15/23 04:42PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 04:42PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 04:43PM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 04:44PM] Picked up gr.Item Coin, amount: 600	
[4/15/23 04:44PM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 04:44PM] Picked up gr.Item Coin, amount: 600	
[4/15/23 04:44PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 04:45PM] Picked up gr.Item Coin, amount: 600	
[4/15/23 04:45PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 04:45PM] Picked up gr.Item Coin, amount: 600	
[4/15/23 04:45PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 04:45PM] Picked up gr.Item Coin, amount: 600	
[4/15/23 04:45PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 04:46PM] Picked up gr.Item Coin, amount: 600	
[4/15/23 04:46PM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 04:46PM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 04:47PM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 04:47PM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 04:47PM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 04:48PM] Picked up gr.Item Coin, amount: 600	
[4/15/23 04:48PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 04:48PM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 04:48PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 04:48PM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 04:49PM] Picked up gr.Item Coin, amount: 600	
[4/15/23 04:49PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 04:49PM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 04:49PM] Picked up gr.Item Coin, amount: 600	
[4/15/23 04:49PM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 04:50PM] Picked up gr.Item Coin, amount: 600	
[4/15/23 04:50PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 04:51PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 04:51PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 04:51PM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 04:52PM] Picked up gr.Item Coin, amount: 600	
[4/15/23 04:52PM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 04:52PM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 04:52PM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 04:53PM] Picked up gr.Item Coin, amount: 600	
[4/15/23 04:53PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 04:53PM] Picked up gr.Item Coin, amount: 600	
[4/15/23 04:53PM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 04:53PM] Picked up gr.Item Coin, amount: 600	
[4/15/23 04:53PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 04:54PM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 04:54PM] Picked up gr.Item Coin, amount: 600	
[4/15/23 04:54PM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 04:54PM] Picked up gr.Item Imperial legs, amount: 1	
[4/15/23 04:55PM] Picked up gr.Item Coin, amount: 600	
[4/15/23 04:55PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 04:55PM] Picked up gr.Item Coin, amount: 600	
[4/15/23 04:55PM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 04:55PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 04:56PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 04:56PM] Picked up gr.Item Coin, amount: 600	
[4/15/23 04:56PM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 04:56PM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 04:56PM] Picked up gr.Item Coin, amount: 600	
[4/15/23 04:56PM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 04:57PM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 04:57PM] Picked up gr.Item Coin, amount: 600	
[4/15/23 04:57PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 04:57PM] Picked up gr.Item Coin, amount: 600	
[4/15/23 04:57PM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 04:58PM] Picked up gr.Item Coin, amount: 700	
[4/15/23 04:58PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 04:58PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 04:59PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 04:59PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 04:59PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 04:59PM] HULK|3487,3615,20|Said: :veigar	
[4/15/23 05:01PM] Picked up gr.Item Lava bones, amount: 25	
[4/15/23 05:01PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 05:02PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 05:02PM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 05:02PM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 05:03PM] Picked up gr.Item Coin, amount: 700	
[4/15/23 05:03PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 05:03PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 05:04PM] Picked up gr.Item Coin, amount: 700	
[4/15/23 05:04PM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 05:04PM] Picked up gr.Item Coin, amount: 700	
[4/15/23 05:04PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 05:04PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 05:05PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 05:05PM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 05:05PM] Picked up gr.Item Coin, amount: 700	
[4/15/23 05:05PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 05:06PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 05:06PM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 05:06PM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 05:07PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 05:07PM] Picked up gr.Item Coin, amount: 700	
[4/15/23 05:07PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 05:08PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 05:08PM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 05:08PM] Picked up gr.Item Coin, amount: 700	
[4/15/23 05:08PM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 05:09PM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 05:09PM] Picked up gr.Item Coin, amount: 700	
[4/15/23 05:09PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 05:09PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 05:10PM] Picked up gr.Item Coin, amount: 700	
[4/15/23 05:10PM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 05:10PM] Picked up gr.Item Coin, amount: 700	
[4/15/23 05:10PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 05:10PM] Picked up gr.Item Coin, amount: 700	
[4/15/23 05:10PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 05:11PM] Picked up gr.Item Coin, amount: 700	
[4/15/23 05:11PM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 05:11PM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 05:11PM] Picked up gr.Item Coin, amount: 700	
[4/15/23 05:11PM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 05:12PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 05:12PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 05:12PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 05:13PM] Picked up gr.Item Coin, amount: 700	
[4/15/23 05:13PM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 05:13PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 05:14PM] Picked up gr.Item Coin, amount: 1400	
[4/15/23 05:14PM] Picked up gr.Item Lava bones, amount: 3	
[4/15/23 05:14PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 05:14PM] Picked up gr.Item Coin, amount: 700	
[4/15/23 05:14PM] Picked up gr.Item Lava bones, amount: 2	
