[4/15/23 09:02PM] Login. ip: 208.54.177.250, mac: NHQHXAA0012160C6E9340020230105080108.000000-240, uuid: 4C-03-4F-F4-66-9A	
[4/15/23 09:03PM] Receiving item from trade with K0000 Id: 13305, amount: 1	
[4/15/23 09:23PM] Picked up gr.Item Blurite Box, amount: 1	
[4/15/23 09:25PM] Picked up gr.Item Blurite Legs, amount: 1	
[4/15/23 09:26PM] Player dropping item: Vial, amount: 1	
[4/15/23 09:32PM] Player dropping item: Vial, amount: 1	
[4/15/23 09:32PM] Picked up gr.Item $1 Scroll, amount: 2	
[4/15/23 09:32PM] Picked up gr.Item Lava bones, amount: 300	
[4/15/23 09:32PM] Has just redeemed a $1 Scroll successfully!	
[4/15/23 09:32PM] Has just redeemed a $1 Scroll successfully!	
[4/15/23 09:35PM] Receiving item from trade with K0000 Id: 23144, amount: 1	
[4/15/23 09:41PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 09:42PM] Player dropping item: Vial, amount: 1	
[4/15/23 09:42PM] Player dropping item: Vial, amount: 1	
[4/15/23 09:44PM] Picked up gr.Item Coin, amount: 2000	
[4/15/23 09:44PM] Picked up gr.Item Coin, amount: 4000	
[4/15/23 09:46PM] Player dropping item: Vial, amount: 1	
[4/15/23 09:49PM] (CC) Help. Said: U die	
[4/15/23 09:54PM] Player dropping item: Vial, amount: 1	
[4/15/23 09:55PM] (CC) Help. Said: Slow	
[4/15/23 09:57PM] Player dropping item: Vial, amount: 1	
[4/15/23 09:59PM] Picked up gr.Item Coin, amount: 700	
[4/16/23 06:23AM] Login. ip: 208.54.177.250, mac: NHQHXAA0012160C6E9340020230105080108.000000-240, uuid: 4C-03-4F-F4-66-9A	
[4/16/23 06:28AM] Picked up gr.Item Coin, amount: 1394239	
[4/16/23 06:28AM] Picked up gr.Item Lava bones, amount: 25	
[4/16/23 06:29AM] Picked up gr.Item Coin, amount: 2287741	
[4/16/23 06:29AM] Picked up gr.Item Lava bones, amount: 80	
[4/16/23 06:30AM] Picked up gr.Item Coin, amount: 1000	
[4/16/23 06:30AM] Picked up gr.Item Lava bones, amount: 4	
[4/16/23 06:38AM] Player dropping item: Vial, amount: 1	
[4/16/23 06:39AM] Player dropping item: Vial, amount: 1	
[4/16/23 06:39AM] Picked up gr.Item Coin, amount: 1000	
[4/16/23 06:45AM] Picked up gr.Item Lava bones, amount: 1	
[4/16/23 06:46AM] Picked up gr.Item Coin, amount: 800	
[4/16/23 06:50AM] Picked up gr.Item Imperial Box, amount: 1	
[4/16/23 06:50AM] Picked up gr.Item Imperial Box, amount: 1	
[4/16/23 06:56AM] Picked up gr.Item Coin, amount: 6000	
[4/16/23 06:59AM] Picked up gr.Item Lava bones, amount: 2	
[4/16/23 07:15AM] Receiving item from trade with K0000 Id: 14914, amount: 1	
[4/16/23 07:24AM] Picked up gr.Item Coin, amount: 2959944	
[4/16/23 07:24AM] Picked up gr.Item Lava bones, amount: 40	
[4/16/23 07:30AM] Picked up gr.Item Vote scroll, amount: 3	
[4/16/23 07:30AM] Picked up gr.Item $1 Scroll, amount: 10	
[4/16/23 07:30AM] (CC) Help. Said: Check discord	
[4/16/23 07:39AM] Gave item in trade to Remorse. Id: 18009, amount: 1	
[4/16/23 07:39AM] Gave item in trade to Remorse. Id: 18005, amount: 1	
[4/16/23 07:39AM] Gave item in trade to Remorse. Id: 18003, amount: 1	
[4/16/23 07:39AM] (CC) Help. Said: Aberrant minigun isnt tradeabke	
[4/16/23 07:52AM] Picked up gr.Item Lava bones, amount: 1	
[4/16/23 07:54AM] Picked up gr.Item Coin, amount: 1702289	
[4/16/23 07:54AM] Picked up gr.Item Lava bones, amount: 50	
[4/16/23 08:04AM] Picked up gr.Item Coin, amount: 2000	
[4/17/23 04:04PM] Login. ip: 208.54.177.250, mac: NHQHXAA0012160C6E9340020230105080108.000000-240, uuid: 4C-03-4F-F4-66-9A	
