[4/22/23 02:29PM] Login. ip: 142.114.56.172, mac: Default string20210329024716.000000-300, uuid: B4-2E-99-45-73-32	
[4/22/23 02:33PM] Receiving item from trade with Acid Id: 14484, amount: 1	
[4/22/23 02:48PM] Picked up gr.Item Lava bones, amount: 7	
[4/22/23 02:48PM] Picked up gr.Item Lava bones, amount: 6	
[4/22/23 02:50PM] Picked up gr.Item Lava bones, amount: 5	
[4/22/23 02:50PM] Player dropping item: Starter Body, amount: 1	
[4/22/23 02:51PM] Picked up gr.Item Blurite Gloves, amount: 1	
[4/22/23 02:51PM] Picked up gr.Item Blurite Gloves, amount: 1	
[4/22/23 02:51PM] Picked up gr.Item Blurite Amulet, amount: 1	
[4/22/23 02:52PM] Picked up gr.Item Lava bones, amount: 4	
[4/22/23 02:53PM] Picked up gr.Item Lava bones, amount: 7	
[4/22/23 02:53PM] Picked up gr.Item Lava bones, amount: 5	
[4/22/23 02:56PM] Player dropping item: Lava bones, amount: 17	
[4/22/23 02:56PM] Picked up gr.Item Lava bones, amount: 17	
[4/22/23 03:04PM] Picked up gr.Item Lava bones, amount: 50	
[4/22/23 03:04PM] Picked up gr.Item Coin, amount: 1600687	
[4/22/23 03:07PM] Picked up gr.Item Lava bones, amount: 7	
[4/22/23 03:07PM] Picked up gr.Item Lava bones, amount: 5	
[4/22/23 03:09PM] Picked up gr.Item Lava bones, amount: 8	
[4/22/23 03:09PM] Picked up gr.Item Lava bones, amount: 5	
[4/22/23 03:10PM] Picked up gr.Item Lava bones, amount: 7	
[4/22/23 03:12PM] Picked up gr.Item Blurite Amulet, amount: 1	
[4/22/23 03:12PM] Picked up gr.Item Lava bones, amount: 8	
[4/22/23 03:23PM] Picked up gr.Item $1 Scroll, amount: 5	
[4/22/23 03:23PM] Picked up gr.Item Vote scroll, amount: 3	
[4/22/23 03:23PM] Picked up gr.Item Vial, amount: 1	
[4/22/23 03:26PM] Player dropping item: Vial, amount: 1	
[4/22/23 03:26PM] Player dropping item: Vial, amount: 1	
[4/22/23 03:33PM] (CC) Help. Said: How do i open up the teleports?	
[4/22/23 03:33PM] (CC) Help. Said: Ty	
[4/22/23 03:34PM] Demon received x1 Sovereignty prayer scroll from Final Boss Veigar!	
[4/22/23 03:34PM] Picked up gr.Item Coin, amount: 2080588	
[4/22/23 03:34PM] Picked up gr.Item Sovereignty prayer scroll, amount: 1	
[4/22/23 03:34PM] Picked up gr.Item Lava bones, amount: 25	
[4/22/23 03:34PM] (CC) Help. Said: What does this do haha	
[4/22/23 03:34PM] (CC) Help. Said: Ah okay cool	
[4/22/23 03:34PM] (CC) Help. Said: Tyty	
[4/22/23 03:35PM] Picked up gr.Item Lava bones, amount: 40	
[4/22/23 03:59PM] Picked up gr.Item Coin, amount: 1800	
[4/22/23 03:59PM] Picked up gr.Item Lava bones, amount: 6	
[4/22/23 03:59PM] Picked up gr.Item Coin, amount: 1200	
[4/22/23 04:00PM] Picked up gr.Item Lava bones, amount: 4	
[4/22/23 04:00PM] Picked up gr.Item Lava bones, amount: 1	
[4/22/23 04:00PM] Picked up gr.Item Lava bones, amount: 1	
[4/22/23 04:00PM] Picked up gr.Item Lava bones, amount: 2	
[4/22/23 04:01PM] Picked up gr.Item Coin, amount: 600	
[4/22/23 04:01PM] Picked up gr.Item Lava bones, amount: 5	
[4/22/23 04:01PM] Picked up gr.Item Lava bones, amount: 5	
[4/22/23 04:01PM] Picked up gr.Item Imperial Box, amount: 1	
[4/22/23 04:02PM] Picked up gr.Item Lava bones, amount: 1	
[4/22/23 04:02PM] Picked up gr.Item Lava bones, amount: 8	
[4/22/23 04:02PM] Picked up gr.Item Lava bones, amount: 5	
[4/22/23 04:02PM] Picked up gr.Item Lava bones, amount: 1	
[4/22/23 04:02PM] Picked up gr.Item Lava bones, amount: 3	
[4/22/23 04:02PM] Picked up gr.Item Lava bones, amount: 7	
[4/22/23 04:04PM] Picked up gr.Item Lava bones, amount: 50	
[4/22/23 04:04PM] Picked up gr.Item Coin, amount: 2302457	
[4/22/23 04:06PM] Picked up gr.Item Imperial Box, amount: 1	
[4/22/23 04:06PM] Picked up gr.Item Lava bones, amount: 6	
[4/22/23 04:06PM] Picked up gr.Item Lava bones, amount: 5	
[4/22/23 04:06PM] Picked up gr.Item Lava bones, amount: 3	
[4/22/23 04:07PM] Picked up gr.Item Lava bones, amount: 1	
[4/22/23 04:07PM] Picked up gr.Item Lava bones, amount: 6	
[4/22/23 04:07PM] Picked up gr.Item Lava bones, amount: 3	
[4/22/23 04:07PM] Picked up gr.Item Lava bones, amount: 4	
[4/22/23 04:07PM] Picked up gr.Item Lava bones, amount: 4	
[4/22/23 04:07PM] Picked up gr.Item Lava bones, amount: 2	
[4/22/23 04:07PM] Picked up gr.Item Lava bones, amount: 2	
[4/22/23 04:08PM] Picked up gr.Item Lava bones, amount: 4	
[4/22/23 04:08PM] Picked up gr.Item Lava bones, amount: 3	
[4/22/23 04:08PM] Picked up gr.Item Lava bones, amount: 1	
[4/22/23 04:08PM] Picked up gr.Item Coin, amount: 3000	
[4/22/23 04:08PM] Picked up gr.Item Lava bones, amount: 3	
[4/22/23 04:08PM] Picked up gr.Item Lava bones, amount: 3	
[4/22/23 04:09PM] Picked up gr.Item Lava bones, amount: 5	
[4/22/23 04:09PM] Picked up gr.Item Coin, amount: 3000	
[4/22/23 04:09PM] Picked up gr.Item Lava bones, amount: 4	
[4/22/23 04:09PM] Picked up gr.Item Lava bones, amount: 1	
[4/22/23 04:09PM] Picked up gr.Item Lava bones, amount: 3	
[4/22/23 04:09PM] Picked up gr.Item Lava bones, amount: 2	
[4/22/23 04:09PM] Picked up gr.Item Lava bones, amount: 2	
[4/22/23 04:09PM] Picked up gr.Item Lava bones, amount: 2	
[4/22/23 04:09PM] Picked up gr.Item Lava bones, amount: 2	
[4/22/23 04:09PM] Picked up gr.Item Lava bones, amount: 3	
[4/22/23 04:09PM] Picked up gr.Item Lava bones, amount: 2	
[4/22/23 04:09PM] Picked up gr.Item Lava bones, amount: 1	
[4/22/23 04:11PM] Picked up gr.Item Lava bones, amount: 2	
[4/22/23 04:11PM] Picked up gr.Item Lava bones, amount: 4	
[4/22/23 04:11PM] Picked up gr.Item Lava bones, amount: 2	
[4/22/23 04:11PM] Picked up gr.Item Lava bones, amount: 3	
[4/22/23 04:11PM] Picked up gr.Item Lava bones, amount: 2	
[4/22/23 04:11PM] Picked up gr.Item Lava bones, amount: 3	
[4/22/23 04:11PM] Picked up gr.Item Lava bones, amount: 1	
[4/22/23 04:12PM] Picked up gr.Item Lava bones, amount: 4	
[4/22/23 04:12PM] Picked up gr.Item Coin, amount: 1400	
[4/22/23 04:12PM] Picked up gr.Item Imperial helm, amount: 1	
[4/22/23 04:12PM] Picked up gr.Item Imperial helm, amount: 1	
[4/22/23 04:12PM] Picked up gr.Item Lava bones, amount: 2	
[4/22/23 04:12PM] Picked up gr.Item Lava bones, amount: 2	
[4/22/23 04:12PM] Picked up gr.Item Lava bones, amount: 2	
[4/22/23 04:12PM] Picked up gr.Item Lava bones, amount: 3	
[4/22/23 04:12PM] Picked up gr.Item Lava bones, amount: 2	
[4/22/23 04:12PM] Picked up gr.Item Lava bones, amount: 2	
[4/22/23 04:13PM] Player dropping item: Vial, amount: 1	
[4/22/23 04:13PM] Picked up gr.Item Imperial gloves, amount: 1	
[4/22/23 04:13PM] Picked up gr.Item Lava bones, amount: 1	
[4/22/23 04:13PM] Picked up gr.Item Lava bones, amount: 3	
[4/22/23 04:13PM] Picked up gr.Item Lava bones, amount: 2	
[4/22/23 04:14PM] Picked up gr.Item Imperial ring, amount: 1	
[4/22/23 04:14PM] Picked up gr.Item Lava bones, amount: 5	
[4/22/23 04:14PM] Picked up gr.Item Lava bones, amount: 5	
[4/22/23 04:14PM] Picked up gr.Item Lava bones, amount: 1	
[4/22/23 04:14PM] Picked up gr.Item Lava bones, amount: 2	
[4/22/23 04:14PM] Picked up gr.Item Lava bones, amount: 6	
[4/22/23 04:14PM] Picked up gr.Item Imperial gloves, amount: 1	
[4/22/23 04:15PM] Player dropping item: Starter Defender, amount: 1	
[4/22/23 04:15PM] Picked up gr.Item Coin, amount: 2100	
[4/22/23 04:15PM] Picked up gr.Item Lava bones, amount: 5	
[4/22/23 04:15PM] Picked up gr.Item Lava bones, amount: 1	
[4/22/23 04:15PM] Picked up gr.Item Coin, amount: 700	
[4/22/23 04:15PM] Picked up gr.Item Lava bones, amount: 2	
[4/22/23 04:15PM] Picked up gr.Item Lava bones, amount: 6	
[4/22/23 04:15PM] Picked up gr.Item Lava bones, amount: 2	
[4/22/23 04:16PM] Picked up gr.Item Lava bones, amount: 2	
[4/22/23 04:16PM] Picked up gr.Item Lava bones, amount: 2	
[4/22/23 04:16PM] Picked up gr.Item Lava bones, amount: 2	
[4/22/23 04:16PM] Picked up gr.Item Lava bones, amount: 4	
[4/22/23 04:16PM] Picked up gr.Item Lava bones, amount: 2	
[4/22/23 04:16PM] Picked up gr.Item Lava bones, amount: 3	
[4/22/23 04:16PM] Picked up gr.Item Lava bones, amount: 3	
[4/22/23 04:17PM] Picked up gr.Item Lava bones, amount: 2	
[4/22/23 04:17PM] Picked up gr.Item Lava bones, amount: 7	
[4/22/23 04:18PM] Picked up gr.Item Imperial body, amount: 1	
[4/22/23 04:19PM] Picked up gr.Item Lava bones, amount: 6	
[4/22/23 04:20PM] Picked up gr.Item Lava bones, amount: 6	
[4/22/23 04:20PM] Picked up gr.Item Lava bones, amount: 7	
[4/22/23 04:21PM] Picked up gr.Item Lava bones, amount: 6	
[4/22/23 04:21PM] Picked up gr.Item Lava bones, amount: 10	
[4/22/23 04:21PM] Picked up gr.Item Lava bones, amount: 5	
[4/22/23 04:23PM] Picked up gr.Item Lava bones, amount: 5	
[4/22/23 04:23PM] Picked up gr.Item Lava bones, amount: 5	
[4/22/23 04:23PM] Picked up gr.Item Lava bones, amount: 4	
[4/22/23 04:23PM] Picked up gr.Item Lava bones, amount: 4	
[4/22/23 04:23PM] Picked up gr.Item Lava bones, amount: 1	
[4/22/23 04:23PM] Picked up gr.Item Lava bones, amount: 2	
[4/22/23 04:25PM] Picked up gr.Item Lava bones, amount: 5	
[4/22/23 04:25PM] Picked up gr.Item Lava bones, amount: 6	
[4/22/23 04:25PM] Picked up gr.Item Lava bones, amount: 5	
[4/22/23 04:26PM] Picked up gr.Item Imperial Box, amount: 1	
[4/22/23 04:26PM] Picked up gr.Item Lava bones, amount: 6	
[4/22/23 04:26PM] Picked up gr.Item Coin, amount: 700	
[4/22/23 04:26PM] Picked up gr.Item Lava bones, amount: 1	
[4/22/23 04:26PM] Picked up gr.Item Coin, amount: 1400	
[4/22/23 04:27PM] Picked up gr.Item Lava bones, amount: 6	
[4/22/23 04:27PM] Picked up gr.Item Lava bones, amount: 3	
[4/22/23 04:27PM] Picked up gr.Item Lava bones, amount: 3	
[4/22/23 04:27PM] Picked up gr.Item Lava bones, amount: 3	
[4/22/23 04:27PM] Picked up gr.Item Lava bones, amount: 2	
[4/22/23 04:27PM] Picked up gr.Item Lava bones, amount: 3	
[4/22/23 04:28PM] Picked up gr.Item Lava bones, amount: 6	
[4/22/23 04:28PM] Picked up gr.Item Lava bones, amount: 6	
[4/22/23 04:28PM] Picked up gr.Item Lava bones, amount: 5	
[4/22/23 04:33PM] Picked up gr.Item Coin, amount: 1387257	
[4/22/23 04:33PM] Picked up gr.Item Lava bones, amount: 50	
[4/22/23 04:34PM] Picked up gr.Item Lava bones, amount: 40	
[4/22/23 04:35PM] Gave item in trade to Acid. Id: 18629, amount: 1	
[4/22/23 04:35PM] Picked up gr.Item $1 Scroll, amount: 2	
[4/22/23 04:35PM] Picked up gr.Item Lava bones, amount: 100	
[4/22/23 04:36PM] Has just redeemed a $1 Scroll successfully!	
[4/22/23 04:36PM] Has just redeemed a $1 Scroll successfully!	
[4/22/23 04:36PM] Has just redeemed a $1 Scroll successfully!	
[4/22/23 04:36PM] Has just redeemed a $1 Scroll successfully!	
[4/22/23 04:36PM] Has just redeemed a $1 Scroll successfully!	
[4/22/23 04:37PM] Picked up gr.Item Vote scroll, amount: 6	
[4/22/23 04:37PM] Picked up gr.Item $1 Scroll, amount: 10	
[4/22/23 04:38PM] Picked up gr.Item $1 Scroll, amount: 10	
[4/22/23 04:38PM] Picked up gr.Item Vote scroll, amount: 6	
[4/22/23 04:38PM] Has just redeemed a $1 Scroll successfully!	
[4/22/23 04:38PM] Has just redeemed a $1 Scroll successfully!	
[4/22/23 04:38PM] Has just redeemed a $1 Scroll successfully!	
[4/22/23 04:38PM] Has just redeemed a $1 Scroll successfully!	
[4/22/23 04:38PM] Has just redeemed a $1 Scroll successfully!	
[4/22/23 04:39PM] Has just redeemed a $1 Scroll successfully!	
[4/22/23 04:39PM] Has just redeemed a $1 Scroll successfully!	
[4/22/23 04:42PM] Picked up gr.Item Coin, amount: 1000	
[4/22/23 04:42PM] Picked up gr.Item Lava bones, amount: 1	
[4/22/23 04:42PM] Picked up gr.Item Lava bones, amount: 4	
[4/22/23 04:42PM] Picked up gr.Item Lava bones, amount: 6	
[4/22/23 04:42PM] Picked up gr.Item Lava bones, amount: 7	
[4/22/23 04:47PM] Picked up gr.Item Imperial body, amount: 1	
[4/22/23 04:47PM] Picked up gr.Item Lava bones, amount: 8	
[4/22/23 04:47PM] Picked up gr.Item Lava bones, amount: 2	
[4/22/23 05:01PM] Picked up gr.Item Zinq shield, amount: 1	
[4/22/23 05:04PM] Picked up gr.Item Lava bones, amount: 25	
[4/22/23 06:20PM] Login. ip: 142.114.56.172, mac: Default string20210329024716.000000-300, uuid: B4-2E-99-45-73-32	
[4/22/23 06:20PM] Picked up gr.Item Godly Gloves, amount: 1	
[4/22/23 06:20PM] Picked up gr.Item Godly Cape, amount: 1	
[4/22/23 06:20PM] Picked up gr.Item Godly Legs, amount: 1	
[4/22/23 06:20PM] Picked up gr.Item Godly Bow, amount: 1	
[4/22/23 06:23PM] Picked up gr.Item Imperial boots, amount: 1	
[4/22/23 06:23PM] Picked up gr.Item Imperial boots, amount: 1	
[4/22/23 06:23PM] Picked up gr.Item Lava bones, amount: 11	
[4/22/23 06:23PM] Picked up gr.Item Lava bones, amount: 9	
[4/22/23 06:23PM] Picked up gr.Item Lava bones, amount: 3	
[4/22/23 06:23PM] Picked up gr.Item Lava bones, amount: 3	
[4/22/23 06:23PM] Picked up gr.Item Lava bones, amount: 10	
[4/22/23 06:23PM] Picked up gr.Item Lava bones, amount: 3	
[4/22/23 06:23PM] Picked up gr.Item Lava bones, amount: 12	
[4/22/23 06:23PM] Picked up gr.Item Lava bones, amount: 11	
[4/22/23 06:23PM] Picked up gr.Item Lava bones, amount: 5	
[4/22/23 06:24PM] Picked up gr.Item Lava bones, amount: 7	
[4/22/23 06:24PM] Picked up gr.Item Lava bones, amount: 7	
[4/22/23 06:24PM] Picked up gr.Item Lava bones, amount: 4	
[4/22/23 06:25PM] Picked up gr.Item Lava bones, amount: 4	
[4/22/23 06:25PM] Picked up gr.Item Lava bones, amount: 9	
[4/22/23 06:25PM] Picked up gr.Item Lava bones, amount: 6	
[4/22/23 06:25PM] Picked up gr.Item Lava bones, amount: 1	
[4/22/23 06:25PM] Picked up gr.Item Lava bones, amount: 6	
[4/22/23 06:25PM] Picked up gr.Item Coin, amount: 3000	
[4/22/23 06:28PM] (CC) Help. Said: ::collection	
[4/22/23 06:34PM] Picked up gr.Item Lava bones, amount: 25	
[4/22/23 06:35PM] Picked up gr.Item Coin, amount: 2590839	
[4/22/23 06:35PM] Picked up gr.Item Lava bones, amount: 40	
[4/22/23 06:36PM] Picked up gr.Item Lava bones, amount: 200	
[4/22/23 06:36PM] Picked up gr.Item $1 Scroll, amount: 2	
[4/22/23 06:39PM] Login. ip: 142.114.56.172, mac: Default string20210329024716.000000-300, uuid: B4-2E-99-45-73-32	
[4/22/23 06:39PM] Login. ip: 142.114.56.172, mac: Default string20210329024716.000000-300, uuid: B4-2E-99-45-73-32	
[4/22/23 06:41PM] Gave item in trade to Honey. Id: 21018, amount: 1	
[4/22/23 06:41PM] Gave item in trade to Honey. Id: 18750, amount: 1	
[4/22/23 08:54PM] Picked up gr.Item Coin, amount: 2000	
[4/22/23 08:54PM] Picked up gr.Item Zinq shield, amount: 1	
[4/22/23 08:55PM] Picked up gr.Item Lava bones, amount: 1	
[4/22/23 09:09PM] Picked up gr.Item Lava bones, amount: 12	
[4/22/23 09:11PM] Picked up gr.Item Zinq legs, amount: 1	
[4/22/23 09:11PM] Picked up gr.Item Zinq legs, amount: 1	
[4/22/23 09:11PM] Picked up gr.Item Zinq sword, amount: 1	
[4/22/23 09:12PM] Picked up gr.Item Coin, amount: 4000	
[4/22/23 09:12PM] Picked up gr.Item Zinq boots, amount: 1	
[4/22/23 09:12PM] Picked up gr.Item Zinq boots, amount: 1	
[4/22/23 09:13PM] Picked up gr.Item Coin, amount: 2000	
[4/22/23 09:14PM] Picked up gr.Item Zinq body, amount: 1	
[4/22/23 09:14PM] Picked up gr.Item Zinq body, amount: 1	
[4/22/23 09:14PM] Picked up gr.Item Zinq boots, amount: 1	
[4/22/23 09:18PM] Gave item in trade to Honey. Id: 23051, amount: 1	
[4/22/23 09:18PM] Gave item in trade to Honey. Id: 23052, amount: 1	
[4/22/23 09:18PM] Gave item in trade to Honey. Id: 23054, amount: 1	
[4/22/23 09:24PM] (CC) Help. Said: I just got the 1 :3	
[4/22/23 09:25PM] Receiving item from trade with Kinda Savage Id: 8274, amount: 1	
[4/22/23 09:25PM] DEFAULT|2224,3758,0|Said: Ty   	
[4/22/23 09:27PM] Picked up gr.Item Imperial legs, amount: 1	
[4/22/23 09:27PM] Picked up gr.Item Imperial helm, amount: 1	
[4/22/23 09:29PM] Picked up gr.Item Coin, amount: 2000	
[4/22/23 09:29PM] Picked up gr.Item Lava bones, amount: 2	
[4/22/23 09:29PM] Picked up gr.Item Zinq helm, amount: 1	
[4/22/23 09:30PM] Picked up gr.Item Coin, amount: 4000	
[4/22/23 09:30PM] Picked up gr.Item Lava bones, amount: 1	
[4/22/23 09:30PM] Picked up gr.Item Coin, amount: 2000	
[4/22/23 09:43PM] Player dropping item: Imperial Minigun, amount: 1	
[4/22/23 09:49PM] Attempted to redeem a Donator rank ticket, but was already a member! (Unsuccessful)	
[4/22/23 11:09PM] Receiving item from trade with Honey Id: 23020, amount: 6	
[4/22/23 11:09PM] Receiving item from trade with Honey Id: 10946, amount: 11	
[4/22/23 11:09PM] Receiving item from trade with Honey Id: 15358, amount: 1	
[4/22/23 11:09PM] Receiving item from trade with Honey Id: 15359, amount: 1	
[4/22/23 11:09PM] Receiving item from trade with Honey Id: 2023, amount: 312	
[4/22/23 11:09PM] Receiving item from trade with Honey Id: 10835, amount: 922	
[4/22/23 11:09PM] Receiving item from trade with Honey Id: 995, amount: 13240177	
[4/22/23 11:10PM] Player dropping item: Vial, amount: 1	
[4/22/23 11:16PM] Player dropping item: Super restore (4), amount: 1	
[4/23/23 12:09AM] (CC) Help. Said: I just started today raynes if you got something	
[4/23/23 12:11AM] (CC) Help. Said: Let me make space	
[4/23/23 12:12AM] Receiving item from trade with Raynes 911 Id: 23033, amount: 1	
[4/23/23 12:12AM] Receiving item from trade with Raynes 911 Id: 23038, amount: 1	
[4/23/23 12:12AM] Receiving item from trade with Raynes 911 Id: 23037, amount: 1	
[4/23/23 12:12AM] Receiving item from trade with Raynes 911 Id: 23030, amount: 1	
[4/23/23 12:12AM] Receiving item from trade with Raynes 911 Id: 23038, amount: 1	
[4/23/23 12:12AM] Receiving item from trade with Raynes 911 Id: 23035, amount: 1	
[4/23/23 12:12AM] Receiving item from trade with Raynes 911 Id: 23039, amount: 1	
[4/23/23 12:12AM] Receiving item from trade with Raynes 911 Id: 23038, amount: 1	
[4/23/23 12:12AM] Receiving item from trade with Raynes 911 Id: 23039, amount: 1	
[4/23/23 12:12AM] Receiving item from trade with Raynes 911 Id: 23037, amount: 1	
[4/23/23 12:12AM] Receiving item from trade with Raynes 911 Id: 23039, amount: 1	
[4/23/23 12:12AM] Receiving item from trade with Raynes 911 Id: 23034, amount: 1	
[4/23/23 12:12AM] Receiving item from trade with Raynes 911 Id: 23033, amount: 1	
[4/23/23 12:12AM] Receiving item from trade with Raynes 911 Id: 23029, amount: 1	
[4/23/23 12:12AM] Receiving item from trade with Raynes 911 Id: 23038, amount: 1	
[4/23/23 12:12AM] Receiving item from trade with Raynes 911 Id: 23033, amount: 1	
[4/23/23 12:12AM] Receiving item from trade with Raynes 911 Id: 23028, amount: 1	
[4/23/23 12:12AM] Receiving item from trade with Raynes 911 Id: 15646, amount: 1	
[4/23/23 12:12AM] Receiving item from trade with Raynes 911 Id: 23034, amount: 1	
[4/23/23 12:12AM] DEFAULT|2223,3752,0|Said: Ty!	
[4/23/23 12:12AM] DEFAULT|2223,3752,0|Said: Appreciate it	
[4/23/23 12:12AM] Receiving item from trade with Honey Id: 21018, amount: 1	
[4/23/23 12:12AM] Receiving item from trade with Honey Id: 10946, amount: 5	
[4/23/23 12:12AM] Receiving item from trade with Honey Id: 2023, amount: 830	
[4/23/23 12:14AM] (CC) Help. Said: Transfer crystal is only from vote store?	
[4/23/23 12:14AM] (CC) Help. Said: Ah okay thank you :3	
[4/23/23 12:22AM] Player dropping item: Imperial Minigun, amount: 1	
