[4/18/23 12:18PM] Login. ip: 104.237.0.44, mac: 6538-9483-6332-8943-2760-3185-4420230413173910.000000-300, uuid: 00-15-5D-01-F3-88	
[4/18/23 12:29PM] (CC) Help. Said: Where do i get a pickaxe to afk?	
[4/18/23 12:31PM] (CC) Help. Said: Cant find the explorer lol	
[4/18/23 12:31PM] (CC) Help. Said: There is no explorer at general shop icon	
[4/18/23 12:31PM] DEFAULT|2231,3732,0|Said: Ahh ty	
[4/18/23 12:32PM] (CC) Help. Said: How many afk accs are you allowe to have?	
[4/18/23 12:32PM] (CC) Help. Said: I cant do main and afk both to afk?	
[4/18/23 12:34PM] Gave item in trade to Ishine. Id: 23020, amount: 5	
[4/19/23 08:28AM] Gave item in trade to Ishine. Id: 10946, amount: 5	
[4/19/23 08:48AM] Picked up gr.Item Coin, amount: 1290123	
[4/19/23 08:49AM] Picked up gr.Item Coin, amount: 2998925	
[4/19/23 10:39AM] Login. ip: 104.237.0.44, mac: 6538-9483-6332-8943-2760-3185-4420230413173910.000000-300, uuid: 00-15-5D-01-F3-88	
[4/19/23 11:15AM] Picked up gr.Item Coin, amount: 2310049	
[4/19/23 11:15AM] Picked up gr.Item Lava bones, amount: 25	
[4/19/23 11:16AM] Picked up gr.Item Coin, amount: 4173935	
[4/19/23 11:16AM] Picked up gr.Item Lava bones, amount: 40	
[4/19/23 11:17AM] Picked up gr.Item Lava bones, amount: 100	
[4/19/23 11:17AM] Picked up gr.Item $1 Scroll, amount: 1	
[4/19/23 11:21AM] Picked up gr.Item $1 Scroll, amount: 5	
[4/19/23 11:21AM] Picked up gr.Item Vote scroll, amount: 3	
[4/19/23 11:28AM] Gave item in trade to Ishine. Id: 23020, amount: 3	
[4/19/23 11:28AM] Gave item in trade to Ishine. Id: 10946, amount: 6	
[4/19/23 11:28AM] Gave item in trade to Ishine. Id: 995, amount: 19318411	
[4/19/23 11:43AM] Picked up gr.Item Slayer casket, amount: 3	
[4/19/23 11:43AM] Picked up gr.Item $1 Scroll, amount: 5	
[4/19/23 11:43AM] Picked up gr.Item Vote scroll, amount: 3	
[4/19/23 11:44AM] Picked up gr.Item Coin, amount: 1118652	
[4/19/23 11:44AM] Picked up gr.Item Lava bones, amount: 25	
[4/19/23 11:45AM] Picked up gr.Item Coin, amount: 4283866	
[4/19/23 11:45AM] Picked up gr.Item Lava bones, amount: 40	
[4/19/23 11:46AM] Picked up gr.Item Lava bones, amount: 100	
[4/19/23 11:46AM] Picked up gr.Item $1 Scroll, amount: 1	
[4/19/23 11:47AM] Picked up gr.Item Lava bones, amount: 300	
[4/19/23 11:47AM] Picked up gr.Item $1 Scroll, amount: 2	
[4/19/23 12:15PM] Picked up gr.Item Coin, amount: 2456795	
[4/19/23 12:15PM] Picked up gr.Item Lava bones, amount: 25	
[4/19/23 12:16PM] Picked up gr.Item $1 Scroll, amount: 5	
[4/19/23 12:16PM] Picked up gr.Item Vote scroll, amount: 3	
[4/19/23 12:17PM] Picked up gr.Item Coin, amount: 3791810	
[4/19/23 12:18PM] Picked up gr.Item Lava bones, amount: 100	
[4/19/23 12:18PM] Picked up gr.Item $1 Scroll, amount: 1	
[4/19/23 12:19PM] Picked up gr.Item $1 Scroll, amount: 2	
[4/19/23 12:45PM] Picked up gr.Item Coin, amount: 1387892	
[4/19/23 12:45PM] Picked up gr.Item Lava bones, amount: 25	
[4/19/23 12:46PM] Picked up gr.Item $1 Scroll, amount: 5	
[4/19/23 12:46PM] Picked up gr.Item Vote scroll, amount: 3	
[4/19/23 01:09PM] (CC) Help. Said: King rock ill take the surprise :p	
[4/19/23 01:12PM] DEFAULT|2619,2616,112|Said: Ill take it :d	
[4/19/23 01:12PM] DEFAULT|2619,2616,112|Said: Awww	
[4/19/23 01:15PM] Picked up gr.Item Coin, amount: 2388095	
[4/19/23 01:15PM] Picked up gr.Item Lava bones, amount: 25	
[4/19/23 01:16PM] Picked up gr.Item Coin, amount: 4283417	
[4/19/23 01:16PM] Picked up gr.Item Lava bones, amount: 40	
[4/19/23 01:17PM] Picked up gr.Item Lava bones, amount: 100	
[4/19/23 01:17PM] Picked up gr.Item $1 Scroll, amount: 1	
[4/19/23 01:21PM] Picked up gr.Item $1 Scroll, amount: 5	
[4/19/23 01:21PM] Picked up gr.Item Vote scroll, amount: 3	
[4/19/23 01:23PM] Picked up gr.Item $1 Scroll, amount: 5	
[4/19/23 01:23PM] Picked up gr.Item Vote scroll, amount: 3	
[4/19/23 01:26PM] Gave item in trade to Ishine. Id: 10946, amount: 32	
[4/19/23 01:26PM] Gave item in trade to Ishine. Id: 23020, amount: 15	
[4/19/23 01:26PM] Gave item in trade to Ishine. Id: 995, amount: 19741373	
[4/19/23 01:26PM] Gave item in trade to Ishine. Id: 2023, amount: 1085	
[4/20/23 07:27AM] Login. ip: 104.237.0.44, mac: 6538-9483-6332-8943-2760-3185-4420230413173910.000000-300, uuid: 00-15-5D-01-F3-88	
[4/20/23 07:35AM] Picked up gr.Item $1 Scroll, amount: 5	
[4/20/23 07:35AM] Picked up gr.Item Vote scroll, amount: 3	
[4/20/23 07:51AM] Picked up gr.Item Coin, amount: 1916653	
[4/20/23 07:51AM] Picked up gr.Item Lava bones, amount: 25	
[4/20/23 08:21AM] Picked up gr.Item Coin, amount: 2014430	
[4/20/23 08:21AM] Picked up gr.Item Lava bones, amount: 25	
[4/20/23 08:23AM] Picked up gr.Item Coin, amount: 3993518	
[4/20/23 08:23AM] Picked up gr.Item Lava bones, amount: 40	
[4/20/23 08:51AM] Picked up gr.Item Coin, amount: 1929760	
[4/20/23 08:51AM] Picked up gr.Item Lava bones, amount: 25	
[4/20/23 09:20AM] Picked up gr.Item Coin, amount: 2492514	
[4/20/23 09:20AM] Picked up gr.Item Lava bones, amount: 25	
[4/20/23 09:22AM] Picked up gr.Item Coin, amount: 2080125	
[4/20/23 09:22AM] Picked up gr.Item Lava bones, amount: 40	
[4/20/23 09:23AM] Picked up gr.Item Lava bones, amount: 100	
[4/20/23 09:23AM] Picked up gr.Item $1 Scroll, amount: 1	
[4/20/23 09:24AM] Picked up gr.Item Lava bones, amount: 300	
[4/20/23 09:24AM] Picked up gr.Item $1 Scroll, amount: 2	
[4/20/23 09:25AM] Picked up gr.Item $1 Scroll, amount: 5	
[4/20/23 09:25AM] Picked up gr.Item Vote scroll, amount: 3	
[4/20/23 09:27AM] Picked up gr.Item $1 Scroll, amount: 5	
[4/20/23 09:27AM] Picked up gr.Item Vote scroll, amount: 3	
[4/20/23 09:31AM] Gave item in trade to Ishine. Id: 5020, amount: 327070	
[4/20/23 09:31AM] Gave item in trade to Ishine. Id: 10946, amount: 18	
[4/20/23 09:31AM] Gave item in trade to Ishine. Id: 23020, amount: 10	
[4/20/23 09:51AM] Picked up gr.Item Coin, amount: 1461040	
[4/20/23 09:51AM] Picked up gr.Item Lava bones, amount: 25	
[4/20/23 11:21AM] Picked up gr.Item Coin, amount: 1130980	
[4/20/23 11:21AM] Picked up gr.Item Lava bones, amount: 25	
[4/20/23 11:22AM] Picked up gr.Item Coin, amount: 2307489	
[4/20/23 11:22AM] Picked up gr.Item Lava bones, amount: 40	
[4/20/23 11:23AM] Picked up gr.Item Lava bones, amount: 100	
[4/20/23 11:23AM] Picked up gr.Item $1 Scroll, amount: 1	
[4/20/23 12:20PM] Picked up gr.Item Coin, amount: 1559884	
[4/20/23 12:20PM] Picked up gr.Item Lava bones, amount: 25	
[4/20/23 12:21PM] Picked up gr.Item Coin, amount: 2430851	
[4/20/23 12:22PM] Picked up gr.Item Lava bones, amount: 300	
[4/20/23 12:22PM] Picked up gr.Item $1 Scroll, amount: 2	
[4/20/23 12:23PM] Picked up gr.Item $1 Scroll, amount: 5	
[4/20/23 12:23PM] Picked up gr.Item Vote scroll, amount: 3	
[4/20/23 03:20PM] Picked up gr.Item Coin, amount: 1111247	
[4/20/23 03:20PM] Picked up gr.Item Lava bones, amount: 25	
[4/20/23 03:21PM] Picked up gr.Item Coin, amount: 2110009	
[4/20/23 03:21PM] Picked up gr.Item Lava bones, amount: 40	
[4/20/23 03:22PM] Picked up gr.Item Lava bones, amount: 100	
[4/20/23 03:22PM] Picked up gr.Item $1 Scroll, amount: 1	
[4/20/23 03:23PM] Picked up gr.Item Lava bones, amount: 300	
[4/20/23 03:23PM] Picked up gr.Item $1 Scroll, amount: 2	
[4/20/23 03:25PM] Gave item in trade to Ishine. Id: 10946, amount: 11	
[4/20/23 03:25PM] Gave item in trade to Ishine. Id: 23020, amount: 3	
[4/20/23 03:25PM] Gave item in trade to Ishine. Id: 5020, amount: 112790	
[4/21/23 02:03AM] Login. ip: 104.237.0.44, mac: 6538-9483-6332-8943-2760-3185-4420230413173910.000000-300, uuid: 00-15-5D-01-F3-88	
[4/21/23 02:29AM] Picked up gr.Item $1 Scroll, amount: 5	
[4/21/23 02:29AM] Picked up gr.Item Vote scroll, amount: 3	
[4/21/23 02:34AM] Picked up gr.Item Coin, amount: 2008355	
[4/21/23 02:35AM] Picked up gr.Item Lava bones, amount: 25	
[4/21/23 02:37AM] Picked up gr.Item Coin, amount: 4291917	
[4/21/23 02:39AM] Picked up gr.Item Lava bones, amount: 100	
[4/21/23 02:39AM] Picked up gr.Item $1 Scroll, amount: 1	
[4/21/23 02:40AM] Picked up gr.Item Lava bones, amount: 300	
[4/21/23 02:40AM] Picked up gr.Item $1 Scroll, amount: 2	
[4/21/23 03:07PM] Picked up gr.Item $1 Scroll, amount: 5	
[4/21/23 03:07PM] Picked up gr.Item Vote scroll, amount: 3	
