[4/18/23 01:25PM] Login. ip: 16.170.213.140, mac: ec2fe6e3-de8f-0144-72b1-0379e5fbcc2820230414082258.000000+000, uuid: 0E-60-42-25-27-A4	
[4/18/23 01:28PM] Player dropping item: Starter Defender, amount: 1	
[4/20/23 09:51AM] Picked up gr.Item Lava bones, amount: 25	
[4/20/23 11:18AM] Login. ip: 16.170.213.140, mac: ec2fe6e3-de8f-0144-72b1-0379e5fbcc2820230414082258.000000+000, uuid: 0E-60-42-25-27-A4	
[4/20/23 11:21AM] Picked up gr.Item Coin, amount: 1069555	
[4/20/23 11:21AM] Picked up gr.Item Lava bones, amount: 25	
[4/20/23 11:22AM] Picked up gr.Item Coin, amount: 2213355	
[4/20/23 11:22AM] Picked up gr.Item Lava bones, amount: 40	
[4/20/23 11:23AM] Picked up gr.Item Lava bones, amount: 100	
[4/20/23 11:23AM] Picked up gr.Item $1 Scroll, amount: 2	
[4/20/23 12:20PM] Picked up gr.Item Coin, amount: 2474816	
[4/20/23 12:20PM] Picked up gr.Item Lava bones, amount: 50	
[4/20/23 12:21PM] Picked up gr.Item Coin, amount: 2458378	
[4/20/23 12:22PM] Picked up gr.Item Lava bones, amount: 300	
[4/20/23 12:22PM] Picked up gr.Item $1 Scroll, amount: 2	
[4/20/23 12:23PM] Picked up gr.Item $1 Scroll, amount: 5	
[4/20/23 12:23PM] Picked up gr.Item Vote scroll, amount: 3	
[4/21/23 02:27AM] Login. ip: 13.50.225.43, mac: ec2e7004-5dde-9893-0dc6-1bf9d3c2126220230421071636.000000+000, uuid: 0E-A9-AF-1F-40-08	
[4/21/23 02:29AM] Picked up gr.Item Vote scroll, amount: 3	
[4/21/23 02:29AM] Picked up gr.Item $1 Scroll, amount: 10	
[4/21/23 02:35AM] Picked up gr.Item Lava bones, amount: 25	
[4/21/23 02:37AM] Picked up gr.Item Coin, amount: 2640329	
[4/21/23 02:39AM] Picked up gr.Item Lava bones, amount: 100	
[4/21/23 02:39AM] Picked up gr.Item $1 Scroll, amount: 1	
[4/21/23 02:41AM] Picked up gr.Item Lava bones, amount: 300	
[4/21/23 02:41AM] Picked up gr.Item $1 Scroll, amount: 2	
[4/21/23 02:15PM] Login. ip: 13.50.225.43, mac: ec2e7004-5dde-9893-0dc6-1bf9d3c2126220230421071636.000000+000, uuid: 0E-A9-AF-1F-40-08	
