[4/19/23 01:00PM] Login. ip: 76.156.174.128, mac: CND8056P7820200320062345.000000-360, uuid: A2-D3-7A-D1-7E-91	
[4/19/23 01:05PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 10:41PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 10:41PM] Picked up gr.Item Coin, amount: 2000	
[4/19/23 10:41PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 10:41PM] Picked up gr.Item Lava bones, amount: 2	
[4/19/23 10:41PM] Picked up gr.Item Zinq legs, amount: 1	
[4/19/23 10:41PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 10:42PM] Picked up gr.Item Coin, amount: 2000	
[4/19/23 10:42PM] Picked up gr.Item Lava bones, amount: 3	
[4/19/23 10:42PM] Picked up gr.Item Lava bones, amount: 3	
[4/19/23 10:43PM] Picked up gr.Item Coin, amount: 2000	
[4/19/23 10:43PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 10:44PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 10:45PM] Picked up gr.Item Coin, amount: 600	
[4/19/23 10:45PM] Picked up gr.Item Lava bones, amount: 4	
[4/19/23 10:46PM] Picked up gr.Item Lava bones, amount: 15	
[4/19/23 10:46PM] Picked up gr.Item Coin, amount: 6000	
[4/19/23 10:47PM] Picked up gr.Item Lava bones, amount: 12	
[4/19/23 10:47PM] Picked up gr.Item Coin, amount: 4800	
[4/19/23 10:49PM] Picked up gr.Item Coin, amount: 2400	
[4/19/23 10:49PM] Picked up gr.Item Lava bones, amount: 13	
[4/19/23 10:51PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 10:51PM] Picked up gr.Item Coin, amount: 600	
[4/19/23 10:54PM] Player dropping item: Starter Blade, amount: 1	
[4/19/23 10:58PM] Picked up gr.Item Coin, amount: 2100	
[4/19/23 10:58PM] Picked up gr.Item Lava bones, amount: 9	
[4/19/23 10:58PM] Picked up gr.Item Coin, amount: 1400	
[4/19/23 10:58PM] Picked up gr.Item Coin, amount: 700	
[4/19/23 10:58PM] Picked up gr.Item Lava bones, amount: 2	
[4/19/23 11:00PM] Picked up gr.Item Coin, amount: 2400	
[4/19/23 11:00PM] Picked up gr.Item Lava bones, amount: 5	
[4/19/23 11:02PM] Picked up gr.Item Coin, amount: 1600	
[4/19/23 11:02PM] Picked up gr.Item Lava bones, amount: 5	
[4/19/23 11:03PM] Picked up gr.Item Imperial ring, amount: 1	
[4/19/23 11:04PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 11:06PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 11:09PM] Picked up gr.Item Coin, amount: 800	
[4/19/23 11:09PM] Picked up gr.Item Lava bones, amount: 2	
[4/19/23 11:16PM] Picked up gr.Item Imperial legs, amount: 1	
[4/19/23 11:22PM] Picked up gr.Item Imperial body, amount: 1	
[4/19/23 11:23PM] Picked up gr.Item Imperial Box, amount: 1	
[4/19/23 11:23PM] Picked up gr.Item Imperial Box, amount: 1	
[4/19/23 11:23PM] Picked up gr.Item Lava bones, amount: 16	
[4/19/23 11:24PM] Picked up gr.Item Imperial ring, amount: 1	
[4/19/23 11:25PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 11:32PM] Picked up gr.Item Revenant Helm, amount: 1	
[4/19/23 11:33PM] Picked up gr.Item Coin, amount: 1000	
[4/19/23 11:49PM] Picked up gr.Item Coin, amount: 1500	
[4/19/23 11:50PM] Picked up gr.Item Coin, amount: 3000	
[4/19/23 11:51PM] Picked up gr.Item Coin, amount: 1500	
[4/19/23 11:52PM] Picked up gr.Item Coin, amount: 1500	
[4/20/23 12:03AM] Picked up gr.Item Coin, amount: 4000	
[4/20/23 12:10AM] Picked up gr.Item Zinq boots, amount: 1	
[4/20/23 12:21AM] Picked up gr.Item Lava bones, amount: 25	
[4/20/23 12:29AM] Picked up gr.Item Zinq helm, amount: 1	
[4/20/23 12:29AM] Picked up gr.Item Zinq helm, amount: 1	
[4/20/23 12:43AM] Picked up gr.Item Coin, amount: 700	
[4/20/23 12:47AM] Picked up gr.Item Imperial gloves, amount: 1	
[4/20/23 12:47AM] Picked up gr.Item Imperial gloves, amount: 1	
[4/20/23 12:51AM] Picked up gr.Item Coin, amount: 2046322	
[4/20/23 12:51AM] Picked up gr.Item Lava bones, amount: 25	
[4/20/23 12:53AM] Picked up gr.Item Imperial Box, amount: 1	
[4/20/23 12:56AM] Player dropping item: Imperial Minigun, amount: 1	
[4/20/23 12:56AM] Player dropping item: Imperial Minigun, amount: 1	
[4/20/23 01:01AM] Login. ip: 76.156.174.128, mac: CND8056P7820200320062345.000000-360, uuid: A2-D3-7A-D1-7E-91	
[4/21/23 01:28AM] Login. ip: 76.156.174.128, mac: CND8056P7820200320062345.000000-360, uuid: A2-D3-7A-D1-7E-91	
[4/21/23 01:30AM] Picked up gr.Item Coin, amount: 2400	
[4/21/23 01:31AM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 01:35AM] Picked up gr.Item Lava bones, amount: 50	
[4/21/23 01:38AM] Picked up gr.Item Coin, amount: 4251866	
[4/21/23 01:38AM] Picked up gr.Item Lava bones, amount: 80	
[4/21/23 01:41AM] Receiving item from trade with Neff Id: 17686, amount: 1	
[4/21/23 01:41AM] Receiving item from trade with Neff Id: 22123, amount: 1	
[4/21/23 01:41AM] TRAININZONEMULTI|2533,2527,4|Said: Thx 	
[4/21/23 01:41AM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 01:42AM] Receiving item from trade with Neff Id: 23145, amount: 1	
[4/21/23 01:42AM] TRAININZONEMULTI|2534,2530,4|Said: Thx and ok 	
[4/21/23 01:51AM] Picked up gr.Item Coin, amount: 3000	
[4/21/23 01:55AM] Has just redeemed a Donator rank ticket successfully!	
[4/21/23 01:55AM] Login. ip: 76.156.174.128, mac: CND8056P7820200320062345.000000-360, uuid: A2-D3-7A-D1-7E-91	
[4/21/23 02:08AM] Picked up gr.Item Lava bones, amount: 25	
[4/21/23 02:19AM] Player dropping item: Imperial Minigun, amount: 1	
[4/21/23 02:27AM] Picked up gr.Item Lava bones, amount: 4	
[4/21/23 02:29AM] Picked up gr.Item Coin, amount: 1500	
[4/21/23 02:30AM] Picked up gr.Item Lava bones, amount: 4	
[4/21/23 02:34AM] Picked up gr.Item Lava bones, amount: 25	
[4/21/23 02:34AM] GLOBAL_BOSS|2139,5018,8|Said: -::ninetails	
[4/21/23 02:37AM] Picked up gr.Item Coin, amount: 4355351	
[4/21/23 02:37AM] Picked up gr.Item Lava bones, amount: 40	
[4/21/23 02:39AM] Picked up gr.Item Lava bones, amount: 100	
[4/21/23 02:39AM] Picked up gr.Item $1 Scroll, amount: 2	
[4/21/23 02:39AM] Has just redeemed a $1 Scroll successfully!	
[4/21/23 02:39AM] Has just redeemed a $1 Scroll successfully!	
[4/21/23 02:40AM] Picked up gr.Item Lava bones, amount: 600	
[4/21/23 02:40AM] Picked up gr.Item $1 Scroll, amount: 4	
[4/21/23 02:40AM] Has just redeemed a $1 Scroll successfully!	
[4/21/23 02:40AM] Has just redeemed a $1 Scroll successfully!	
[4/21/23 02:47AM] Picked up gr.Item Coin, amount: 1500	
[4/21/23 02:47AM] Picked up gr.Item Coin, amount: 1500	
[4/21/23 02:48AM] Picked up gr.Item Coin, amount: 1500	
[4/21/23 12:19PM] Login. ip: 76.156.174.128, mac: CND8056P7820200320062345.000000-360, uuid: A2-D3-7A-D1-7E-91	
[4/21/23 12:20PM] Picked up gr.Item Lava bones, amount: 10	
[4/21/23 12:23PM] Picked up gr.Item Lava bones, amount: 2	
[4/21/23 12:23PM] Picked up gr.Item Coin, amount: 1500	
[4/21/23 12:25PM] Player dropping item: Mystic boots, amount: 1	
[4/21/23 12:25PM] Player dropping item: Mystic helm, amount: 1	
[4/21/23 12:25PM] Player dropping item: Mystic legs, amount: 1	
[4/21/23 12:25PM] Picked up gr.Item Mystic boots, amount: 1	
[4/21/23 12:25PM] Picked up gr.Item Mystic helm, amount: 1	
[4/21/23 12:25PM] Picked up gr.Item Mystic legs, amount: 1	
[4/21/23 12:27PM] Has just redeemed a $10 Bond successfully!	
[4/21/23 12:28PM] Picked up gr.Item Coin, amount: 1500	
[4/21/23 12:29PM] Picked up gr.Item Lava bones, amount: 2	
[4/21/23 12:31PM] Picked up gr.Item Coin, amount: 3000	
[4/21/23 12:31PM] Picked up gr.Item Lava bones, amount: 4	
[4/21/23 12:34PM] Picked up gr.Item Coin, amount: 1351152	
[4/21/23 12:34PM] Picked up gr.Item Lava bones, amount: 50	
[4/21/23 12:35PM] Picked up gr.Item Lava bones, amount: 40	
[4/21/23 12:36PM] Picked up gr.Item Lava bones, amount: 200	
[4/21/23 12:36PM] Picked up gr.Item $1 Scroll, amount: 1	
[4/21/23 12:39PM] Picked up gr.Item Coin, amount: 3000	
[4/21/23 12:40PM] Picked up gr.Item Coin, amount: 3000	
[4/21/23 12:41PM] Picked up gr.Item Coin, amount: 1500	
[4/21/23 12:41PM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 12:42PM] Picked up gr.Item Coin, amount: 1500	
[4/21/23 12:42PM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 12:43PM] Picked up gr.Item Coin, amount: 3000	
[4/21/23 12:46PM] TRAINING_ROCK_CRAB|2706,4754,40|Said: Clic examine	
[4/21/23 12:46PM] TRAINING_ROCK_CRAB|2706,4754,40|Said: Could also look on achievements tab for kc kills at the bottom 	
[4/21/23 12:47PM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 12:48PM] Picked up gr.Item Lava bones, amount: 6	
[4/21/23 12:48PM] Picked up gr.Item Coin, amount: 1500	
[4/21/23 12:50PM] Picked up gr.Item Coin, amount: 1500	
[4/21/23 12:50PM] Picked up gr.Item Coin, amount: 1500	
[4/21/23 12:51PM] Picked up gr.Item Lava bones, amount: 2	
[4/21/23 12:52PM] Picked up gr.Item Coin, amount: 1500	
[4/21/23 12:53PM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 12:55PM] Player dropping item: Imperial Minigun, amount: 1	
[4/21/23 12:55PM] Has just redeemed a $1 Scroll successfully!	
[4/21/23 12:55PM] Picked up gr.Item Lava bones, amount: 2	
[4/21/23 12:55PM] Picked up gr.Item Imperial Minigun, amount: 1	
[4/21/23 12:56PM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 12:59PM] Picked up gr.Item Coin, amount: 1500	
[4/21/23 01:00PM] Picked up gr.Item Coin, amount: 1500	
[4/21/23 01:00PM] Picked up gr.Item Coin, amount: 1500	
[4/21/23 01:00PM] Picked up gr.Item Coin, amount: 4500	
[4/21/23 01:04PM] Picked up gr.Item Coin, amount: 1924212	
[4/21/23 01:04PM] Picked up gr.Item Lava bones, amount: 25	
[4/21/23 01:23PM] Picked up gr.Item Coin, amount: 2000	
[4/21/23 01:29PM] Player dropping item: Imperial Minigun, amount: 1	
[4/21/23 01:32PM] TRAININZONEMULTI|2535,2515,8|Said: '::veigar	
[4/21/23 01:50PM] TRAININZONEMULTI|2535,2512,8|Said: :bank	
[4/21/23 01:50PM] TRAININZONEMULTI|2535,2512,8|Said: :bank	
[4/21/23 07:17PM] Player dropping item: Vial, amount: 1	
[4/21/23 07:30PM] Player dropping item: Vial, amount: 1	
[4/21/23 11:16PM] Player dropping item: Vial, amount: 1	
[4/22/23 02:21AM] Has just redeemed a $10 Bond successfully!	
[4/22/23 02:25AM] Player dropping item: Vial, amount: 1	
[4/22/23 02:39AM] Has just redeemed a $1 Scroll successfully!	
[4/22/23 10:39AM] Has just redeemed a $1 Scroll successfully!	
[4/22/23 10:40AM] Has just redeemed a $1 Scroll successfully!	
[4/22/23 10:40AM] Login. ip: 76.156.174.128, mac: CND8056P7820200320062345.000000-360, uuid: A2-D3-7A-D1-7E-91	
