[4/19/23 12:10PM] Login. ip: 92.10.59.124, mac: 20221202151641.000000+000, uuid: 40-B0-76-61-09-BF	
[4/19/23 12:16PM] Picked up gr.Item $1 Scroll, amount: 5	
[4/19/23 12:28PM] Picked up gr.Item Coin, amount: 800	
[4/19/23 12:28PM] Picked up gr.Item Coin, amount: 800	
[4/19/23 12:28PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 12:28PM] Picked up gr.Item Coin, amount: 800	
[4/19/23 12:28PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 12:28PM] Picked up gr.Item Coin, amount: 800	
[4/19/23 12:28PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 12:29PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 12:29PM] Picked up gr.Item Coin, amount: 800	
[4/19/23 12:29PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 12:29PM] Picked up gr.Item Coin, amount: 800	
[4/19/23 12:29PM] Picked up gr.Item Coin, amount: 800	
[4/19/23 12:29PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 12:29PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 12:29PM] Picked up gr.Item Coin, amount: 800	
[4/19/23 12:29PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 12:29PM] Picked up gr.Item Coin, amount: 800	
[4/19/23 12:29PM] Picked up gr.Item Coin, amount: 800	
[4/19/23 12:29PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 12:29PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 12:30PM] Picked up gr.Item Coin, amount: 800	
[4/19/23 12:30PM] Picked up gr.Item Lava bones, amount: 2	
[4/19/23 12:30PM] Picked up gr.Item Coin, amount: 1600	
[4/19/23 12:30PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 12:30PM] Picked up gr.Item Coin, amount: 800	
[4/19/23 12:30PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 12:30PM] Picked up gr.Item Coin, amount: 800	
[4/19/23 12:31PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 12:31PM] Picked up gr.Item Coin, amount: 800	
[4/19/23 12:31PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 12:32PM] Picked up gr.Item Coin, amount: 800	
[4/19/23 12:32PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 12:32PM] Picked up gr.Item Coin, amount: 800	
[4/19/23 12:32PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 12:32PM] Picked up gr.Item Coin, amount: 800	
[4/19/23 12:32PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 12:32PM] Picked up gr.Item Imperial Box, amount: 1	
[4/19/23 12:32PM] Picked up gr.Item Coin, amount: 800	
[4/19/23 12:32PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 12:32PM] Picked up gr.Item Coin, amount: 800	
[4/19/23 12:33PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 12:33PM] Picked up gr.Item Coin, amount: 700	
[4/19/23 12:33PM] Picked up gr.Item Coin, amount: 700	
[4/19/23 12:33PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 12:33PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 12:33PM] Picked up gr.Item Coin, amount: 700	
[4/19/23 12:33PM] Picked up gr.Item Coin, amount: 700	
[4/19/23 12:33PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 12:34PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 12:34PM] Picked up gr.Item Coin, amount: 700	
[4/19/23 12:34PM] Picked up gr.Item Coin, amount: 2100	
[4/19/23 12:34PM] Picked up gr.Item Lava bones, amount: 3	
[4/19/23 12:34PM] Picked up gr.Item Lava bones, amount: 2	
[4/19/23 12:34PM] Picked up gr.Item Coin, amount: 1400	
[4/19/23 12:34PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 12:34PM] Picked up gr.Item Coin, amount: 700	
[4/19/23 12:34PM] Picked up gr.Item Coin, amount: 700	
[4/19/23 12:34PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 12:34PM] Picked up gr.Item Coin, amount: 700	
[4/19/23 12:34PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 12:34PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 12:34PM] Picked up gr.Item Coin, amount: 700	
[4/19/23 12:34PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 12:34PM] Picked up gr.Item Coin, amount: 700	
[4/19/23 12:35PM] Picked up gr.Item Coin, amount: 700	
[4/19/23 12:35PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 12:35PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 12:35PM] Picked up gr.Item Coin, amount: 700	
[4/19/23 12:35PM] Picked up gr.Item Coin, amount: 700	
[4/19/23 12:35PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 12:36PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 12:36PM] Picked up gr.Item Coin, amount: 700	
[4/19/23 12:37PM] Picked up gr.Item Coin, amount: 700	
[4/19/23 12:37PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 12:37PM] Picked up gr.Item Coin, amount: 2100	
[4/19/23 12:37PM] Picked up gr.Item Lava bones, amount: 3	
[4/19/23 12:37PM] Picked up gr.Item Coin, amount: 700	
[4/19/23 12:37PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 12:37PM] Picked up gr.Item Coin, amount: 1400	
[4/19/23 12:37PM] Picked up gr.Item Lava bones, amount: 2	
[4/19/23 12:37PM] Picked up gr.Item Coin, amount: 700	
[4/19/23 12:37PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 12:37PM] Picked up gr.Item Coin, amount: 700	
[4/19/23 12:37PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 12:37PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 12:37PM] Picked up gr.Item Coin, amount: 700	
[4/19/23 12:37PM] Picked up gr.Item Coin, amount: 700	
[4/19/23 12:37PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 12:37PM] Picked up gr.Item Coin, amount: 700	
[4/19/23 12:37PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 12:41PM] (CC) Help. Said: Anyone sell coll ?	
[4/19/23 12:43PM] Picked up gr.Item Starter Amulet, amount: 1	
[4/19/23 12:45PM] Player dropping item: Starter Amulet, amount: 1	
[4/19/23 12:46PM] Picked up gr.Item $1 Scroll, amount: 5	
[4/19/23 12:46PM] Picked up gr.Item Vote scroll, amount: 3	
[4/19/23 12:46PM] Has just redeemed a $1 Scroll successfully!	
[4/19/23 12:49PM] Picked up gr.Item Coin, amount: 2000	
[4/19/23 12:50PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 12:51PM] (CC) Help. Said: Anyone sell collector?	
[4/19/23 12:53PM] (CC) Help. Said: Idk	
[4/19/23 12:56PM] Picked up gr.Item Coin, amount: 2000	
[4/19/23 12:56PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 12:56PM] Picked up gr.Item Coin, amount: 2000	
[4/19/23 12:56PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 12:56PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 12:56PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 12:56PM] Picked up gr.Item Coin, amount: 2000	
[4/19/23 12:56PM] Picked up gr.Item Coin, amount: 2000	
[4/19/23 12:56PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 12:57PM] Picked up gr.Item Coin, amount: 2000	
[4/19/23 12:57PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 12:57PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 12:57PM] Picked up gr.Item Coin, amount: 2000	
[4/19/23 12:57PM] Picked up gr.Item Coin, amount: 2000	
[4/19/23 12:57PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 12:57PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 12:58PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 12:58PM] Picked up gr.Item Coin, amount: 2000	
[4/19/23 12:58PM] Picked up gr.Item Coin, amount: 2000	
[4/19/23 12:58PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 12:58PM] TRAININZONEMULTI|2534,2520,4|Said: Thankk you	
[4/19/23 12:58PM] Receiving item from trade with Rsps2 Id: 23039, amount: 1	
[4/19/23 12:58PM] Receiving item from trade with Rsps2 Id: 21062, amount: 1	
[4/19/23 12:58PM] Receiving item from trade with Rsps2 Id: 23135, amount: 1	
[4/19/23 12:58PM] Receiving item from trade with Rsps2 Id: 21071, amount: 1	
[4/19/23 12:58PM] Receiving item from trade with Rsps2 Id: 23054, amount: 1	
[4/19/23 12:58PM] Receiving item from trade with Rsps2 Id: 13305, amount: 1	
[4/19/23 12:58PM] Receiving item from trade with Rsps2 Id: 23034, amount: 1	
[4/19/23 12:58PM] Receiving item from trade with Rsps2 Id: 23036, amount: 1	
[4/19/23 12:58PM] TRAININZONEMULTI|2534,2520,4|Said: :)	
[4/19/23 12:58PM] Picked up gr.Item Coin, amount: 2000	
[4/19/23 12:58PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 12:58PM] TRAININZONEMULTI|2535,2520,4|Said: Ty	
[4/19/23 01:00PM] PROGRESSION_ZONES|3041,10279,0|Said: Trade	
[4/19/23 01:01PM] PROGRESSION_ZONES|3041,10279,0|Said: Can u trade?	
[4/19/23 01:02PM] Gave item in trade to Markwhite93. Id: 20089, amount: 1	
[4/19/23 01:02PM] Gave item in trade to Markwhite93. Id: 18750, amount: 1	
[4/19/23 01:02PM] PROGRESSION_ZONES|3041,10279,0|Said: Np 	
[4/19/23 01:02PM] Picked up gr.Item Lava bones, amount: 2	
[4/19/23 01:03PM] Picked up gr.Item Coin, amount: 2000	
[4/19/23 01:03PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 01:03PM] Picked up gr.Item Lava bones, amount: 2	
[4/19/23 01:03PM] Picked up gr.Item Lava bones, amount: 2	
[4/19/23 01:04PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 01:04PM] Picked up gr.Item Coin, amount: 2000	
[4/19/23 01:04PM] Picked up gr.Item Coin, amount: 2000	
[4/19/23 01:04PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 01:04PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 01:04PM] Picked up gr.Item Coin, amount: 2000	
[4/19/23 01:04PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 01:04PM] Picked up gr.Item Coin, amount: 2000	
[4/19/23 01:04PM] Picked up gr.Item Lava bones, amount: 2	
[4/19/23 01:04PM] Picked up gr.Item Coin, amount: 2000	
[4/19/23 01:04PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 01:04PM] Picked up gr.Item Lava bones, amount: 2	
[4/19/23 01:04PM] Picked up gr.Item Coin, amount: 2000	
[4/19/23 01:04PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 01:05PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 01:05PM] Picked up gr.Item Coin, amount: 2000	
[4/19/23 01:05PM] Picked up gr.Item Coin, amount: 2000	
[4/19/23 01:05PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 01:05PM] Picked up gr.Item Coin, amount: 2000	
[4/19/23 01:05PM] Picked up gr.Item Lava bones, amount: 2	
[4/19/23 01:05PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 01:05PM] Picked up gr.Item Coin, amount: 2000	
[4/19/23 01:05PM] Picked up gr.Item Coin, amount: 2000	
[4/19/23 01:05PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 01:05PM] Picked up gr.Item Lava bones, amount: 2	
[4/19/23 01:06PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 01:06PM] Picked up gr.Item Coin, amount: 600	
[4/19/23 01:06PM] Picked up gr.Item Coin, amount: 600	
[4/19/23 01:06PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 01:06PM] Picked up gr.Item Coin, amount: 600	
[4/19/23 01:06PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 01:06PM] Picked up gr.Item Lava bones, amount: 2	
[4/19/23 01:06PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 01:06PM] Picked up gr.Item Coin, amount: 600	
[4/19/23 01:07PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 01:07PM] Picked up gr.Item Coin, amount: 600	
[4/19/23 01:07PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 01:07PM] Picked up gr.Item Coin, amount: 600	
[4/19/23 01:07PM] Picked up gr.Item Lava bones, amount: 2	
[4/19/23 01:07PM] Picked up gr.Item Coin, amount: 600	
[4/19/23 01:07PM] Picked up gr.Item Lava bones, amount: 2	
[4/19/23 01:07PM] Picked up gr.Item Coin, amount: 1200	
[4/19/23 01:07PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 01:07PM] Picked up gr.Item Coin, amount: 600	
[4/19/23 01:07PM] Picked up gr.Item Coin, amount: 600	
[4/19/23 01:07PM] Picked up gr.Item Lava bones, amount: 2	
[4/19/23 01:07PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 01:07PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 01:07PM] Picked up gr.Item Coin, amount: 600	
[4/19/23 01:07PM] Picked up gr.Item Coin, amount: 600	
[4/19/23 01:08PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 01:08PM] Picked up gr.Item Coin, amount: 600	
[4/19/23 01:08PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 01:08PM] Picked up gr.Item Coin, amount: 600	
[4/19/23 01:08PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 01:08PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 01:08PM] Picked up gr.Item Coin, amount: 600	
[4/19/23 01:08PM] Picked up gr.Item Lava bones, amount: 2	
[4/19/23 01:08PM] Picked up gr.Item Coin, amount: 600	
[4/19/23 01:08PM] Gave item in trade to Zane Rosse. Id: 20087, amount: 1	
[4/19/23 01:09PM] PROGRESSION_ZONES|3039,10277,0|Said: Np	
[4/19/23 01:09PM] Picked up gr.Item Coin, amount: 600	
[4/19/23 01:09PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 01:10PM] Picked up gr.Item Coin, amount: 600	
[4/19/23 01:10PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 01:10PM] Picked up gr.Item Coin, amount: 600	
[4/19/23 01:10PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 01:10PM] Picked up gr.Item Lava bones, amount: 2	
[4/19/23 01:10PM] Picked up gr.Item Coin, amount: 600	
[4/19/23 01:10PM] Picked up gr.Item Coin, amount: 600	
[4/19/23 01:10PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 01:10PM] Picked up gr.Item Lava bones, amount: 2	
[4/19/23 01:10PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 01:10PM] Picked up gr.Item Coin, amount: 600	
[4/19/23 01:10PM] Picked up gr.Item Lava bones, amount: 2	
[4/19/23 01:10PM] Picked up gr.Item Coin, amount: 600	
[4/19/23 01:10PM] Picked up gr.Item Lava bones, amount: 2	
[4/19/23 01:10PM] Picked up gr.Item Coin, amount: 600	
[4/19/23 01:11PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 01:11PM] Picked up gr.Item Coin, amount: 600	
[4/19/23 01:11PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 01:11PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 01:11PM] Picked up gr.Item Coin, amount: 600	
[4/19/23 01:11PM] Picked up gr.Item Coin, amount: 600	
[4/19/23 01:11PM] Picked up gr.Item Lava bones, amount: 2	
[4/19/23 01:11PM] Picked up gr.Item Lava bones, amount: 2	
[4/19/23 01:11PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 01:11PM] Picked up gr.Item Coin, amount: 600	
[4/19/23 01:11PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 01:12PM] Picked up gr.Item Coin, amount: 600	
[4/19/23 01:12PM] Picked up gr.Item Lava bones, amount: 2	
[4/19/23 01:12PM] Picked up gr.Item Coin, amount: 600	
[4/19/23 01:12PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 01:12PM] Picked up gr.Item Coin, amount: 600	
[4/19/23 01:12PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 01:12PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 01:12PM] Picked up gr.Item Coin, amount: 600	
[4/19/23 01:13PM] Gave item in trade to Xcrystalx. Id: 20092, amount: 1	
[4/19/23 01:13PM] Gave item in trade to Xcrystalx. Id: 20086, amount: 1	
[4/19/23 01:14PM] GLOBAL_BOSS|2139,5018,8|Said: Gl	
[4/19/23 01:15PM] Picked up gr.Item Lava bones, amount: 25	
[4/19/23 01:15PM] Picked up gr.Item Lava bones, amount: 40	
[4/19/23 01:16PM] Picked up gr.Item Lava bones, amount: 200	
[4/19/23 01:16PM] Picked up gr.Item $1 Scroll, amount: 1	
[4/19/23 01:17PM] Has just redeemed a $1 Scroll successfully!	
[4/19/23 03:42PM] GLOBAL_BOSS|2142,5013,8|Said: No sry	
[4/19/23 03:45PM] Picked up gr.Item Lava bones, amount: 25	
[4/19/23 03:46PM] (CC) Help. Said: Buying collector ammy 	
[4/19/23 03:46PM] (CC) Help. Said: Someone sell coll ammy?	
[4/19/23 03:47PM] Picked up gr.Item Lava bones, amount: 2	
[4/19/23 03:47PM] Picked up gr.Item Coin, amount: 800	
[4/19/23 03:47PM] Picked up gr.Item Lava bones, amount: 3	
[4/19/23 03:47PM] Picked up gr.Item Coin, amount: 1600	
[4/19/23 03:47PM] Picked up gr.Item Lava bones, amount: 2	
[4/19/23 03:47PM] Picked up gr.Item Coin, amount: 800	
[4/19/23 03:47PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 03:47PM] Picked up gr.Item Coin, amount: 800	
[4/19/23 03:47PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 03:47PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 03:47PM] Picked up gr.Item Coin, amount: 800	
[4/19/23 03:47PM] Picked up gr.Item Lava bones, amount: 2	
[4/19/23 03:47PM] Picked up gr.Item Coin, amount: 800	
[4/19/23 03:48PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 03:48PM] Picked up gr.Item Coin, amount: 800	
[4/19/23 03:48PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 03:48PM] Picked up gr.Item Coin, amount: 800	
[4/19/23 03:48PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 03:48PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 03:48PM] Picked up gr.Item Lava bones, amount: 2	
[4/19/23 03:48PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 03:48PM] Picked up gr.Item Coin, amount: 800	
[4/19/23 03:48PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 03:48PM] Picked up gr.Item Coin, amount: 800	
[4/19/23 03:48PM] Picked up gr.Item Lava bones, amount: 2	
[4/19/23 03:48PM] Picked up gr.Item Coin, amount: 800	
[4/19/23 03:49PM] Picked up gr.Item Lava bones, amount: 2	
[4/19/23 03:49PM] Picked up gr.Item Lava bones, amount: 2	
[4/19/23 03:49PM] Picked up gr.Item Coin, amount: 800	
[4/19/23 03:49PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 03:49PM] Picked up gr.Item Coin, amount: 800	
[4/19/23 03:49PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 03:49PM] Picked up gr.Item Coin, amount: 800	
[4/19/23 03:49PM] Picked up gr.Item Lava bones, amount: 2	
[4/19/23 03:49PM] Picked up gr.Item Coin, amount: 800	
[4/19/23 03:49PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 03:49PM] Picked up gr.Item Coin, amount: 800	
[4/19/23 03:49PM] Picked up gr.Item Coin, amount: 800	
[4/19/23 03:49PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 03:49PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 03:49PM] Picked up gr.Item Coin, amount: 800	
[4/19/23 03:49PM] Picked up gr.Item Lava bones, amount: 2	
[4/19/23 03:49PM] Picked up gr.Item Coin, amount: 1600	
[4/19/23 03:49PM] Picked up gr.Item Lava bones, amount: 2	
[4/19/23 03:49PM] Picked up gr.Item Coin, amount: 800	
[4/19/23 03:50PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 03:50PM] Picked up gr.Item Coin, amount: 800	
[4/19/23 03:50PM] Picked up gr.Item Coin, amount: 800	
[4/19/23 03:50PM] Picked up gr.Item Lava bones, amount: 2	
[4/19/23 03:50PM] Picked up gr.Item Coin, amount: 800	
[4/19/23 03:50PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 03:50PM] Picked up gr.Item Imperial amulet, amount: 1	
[4/19/23 03:50PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 03:50PM] Picked up gr.Item Coin, amount: 800	
[4/19/23 03:50PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 03:50PM] Picked up gr.Item Lava bones, amount: 2	
[4/19/23 03:51PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 03:51PM] Picked up gr.Item Coin, amount: 800	
[4/19/23 03:51PM] Picked up gr.Item Coin, amount: 800	
[4/19/23 03:51PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 03:51PM] Picked up gr.Item Coin, amount: 800	
[4/19/23 03:51PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 03:51PM] Picked up gr.Item Coin, amount: 800	
[4/19/23 03:51PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 03:52PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 03:52PM] Picked up gr.Item Coin, amount: 900	
[4/19/23 03:52PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 03:52PM] Picked up gr.Item Lava bones, amount: 2	
[4/19/23 03:52PM] Picked up gr.Item Coin, amount: 900	
[4/19/23 03:52PM] Picked up gr.Item Coin, amount: 900	
[4/19/23 03:52PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 03:52PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 03:52PM] Picked up gr.Item Lava bones, amount: 2	
[4/19/23 03:53PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 03:53PM] Picked up gr.Item Coin, amount: 900	
[4/19/23 03:53PM] Picked up gr.Item Imperial Box, amount: 1	
[4/19/23 03:53PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 03:53PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 03:53PM] Picked up gr.Item Coin, amount: 900	
[4/19/23 03:53PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 03:53PM] Picked up gr.Item Coin, amount: 900	
[4/19/23 03:53PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 03:53PM] Picked up gr.Item Coin, amount: 900	
[4/19/23 03:53PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 03:53PM] Picked up gr.Item Coin, amount: 900	
[4/19/23 03:53PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 03:53PM] Picked up gr.Item Coin, amount: 900	
[4/19/23 03:53PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 03:54PM] Picked up gr.Item Coin, amount: 1800	
[4/19/23 03:54PM] Picked up gr.Item Lava bones, amount: 3	
[4/19/23 03:54PM] Picked up gr.Item Coin, amount: 900	
[4/19/23 03:54PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 03:54PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 03:54PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 03:54PM] Picked up gr.Item Coin, amount: 900	
