[4/15/23 02:35PM] Login. ip: 98.56.86.198, mac: 25FJ9N220221215185414.000000-300, uuid: 5E-EA-1D-6E-B1-A7	
[4/15/23 02:39PM] Picked up gr.Item EXP Potion (Divine), amount: 1	
[4/22/23 09:52PM] VBOSS|2981,2769,0|Said: Selling $5 300k	
[4/22/23 09:52PM] Player dropping item: Vial, amount: 1	
[4/22/23 09:53PM] VBOSS|2982,2769,0|Said: Selling $10 600k	
[4/22/23 09:54PM] VBOSS|2982,2769,0|Said: Selling $10 600k	
[4/22/23 09:58PM] DEFAULT|2210,3766,0|Said: Selling $10 500k	
[4/22/23 09:58PM] Player sold 10946 x 10 to Bulba for 500000 Billions in their pos shop	
[4/22/23 09:58PM] Played claimed 500K Billions from pos	
[4/22/23 09:59PM] Player bought 22143 x 1 from A Fatality's pos shop for 200000 Billions	
[4/22/23 09:59PM] Player bought 22142 x 1 from A Fatality's pos shop for 200000 Billions	
[4/22/23 10:01PM] Player sold 23020 x 3 to Scary Terry for 120000 Billions in their pos shop	
[4/22/23 10:02PM] Player dropping item: Vial, amount: 1	
[4/22/23 10:10PM] Has just redeemed a $10 Bond successfully!	
[4/22/23 10:13PM] Player dropping item: Vial, amount: 1	
[4/22/23 10:25PM] Player dropping item: Vial, amount: 1	
[4/22/23 10:36PM] Played claimed 120K Billions from pos	
[4/22/23 10:38PM] Player dropping item: Vial, amount: 1	
[4/22/23 10:38PM] Player dropping item: Imperial Minigun, amount: 1	
[4/22/23 10:38PM] Player dropping item: Imperial Minigun, amount: 1	
[4/22/23 10:39PM] Player sold 10946 x 2 to Jroc for 100000 Billions in their pos shop	
[4/22/23 11:12PM] Played claimed 100K Billions from pos	
[4/22/23 11:14PM] Player bought 2023 x 3000 from A Fatality's pos shop for 60000 Billions	
[4/22/23 11:15PM] Player bought 22139 x 1 from A Fatality's pos shop for 165000 Billions	
[4/22/23 11:15PM] Player bought 22141 x 1 from A Fatality's pos shop for 165000 Billions	
[4/23/23 01:04AM] Player bought 2023 x 17 from A Fatality's pos shop for 340 Billions	
[4/23/23 01:04AM] Player bought 2023 x 900 from A Fatality's pos shop for 18000 Billions	
[4/23/23 06:49AM] Login. ip: 98.56.86.198, mac: 25FJ9N220221215185414.000000-300, uuid: 5E-EA-1D-6E-B1-A7	
[4/23/23 06:50AM] Login. ip: 98.56.86.198, mac: 25FJ9N220221215185414.000000-300, uuid: 5E-EA-1D-6E-B1-A7	
[4/23/23 07:32AM] Dead received x1 Antique Gloves from Avalon!	
[4/23/23 07:46AM] Dead received x1 Antique Sword from Eragon!	
[4/23/23 08:09AM] Player sold 23020 x 3 to A Fatality for 120000 Billions in their pos shop	
[4/23/23 08:12AM] Player sold 10946 x 6 to A Fatality for 360000 Billions in their pos shop	
[4/23/23 08:13AM] (CC) Help. Said: Lmao	
[4/23/23 08:27AM] Dead received x1 Doom Body from Doomwatcher!	
[4/23/23 08:49AM] Dead received x1 Maze Helm from Maze Guardian!	
[4/23/23 08:57AM] Dead received x1 Maze Legs from Maze Guardian!	
[4/23/23 09:01AM] Dead received x1 Unknown Mace from Miscreation!	
[4/23/23 09:06AM] Dead received x1 Unknown Body from Miscreation!	
[4/23/23 09:27AM] Dead received x1 Titan Body from Avatar Titan!	
[4/23/23 09:38AM] Login. ip: 98.56.86.198, mac: 25FJ9N220221215185414.000000-300, uuid: 5E-EA-1D-6E-B1-A7	
[4/23/23 09:44AM] Played claimed 480K Billions from pos	
[4/23/23 09:44AM] Player sold 23057 x 1 to Jroc for 600000 Billions in their pos shop	
[4/23/23 09:45AM] Player sold 10946 x 5 to Jroc for 300000 Billions in their pos shop	
[4/23/23 09:45AM] Played claimed 900K Billions from pos	
[4/23/23 09:46AM] Player sold 23020 x 3 to A Fatality for 120000 Billions in their pos shop	
[4/23/23 09:49AM] Player sold 10946 x 5 to Jroc for 300000 Billions in their pos shop	
[4/23/23 09:49AM] Played claimed 420K Billions from pos	
[4/23/23 09:55AM] Login. ip: 98.56.86.198, mac: 25FJ9N220221215185414.000000-300, uuid: 5E-EA-1D-6E-B1-A7	
[4/23/23 09:56AM] Login. ip: 98.56.86.198, mac: 25FJ9N220221215185414.000000-300, uuid: 5E-EA-1D-6E-B1-A7	
[4/23/23 10:10AM] Player dropping item: Vial, amount: 1	
[4/23/23 10:19AM] Player dropping item: Vial, amount: 1	
[4/23/23 10:28AM] Player bought 21934 x 1 from Oblivion's pos shop for 200000 Billions	
[4/23/23 10:28AM] Player bought 19913 x 1 from Oblivion's pos shop for 200000 Billions	
[4/23/23 10:28AM] Player bought 13964 x 1 from Oblivion's pos shop for 200000 Billions	
[4/23/23 10:28AM] Player bought 19918 x 1 from Oblivion's pos shop for 200000 Billions	
[4/23/23 10:28AM] Player bought 19490 x 1 from Oblivion's pos shop for 100000 Billions	
[4/23/23 10:29AM] Player bought 3107 x 1 from Oblivion's pos shop for 200000 Billions	
[4/23/23 10:31AM] Player dropping item: Vial, amount: 1	
[4/23/23 10:42AM] Player dropping item: Vial, amount: 1	
[4/23/23 10:51AM] Dead received x1 Godly Body from Death God!	
[4/23/23 10:55AM] Player dropping item: Vial, amount: 1	
[4/23/23 11:07AM] Player dropping item: Vial, amount: 1	
[4/23/23 11:20AM] Player dropping item: Vial, amount: 1	
[4/23/23 11:24AM] Dead received x1 Gold Body from Golden Golem!	
[4/23/23 11:34AM] Player dropping item: Vial, amount: 1	
[4/23/23 11:39AM] Player sold 10946 x 5 to Onlyfans for 375000 Billions in their pos shop	
[4/23/23 11:39AM] Played claimed 375K Billions from pos	
[4/23/23 11:48AM] Player dropping item: Vial, amount: 1	
[4/23/23 11:52AM] Dead received x1 Zircon (Warrior) from Luffy!	
[4/23/23 11:59AM] Login. ip: 98.56.86.198, mac: 25FJ9N220221215185414.000000-300, uuid: 5E-EA-1D-6E-B1-A7	
[4/23/23 12:05PM] Player dropping item: Vial, amount: 1	
[4/23/23 12:08PM] Player sold 10946 x 10 to Jroc for 800000 Billions in their pos shop	
[4/23/23 12:08PM] Player sold 10946 x 5 to Jroc for 400000 Billions in their pos shop	
[4/23/23 12:09PM] Player sold 10946 x 5 to Jroc for 400000 Billions in their pos shop	
[4/23/23 12:09PM] Player sold 10946 x 2 to Jroc for 160000 Billions in their pos shop	
[4/23/23 12:09PM] Player sold 22141 x 1 to Dragonball Z for 150000 Billions in their pos shop	
[4/23/23 12:17PM] Player dropping item: Vial, amount: 1	
[4/23/23 12:27PM] Player dropping item: Vial, amount: 1	
[4/23/23 12:31PM] Login. ip: 98.56.86.198, mac: 25FJ9N220221215185414.000000-300, uuid: 5E-EA-1D-6E-B1-A7	
[4/23/23 12:32PM] Dead received x1 Saint Body from Broly!	
[4/23/23 12:34PM] Dead received x1 Saint Helm from Broly!	
[4/23/23 12:37PM] Played claimed 1910K Billions from pos	
[4/23/23 12:44PM] Player sold 23057 x 1 to Hibashi for 800000 Billions in their pos shop	
[4/23/23 12:46PM] Dead received x1 Gold Enhancement from Broly!	
[4/23/23 12:51PM] Player dropping item: Vial, amount: 1	
[4/23/23 12:55PM] Player dropping item: Vial, amount: 1	
[4/23/23 01:04PM] Dead received x1 Champion Helm from Bowser!	
[4/23/23 01:09PM] Player dropping item: Vial, amount: 1	
[4/23/23 01:20PM] Player dropping item: Vial, amount: 1	
[4/23/23 01:34PM] Player dropping item: Vial, amount: 1	
[4/23/23 01:34PM] Played claimed 800K Billions from pos	
[4/23/23 01:39PM] Dead received x1 Rogue Aura from Sasuke!	
[4/23/23 01:47PM] Player dropping item: Vial, amount: 1	
[4/23/23 01:54PM] Dead received x1 Rogue Gloves from Sasuke!	
[4/23/23 02:00PM] Player dropping item: Vial, amount: 1	
[4/23/23 02:10PM] Player dropping item: Vial, amount: 1	
[4/23/23 05:46PM] Login. ip: 98.56.86.198, mac: 25FJ9N220221215185414.000000-300, uuid: 5E-EA-1D-6E-B1-A7	
[4/23/23 05:52PM] DEFAULT|2613,2588,8|Said: ???	
[4/23/23 05:54PM] Player dropping item: Vial, amount: 1	
[4/23/23 06:05PM] Player dropping item: Vial, amount: 1	
[4/23/23 06:18PM] (CC) Help. Said: Ez	
[4/23/23 06:20PM] Player dropping item: Vial, amount: 1	
[4/23/23 06:34PM] Player dropping item: Vial, amount: 1	
[4/23/23 06:46PM] Player dropping item: Vial, amount: 1	
[4/23/23 06:53PM] Player sold 10946 x 3 to Suh for 375000 Billions in their pos shop	
[4/23/23 06:59PM] (CC) Help. Said: Same :o	
[4/23/23 06:59PM] Player dropping item: Vial, amount: 1	
[4/23/23 07:04PM] (CC) Help. Said: Pc 1.5x dmg perk?	
[4/23/23 07:10PM] Played claimed 375K Billions from pos	
[4/23/23 07:13PM] Player dropping item: Vial, amount: 1	
[4/23/23 07:17PM] Dead received x1 Executive Gloves from Gorvek!	
[4/23/23 07:21PM] Player sold 10946 x 5 to Redx12 for 625000 Billions in their pos shop	
[4/23/23 07:21PM] Player sold 10946 x 5 to Redx12 for 625000 Billions in their pos shop	
[4/23/23 07:23PM] Player dropping item: Vial, amount: 1	
[4/23/23 07:26PM] Played claimed 1250K Billions from pos	
[4/23/23 07:36PM] Player dropping item: Vial, amount: 1	
[4/23/23 07:49PM] Player dropping item: Vial, amount: 1	
[4/23/23 08:04PM] Player dropping item: Vial, amount: 1	
[4/23/23 08:14PM] Dead received x1 Executive Legs from Gorvek!	
[4/23/23 08:16PM] Player dropping item: Vial, amount: 1	
[4/23/23 08:29PM] Player dropping item: Vial, amount: 1	
[4/23/23 08:38PM] Player sold 4686 x 1 to Krieg for 20000 Billions in their pos shop	
[4/23/23 08:38PM] Player sold 8273 x 1 to Krieg for 20000 Billions in their pos shop	
[4/23/23 08:40PM] Player sold 10946 x 1 to Redx12 for 125000 Billions in their pos shop	
[4/23/23 08:43PM] Player dropping item: Vial, amount: 1	
[4/23/23 08:59PM] Player dropping item: Vial, amount: 1	
[4/23/23 09:05PM] GLOBAL_BOSS|2137,5018,8|Said: Kewl	
[4/23/23 09:07PM] Player sold 8273 x 1 to Buffy for 20000 Billions in their pos shop	
[4/23/23 09:07PM] Played claimed 185K Billions from pos	
[4/23/23 09:07PM] Player dropping item: Vial, amount: 1	
[4/23/23 09:18PM] Player dropping item: Vial, amount: 1	
[4/23/23 09:21PM] Player sold 10946 x 5 to Redx12 for 950000 Billions in their pos shop	
[4/23/23 09:26PM] Played claimed 950K Billions from pos	
[4/23/23 09:33PM] Player dropping item: Vial, amount: 1	
[4/23/23 09:38PM] Dead received x1 Nite Wings from Dragonite!	
[4/23/23 09:49PM] Player dropping item: Vial, amount: 1	
[4/23/23 09:59PM] Player dropping item: Vial, amount: 1	
[4/23/23 10:03PM] Player sold 10946 x 2 to Redx12 for 380000 Billions in their pos shop	
[4/23/23 10:03PM] Played claimed 380K Billions from pos	
[4/23/23 10:04PM] Dead received x1 Nite Body from Dragonite!	
[4/23/23 10:12PM] Player dropping item: Vial, amount: 1	
[4/23/23 10:26PM] Player dropping item: Vial, amount: 1	
[4/23/23 10:26PM] Dead received x1 Anchor (Special) from Luffy!	
[4/23/23 10:38PM] Player dropping item: Vial, amount: 1	
[4/23/23 10:39PM] Player sold 10946 x 1 to Redx12 for 190000 Billions in their pos shop	
[4/23/23 10:40PM] Played claimed 190K Billions from pos	
[4/23/23 10:46PM] Player dropping item: Vial, amount: 1	
[4/23/23 10:59PM] Player dropping item: Vial, amount: 1	
[4/23/23 11:09PM] Player dropping item: Vial, amount: 1	
[4/23/23 11:14PM] Dead received x1 Saint Helm from Broly!	
[4/23/23 11:14PM] Dead received x1 Saint Body from Broly!	
[4/23/23 11:23PM] DEFAULT|2214,3765,0|Said: Dont really need tbh :/	
[4/23/23 11:24PM] DEFAULT|2214,3765,0|Said: Ty tho	
[4/23/23 11:24PM] Player dropping item: Vial, amount: 1	
[4/23/23 11:31PM] Player dropping item: Vial, amount: 1	
[4/23/23 11:39PM] GLOBAL_BOSS|2140,5014,0|Said: :o	
[4/23/23 11:39PM] (CC) Help. Said: Huh	
[4/23/23 11:41PM] Player dropping item: Vial, amount: 1	
[4/23/23 11:53PM] Player dropping item: Vial, amount: 1	
[4/24/23 12:07AM] Player dropping item: Vial, amount: 1	
[4/24/23 12:20AM] Player dropping item: Vial, amount: 1	
[4/24/23 12:32AM] Player dropping item: Vial, amount: 1	
[4/24/23 04:52AM] Player sold 22126 x 1 to Norman for 900000 Billions in their pos shop	
[4/24/23 08:13AM] Login. ip: 98.56.86.198, mac: 25FJ9N220221215185414.000000-300, uuid: 5E-EA-1D-6E-B1-A7	
[4/24/23 08:13AM] Played claimed 900K Billions from pos	
[4/24/23 08:21AM] Player dropping item: Vial, amount: 1	
[4/24/23 08:22AM] (CC) Help. Said: Working on it lol	
[4/24/23 08:34AM] GLOBAL_BOSS|2139,5018,4|Said: Go spend more $	
[4/24/23 08:36AM] Player dropping item: Vial, amount: 1	
[4/24/23 08:38AM] Player sold 17616 x 1 to Plat for 25000 Billions in their pos shop	
[4/24/23 08:48AM] Player dropping item: Vial, amount: 1	
[4/24/23 08:51AM] Played claimed 25K Billions from pos	
[4/24/23 08:52AM] Player sold 3086 x 1 to Gekyume for 2500000 Billions in their pos shop	
[4/24/23 08:53AM] Played claimed 2500K Billions from pos	
[4/24/23 09:02AM] Player dropping item: Vial, amount: 1	
[4/24/23 09:12AM] Player dropping item: Vial, amount: 1	
[4/24/23 09:12AM] Dead received x1 Solar Robe Bottom from Sanctum Golem!	
[4/24/23 09:22AM] Dead received x1 $25 Bond from Nine Tails!	
[4/24/23 09:25AM] Player dropping item: Vial, amount: 1	
[4/24/23 09:29AM] Picked up gr.Item $1 Scroll, amount: 5	
[4/24/23 09:29AM] Picked up gr.Item Vote scroll, amount: 3	
[4/24/23 09:29AM] Picked up gr.Item Vote scroll, amount: 3	
[4/24/23 09:38AM] DEFAULT|2218,3743,0|Said: Inherited 	
[4/24/23 09:38AM] DEFAULT|2218,3743,0|Said: Peep a 3x3 offer	
[4/24/23 09:39AM] Gave item in trade to Inherited. Id: 10835, amount: 11447354	
[4/24/23 09:39AM] Gave item in trade to Inherited. Id: 23058, amount: 2	
[4/24/23 09:39AM] Gave item in trade to Inherited. Id: 10946, amount: 57	
[4/24/23 09:39AM] Gave item in trade to Inherited. Id: 23057, amount: 1	
[4/24/23 09:39AM] Gave item in trade to Inherited. Id: 23020, amount: 5	
[4/24/23 09:39AM] Receiving item from trade with Inherited Id: 22135, amount: 1	
[4/24/23 09:39AM] DEFAULT|2219,3742,0|Said: Appreciate you (:	
[4/24/23 09:41AM] Player dropping item: Vial, amount: 1	
[4/24/23 09:42AM] DEFAULT|2217,3740,0|Said: Good i have a few questions sad :p	
[4/24/23 09:42AM] DEFAULT|2217,3740,0|Said: Lol	
[4/24/23 09:42AM] DEFAULT|2217,3740,0|Said: Managed to get aoe	
[4/24/23 09:43AM] DEFAULT|2217,3740,0|Said: Not really sure what would be best to focus next	
[4/24/23 09:43AM] DEFAULT|2217,3740,0|Said: Not going to bother perk swapping it yet 	
