[4/15/23 12:03AM] Sender: Alex, Message: Also, do ::ref walkchaos and ::totem for a buff	
[4/15/23 12:04AM] Sender: Nick, Message: Awesome!	
[4/15/23 01:30AM] Sender: Nelly, Message: Probly the skill tab click it?	
[4/15/23 01:30AM] Sender: Tew, Message: Didnt work	
[4/15/23 01:30AM] Sender: Tew, Message: Ahh i see all skills are disable	
[4/15/23 01:31AM] Sender: Tew, Message: Sad	
[4/15/23 01:31AM] Sender: Nelly, Message: Ah	
[4/15/23 01:31AM] Sender: Mysterious, Message: Gz	
[4/15/23 01:31AM] Sender: Nick, Message: Thanks	
[4/15/23 01:33AM] Sender: Tew, Message: Ncm im stupid got it	
[4/15/23 01:33AM] Sender: Tew, Message: I will be back later tonight. shit work.	
[4/15/23 01:34AM] Sender: Ronnie v2, Message: Have fun	
[4/15/23 01:34AM] Sender: Mysterious, Message: Gl bro	
[4/15/23 01:34AM] Sender: Nelly, Message: Gz	
[4/15/23 01:34AM] Sender: Ronnie v2, Message: Meh just hate picking up shit xd	
[4/15/23 01:35AM] Sender: Rks, Message: F	
[4/15/23 01:35AM] Sender: Kandonas, Message: Same	
[4/15/23 01:35AM] Sender: Mysterious, Message: For real	
[4/15/23 01:35AM] Sender: Kandonas, Message: Here no shops?	
[4/15/23 01:35AM] Sender: Mysterious, Message: Brb need a smoke 	
[4/15/23 01:35AM] Sender: Ronnie v2, Message: Brb need shower	
[4/15/23 01:36AM] Sender: Nelly, Message: Dang need a staff lol	
[4/15/23 01:36AM] Sender: Nelly, Message: Magic staff*	
[4/15/23 01:36AM] Sender: Nelly, Message: Got mystic body with rare rarity damage lol	
[4/15/23 01:36AM] Sender: Kandonas, Message: I can give you mystic staff 1k bonus	
[4/15/23 01:40AM] Sender: Ronnie v2, Message: I like dry streak system lol	
[4/15/23 01:41AM] Sender: Kandonas, Message: Me too:)	
[4/15/23 01:41AM] Sender: Ronnie v2, Message: Least u wont go dry haha	
[4/15/23 01:41AM] Sender: Nelly, Message: Fr	
[4/15/23 01:42AM] Sender: Nelly, Message: Nice	
[4/15/23 01:43AM] Sender: Nick, Message: Much better	
[4/15/23 01:43AM] Sender: Nick, Message: Ty :d	
[4/15/23 01:46AM] Sender: Ronnie v2, Message: Are u guys doing collection log?	
[4/15/23 01:46AM] Sender: Ronnie v2, Message: Or going for kcs?	
[4/15/23 01:46AM] Sender: Nick, Message: Yea coll	
[4/15/23 01:46AM] Sender: Ronnie v2, Message: Sweet	
[4/15/23 01:46AM] Sender: Rks, Message: Coll always	
[4/15/23 01:46AM] Sender: Nelly, Message: Oh why coll?	
[4/15/23 01:47AM] Sender: Nelly, Message: I was doing for achi	
[4/15/23 01:47AM] Sender: Rks, Message: Coll log has some sweet rewards	
[4/15/23 01:47AM] Sender: Nelly, Message: Ahhh i seeeeeee	
[4/15/23 01:47AM] Sender: Nelly, Message: Donor rank tickets 00f	
[4/15/23 01:47AM] Sender: Rks, Message: I might rush kc till zinq 	
[4/15/23 01:47AM] Sender: Rks, Message: Do coll log of zinq 	
[4/15/23 01:50AM] Sender: Kandonas, Message: We can do any upgrades ?	
[4/15/23 01:50AM] Sender: Nelly, Message: Ye	
[4/15/23 01:50AM] Sender: Kandonas, Message: Where? 	
[4/15/23 01:50AM] Sender: Ronnie v2, Message: Oh zinq for collector	
[4/15/23 01:50AM] Sender: Ronnie v2, Message: F	
[4/15/23 01:51AM] Sender: Nelly, Message: F	
[4/15/23 01:51AM] Sender: Mysterious, Message: Zing ?	
[4/15/23 01:51AM] Sender: Rks, Message: Zinqrux collection log gives colector necklace 	
[4/15/23 01:51AM] Sender: Ronnie v2, Message: Zinqrux	
[4/15/23 01:52AM] Sender: Ronnie v2, Message: Coll log gives collector lol	
[4/15/23 01:52AM] Sender: Mysterious, Message: Ohh right myb	
[4/15/23 01:52AM] Sender: Nelly, Message: O i see	
[4/15/23 01:52AM] Sender: Rks, Message: Afking a bit 	
[4/15/23 01:56AM] Sender: Nelly, Message: Hello walk	
[4/15/23 02:00AM] Sender: Nelly, Message: How do i get upgrade tokenz	
[4/15/23 02:00AM] Sender: Kandonas, Message: Where are upgrade table?\	
[4/15/23 02:00AM] Sender: Nelly, Message: Home south	
[4/15/23 02:04AM] Sender: Ao, Message: Ah here we go again :p	
[4/15/23 02:14AM] Sender: Ronnie v2, Message: Gz	
[4/15/23 02:14AM] Sender: Nelly, Message: Gz	
[4/15/23 02:14AM] Sender: Ronnie v2, Message: Oh wait lol	
[4/15/23 02:14AM] Sender: Nelly, Message: O lol	
[4/15/23 02:14AM] Sender: Ronnie v2, Message: Youtube xd	
[4/15/23 02:21AM] Sender: Nelly, Message: Gz	
[4/15/23 02:21AM] Sender: Ronnie v2, Message: Ty	
[4/15/23 02:21AM] Sender: Ronnie v2, Message: Achievement reward :p	
[4/15/23 02:22AM] Sender: Nelly, Message: Ikr ;p	
[4/15/23 02:22AM] Sender: Kandonas, Message: Where we have aoe weopens?	
[4/15/23 02:22AM] Sender: Ronnie v2, Message: Gz	
[4/15/23 02:22AM] Sender: Nelly, Message: Gz	
[4/15/23 02:22AM] Sender: Mysterious, Message: Tyty	
[4/15/23 02:22AM] Sender: Nick, Message: Thisdamn mystic helm eludes me	
[4/15/23 02:23AM] Sender: Ronnie v2, Message: 4/7 coll log on mystics	
[4/15/23 02:23AM] Sender: Nick, Message: Helm is all i need haha	
[4/15/23 02:23AM] Sender: Ronnie v2, Message: Lol	
[4/15/23 02:23AM] Sender: Ronnie v2, Message: Dupes are real even with dry streak lol	
[4/15/23 02:23AM] Sender: Nick, Message: I have 2-5 of everything else hah	
[4/15/23 02:23AM] Sender: Nelly, Message: Ye xd	
[4/15/23 02:24AM] Sender: Mysterious, Message: I've been dissolving all my dupes	
[4/15/23 02:24AM] Sender: Nelly, Message: Same	
[4/15/23 02:24AM] Sender: Ronnie v2, Message: Same	
[4/15/23 02:24AM] Sender: Ao, Message: Any ref yet?	
[4/15/23 02:24AM] Sender: Ronnie v2, Message: Walkchaos	
[4/15/23 02:24AM] Sender: Mysterious, Message: Walkchaos	
[4/15/23 02:25AM] Sender: Nelly, Message: Nice ty	
[4/15/23 02:27AM] Sender: Nick, Message: Yessss got it	
[4/15/23 02:28AM] Sender: Nick, Message: 357 kc haha	
[4/15/23 02:28AM] Sender: Nelly, Message: Got coll?	
[4/15/23 02:28AM] Sender: Nelly, Message: Dope	
[4/15/23 02:30AM] Sender: Ronnie v2, Message: Dont forget ::totem	
[4/15/23 02:31AM] Sender: Nick, Message: Ty for reminder	
[4/15/23 02:31AM] Sender: Nelly, Message: Ty	
[4/15/23 02:31AM] Sender: Ronnie v2, Message: Np	
[4/15/23 02:31AM] Sender: Ao, Message: Nice	
[4/15/23 02:31AM] Sender: Nelly, Message: Ooo	
[4/15/23 02:33AM] Sender: Nervus, Message: Heavy xp rate drop on vet o.o haha	
[4/15/23 02:33AM] Sender: Mysterious, Message: Worth it tho	
[4/15/23 02:33AM] Sender: Nervus, Message: For sure	
[4/15/23 02:35AM] Sender: Nervus, Message: Is there any refs or ::free cmds?	
[4/15/23 02:35AM] Sender: Mysterious, Message: Walkchaos	
[4/15/23 02:35AM] Sender: Ronnie v2, Message: ::referral / walkchaoe	
[4/15/23 02:35AM] Sender: Ronnie v2, Message: S	
[4/15/23 02:38AM] Sender: Nervus, Message: Anyone wanna swap a imperiad sword for a staff xd	
[4/15/23 02:38AM] Sender: Ronnie v2, Message: Those wep are common	
[4/15/23 02:38AM] Sender: Ronnie v2, Message: Lol	
[4/15/23 02:38AM] Sender: Nervus, Message: Got two which dont help my combat lvl lao	
[4/15/23 02:38AM] Sender: Mysterious, Message: The boxes are common you'll get one in no time	
[4/15/23 02:38AM] Sender: Mysterious, Message: But if it helps i can give you one	
[4/15/23 02:39AM] Sender: Mysterious, Message: Welcome	
[4/15/23 02:41AM] Sender: Ronnie v2, Message: Gz	
[4/15/23 02:41AM] Sender: Slayer, Message: Ty	
[4/15/23 02:42AM] Sender: Mysterious, Message: Gz	
[4/15/23 02:42AM] Sender: Nervus, Message: Ty	
[4/15/23 02:43AM] Sender: Mysterious, Message: Welcome	
[4/15/23 02:43AM] Sender: Creation, Message: Hello	
[4/15/23 02:43AM] Sender: Nelly, Message: Hey	
[4/15/23 02:43AM] Sender: Mysterious, Message: Do ::refer walkchaos	
[4/15/23 02:50AM] Sender: Ao, Message: Best way to get coll neck?	
[4/15/23 02:50AM] Sender: Nervus, Message: ^	
[4/15/23 02:50AM] Sender: Nick, Message: Zinqrux's collection log or donating, i believe	
[4/15/23 02:50AM] Sender: Slayer, Message: Collection log from zinqs	
[4/15/23 02:50AM] Sender: Slayer, Message: Gz	
[4/15/23 02:51AM] Sender: Ronnie v2, Message: Nice 6k stats	
[4/15/23 02:51AM] Sender: Slayer, Message: Nice	
[4/15/23 02:51AM] Sender: Ronnie v2, Message: Do your achievements :p	
[4/15/23 02:51AM] Sender: Nervus, Message: Where are zinqs?	
[4/15/23 02:52AM] Sender: Slayer, Message: Teleport zinqrux	
[4/15/23 02:52AM] Sender: Slayer, Message: We should try vboss again lol	
[4/15/23 02:53AM] Sender: Kandonas, Message: Maybe	
[4/15/23 02:53AM] Sender: Ronnie v2, Message: Come ::vboss	
[4/15/23 02:53AM] Sender: Nervus, Message: Here	
[4/15/23 02:53AM] Sender: Kandonas, Message: Walkchaos come help vboss	
[4/15/23 02:59AM] Sender: Nick, Message: Jesus it's 4am lol	
[4/15/23 02:59AM] Sender: Slayer, Message: Lmao 	
[4/15/23 02:59AM] Sender: Slayer, Message: 6am here	
[4/15/23 02:59AM] Sender: Slayer, Message: Been grinding non stop xd	
[4/15/23 02:59AM] Sender: Nick, Message: Hahahaha nice same xd	
[4/15/23 03:01AM] Sender: Slayer, Message: Gz	
[4/15/23 03:01AM] Sender: Mysterious, Message: Tyyy	
[4/15/23 03:08AM] Sender: Ronnie v2, Message: ::totem	
[4/15/23 03:09AM] Sender: Slayer, Message: Welcome	
[4/15/23 03:10AM] Sender: Sickna, Message: Cheers	
[4/15/23 03:10AM] Sender: Mysterious, Message: Welcome! do ::refer / walkchaos	
[4/15/23 03:11AM] Sender: Sickna, Message: Ty	
[4/15/23 03:11AM] Sender: Sickna, Message: Any way to turn level up notis off	
[4/15/23 03:13AM] Sender: Sickna, Message: Nvm found it	
[4/15/23 03:15AM] Sender: Mysterious, Message: Gz	
[4/15/23 03:17AM] Sender: Slayer, Message: Gz	
[4/15/23 03:17AM] Sender: Ronnie v2, Message: Ty	
[4/15/23 03:18AM] Sender: Kandonas, Message: Gz, second one?	
[4/15/23 03:18AM] Sender: Ronnie v2, Message: First 1	
[4/15/23 03:18AM] Sender: Slayer, Message: He got sinful hat i think too	
[4/15/23 03:18AM] Sender: Ronnie v2, Message: Better than mystic	
[4/15/23 03:18AM] Sender: Ronnie v2, Message: Ye got mystic hat	
[4/15/23 03:18AM] Sender: Kandonas, Message: Me too have sinful hat	
[4/15/23 03:18AM] Sender: Ronnie v2, Message: Nice	
[4/15/23 03:19AM] Sender: Slayer, Message: Gz	
[4/15/23 03:19AM] Sender: Ronnie v2, Message: Gz	
[4/15/23 03:19AM] Sender: Kandonas, Message: How u get so many progress boz	
[4/15/23 03:19AM] Sender: Kandonas, Message: Box	
[4/15/23 03:19AM] Sender: Mysterious, Message: Achievements and collection	
[4/15/23 03:23AM] Sender: Slayer, Message: Gz	
[4/15/23 03:24AM] Sender: Kandonas, Message: Ty	
[4/15/23 03:24AM] Sender: Slayer, Message: Welcome	
[4/15/23 03:25AM] Sender: Mysterious, Message: Welcome!	
[4/15/23 03:25AM] Sender: Rks, Message: Welcome ! :d	
[4/15/23 03:25AM] Sender: Mysterious, Message: Use ::refer walkchaos	
[4/15/23 03:25AM] Sender: Rks, Message: Few of the oldies joining:d the og testers 	
[4/15/23 03:26AM] Sender: Russianmom, Message: Cant reach the owner about donation?	
[4/15/23 03:26AM] Sender: Slayer, Message: Not atm tired earlier just pm on discord	
[4/15/23 03:29AM] Sender: Mysterious, Message: Also dont forget to use ::totem	
[4/15/23 03:29AM] Sender: Nervus, Message: What does totem do?	
[4/15/23 03:29AM] Sender: Slayer, Message: Overload pot	
[4/15/23 03:29AM] Sender: Nervus, Message: Nvm boost stats	
[4/15/23 03:29AM] Sender: Nervus, Message: Cheers	
[4/15/23 03:32AM] Sender: Mysterious, Message: Welcome	
[4/15/23 03:32AM] Sender: Rks, Message: Welcome bro!	
[4/15/23 03:32AM] Sender: Ronnie v2, Message: Welcome	
[4/15/23 03:32AM] Sender: Ronnie v2, Message: ::referral walkchaos	
[4/15/23 03:32AM] Sender: Ronnie v2, Message: ::totem for boosts	
[4/15/23 03:33AM] Sender: Dfk, Message: Ik most stuff i was a beta tester sir	
[4/15/23 03:33AM] Sender: Ronnie v2, Message: Aight	
[4/15/23 03:33AM] Sender: Dfk, Message: Ty for refer tho	
[4/15/23 03:33AM] Sender: Nervus, Message: Any other cmds to know?	
[4/15/23 03:33AM] Sender: Ao, Message: Forgot hwo slow slayer was on here	
[4/15/23 03:33AM] Sender: Slayer, Message: Gz	
[4/15/23 03:34AM] Sender: Slayer, Message: O ye lol	
[4/15/23 03:34AM] Sender: Rks, Message: Dfk, dont forget to vote	
[4/15/23 03:34AM] Sender: Rks, Message: If you need any help you can ask here	
[4/15/23 03:34AM] Sender: Rks, Message: Noob	
[4/15/23 03:34AM] Sender: Rks, Message: Xd	
[4/15/23 03:35AM] Sender: Dfk, Message: Eh quickest way to coll neck is zinq log right?	
[4/15/23 03:35AM] Sender: Slayer, Message: Yeee	
[4/15/23 03:35AM] Sender: Rks, Message: Yea	
[4/15/23 03:35AM] Sender: Mysterious, Message: Fastest is actually ::donate ;)	
[4/15/23 03:37AM] Sender: Nick, Message: Gzz mysterious	
[4/15/23 03:37AM] Sender: Mysterious, Message: Welcome	
[4/15/23 03:38AM] Sender: Mysterious, Message: Ty nick	
[4/15/23 03:38AM] Sender: Nick, Message: First maxed skill on a veteran acc? xd	
[4/15/23 03:38AM] Sender: Rks, Message: Welcome welcome 1 :d	
[4/15/23 03:38AM] Sender: Mysterious, Message: I got 99 range too :p	
[4/15/23 03:38AM] Sender: Nick, Message: Ah i missed that haha	
[4/15/23 03:38AM] Sender: Mysterious, Message: 120 i mean	
[4/15/23 03:38AM] Sender: Mysterious, Message: Shittt tired	
[4/15/23 03:39AM] Sender: Nick, Message: Same. it's lateee lol	
[4/15/23 03:39AM] Sender: Nick, Message: Or early	
[4/15/23 03:39AM] Sender: Mysterious, Message: Gz	
[4/15/23 03:39AM] Sender: Slayer, Message: Need leg sword n sheild for coll neck	
[4/15/23 03:39AM] Sender: Ao, Message: Does the dry streak reward count towards coll log?	
[4/15/23 03:40AM] Sender: Nick, Message: Yea	
[4/15/23 03:40AM] Sender: Slayer, Message: Yes	
[4/15/23 03:40AM] Sender: Ao, Message: Ah not too bad then	
[4/15/23 03:40AM] Sender: Ao, Message: Doing slayer as i get double slayer tickets :d	
[4/15/23 03:40AM] Sender: Slayer, Message: Nice	
[4/15/23 03:41AM] Sender: Nick, Message: Alright gonna go to bed. night!	
[4/15/23 03:41AM] Sender: Nick, Message: Good luck on drops everyone	
[4/15/23 03:41AM] Sender: Ao, Message: Ni ni	
[4/15/23 03:41AM] Sender: Slayer, Message: Gn nick	
[4/15/23 03:41AM] Sender: Mysterious, Message: Gn bro	
[4/15/23 03:42AM] Sender: Slayer, Message: Dang lol gz	
[4/15/23 03:42AM] Sender: Kandonas, Message: Gz	
[4/15/23 03:42AM] Sender: Ronnie v2, Message: 3 sinful pieces nice	
[4/15/23 03:43AM] Sender: Ronnie v2, Message: Gz	
[4/15/23 03:46AM] Sender: Ronnie v2, Message: ::totem time	
[4/15/23 03:46AM] Sender: Rks, Message: Ty for reminding 	
[4/15/23 03:46AM] Sender: Ronnie v2, Message: Np	
[4/15/23 03:49AM] Sender: Don chapo, Message: Where to get coll neck ?	
[4/15/23 03:49AM] Sender: Mysterious, Message: ::collection	
[4/15/23 03:49AM] Sender: Mysterious, Message: Finish the zinq collection.	
[4/15/23 03:50AM] Sender: Slayer, Message: Legs and sword left	
[4/15/23 03:50AM] Sender: Ronnie v2, Message: Boots for me	
[4/15/23 03:50AM] Sender: Ronnie v2, Message: Tho dupes are real lmao	
[4/15/23 03:50AM] Sender: Slayer, Message: Aha yeah xd	
[4/15/23 03:53AM] Sender: Spoon, Message: Any ref codes boysss	
[4/15/23 03:53AM] Sender: Ao, Message: Walkchaos	
[4/15/23 03:53AM] Sender: Spoon, Message: Tyyy	
[4/15/23 03:57AM] Sender: Russianmom, Message: Trading imp staff for whip	
[4/15/23 03:57AM] Sender: A jeesus, Message: Ill trade it	
[4/15/23 03:58AM] Sender: Russianmom, Message: Meet home	
[4/15/23 03:58AM] Sender: Don chapo, Message: Trading imp minigun for staff	
[4/15/23 03:58AM] Sender: Mysterious, Message: Damn gz	
[4/15/23 03:58AM] Sender: Ronnie v2, Message: Gz	
[4/15/23 03:58AM] Sender: Kandonas, Message: Ty	
[4/15/23 04:03AM] Sender: Don chapo, Message: Swapping imperial minigun for staff	
[4/15/23 04:07AM] Sender: Suh, Message: Morning 	
[4/15/23 04:07AM] Sender: Mysterious, Message: Morning	
[4/15/23 04:12AM] Sender: Don chapo, Message: Voteboss alive	
[4/15/23 04:12AM] Sender: Don chapo, Message: Lets go	
[4/15/23 04:13AM] Sender: Nervus, Message: Gl mate haha	
[4/15/23 04:13AM] Sender: Ao, Message: We arnt strong enough for it	
[4/15/23 04:13AM] Sender: Nervus, Message: Weve tried	
[4/15/23 04:13AM] Sender: Don chapo, Message: Nvm hp doesnt move	
[4/15/23 04:17AM] Sender: Dfk, Message: 1,1x dmg too, pog	
[4/15/23 04:17AM] Sender: Suh, Message: Grats	
[4/15/23 04:18AM] Sender: Don chapo, Message: What do u do w extra items	
[4/15/23 04:19AM] Sender: Nervus, Message: Anyone selling 900 bones x	
[4/15/23 04:19AM] Sender: Ronnie v2, Message: Offer? xd	
[4/15/23 04:19AM] Sender: Nervus, Message: Idk lmao	
[4/15/23 04:19AM] Sender: Ronnie v2, Message: Xd	
[4/15/23 04:19AM] Sender: Ao, Message: Ill offer all the cash i have :p	
[4/15/23 04:20AM] Sender: Nervus, Message: 1m ea lmao	
[4/15/23 04:20AM] Sender: Nervus, Message: 1b*	
[4/15/23 04:20AM] Sender: Ronnie v2, Message: Sure	
[4/15/23 04:20AM] Sender: Ronnie v2, Message: Home	
[4/15/23 04:20AM] Sender: Ao, Message: How many do you have? ill buy the rest	
[4/15/23 04:20AM] Sender: Slayer, Message: 1k bones for 84 prayer lol	
[4/15/23 04:21AM] Sender: Dfk, Message: 100 bones for 114 prayer >.>	
[4/15/23 04:21AM] Sender: Ao, Message: Easy mode lol	
[4/15/23 04:22AM] Sender: Nervus, Message: Need for an achievement cheers ronnie	
[4/15/23 04:22AM] Sender: Ronnie v2, Message: Np	
[4/15/23 04:22AM] Sender: Ronnie v2, Message: Gl	
[4/15/23 04:22AM] Sender: Rks, Message: How much for 900 bones xd?	
[4/15/23 04:23AM] Sender: Asoich, Message: Is server released?	
[4/15/23 04:23AM] Sender: Slayer, Message: Yes	
[4/15/23 04:27AM] Sender: Ronnie v2, Message: ::totem reminder	
[4/15/23 04:27AM] Sender: Russianmom, Message: Everyone to merueum the king	
[4/15/23 04:27AM] Sender: Russianmom, Message: World boss	
[4/15/23 04:27AM] Sender: Russianmom, Message: Im misc	
[4/15/23 04:27AM] Sender: Slayer, Message: What lol	
[4/15/23 04:28AM] Sender: Suh, Message:  ::meruem	
[4/15/23 04:30AM] Sender: Nervus, Message: Everyone to ::mereum :*	
[4/15/23 04:32AM] Sender: Bluephaty, Message: Yay	
[4/15/23 04:32AM] Sender: Cardano, Message: Hey hey	
[4/15/23 04:32AM] Sender: Slayer, Message: Hey	
[4/15/23 04:32AM] Sender: Suh, Message: Everyone to ::meruem	
[4/15/23 04:35AM] Sender: F2p daddy, Message: Ref code?	
[4/15/23 04:35AM] Sender: Slayer, Message: Walkchaos	
[4/15/23 04:36AM] Sender: Asoich, Message: Some1 trade whip or staff for bow	
[4/15/23 04:36AM] Sender: Asoich, Message: Mg*	
[4/15/23 04:38AM] Sender: Asoich, Message: How to get coll	
[4/15/23 04:38AM] Sender: Suh, Message: Zinq coll log	
[4/15/23 04:39AM] Sender: Ronnie v2, Message: Dont forget ::totem for boosts	
[4/15/23 04:41AM] Sender: Ronnie v2, Message: ::meruem	
[4/15/23 04:45AM] Sender: F2p daddy, Message: Where i get col neck	
[4/15/23 04:45AM] Sender: F2p daddy, Message: Where i get col neck	
[4/15/23 04:45AM] Sender: Nervus, Message: Donate or coll log	
[4/15/23 04:45AM] Sender: Slayer, Message: Zinq for col neck	
[4/15/23 04:46AM] Sender: Ao, Message: Woo ss unlocked!	
[4/15/23 04:46AM] Sender: F2p daddy, Message: Zinq?	
[4/15/23 04:46AM] Sender: Ao, Message: About half way down in the mosnter list	
[4/15/23 04:47AM] Sender: Slayer, Message: Nice ao	
[4/15/23 04:47AM] Sender: Ao, Message: Zinqrux	
[4/15/23 04:47AM] Sender: Sparky, Message: Where can i buy a pick?	
[4/15/23 04:49AM] Sender: Dids, Message: Veri nais aitems	
[4/15/23 04:49AM] Sender: Nervus, Message: Furniture gonna float if ya continue mate	
[4/15/23 04:50AM] Sender: Sparky, Message: Anyone know where to buy a pickaxe?	
[4/15/23 04:50AM] Sender: Slayer, Message: All too ::meruem	
[4/15/23 04:50AM] Sender: F2p daddy, Message: Vboss	
[4/15/23 04:51AM] Sender: Slayer, Message: Meruem at 40%	
[4/15/23 04:51AM] Sender: F2p daddy, Message: All come ;;vboss	
[4/15/23 04:51AM] Sender: Nervus, Message: Vboss ez guys	
[4/15/23 04:51AM] Sender: Nervus, Message: Takes 2min	
[4/15/23 04:51AM] Sender: Slayer, Message: Vboss is broken atm	
[4/15/23 04:52AM] Sender: Nervus, Message: We been here for long time xd	
[4/15/23 04:55AM] Sender: F2p daddy, Message: How get rev drags	
