[4/16/23 12:37PM] Gave item to Dup. Name: Vote scroll. Id: 23020, amount: 40	
[4/19/23 06:50PM] Gave item to Aaron. Name: Solar Robe Top. Id: 15646, amount: 1	
[4/19/23 06:50PM] Gave item to Aaron. Name: Solar Robe Bottom. Id: 15647, amount: 1	
[4/19/23 06:50PM] Gave item to Aaron. Name: Emerald Coif. Id: 11001, amount: 1	
[4/19/23 06:50PM] Gave item to Aaron. Name: Solar Staff. Id: 22135, amount: 1	
[4/20/23 05:18AM] Gave item to Onlyfans. Name: $1 Scroll. Id: 10946, amount: 47	
[4/20/23 05:18AM] Received item from Onlyfans. Name: Tarn token. Id: 10835, amount: 2285484	
[4/20/23 05:26AM] Gave item to Liam. Name: Vote scroll. Id: 23020, amount: 2	
[4/20/23 05:26AM] Received item from Liam. Name: Tarn token. Id: 10835, amount: 58000	
[4/20/23 06:11AM] Gave item to Fissker. Name: Groudon Staff. Id: 13640, amount: 1	
[4/20/23 06:11AM] Received item from Fissker. Name: Tarn token. Id: 10835, amount: 500000	
[4/20/23 06:54AM] Gave item to Bright. Name: Lava bones. Id: 2023, amount: 5000	
[4/20/23 06:55AM] Gave item to Anubis. Name: Lava bones. Id: 2023, amount: 5000	
[4/20/23 07:27AM] Gave item to Anubis. Name: Collector necklace. Id: 19886, amount: 1	
[4/20/23 08:26AM] Gave item to Onlyfans. Name: Tarn token. Id: 10835, amount: 2000000	
[4/20/23 08:26AM] Received item from Onlyfans. Name: Trinity prayer scroll. Id: 23166, amount: 1	
[4/20/23 08:56AM] Gave item to Griezmanrsps. Name: Tarn token. Id: 10835, amount: 500000	
[4/20/23 08:56AM] Received item from Griezmanrsps. Name: $10 Bond. Id: 23057, amount: 1	
[4/20/23 11:35AM] Gave item to Roe. Name: Lava bones. Id: 2023, amount: 10000	
[4/20/23 12:11PM] Gave item to Roe. Name: Solar Robe Top. Id: 15646, amount: 1	
[4/20/23 12:11PM] Gave item to Roe. Name: Solar Staff. Id: 22135, amount: 1	
[4/20/23 12:52PM] Gave item to Dwightshrute. Name: Solar Robe Bottom. Id: 15647, amount: 1	
[4/20/23 12:52PM] Received item from Dwightshrute. Name: Tarn token. Id: 10835, amount: 250000	
[4/20/23 01:35PM] Received item from Resi Afk. Name: AFK ticket. Id: 5020, amount: 1102470	
[4/20/23 01:36PM] Gave item to Resi Afk. Name: Hooker pet. Id: 20511, amount: 1	
[4/20/23 01:36PM] Gave item to Resi Afk. Name: AFK ticket. Id: 5020, amount: 102470	
[4/20/23 06:51PM] Gave item to Aaron. Name: Agumon Gloves. Id: 22159, amount: 1	
[4/20/23 06:51PM] Received item from Aaron. Name: Tarn token. Id: 10835, amount: 600000	
[4/20/23 07:07PM] Gave item to Suh. Name: Shinigami Legs. Id: 13330, amount: 1	
[4/20/23 07:07PM] Gave item to Suh. Name: Lili Staff. Id: 22143, amount: 1	
[4/20/23 07:08PM] Received item from Suh. Name: Shinigami Legs. Id: 13330, amount: 1	
[4/20/23 07:08PM] Received item from Suh. Name: Lili Staff. Id: 22143, amount: 1	
[4/21/23 04:34AM] Gave item to Nobledefeat. Name: Solar Staff. Id: 22135, amount: 1	
[4/21/23 04:34AM] Received item from Nobledefeat. Name: Tarn token. Id: 10835, amount: 35634504	
[4/21/23 05:13AM] Gave item to Plasmagamer. Name: Lava bones. Id: 2023, amount: 6668	
[4/21/23 08:51AM] Gave item to Fishnoob. Name: Fighter Body. Id: 14311, amount: 1	
[4/21/23 08:51AM] Received item from Fishnoob. Name: Coin. Id: 995, amount: 1000127106	
[4/21/23 10:27AM] Gave item to Lungs. Name: Lava bones. Id: 2023, amount: 5000	
[4/21/23 10:30AM] Gave item to Lungs. Name: Solar Staff. Id: 22135, amount: 1	
[4/21/23 10:42AM] Gave item to Inherited. Name: Lili Staff. Id: 22143, amount: 1	
[4/21/23 10:42AM] Received item from Inherited. Name: Tarn token. Id: 10835, amount: 16322564	
[4/21/23 10:42AM] Received item from Inherited. Name: Warrior chestplate (mithril). Id: 20604, amount: 1	
[4/21/23 11:05AM] Gave item to Inherited. Name: Tarn token. Id: 10835, amount: 300000	
[4/21/23 02:59PM] Gave item to Dwightshrute. Name: Gold Enhancement. Id: 17391, amount: 1	
[4/22/23 09:57AM] Gave item to Xtc. Name: Miner gauntlets (steel). Id: 20588, amount: 1	
[4/22/23 09:57AM] Received item from Xtc. Name: Tarn token. Id: 10835, amount: 1000895	
[4/23/23 02:01PM] Received item from Inherited. Name: Tarn token. Id: 10835, amount: 7000000	
