[4/15/23 07:04AM] Gave item to Filth. Name: Lava bones. Id: 2023, amount: 100	
[4/15/23 08:28AM] Received item from Sociopath. Name: Forsaken Boots. Id: 14914, amount: 1	
[4/15/23 08:28AM] Received item from Sociopath. Name: Tarn token. Id: 10835, amount: 1100	
[4/15/23 08:28AM] Received item from Sociopath. Name: Godly Legs. Id: 14052, amount: 1	
[4/15/23 08:33AM] Received item from Quack. Name: Lust Staff. Id: 8809, amount: 1	
[4/15/23 08:33AM] Received item from Quack. Name: Coin. Id: 995, amount: 1000000	
[4/15/23 08:56AM] Received item from Boobies. Name: Maze Maul. Id: 17710, amount: 1	
[4/15/23 08:56AM] Received item from Boobies. Name: Coin. Id: 995, amount: 1000000	
[4/15/23 08:58AM] Received item from Zezima. Name: Gold Gloves. Id: 11181, amount: 1	
[4/15/23 08:58AM] Received item from Zezima. Name: Tarn token. Id: 10835, amount: 1000	
[4/15/23 09:02AM] Received item from Tarned. Name: Lust Visor. Id: 8806, amount: 1	
[4/15/23 09:02AM] Received item from Tarned. Name: Coin. Id: 995, amount: 2825468	
[4/15/23 09:09AM] Gave item to Ruthie. Name: Tarn token. Id: 10835, amount: 96	
[4/15/23 09:09AM] Received item from Ruthie. Name: Vote scroll. Id: 23020, amount: 8	
[4/15/23 09:14AM] Received item from Pkerino. Name: Rogue Helm. Id: 22126, amount: 1	
[4/15/23 09:14AM] Received item from Pkerino. Name: Coin. Id: 995, amount: 1000000	
[4/15/23 09:15AM] Gave item to Zshana. Name: Lust Visor. Id: 8806, amount: 1	
[4/15/23 09:15AM] Received item from Zshana. Name: Lust Visor. Id: 8806, amount: 1	
[4/15/23 10:21AM] Gave item to Slayer. Name: Lava bones. Id: 2023, amount: 1000	
[4/15/23 10:21AM] Received item from Slayer. Name: Tarn token. Id: 10835, amount: 10000	
[4/26/23 09:20AM] Gave item to Fresh Lano. Name: Rogue Helm. Id: 22126, amount: 1	
[4/26/23 09:20AM] Gave item to Fresh Lano. Name: Lust Staff. Id: 8809, amount: 1	
[4/26/23 09:20AM] Gave item to Fresh Lano. Name: Collector necklace. Id: 19886, amount: 1	
[4/26/23 09:20AM] Gave item to Fresh Lano. Name: Godly Body. Id: 14051, amount: 1	
[4/26/23 09:20AM] Gave item to Fresh Lano. Name: Gold Gloves. Id: 11181, amount: 1	
[4/26/23 09:20AM] Gave item to Fresh Lano. Name: Forsaken Boots. Id: 14914, amount: 1	
[4/26/23 09:20AM] Gave item to Fresh Lano. Name: Infinite healing potion (T3). Id: 23120, amount: 1	
[4/26/23 09:20AM] Gave item to Fresh Lano. Name: Blurite Cape. Id: 20400, amount: 1	
[4/26/23 09:20AM] Gave item to Fresh Lano. Name: Coin. Id: 995, amount: 234051	
[4/26/23 09:20AM] Gave item to Fresh Lano. Name: Lava bones. Id: 2023, amount: 1923	
[4/26/23 09:20AM] Gave item to Fresh Lano. Name: Lust Visor. Id: 8806, amount: 1	
[4/26/23 09:20AM] Gave item to Fresh Lano. Name: Maze Maul. Id: 17710, amount: 1	
[4/26/23 09:20AM] Gave item to Fresh Lano. Name: Imperial ring. Id: 20093, amount: 1	
[4/26/23 09:20AM] Gave item to Fresh Lano. Name: Vote scroll. Id: 23020, amount: 17	
[4/26/23 09:20AM] Gave item to Fresh Lano. Name: Godly Legs. Id: 14052, amount: 1	
[4/26/23 09:20AM] Gave item to Fresh Lano. Name: Tarn token. Id: 10835, amount: 126573	
[4/26/23 09:20AM] Gave item to Fresh Lano. Name: Imperial Whip. Id: 18750, amount: 1	
[4/26/23 09:20AM] Gave item to Fresh Lano. Name: Slayer ticket. Id: 5023, amount: 2697	
