[4/22/23 05:09PM] Player picked up item: Coin, id: 995, amount: 100, owner: Shadowunit	
[4/22/23 06:36PM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: Shadowunit	
[4/22/23 06:38PM] Player picked up item: Coin, id: 995, amount: 20000, owner: Shadowunit	
[4/22/23 06:39PM] Player picked up item: Coin, id: 995, amount: 8000, owner: Shadowunit	
[4/22/23 06:40PM] Player picked up item: Coin, id: 995, amount: 4000, owner: Shadowunit	
[4/22/23 06:40PM] Player picked up item: Coin, id: 995, amount: 8000, owner: Shadowunit	
[4/22/23 06:41PM] Player picked up item: Coin, id: 995, amount: 16000, owner: Shadowunit	
[4/22/23 06:41PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Shadowunit	
[4/22/23 06:41PM] Player picked up item: Coin, id: 995, amount: 16000, owner: Shadowunit	
[4/22/23 06:41PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Shadowunit	
[4/22/23 06:41PM] Player picked up item: Coin, id: 995, amount: 4000, owner: Shadowunit	
[4/22/23 06:42PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Shadowunit	
