[4/18/23 01:42PM] Player picked up item: Lava bones, id: 2023, amount: 300, owner: Freefame	
[4/19/23 01:15PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Freefame	
[4/19/23 01:15PM] Player picked up item: Infinite prayer potion (T3), id: 23123, amount: 1, owner: Freefame	
[4/19/23 01:15PM] Player picked up item: Coin, id: 995, amount: 3050751, owner: Freefame	
[4/19/23 01:16PM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Freefame	
[4/19/23 01:17PM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: Freefame	
[4/19/23 01:17PM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: Freefame	
[4/19/23 01:20PM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Freefame	
[4/19/23 01:20PM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Freefame	
[4/19/23 01:21PM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Freefame	
[4/19/23 01:21PM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Freefame	
[4/19/23 01:23PM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Freefame	
[4/19/23 01:23PM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Freefame	
[4/20/23 07:36AM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Freefame	
[4/20/23 07:36AM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Freefame	
[4/20/23 07:51AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Freefame	
[4/20/23 08:21AM] Player picked up item: Coin, id: 995, amount: 1631098, owner: Freefame	
[4/20/23 08:21AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Freefame	
[4/20/23 08:23AM] Player picked up item: Coin, id: 995, amount: 3292759, owner: Freefame	
[4/20/23 08:23AM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Freefame	
[4/20/23 08:51AM] Player picked up item: Coin, id: 995, amount: 1615835, owner: Freefame	
[4/20/23 09:21AM] Player picked up item: Coin, id: 995, amount: 1004025, owner: Freefame	
[4/20/23 09:21AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Freefame	
[4/20/23 09:22AM] Player picked up item: Coin, id: 995, amount: 3366513, owner: Freefame	
[4/20/23 09:22AM] Player picked up item: Lava bones, id: 2023, amount: 80, owner: Freefame	
[4/20/23 09:23AM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: Freefame	
[4/20/23 09:23AM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: Freefame	
[4/20/23 09:24AM] Player picked up item: Lava bones, id: 2023, amount: 600, owner: Freefame	
[4/20/23 09:24AM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: Freefame	
[4/20/23 09:25AM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Freefame	
[4/20/23 09:26AM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Freefame	
[4/20/23 09:27AM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Freefame	
[4/20/23 09:27AM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Freefame	
[4/20/23 09:51AM] Player picked up item: Coin, id: 995, amount: 1640517, owner: Freefame	
[4/20/23 09:51AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Freefame	
[4/20/23 11:21AM] Player picked up item: Coin, id: 995, amount: 1069555, owner: Freefame	
[4/20/23 11:21AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Freefame	
[4/20/23 11:22AM] Player picked up item: Coin, id: 995, amount: 2213355, owner: Freefame	
[4/20/23 11:22AM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Freefame	
[4/20/23 11:23AM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: Freefame	
[4/20/23 11:23AM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: Freefame	
[4/20/23 12:20PM] Player picked up item: Coin, id: 995, amount: 2474816, owner: Freefame	
[4/20/23 12:20PM] Player picked up item: Lava bones, id: 2023, amount: 50, owner: Freefame	
[4/20/23 12:21PM] Player picked up item: Coin, id: 995, amount: 2458378, owner: Freefame	
[4/20/23 12:22PM] Player picked up item: Lava bones, id: 2023, amount: 300, owner: Freefame	
[4/20/23 12:22PM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: Freefame	
[4/20/23 12:23PM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Freefame	
[4/20/23 12:23PM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Freefame	
[4/21/23 02:29AM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Freefame	
[4/21/23 02:29AM] Player picked up item: $1 Scroll, id: 10946, amount: 10, owner: Freefame	
[4/21/23 02:35AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Freefame	
[4/21/23 02:37AM] Player picked up item: Coin, id: 995, amount: 2640329, owner: Freefame	
[4/21/23 02:39AM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: Freefame	
[4/21/23 02:39AM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: Freefame	
[4/21/23 02:41AM] Player picked up item: Lava bones, id: 2023, amount: 300, owner: Freefame	
[4/21/23 02:41AM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: Freefame	
