[4/20/23 05:06AM] Player picked up item: Coin, id: 995, amount: 100, owner: Seittit Gib	
[4/21/23 01:12PM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Seittit Gib	
[4/21/23 01:12PM] Player picked up item: Vote scroll, id: 23020, amount: 6, owner: Seittit Gib	
[4/21/23 01:14PM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Seittit Gib	
[4/21/23 01:14PM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Seittit Gib	
[4/22/23 09:12AM] Player picked up item: Imperial Minigun, id: 18636, amount: 1, owner: Seittit Gib	
[4/24/23 09:17PM] Player picked up item: Lava bones, id: 2023, amount: 110, owner: U53th3forc3	
[4/24/23 09:36PM] Player picked up item: Lava bones, id: 2023, amount: 300, owner: Ronnie V2	
[4/25/23 08:32PM] Player picked up item: Coin, id: 995, amount: 2413161, owner: Seittit Gib	
[4/25/23 08:32PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Seittit Gib	
[4/25/23 08:34PM] Player picked up item: Coin, id: 995, amount: 3392567, owner: Seittit Gib	
[4/25/23 08:34PM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Seittit Gib	
