[4/23/23 03:13AM] Player picked up item: Starter Cannon, id: 22083, amount: 1, owner: Tokin Joker	
[4/23/23 03:40AM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Tokin Joker	
[4/23/23 03:42AM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Tokin Joker	
[4/23/23 03:42AM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Tokin Joker	
[4/23/23 04:11AM] Player picked up item: Imperial Box, id: 14487, amount: 1, owner: Tokin Joker	
[4/23/23 04:11AM] Player picked up item: Coin, id: 995, amount: 700, owner: Tokin Joker	
[4/23/23 04:13AM] Player picked up item: Coin, id: 995, amount: 700, owner: Tokin Joker	
[4/23/23 04:14AM] Player picked up item: Imperial boots, id: 20089, amount: 1, owner: Tokin Joker	
[4/23/23 04:14AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Tokin Joker	
[4/23/23 04:15AM] Player picked up item: Coin, id: 995, amount: 800, owner: Tokin Joker	
[4/23/23 04:16AM] Player picked up item: Imperial legs, id: 20088, amount: 1, owner: Tokin Joker	
[4/23/23 04:17AM] Player picked up item: Coin, id: 995, amount: 800, owner: Tokin Joker	
[4/23/23 04:18AM] Player picked up item: Coin, id: 995, amount: 800, owner: Tokin Joker	
[4/23/23 04:19AM] Player picked up item: Coin, id: 995, amount: 800, owner: Tokin Joker	
[4/23/23 04:20AM] Player picked up item: Imperial ring, id: 20093, amount: 1, owner: Tokin Joker	
[4/23/23 12:14PM] Player picked up item: Imperial helm, id: 20086, amount: 1, owner: Tokin Joker	
[4/23/23 12:16PM] Player picked up item: Imperial helm, id: 20086, amount: 1, owner: Tokin Joker	
[4/23/23 12:21PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Tokin Joker	
[4/23/23 12:21PM] Player picked up item: Coin, id: 995, amount: 900, owner: Tokin Joker	
