[4/15/23 11:31AM] Player picked up item: Coin, id: 995, amount: 100, owner: Rokas	
[4/15/23 02:02PM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Rokas	
[4/15/23 02:21PM] Player picked up item: Coin, id: 995, amount: 4000, owner: Rokas	
[4/15/23 02:29PM] Player picked up item: Coin, id: 995, amount: 1096729, owner: Rokas	
[4/15/23 02:29PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Rokas	
[4/15/23 02:29PM] Player picked up item: Coin, id: 995, amount: 2821780, owner: Rokas	
[4/15/23 02:29PM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Rokas	
[4/15/23 02:30PM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: Rokas	
[4/15/23 02:30PM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: Rokas	
[4/15/23 02:35PM] Player picked up item: Coin, id: 995, amount: 10000, owner: Rokas	
[4/15/23 02:35PM] Player picked up item: Lava bones, id: 2023, amount: 6, owner: Rokas	
[4/15/23 02:35PM] Player picked up item: Zinq sword, id: 23055, amount: 1, owner: Rokas	
[4/15/23 02:36PM] Player picked up item: Coin, id: 995, amount: 8000, owner: Rokas	
[4/17/23 08:34AM] Player picked up item: Emerald Coif, id: 11001, amount: 1, owner: Like My Peep	
