[4/15/23 11:52AM] Player picked up item: Coin, id: 995, amount: 100, owner: F E	
[4/15/23 12:59PM] Player picked up item: Coin, id: 995, amount: 2255499, owner: F E	
[4/15/23 12:59PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: F E	
[4/15/23 01:12PM] Player picked up item: Revenant Body, id: 18001, amount: 1, owner: F E	
[4/15/23 01:16PM] Player picked up item: Coin, id: 995, amount: 2000, owner: F E	
[4/15/23 01:22PM] Player picked up item: Mystic helm, id: 23021, amount: 1, owner: F E	
[4/15/23 01:23PM] Player picked up item: Coin, id: 995, amount: 1500, owner: F E	
[4/15/23 01:24PM] Player picked up item: Coin, id: 995, amount: 3000, owner: F E	
[4/15/23 01:24PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: F E	
[4/15/23 01:27PM] Player picked up item: Coin, id: 995, amount: 3000, owner: F E	
[4/15/23 01:29PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: F E	
[4/15/23 01:29PM] Player picked up item: Coin, id: 995, amount: 2149821, owner: F E	
[4/15/23 01:31PM] Player picked up item: Patience helm, id: 23034, amount: 1, owner: F E	
[4/15/23 01:31PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: F E	
[4/15/23 01:32PM] Player picked up item: Patience legs, id: 23036, amount: 1, owner: F E	
[4/15/23 01:32PM] Player picked up item: Coin, id: 995, amount: 1500, owner: F E	
[4/15/23 01:33PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: F E	
[4/15/23 01:36PM] Player picked up item: Coin, id: 995, amount: 6000, owner: F E	
[4/15/23 01:36PM] Player picked up item: Coin, id: 995, amount: 1500, owner: F E	
[4/15/23 01:40PM] Player picked up item: Coin, id: 995, amount: 1500, owner: F E	
[4/15/23 01:49PM] Player picked up item: Coin, id: 995, amount: 4000, owner: F E	
[4/15/23 01:53PM] Player picked up item: Coin, id: 995, amount: 2000, owner: F E	
[4/15/23 01:53PM] Player picked up item: Zinq helm, id: 23050, amount: 1, owner: F E	
[4/15/23 01:59PM] Player picked up item: Coin, id: 995, amount: 2240164, owner: F E	
[4/15/23 01:59PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: F E	
[4/15/23 02:03PM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: F E	
[4/15/23 02:03PM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: F E	
[4/15/23 02:08PM] Player picked up item: Coin, id: 995, amount: 6000, owner: F E	
[4/15/23 02:15PM] Player picked up item: Coin, id: 995, amount: 6000, owner: F E	
[4/15/23 02:19PM] Player picked up item: Coin, id: 995, amount: 12000, owner: F E	
[4/15/23 02:29PM] Player picked up item: Coin, id: 995, amount: 2266718, owner: F E	
[4/15/23 02:29PM] Player picked up item: Lava bones, id: 2023, amount: 50, owner: F E	
[4/15/23 02:30PM] Player picked up item: Aberrant Body, id: 20593, amount: 1, owner: F E	
[4/15/23 02:51PM] Player picked up item: Zinq sword, id: 23055, amount: 1, owner: F E	
[4/15/23 02:52PM] Player picked up item: Zinq sword, id: 23055, amount: 1, owner: F E	
[4/15/23 02:52PM] Player picked up item: Coin, id: 995, amount: 4000, owner: F E	
[4/15/23 02:56PM] Player picked up item: Coin, id: 995, amount: 2000, owner: F E	
[4/15/23 03:01PM] Player picked up item: Coin, id: 995, amount: 1739255, owner: F E	
[4/15/23 03:01PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: F E	
[4/15/23 06:05PM] Player picked up item: Starter Legs, id: 705, amount: 1, owner: F E	
[4/16/23 08:00AM] Player picked up item: Super restore (4), id: 3024, amount: 1, owner: F E	
[4/16/23 08:16AM] Player picked up item: PvM Casket, id: 2736, amount: 1, owner: F E	
[4/19/23 07:30AM] Player picked up item: Super restore (4), id: 3024, amount: 1, owner: F E	
[4/19/23 02:28PM] Player picked up item: Patience body, id: 23035, amount: 1, owner: F E	
[4/21/23 06:08PM] Player picked up item: Patience legs, id: 23036, amount: 1, owner: F E	
[4/22/23 10:40PM] Player picked up item: Solar Staff, id: 22135, amount: 1, owner: F E	
