[4/15/23 06:34AM] Player picked up item: Coin, id: 995, amount: 100, owner: A Fatality	
[4/15/23 03:36PM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: A Fatality	
[4/16/23 11:01PM] Player picked up item: Tormented Legs, id: 21038, amount: 1, owner: A Fatality	
[4/17/23 08:34AM] Player picked up item: Emerald Chaps, id: 11003, amount: 1, owner: Like My Peep	
[4/17/23 08:38AM] Player picked up item: Blurite Katana, id: 14484, amount: 1, owner: Oblivion	
[4/17/23 08:38AM] Player picked up item: Blurite Katana, id: 14484, amount: 1, owner: A Fatality	
[4/17/23 10:57AM] Player picked up item: Starter Defender, id: 19914, amount: 1, owner: Pinpinabcd	
[4/19/23 05:26AM] Player picked up item: Bronze pickaxe, id: 1265, amount: 1, owner: A Fatality	
[4/20/23 12:24PM] Player picked up item: Lava bones, id: 2023, amount: 600, owner: Monsterbait	
[4/20/23 12:24PM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: Monsterbait	
[4/20/23 10:10PM] Player picked up item: PvM Casket, id: 2736, amount: 2, owner: A Fatality	
[4/20/23 10:12PM] Player picked up item: PvM Casket, id: 2736, amount: 1, owner: A Fatality	
[4/21/23 05:37AM] Player picked up item: Lava bones, id: 2023, amount: 160, owner: Zshana	
[4/21/23 08:39AM] Player picked up item: Sanctum Golem Pet, id: 19481, amount: 1, owner: Onlyfans	
[4/21/23 08:41AM] Player picked up item: Sanctum Golem Pet, id: 19481, amount: 1, owner: A Fatality	
[4/21/23 08:41AM] Player picked up item: Sanctum Golem Pet, id: 19481, amount: 1, owner: A Fatality	
[4/22/23 08:39AM] Player picked up item: Collector necklace, id: 19886, amount: 1, owner: Vetbrazil	
