[4/23/23 07:05AM] Player picked up item: Coin, id: 995, amount: 1716653, owner: Fiddle Stix	
[4/23/23 08:52AM] Player picked up item: Coin, id: 995, amount: 4000, owner: Fiddle Stix	
[4/23/23 08:54AM] Player picked up item: Coin, id: 995, amount: 6000, owner: Fiddle Stix	
[4/23/23 09:05AM] Player picked up item: Coin, id: 995, amount: 1340775, owner: Fiddle Stix	
[4/23/23 09:05AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Fiddle Stix	
[4/23/23 09:14AM] Player picked up item: Zinq body, id: 23051, amount: 1, owner: Fiddle Stix	
[4/23/23 09:17AM] Player picked up item: Zinq helm, id: 23050, amount: 1, owner: Fiddle Stix	
[4/23/23 09:20AM] Player picked up item: Zinq boots, id: 23054, amount: 1, owner: Fiddle Stix	
[4/23/23 09:20AM] Player picked up item: Zinq shield, id: 23056, amount: 1, owner: Fiddle Stix	
[4/23/23 10:27AM] Player picked up item: Starter Ring, id: 23091, amount: 1, owner: Onlyironfans	
[4/25/23 08:03PM] Player picked up item: Coin, id: 995, amount: 4585140, owner: Fiddle Stix	
[4/25/23 08:03PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Fiddle Stix	
